date,open,high,low,close,volume,Name
2013-05-21,24.8461,25.1995,24.6538,24.9758,7681696,AFL
2013-05-22,25.0563,25.3918,24.6484,24.7477,7900430,AFL
2013-05-23,24.4525,24.7075,24.3675,24.627,5287508,AFL
2013-05-24,24.5286,24.5912,24.1618,24.5778,4184834,AFL
2013-05-28,24.8864,25.0975,24.6404,24.6493,4322990,AFL
2013-05-29,24.4436,25.0407,24.3899,24.9087,4973846,AFL
2013-05-30,24.9758,25.4763,24.9356,25.28,4507972,AFL
2013-05-31,25.2487,25.4499,24.9087,24.9087,5189176,AFL
2013-06-03,24.9758,25.2487,24.6449,25.2263,6060366,AFL
2013-06-04,25.271,25.3717,24.788,24.9624,5020362,AFL
2013-06-05,24.8774,24.9445,24.5778,24.6851,4817268,AFL
2013-06-06,24.6762,25.3829,24.4973,25.3023,7153480,AFL
2013-06-07,25.4365,25.6043,25.2039,25.5081,7418028,AFL
2013-06-10,25.5841,25.7049,25.356,25.4052,5858734,AFL
2013-06-11,25.1861,25.4097,25.1073,25.2308,7462694,AFL
2013-06-12,25.4097,25.4768,25.0519,25.0832,4782652,AFL
2013-06-13,25.0921,25.7765,25.0733,25.7004,5466896,AFL
2013-06-14,25.8078,26.1477,25.5673,25.7228,5524468,AFL
2013-06-17,25.8838,25.9643,25.6468,25.7541,5645596,AFL
2013-06-18,25.8212,25.9241,25.7138,25.8391,4978476,AFL
2013-06-19,25.8972,26.2774,25.5908,25.6468,7155488,AFL
2013-06-20,25.3829,25.7317,25.3694,25.4723,5731726,AFL
2013-06-21,25.7496,25.7496,25.2129,25.3426,6770916,AFL
2013-06-24,25.1324,25.195,24.69,24.9043,5261574,AFL
2013-06-25,25.1055,25.5484,24.9758,25.4142,4361536,AFL
2013-06-26,25.696,25.7899,25.4231,25.611,3205936,AFL
2013-06-27,25.7854,26.0851,25.6781,26.0314,5485350,AFL
2013-06-28,25.9643,26.1835,25.696,25.9956,5211000,AFL
