date,open,high,low,close,volume,Name
2013-05-21,41.7598,42.0936,41.2777,41.6857,10859234,AIG
2013-05-22,41.5188,42.4088,40.777,41.083,17681708,AIG
2013-05-23,40.1744,41.5188,40.1002,41.287,17464861,AIG
2013-05-24,40.9346,41.4631,40.7214,41.4353,11933455,AIG
2013-05-28,42.279,42.5108,41.6996,41.8804,14721318,AIG
2013-05-29,41.2684,42.3347,41.2221,42.2049,14797205,AIG
2013-05-30,42.1771,43.0764,42.0287,42.8446,13253696,AIG
2013-05-31,41.5095,42.6499,41.2128,41.2221,34720788,AIG
2013-06-03,41.426,41.7969,40.0816,41.4909,18624177,AIG
2013-06-04,41.6857,42.1585,40.5081,40.8883,15156806,AIG
2013-06-05,42.1214,42.1863,40.1558,40.7029,24353496,AIG
2013-06-06,40.5267,41.6022,40.1558,41.5929,18796155,AIG
2013-06-07,41.7784,42.1307,41.185,41.9823,13346033,AIG
2013-06-10,42.1214,42.6685,41.63,42.6036,13078983,AIG
2013-06-11,42.0472,42.1214,41.4539,41.6486,14953162,AIG
2013-06-12,41.9731,42.3996,41.083,41.4075,17978260,AIG
2013-06-13,41.2499,42.6221,41.0088,42.5943,15253083,AIG
2013-06-14,42.5572,43.0671,41.9638,42.0751,12433201,AIG
2013-06-17,42.1956,42.279,41.3426,41.8618,14222675,AIG
2013-06-18,41.3241,41.936,41.1479,41.8525,14905240,AIG
2013-06-19,41.8155,42.5108,41.5188,41.5466,17729037,AIG
2013-06-20,41.3241,41.7227,40.8141,41.0459,21069314,AIG
2013-06-21,41.3519,41.3611,40.1744,40.5081,25688787,AIG
2013-06-24,39.8777,39.9055,38.5055,39.2379,27345856,AIG
2013-06-25,39.7293,40.6101,39.6644,40.1929,16198935,AIG
2013-06-26,40.6472,40.8976,40.0631,40.4432,14281583,AIG
2013-06-27,40.7492,41.4724,40.6379,41.2406,16685102,AIG
2013-06-28,41.1479,41.8247,40.8605,41.4446,39994317,AIG
2013-07-01,41.5558,42.1122,41.4724,41.8062,12678202,AIG
2013-07-02,41.6764,42.242,41.6022,41.6208,17234790,AIG
2013-07-03,41.3611,41.4539,40.9532,40.9995,7442861,AIG
2013-07-05,41.4446,42.038,41.3333,41.8989,9687001,AIG
2013-07-08,42.1585,42.3996,42.0102,42.2049,9459785,AIG
2013-07-09,42.5108,42.687,42.2883,42.4459,15044672,AIG
