date,open,high,low,close,volume,Name
2013-05-21,58.4748,58.8519,56.76,56.8138,5747341,ANDV
2013-05-22,56.8228,57.579,55.0182,55.6467,4614799,ANDV
2013-05-23,54.9733,56.0866,54.1832,55.6736,2849329,ANDV
2013-05-24,55.0721,55.3324,54.3538,54.9733,3431627,ANDV
2013-05-28,56.0597,56.9036,55.0003,55.8083,4031347,ANDV
2013-05-29,55.6282,56.3397,54.4483,55.1598,2896027,ANDV
2013-05-30,55.1418,55.6012,54.5924,55.2409,2557120,ANDV
2013-05-31,55.0067,56.5199,54.9707,55.5291,7151331,ANDV
2013-06-03,56.0245,56.5559,53.6466,54.5023,3228348,ANDV
2013-06-04,54.0069,55.0607,52.5477,53.5385,3069009,ANDV
2013-06-05,53.2683,53.8168,51.2597,51.8181,4865825,ANDV
2013-06-06,51.8362,53.1107,51.2867,53.0161,3241967,ANDV
2013-06-07,53.3854,53.5836,52.4486,52.854,1748775,ANDV
2013-06-10,53.2323,53.5565,52.1424,52.3225,1759520,ANDV
2013-06-11,51.602,52.4126,50.9535,51.3498,2640283,ANDV
2013-06-12,52.0163,52.5838,51.4849,51.593,2242650,ANDV
2013-06-13,51.4669,52.5928,50.9264,52.5297,2535302,ANDV
2013-06-14,52.2865,52.5297,51.1786,51.4849,2277738,ANDV
2013-06-17,51.7461,52.3225,51.3408,51.8902,2932083,ANDV
2013-06-18,51.8812,52.2595,51.0165,51.4398,2939967,ANDV
2013-06-19,51.4939,53.0341,51.2507,51.7101,2611740,ANDV
2013-06-20,50.8003,50.8634,49.161,49.8276,4772366,ANDV
2013-06-21,50.1428,50.314,47.684,48.7557,6377219,ANDV
2013-06-24,47.7469,48.0351,45.6888,46.7471,4617864,ANDV
2013-06-25,47.4857,48.4089,47.4767,48.0442,3069815,ANDV
2013-06-26,48.5576,49.2421,48.2063,48.7287,2589716,ANDV
2013-06-27,49.161,49.3952,47.4722,47.5488,2727830,ANDV
2013-06-28,47.2155,47.9245,47.0354,47.1254,2399649,ANDV
2013-07-01,47.1975,47.9271,46.63,46.7561,2316089,ANDV
2013-07-02,46.7561,46.8822,45.0988,45.6753,3366388,ANDV
2013-07-03,45.6663,45.7203,44.3692,45.378,3051660,ANDV
2013-07-05,45.6212,46.4229,44.8196,46.1887,2734315,ANDV
2013-07-08,46.3328,47.918,46.2247,47.2605,2964816,ANDV
2013-07-09,47.4317,47.801,46.4769,47.7199,2101452,ANDV
2013-07-10,47.6208,47.7199,44.9637,45.5942,4186181,ANDV
2013-07-11,46.3238,48.1612,45.9815,48.0712,3263663,ANDV
2013-07-12,47.0354,50.0663,46.8372,49.7195,4324626,ANDV
2013-07-15,49.8636,49.8816,48.4044,48.7647,2317517,ANDV
2013-07-16,48.4765,48.7557,46.8372,47.3956,2557948,ANDV
2013-07-17,47.5398,48.1973,47.3776,47.828,1867473,ANDV
2013-07-18,47.846,48.5756,45.8104,46.0265,3821040,ANDV
2013-07-19,46.0265,47.175,45.6302,46.603,3242512,ANDV
2013-07-22,46.7922,48.0442,46.2337,47.9541,2064246,ANDV
2013-07-23,48.1702,49.089,47.9631,48.6927,2497428,ANDV
2013-07-24,48.7107,48.7107,47.6388,48.0622,2146530,ANDV
2013-07-25,47.864,49.161,47.7739,49.134,2049184,ANDV
2013-07-26,48.8368,49.3142,48.2153,49.098,1443250,ANDV
2013-07-29,48.9899,49.6654,48.8638,49.5303,1957770,ANDV
2013-07-30,49.6654,50.1158,48.9178,50.0618,3134715,ANDV
2013-07-31,49.9807,51.611,49.6474,51.2057,3845790,ANDV
2013-08-01,51.611,52.2325,51.0255,52.0163,2582486,ANDV
2013-08-02,51.5659,52.2235,49.3322,49.8096,3708578,ANDV
