date,open,high,low,close,volume,Name
2013-05-21,65.2374,65.4904,64.8578,64.9759,1330432,ARE
2013-05-22,64.9169,65.035,61.8131,62.5553,1396528,ARE
2013-05-23,61.8891,62.3529,60.7336,62.0999,1413288,ARE
2013-05-24,61.7794,62.1927,61.071,62.1589,1362831,ARE
2013-05-28,62.6481,62.7156,60.5649,60.9107,650573,ARE
2013-05-29,60.4806,60.5902,58.8359,59.3841,897946,ARE
2013-05-30,59.3335,59.8227,58.7263,58.8444,972772,ARE
2013-05-31,58.8275,59.1058,57.7479,57.7732,1471386,ARE
2013-06-03,57.8744,58.0769,56.972,57.9419,932750,ARE
2013-06-04,58.0769,58.2877,57.2588,57.2588,762309,ARE
2013-06-05,57.2419,57.4527,56.4828,56.7527,635357,ARE
2013-06-06,56.6599,57.3937,56.0527,57.3853,627233,ARE
2013-06-07,57.5118,57.7817,55.8924,56.7274,421093,ARE
2013-06-10,57.1829,57.5371,56.5756,56.8877,512699,ARE
2013-06-11,56.0105,56.7696,55.884,55.9262,398612,ARE
2013-06-12,56.3057,56.3057,54.8466,54.9984,381519,ARE
2013-06-13,54.8466,56.8792,54.8382,56.7105,553471,ARE
2013-06-14,56.6346,57.7479,56.4997,57.1407,513143,ARE
2013-06-17,57.4274,57.7395,56.5756,56.8708,538604,ARE
2013-06-18,56.7865,57.5624,56.6262,57.4274,460158,ARE
2013-06-19,57.5033,57.5033,54.8298,55.1587,401805,ARE
2013-06-20,54.6611,54.7876,53.1935,53.3707,565898,ARE
2013-06-21,53.6068,54.3068,52.7971,53.0417,799508,ARE
2013-06-24,52.8264,54.6075,52.1532,53.3974,674392,ARE
2013-06-25,53.7468,54.0791,53.2568,53.8149,653636,ARE
2013-06-26,53.9087,54.6756,53.6445,54.4285,606045,ARE
2013-06-27,55.204,56.7379,55.1188,56.1243,646982,ARE
2013-06-28,56.2351,56.8061,55.5278,56.005,944639,ARE
2013-07-01,56.2607,57.0021,55.7835,56.2607,662376,ARE
2013-07-02,56.1414,57.5645,56.1414,57.4708,662644,ARE
2013-07-03,57.1896,57.5782,56.6612,57.0276,338460,ARE
2013-07-05,57.3174,57.5304,55.7835,56.8487,406639,ARE
2013-07-08,57.2322,57.6497,57.0447,57.3685,333894,ARE
2013-07-09,57.4623,58.6106,57.4026,58.1951,287344,ARE
2013-07-10,58.0162,58.6723,57.7563,58.323,466970,ARE
2013-07-11,59.0303,59.5927,58.9621,59.5927,512514,ARE
2013-07-12,59.4649,59.7802,58.6127,58.6212,406326,ARE
2013-07-15,58.7661,59.5671,58.7661,59.2007,283880,ARE
2013-07-16,59.1751,59.5927,58.7746,59.0729,316752,ARE
2013-07-17,59.3797,59.499,58.9365,59.2518,228091,ARE
2013-07-18,59.2774,60.1807,59.2774,59.9762,348112,ARE
2013-07-19,59.9932,60.1977,59.6012,59.7205,286968,ARE
2013-07-22,59.7205,59.9677,59.4393,59.9591,355717,ARE
2013-07-23,60.0273,60.7517,59.712,60.5983,463182,ARE
2013-07-24,60.6494,60.6494,58.8087,59.3797,398826,ARE
2013-07-25,59.2177,59.8228,58.9791,59.6864,279467,ARE
2013-07-26,59.533,59.9591,59.0132,59.3285,298504,ARE
2013-07-29,59.337,59.516,58.4082,58.5701,442749,ARE
2013-07-30,58.8769,59.695,58.6212,59.107,289726,ARE
2013-07-31,59.2092,59.4904,57.6327,58.3741,436545,ARE
2013-08-01,58.7235,59.3882,58.1781,58.323,817682,ARE
2013-08-02,58.2889,58.5104,57.1043,57.8457,490965,ARE
2013-08-05,57.6838,58.2889,57.6497,58.0332,521603,ARE
2013-08-06,57.8543,58.7746,57.7435,58.5019,573750,ARE
2013-08-07,58.3315,58.5786,57.8372,58.0758,247034,ARE
2013-08-08,58.2803,58.2889,57.5901,57.7009,249086,ARE
2013-08-09,57.4793,58.7831,56.3118,58.3315,243978,ARE
2013-08-12,58.1696,58.2292,57.2918,57.4452,224368,ARE
2013-08-13,57.4026,57.4026,56.1755,56.3715,465854,ARE
2013-08-14,56.3118,56.6783,56.0732,56.1158,253113,ARE
2013-08-15,55.8346,55.8346,54.5989,54.5989,445742,ARE
2013-08-16,54.3944,54.5563,52.9031,52.9628,355210,ARE
2013-08-19,52.8008,53.1247,51.9061,51.9998,468760,ARE
2013-08-20,52.1191,53.44,52.1191,53.2269,411131,ARE
2013-08-21,53.0565,53.5295,52.3236,52.7327,360747,ARE
2013-08-22,52.7156,53.0565,52.2299,52.869,323183,ARE
2013-08-23,53.0565,53.1758,52.6815,52.8094,922150,ARE
2013-08-26,52.9542,53.2695,52.6389,53.048,308178,ARE
2013-08-27,52.673,53.2695,52.4259,53.0906,248892,ARE
2013-08-28,53.1843,53.1843,52.656,52.7668,254073,ARE
2013-08-29,52.7923,52.9798,52.4685,52.9713,213313,ARE
2013-08-30,53.0906,53.3377,52.4003,52.5537,407389,ARE
2013-09-03,53.0139,53.2099,51.8635,52.4088,938940,ARE
2013-09-04,52.5708,52.9372,52.2725,52.6389,812085,ARE
2013-09-05,52.7071,53.0821,52.3066,52.3492,439102,ARE
2013-09-06,52.8264,53.1758,52.5708,52.7668,626636,ARE
2013-09-09,53.0054,54.1302,52.6901,53.9428,992929,ARE
2013-09-10,54.0876,54.437,53.4315,53.9257,876381,ARE
2013-09-11,53.7894,54.2069,53.6019,54.0195,355316,ARE
2013-09-12,54.0791,54.4711,53.4911,53.6786,462121,ARE
2013-09-13,53.8746,53.9257,53.5678,53.7723,335816,ARE
2013-09-16,54.6756,55.106,54.0535,54.1388,403067,ARE
2013-09-17,54.2751,54.6245,54.0876,54.5393,271569,ARE
2013-09-18,54.4029,57.0703,53.8235,57.0532,472496,ARE
2013-09-19,57.0788,57.6242,56.7379,57.4367,591409,ARE
2013-09-20,57.573,57.6327,56.0732,56.1499,563427,ARE
2013-09-23,56.0306,56.7123,55.8303,56.4567,423348,ARE
2013-09-24,56.3885,56.5504,55.7068,55.7664,293835,ARE
2013-09-25,55.809,56.3629,55.4341,55.7238,273983,ARE
2013-09-26,55.7324,56.1371,55.3285,55.8788,285983,ARE
2013-09-27,55.6119,55.9219,55.0177,55.3621,349050,ARE
2013-09-30,55.0435,55.543,54.3891,54.9832,461906,ARE
2013-10-01,55.0349,56.3094,54.9488,55.5516,722591,ARE
2013-10-02,55.3535,55.7324,54.7852,55.5946,499543,ARE
2013-10-03,55.5946,55.7324,54.5785,54.6474,438909,ARE
2013-10-04,54.6302,55.1038,54.2513,54.5613,251051,ARE
2013-10-07,54.2685,55.0091,54.2685,54.6818,308999,ARE
2013-10-08,54.6991,55.0801,54.4063,54.6646,350909,ARE
2013-10-09,54.8455,55.4827,54.3977,54.5354,437815,ARE
2013-10-10,54.9316,55.6032,54.9316,55.5171,471001,ARE
2013-10-11,55.2502,55.8271,54.6302,54.9918,739920,ARE
2013-10-14,54.5957,55.2588,54.4579,54.7335,722857,ARE
2013-10-15,54.6904,54.8282,54.1996,54.4149,626745,ARE
2013-10-16,54.5613,55.4224,54.445,55.2071,486111,ARE
2013-10-17,55.0263,56.8863,54.9402,56.8174,601139,ARE
2013-10-18,56.9122,57.0155,56.3438,56.8433,615768,ARE
2013-10-21,57.0155,57.0241,56.2491,56.6108,325658,ARE
2013-10-22,56.7744,57.5322,55.7669,57.1188,333344,ARE
2013-10-23,56.9897,57.3772,56.5936,57.3513,270677,ARE
2013-10-24,57.2997,57.4977,56.8174,57.205,440397,ARE
2013-10-25,57.1447,58.5483,56.5419,58.4278,428433,ARE
2013-10-28,58.2039,58.2814,57.2265,57.825,434516,ARE
2013-10-29,57.7389,57.8594,56.5074,57.5666,636852,ARE
2013-10-30,57.403,57.4547,56.9759,57.36,305885,ARE
2013-10-31,57.2394,57.6614,55.8444,56.6452,735596,ARE
2013-11-01,56.7399,57.9197,56.361,57.1963,317053,ARE
2013-11-04,57.1963,57.4461,56.5074,57.1533,384968,ARE
2013-11-05,56.9294,56.9897,55.8788,56.206,473348,ARE
2013-11-06,56.5247,56.5677,55.9563,56.0424,243742,ARE
2013-11-07,56.1716,56.2233,55.2071,55.4569,289066,ARE
2013-11-08,55.2071,56.1285,53.8982,54.8282,268201,ARE
2013-11-11,54.9143,55.2299,54.4838,54.7938,164265,ARE
2013-11-12,54.768,54.768,53.9585,54.3288,178976,ARE
2013-11-13,54.2254,54.7852,53.8379,54.7766,278397,ARE
2013-11-14,54.9488,55.741,54.9488,55.3191,137998,ARE
2013-11-15,55.5171,55.9477,55.022,55.9133,247646,ARE
2013-11-18,55.9391,56.1221,55.4827,55.6549,272076,ARE
2013-11-19,55.431,55.4655,54.7077,55.0607,355411,ARE
2013-11-20,55.0521,55.487,54.4407,54.6904,326087,ARE
2013-11-21,54.8541,55.7583,54.5527,55.6119,455281,ARE
2013-11-22,55.5516,55.7669,54.9746,55.6291,399482,ARE
2013-11-25,55.7583,55.7583,55.1124,55.3363,474120,ARE
2013-11-26,55.5688,55.6291,54.966,55.1985,386507,ARE
2013-11-27,55.2588,55.4476,54.8455,55.2416,303908,ARE
2013-11-29,55.3449,55.586,54.4252,54.4752,216850,ARE
2013-12-02,54.3977,54.8584,53.6658,54.3804,341056,ARE
2013-12-03,54.191,55.1985,54.0446,54.4235,550320,ARE
2013-12-04,56.6366,57.093,53.459,53.6657,563072,ARE
2013-12-05,53.5107,54.1565,53.2782,53.9499,782788,ARE
2013-12-06,54.3546,54.78,54.0618,54.501,554612,ARE
2013-12-09,54.5441,54.9488,54.2685,54.768,542095,ARE
2013-12-10,54.7249,55.0952,54.5354,54.5527,350362,ARE
2013-12-11,54.7249,55.1124,53.149,53.2524,405649,ARE
2013-12-12,53.304,53.8293,52.6271,52.6323,426154,ARE
2013-12-13,52.9251,53.6399,52.5979,52.9165,548815,ARE
2013-12-16,53.149,53.7518,52.7357,53.0715,414470,ARE
2013-12-17,53.2007,54.5354,52.9596,54.5096,565118,ARE
2013-12-18,54.5354,55.3794,53.7604,55.3449,452120,ARE
2013-12-19,54.966,55.1296,53.9154,53.9327,362552,ARE
2013-12-20,53.9154,55.3191,53.8121,55.2846,1018330,ARE
2013-12-23,55.3707,55.7238,55.1468,55.3019,567467,ARE
2013-12-24,55.2588,55.6618,55.0091,55.3707,141157,ARE
2013-12-26,55.3794,55.7755,54.7723,55.0952,293630,ARE
2013-12-27,54.9037,55.3911,54.5207,55.3302,261922,ARE
2013-12-30,55.4433,55.6609,55.0168,55.5042,316278,ARE
2013-12-31,55.3911,56.0265,55.2344,55.3737,408705,ARE
2014-01-02,55.13,55.8002,54.7731,55.4694,402659,ARE
2014-01-03,55.4955,56.4704,55.3476,56.0526,361171,ARE
2014-01-06,56.0961,56.6531,55.7567,55.8437,447124,ARE
2014-01-07,55.9046,56.3746,55.4868,56.0004,310620,ARE
2014-01-08,55.9742,56.2441,55.3998,55.8785,244645,ARE
2014-01-09,56.157,56.1831,55.3737,55.8089,329065,ARE
2014-01-10,56.157,56.4791,55.6957,56.3572,394335,ARE
2014-01-13,56.2702,56.4965,55.8872,56.07,298194,ARE
2014-01-14,56.2963,56.8359,56.2876,56.6096,399315,ARE
2014-01-15,56.8881,57.4191,56.8446,57.3059,235070,ARE
2014-01-16,57.3495,57.6106,56.9665,57.4539,399195,ARE
2014-01-17,57.8021,57.8543,57.3756,57.6367,965421,ARE
2014-01-21,57.8021,59.0014,57.6193,58.7943,640806,ARE
2014-01-22,58.9771,59.5428,58.9771,59.4819,1097360,ARE
2014-01-23,59.2295,60.0128,59.1598,59.7952,759900,ARE
2014-01-24,59.7604,59.9432,59.0815,59.2382,440358,ARE
2014-01-27,58.89,59.4297,58.5158,58.9771,541204,ARE
2014-01-28,59.038,59.8823,59.038,59.6212,425359,ARE
2014-01-29,59.2643,59.7604,59.0467,59.6212,652330,ARE
2014-01-30,59.9606,60.4393,59.4819,60.2739,407924,ARE
2014-01-31,59.7604,61.3793,59.6124,61.0399,683889,ARE
2014-02-03,61.4228,61.4228,60.065,60.4915,1171730,ARE
2014-02-04,59.6037,61.2575,58.7734,61.0573,1098275,ARE
