date,open,high,low,close,volume,Name
2013-05-21,22.3989,23.1715,21.609,22.0125,20917567,BBY
2013-05-22,22.0125,22.6908,21.6949,22.0211,9696041,BBY
2013-05-23,21.8065,22.6135,21.7206,22.5706,5321395,BBY
2013-05-24,22.4246,22.6135,22.0211,22.3474,4140248,BBY
2013-05-28,22.5534,22.9912,22.5104,22.9483,7288515,BBY
2013-05-29,22.7423,23.266,22.6307,23.2145,7166164,BBY
2013-05-30,23.3089,24.1846,23.3089,23.8154,10796717,BBY
2013-05-31,23.6866,24.2619,23.6094,23.6523,10222727,BBY
2013-06-03,24.2361,24.3563,23.0513,23.4892,10416035,BBY
2013-06-04,23.369,24.073,23.296,23.5235,6981286,BBY
2013-06-05,23.3432,23.97,23.2059,23.2574,8352303,BBY
2013-06-06,23.1973,23.7897,23.0256,23.7639,4858760,BBY
2013-06-07,23.8849,23.9712,23.427,23.6344,3495382,BBY
2013-06-10,23.6516,24.3772,23.5739,24.2218,4847078,BBY
2013-06-11,23.833,24.2477,23.6862,24.0922,6245890,BBY
2013-06-12,24.1181,24.1267,23.1161,23.2197,5497285,BBY
2013-06-13,23.142,23.833,23.1333,23.8071,6204031,BBY
2013-06-14,23.8244,24.1008,23.0038,23.2111,5823419,BBY
2013-06-17,23.3407,23.738,23.2975,23.6775,4269944,BBY
2013-06-18,23.6603,24.36,23.237,24.239,5073339,BBY
2013-06-19,24.1095,24.2736,23.8676,23.8935,3874630,BBY
2013-06-20,23.4961,23.6689,22.6928,22.9692,4404337,BBY
2013-06-21,23.047,23.4702,22.8483,23.1247,6840470,BBY
2013-06-24,22.7705,22.9433,22.2695,22.736,3326342,BBY
2013-06-25,22.9865,23.2931,22.736,23.0988,5152477,BBY
2013-06-26,23.237,23.5739,22.9001,23.5652,3270140,BBY
2013-06-27,23.6689,24.1181,23.6351,24.049,3221394,BBY
2013-06-28,23.9194,24.1527,23.5998,23.6084,4108729,BBY
2013-07-01,24.1008,25.8371,23.9453,25.6903,12006376,BBY
2013-07-02,25.6644,25.673,24.2821,24.7832,7234628,BBY
2013-07-03,25.0078,25.5175,24.8524,25.4138,4354970,BBY
2013-07-05,25.4398,25.7853,25.1893,25.6816,4075814,BBY
