date,open,high,low,close,volume,Name
2013-05-21,22.051,22.3096,22.0175,22.1612,3203470,BLL
2013-05-22,22.1037,22.2617,21.8117,21.8595,2164392,BLL
2013-05-23,21.7207,21.9744,21.6393,21.668,2595694,BLL
2013-05-24,21.4957,21.6393,21.2037,21.2515,3058608,BLL
2013-05-28,21.4143,21.5914,21.2372,21.3042,3384672,BLL
2013-05-29,21.2132,21.2515,20.9547,21.0361,2479674,BLL
2013-05-30,21.0601,21.1562,20.9069,20.9161,2314000,BLL
2013-05-31,20.82,21.0505,20.7192,20.724,3454122,BLL
2013-06-03,20.7096,20.8392,20.2943,20.82,3672760,BLL
2013-06-04,20.7624,20.9689,20.6808,20.82,2811530,BLL
2013-06-05,20.7144,20.7912,20.4743,20.5127,2413966,BLL
2013-06-06,20.4791,20.5704,20.3639,20.5607,1706040,BLL
2013-06-07,20.6472,20.9497,20.6232,20.9257,2095116,BLL
2013-06-10,20.9593,20.9641,20.7864,20.8536,908044,BLL
2013-06-11,20.6232,20.7576,20.5127,20.5992,1777780,BLL
2013-06-12,20.7,20.7403,20.3447,20.3783,2328678,BLL
2013-06-13,20.3399,20.8921,20.3399,20.8392,2078646,BLL
2013-06-14,20.844,20.9305,20.7384,20.8104,1883940,BLL
2013-06-17,20.9257,20.9785,20.6952,20.7768,1499374,BLL
2013-06-18,20.772,20.8392,20.6616,20.7384,1198766,BLL
2013-06-19,20.8008,21.0745,20.7096,20.7528,2043198,BLL
2013-06-20,20.5944,20.5944,20.3447,20.4695,2033304,BLL
2013-06-21,20.604,20.6424,20.2991,20.4311,2736484,BLL
2013-06-24,20.1958,20.2871,19.9461,20.1814,1844560,BLL
2013-06-25,20.3063,20.3231,20.0278,20.2294,1944106,BLL
2013-06-26,20.2967,20.3831,20.0422,20.1814,1197490,BLL
2013-06-27,20.3111,20.3351,20.1766,20.2342,1946020,BLL
2013-06-28,20.1766,20.2871,19.9365,19.9461,4028234,BLL
2013-07-01,20.023,20.3591,20.0134,20.095,1572434,BLL
