date,open,high,low,close,volume,Name
2013-05-21,43.1579,43.3464,42.8438,43.0412,3429174,CAH
2013-05-22,43.0772,43.2746,42.588,42.7092,3861799,CAH
2013-05-23,42.4579,42.6464,42.1259,42.3323,2660444,CAH
2013-05-24,42.2695,42.5118,41.8207,42.3323,1744714,CAH
2013-05-28,42.6015,42.9515,42.3413,42.431,1513136,CAH
2013-05-29,42.2246,42.3592,41.8028,42.2605,1972442,CAH
2013-05-30,42.2695,42.9201,42.2066,42.781,1707141,CAH
2013-05-31,42.6464,42.9515,42.1438,42.1438,3253394,CAH
2013-06-03,42.2425,42.413,42.0092,42.3861,1813350,CAH
2013-06-04,42.3054,42.6195,41.4259,41.722,3010051,CAH
2013-06-05,41.6143,41.9329,41.2464,41.3002,2436417,CAH
2013-06-06,41.5156,41.5874,40.9143,41.3989,2294383,CAH
2013-06-07,41.713,42.09,41.6412,42.09,2444528,CAH
2013-06-10,42.1707,42.3502,41.7669,42.0361,1946685,CAH
2013-06-11,41.7041,42.5566,41.6771,42.1707,3170941,CAH
2013-06-12,42.4041,42.6823,42.2964,42.3233,2822740,CAH
2013-06-13,42.2964,43.0323,42.0451,42.9874,2224822,CAH
2013-06-14,42.9066,43.4092,42.7989,42.9246,1866223,CAH
2013-06-17,43.1579,43.4631,43.0323,43.3015,2221854,CAH
2013-06-18,43.4092,43.7861,43.2656,43.7592,2490130,CAH
2013-06-19,43.8041,43.9656,43.2387,43.4092,3433472,CAH
2013-06-20,43.0951,43.1489,42.0989,42.2425,3395250,CAH
2013-06-21,42.8797,43.4182,42.3682,42.3861,4281912,CAH
2013-06-24,42.4747,42.574,41.9238,42.0683,2769724,CAH
2013-06-25,42.4115,42.4476,41.8335,42.1225,2564072,CAH
2013-06-26,42.4657,43.4681,42.1767,43.2875,3189258,CAH
2013-06-27,43.143,43.4862,43.0437,43.0979,1900671,CAH
2013-06-28,43.0888,43.2965,42.6282,42.6282,6542108,CAH
2013-07-01,42.9353,43.2604,42.5379,42.9804,1974604,CAH
2013-07-02,42.9714,43.0617,42.1405,42.4657,2377497,CAH
2013-07-03,42.2489,42.8359,42.0141,42.7185,953984,CAH
2013-07-05,42.9985,43.152,42.5018,42.9714,879421,CAH
2013-07-08,43.1882,43.2604,42.8811,42.9353,2006601,CAH
2013-07-09,43.125,43.5133,43.0798,43.3598,1991363,CAH
2013-07-10,43.3778,44.1907,43.3598,44.0642,2392448,CAH
2013-07-11,44.2629,44.7777,44.001,44.7416,2235821,CAH
2013-07-12,44.7867,44.8229,44.4526,44.8048,1863721,CAH
2013-07-15,44.7867,45.148,44.7687,44.9222,1228508,CAH
2013-07-16,44.8861,44.9673,44.4345,44.4526,1637100,CAH
2013-07-17,44.6964,44.9132,44.4435,44.7506,1474537,CAH
2013-07-18,44.8319,45.3106,44.8319,45.3015,2154659,CAH
2013-07-19,45.3015,45.6357,44.9222,45.6266,4004763,CAH
2013-07-22,45.5815,45.6899,45.2473,45.6266,1289519,CAH
2013-07-23,45.6718,45.735,45.2925,45.3196,1249204,CAH
2013-07-24,45.437,45.535,44.9041,45.0306,1155400,CAH
2013-07-25,44.859,45.0215,44.5519,44.859,1630307,CAH
2013-07-26,44.9041,46.1414,44.868,46.1143,2199313,CAH
2013-07-29,45.8615,45.8705,45.1977,45.6808,1560040,CAH
2013-07-30,45.8524,45.8524,45.3738,45.3828,1692262,CAH
2013-07-31,45.5183,45.8434,45.0486,45.2383,3140652,CAH
2013-08-01,45.8163,46.3582,45.437,46.1414,2519195,CAH
2013-08-02,46.1414,46.3311,45.9879,46.1595,1939956,CAH
2013-08-05,46.0602,46.593,45.9698,46.5479,1745435,CAH
2013-08-06,46.4395,46.5479,45.9337,46.4575,2076743,CAH
2013-08-07,46.4304,46.4304,46.1595,46.1866,1369217,CAH
2013-08-08,46.3401,46.5659,46.0963,46.5298,1513787,CAH
2013-08-09,46.4395,46.7646,46.2859,46.575,1879588,CAH
2013-08-12,46.3582,46.6472,46.2679,46.602,1651249,CAH
2013-08-13,46.7736,47.1891,46.6653,47.1349,3163651,CAH
2013-08-14,47.1349,47.4058,47.0717,47.171,2401675,CAH
2013-08-15,46.864,46.9001,46.211,46.5027,2302205,CAH
2013-08-16,46.295,46.5479,46.2363,46.3492,2514910,CAH
2013-08-19,46.1505,46.5027,46.1053,46.1776,1402074,CAH
2013-08-20,46.1324,46.2859,45.9337,46.1234,1265936,CAH
2013-08-21,46.1234,46.1685,45.3286,45.4099,2230728,CAH
2013-08-22,45.3918,45.8615,45.1751,45.6989,1311155,CAH
2013-08-23,45.7712,46.3311,45.5273,46.2769,1740354,CAH
2013-08-26,46.2769,46.4213,46.024,46.0331,1158343,CAH
2013-08-27,45.6718,45.7531,45.0306,45.1841,1670522,CAH
2013-08-28,45.2202,45.4099,45.0486,45.1751,1402934,CAH
2013-08-29,45.157,45.6537,45.0667,45.4099,1242774,CAH
2013-08-30,45.5454,45.5454,45.2112,45.4099,1196393,CAH
2013-09-03,45.8976,46.1098,45.1796,45.3557,1781213,CAH
2013-09-04,45.3557,45.7802,45.3015,45.3738,1867735,CAH
2013-09-05,45.3106,45.8615,45.2699,45.3106,1970870,CAH
2013-09-06,45.3467,45.7621,44.8409,45.5092,1502365,CAH
2013-09-09,45.6899,46.1324,45.5454,45.8795,1167455,CAH
2013-09-10,46.0692,46.4666,46.0692,46.1776,1379694,CAH
2013-09-11,46.2859,47.2071,46.1866,47.1439,2119333,CAH
2013-09-12,47.1891,47.8664,47.1349,47.731,2928949,CAH
2013-09-13,47.6587,48.1193,47.5052,47.8845,1855990,CAH
