date,open,high,low,close,volume,Name
2013-05-21,41.8051,41.9407,40.9403,41.0336,1349846,CINF
2013-05-22,41.1014,41.5423,40.4232,40.6097,1393848,CINF
2013-05-23,40.4062,40.5249,39.9993,40.4825,719700,CINF
2013-05-24,40.2536,40.6436,39.9569,40.6351,597440,CINF
2013-05-28,40.7877,41.271,40.6606,40.7708,610118,CINF
2013-05-29,40.5843,40.6097,40.1349,40.3045,745804,CINF
2013-05-30,40.4062,40.8131,40.3045,40.703,503463,CINF
2013-05-31,40.5249,40.7962,40.1349,40.1349,710388,CINF
2013-06-03,40.2451,40.2451,39.5754,39.9654,1002140,CINF
2013-06-04,40.0671,40.0671,39.1176,39.16,1388053,CINF
2013-06-05,39.0921,39.1939,38.6258,38.6513,982428,CINF
2013-06-06,38.6598,38.965,38.2952,38.9565,816218,CINF
2013-06-07,39.3126,39.516,38.9904,39.3889,777340,CINF
2013-06-10,39.4906,39.4906,39.143,39.4143,677357,CINF
2013-06-11,39.0837,39.2193,38.5156,38.5834,1091490,CINF
2013-06-12,38.8717,39.2702,38.6852,38.6937,725725,CINF
2013-06-13,38.6089,39.3719,38.4732,39.3719,480893,CINF
2013-06-14,39.4058,39.5754,39.126,39.1515,759929,CINF
2013-06-17,39.5,40.133,39.3717,40.056,778264,CINF
2013-06-18,40.0218,40.3212,39.8935,40.2869,575118,CINF
2013-06-19,40.1501,40.269,39.5685,39.577,655269,CINF
2013-06-20,39.1579,39.4915,38.6789,38.7388,863965,CINF
2013-06-21,39.0467,39.1408,38.5677,38.8329,956795,CINF
2013-06-24,38.6105,38.6276,38.0887,38.294,895653,CINF
2013-06-25,38.6789,38.7559,38.3111,38.5335,798597,CINF
2013-06-26,38.7986,39.2862,38.773,39.0381,590627,CINF
2013-06-27,39.1237,39.6711,39.1237,39.5685,339172,CINF
2013-06-28,39.4401,39.6369,39.1536,39.2776,1704045,CINF
2013-07-01,39.5513,39.8678,39.3803,39.8079,850673,CINF
2013-07-02,39.7737,39.9961,39.5342,39.6283,639929,CINF
2013-07-03,38.8927,39.6882,38.8927,39.6198,218668,CINF
2013-07-05,39.9106,39.979,39.5856,39.8935,730028,CINF
2013-07-08,40.1159,40.6034,39.7395,40.5435,877392,CINF
2013-07-09,40.9199,41.2022,40.6034,41.1423,630922,CINF
2013-07-10,41.1594,41.5272,40.9969,41.493,1270572,CINF
2013-07-11,41.9805,42.0233,41.6555,41.7667,741695,CINF
2013-07-12,41.6298,42.1003,41.5871,42.0661,646483,CINF
2013-07-15,42.3227,42.3227,42.0147,42.2542,632619,CINF
2013-07-16,42.3997,42.4424,41.7325,41.895,765924,CINF
2013-07-17,42.1088,42.3569,41.8266,41.9463,495065,CINF
2013-07-18,42.049,42.4766,42.0319,42.4424,546079,CINF
2013-07-19,42.4424,42.5194,42.1516,42.3826,2933797,CINF
2013-07-22,42.2799,42.776,42.2542,42.7675,566624,CINF
2013-07-23,42.7675,42.7675,42.1858,42.3569,776421,CINF
2013-07-24,42.4339,42.5451,41.5101,41.6384,635654,CINF
2013-07-25,41.4246,41.8522,41.3155,41.818,470500,CINF
2013-07-26,41.8608,42.1751,41.4502,42.0147,575538,CINF
2013-07-29,41.9976,42.1088,41.8095,41.9976,487169,CINF
2013-07-30,42.3141,42.3654,41.741,41.8522,475237,CINF
2013-07-31,42.049,42.1174,41.7154,41.9207,603568,CINF
2013-08-01,42.1858,42.7503,42.1858,42.699,517585,CINF
2013-08-02,42.622,42.6948,42.374,42.5451,470767,CINF
2013-08-05,42.451,42.4852,41.8822,42.0147,538245,CINF
2013-08-06,41.9976,42.1088,41.5015,41.6983,693788,CINF
2013-08-07,41.5785,41.647,41.2446,41.5272,354695,CINF
2013-08-08,41.6555,41.8095,41.4075,41.6812,305027,CINF
2013-08-09,41.647,41.8179,41.3433,41.6213,296356,CINF
2013-08-12,41.339,41.7325,41.091,41.5101,222752,CINF
2013-08-13,41.3903,41.8437,41.2009,41.6983,465715,CINF
2013-08-14,41.5956,41.8608,41.493,41.8266,335450,CINF
2013-08-15,41.3647,41.4844,40.7103,40.8429,479544,CINF
2013-08-16,40.7146,41.0995,40.612,40.8515,468844,CINF
2013-08-19,40.86,40.9712,40.3554,40.3639,327414,CINF
2013-08-20,40.4238,40.7574,40.1929,40.6205,412804,CINF
2013-08-21,40.4837,40.6633,40.0902,40.2869,344284,CINF
2013-08-22,40.4324,40.7232,40.3041,40.6547,184920,CINF
2013-08-23,40.7488,40.7488,40.3554,40.5264,256241,CINF
2013-08-26,40.4837,40.5949,40.0817,40.1244,421577,CINF
2013-08-27,39.7566,39.8849,39.4573,39.5685,490752,CINF
2013-08-28,39.5856,39.6454,39.2691,39.329,385042,CINF
2013-08-29,39.252,39.6711,39.1237,39.5171,265418,CINF
2013-08-30,39.5599,39.7053,38.9184,39.0723,655068,CINF
2013-09-03,39.5685,39.8251,38.7901,39.175,654621,CINF
2013-09-04,39.1664,39.5214,38.9783,39.3461,620139,CINF
2013-09-05,39.3033,39.4915,39.1664,39.3632,265890,CINF
2013-09-06,39.5342,39.6625,38.6276,38.9954,1392858,CINF
2013-09-09,39.1066,39.6112,39.0467,39.5599,1248996,CINF
2013-09-10,39.8849,39.979,39.6198,39.8764,1525467,CINF
2013-09-11,39.7908,39.9961,39.5599,39.7737,528980,CINF
2013-09-12,39.8251,39.9534,39.5471,39.6027,343793,CINF
2013-09-13,37.3103,39.8251,37.3103,39.8251,562148,CINF
2013-09-16,40.3688,40.4638,40.1013,40.3688,530710,CINF
2013-09-17,40.4552,40.4897,40.2653,40.3516,493997,CINF
2013-09-18,40.3084,40.7659,40.2049,40.74,703249,CINF
2013-09-19,40.8349,41.137,40.8349,40.8954,841139,CINF
2013-09-20,40.8867,41.2579,40.6105,40.9471,1044797,CINF
2013-09-23,40.8781,40.8781,40.5587,40.5846,549802,CINF
2013-09-24,40.7055,40.9213,40.4379,40.576,422760,CINF
2013-09-25,40.5501,40.809,40.3326,40.6882,474466,CINF
2013-09-26,40.7659,41.0162,40.5674,40.7832,355086,CINF
2013-09-27,40.7055,41.0076,40.4293,40.9644,668728,CINF
2013-09-30,40.7573,40.8738,40.4811,40.7055,660352,CINF
2013-10-01,40.7141,40.9515,40.6235,40.8263,416726,CINF
2013-10-02,40.576,41.0421,40.4897,41.0421,675984,CINF
2013-10-03,40.8695,40.9471,40.3084,40.6192,759022,CINF
2013-10-04,40.576,41.1457,40.2307,41.1111,611075,CINF
2013-10-07,40.8263,41.1457,40.6882,40.9989,548324,CINF
2013-10-08,40.9299,41.068,40.6796,40.6796,706902,CINF
2013-10-09,40.74,40.8695,40.4293,40.6623,463607,CINF
2013-10-10,41.1543,41.8362,41.0076,41.8275,526162,CINF
2013-10-11,41.7758,42.216,41.6377,41.9139,723210,CINF
2013-10-14,41.7671,42.3195,41.6549,42.285,530388,CINF
2013-10-15,42.2936,42.4317,41.9139,42.0088,546038,CINF
2013-10-16,42.2332,42.7166,42.1383,42.6907,543782,CINF
2013-10-17,42.4317,43.105,42.3195,43.0359,429506,CINF
2013-10-18,43.0964,43.2086,42.777,43.1481,2091029,CINF
2013-10-21,43.1827,43.2258,42.9841,43.1136,342109,CINF
2013-10-22,43.1913,43.5711,43.1568,43.4416,584498,CINF
2013-10-23,43.269,43.3898,42.9324,43.269,625598,CINF
2013-10-24,43.2258,43.5624,43.1827,43.433,582898,CINF
2013-10-25,43.5452,43.5711,42.8115,43.3121,593702,CINF
2013-10-28,43.3898,43.5711,43.1913,43.4157,497422,CINF
2013-10-29,43.5797,43.7092,43.4416,43.7005,479566,CINF
2013-10-30,43.761,43.83,43.4416,43.6401,515593,CINF
2013-10-31,43.6315,43.6315,43.1568,43.1999,816386,CINF
2013-11-01,43.2603,43.2684,42.9841,43.1568,529002,CINF
2013-11-04,43.2517,43.3898,42.9583,43.0791,468235,CINF
2013-11-05,42.9496,43.0964,42.7684,42.8719,468426,CINF
2013-11-06,43.1136,43.3812,43.0187,43.3639,493036,CINF
2013-11-07,43.5624,43.597,42.8029,42.8288,551114,CINF
2013-11-08,42.9237,43.6574,42.8202,43.6488,446498,CINF
2013-11-11,43.5883,43.7955,43.5279,43.666,264968,CINF
2013-11-12,43.502,43.5538,43.0359,43.2603,455600,CINF
2013-11-13,43.0187,43.6315,42.9583,43.6056,382625,CINF
2013-11-14,43.7869,43.9854,43.502,43.925,408517,CINF
2013-11-15,43.9768,44.0976,43.6574,44.089,643254,CINF
2013-11-18,44.158,44.2357,43.8162,43.9336,429072,CINF
2013-11-19,44.0458,44.3263,43.8162,44.1321,675484,CINF
2013-11-20,44.2443,44.4515,43.9241,43.9681,521494,CINF
2013-11-21,44.1925,44.8658,43.9768,44.8054,567732,CINF
2013-11-22,44.8399,45.2887,44.6759,45.2369,610400,CINF
2013-11-25,45.4009,45.7462,45.3146,45.4527,559138,CINF
2013-11-26,45.4096,45.6858,45.4096,45.4786,687761,CINF
2013-11-27,45.5649,45.867,45.4126,45.703,567041,CINF
2013-11-29,45.7289,45.8239,45.1851,45.2369,295002,CINF
2013-12-02,45.2369,45.2974,44.8744,45.0125,638394,CINF
2013-12-03,44.7795,44.978,44.3047,44.7622,852866,CINF
2013-12-04,44.5292,44.9348,44.1407,44.6068,445380,CINF
2013-12-05,44.6673,44.7622,44.1753,44.3565,438673,CINF
2013-12-06,44.8744,45.1247,44.6327,45.1247,516924,CINF
2013-12-09,45.1851,45.3405,44.8658,45.0902,572639,CINF
2013-12-10,45.0557,45.142,44.7277,44.9003,553413,CINF
2013-12-11,44.8399,45.0988,44.2961,44.3565,473625,CINF
2013-12-12,44.2788,44.4774,44.2184,44.3047,413349,CINF
2013-12-13,44.4256,44.6586,44.1925,44.2098,408042,CINF
2013-12-16,44.4013,44.4665,44.1402,44.2359,568120,CINF
2013-12-17,44.1402,44.2706,43.9574,44.0967,456106,CINF
2013-12-18,44.1489,44.8451,43.8356,44.8364,757908,CINF
2013-12-19,44.6885,44.8451,44.5492,44.732,446035,CINF
2013-12-20,44.8364,45.315,44.7668,45.2628,1118863,CINF
2013-12-23,45.3934,45.7023,45.2715,45.2976,764334,CINF
2013-12-24,45.3238,45.4804,45.228,45.4456,263080,CINF
2013-12-26,46.7684,46.7684,45.4282,45.5848,362787,CINF
2013-12-27,45.5326,45.6632,45.215,45.2367,344333,CINF
2013-12-30,45.2193,45.5151,45.1676,45.4717,399155,CINF
2013-12-31,45.6283,45.6893,45.4282,45.5761,331463,CINF
2014-01-02,45.3847,45.4151,44.6014,44.7755,541030,CINF
2014-01-03,44.819,44.9669,44.3926,44.497,415547,CINF
2014-01-06,44.5405,44.7233,44.249,44.3839,554136,CINF
2014-01-07,44.4013,44.6536,44.3142,44.4274,530374,CINF
2014-01-08,44.4448,44.4448,44.0706,44.2881,1036572,CINF
2014-01-09,44.2968,44.5405,44.2377,44.4796,569713,CINF
2014-01-10,44.7407,44.8103,44.4187,44.5144,543625,CINF
2014-01-13,44.3752,44.5927,43.8617,43.9574,804359,CINF
2014-01-14,43.9835,44.2881,43.9139,44.2098,342383,CINF
2014-01-15,44.4361,44.4883,44.0532,44.2707,510835,CINF
2014-01-16,44.027,44.1663,43.8182,43.9574,527985,CINF
2014-01-17,43.9313,44.0357,43.6963,43.9661,1408117,CINF
2014-01-21,44.2968,44.3752,43.7312,43.9313,890712,CINF
2014-01-22,44.1141,44.2011,43.8791,44.1228,676849,CINF
2014-01-23,43.9835,44.1663,43.4875,43.6354,930309,CINF
2014-01-24,43.2525,43.3743,42.4693,42.478,903487,CINF
2014-01-27,42.2952,42.7651,41.3553,42.4432,893028,CINF
2014-01-28,42.4867,42.9131,42.4519,42.8696,630747,CINF
2014-01-29,42.4954,42.7651,42.2778,42.3039,533144,CINF
2014-01-30,42.6694,42.8696,42.4606,42.8435,408736,CINF
2014-01-31,42.0515,42.5128,41.7382,42.1647,913892,CINF
2014-02-03,42.2517,42.3822,41.3205,41.4336,989406,CINF
2014-02-04,41.5033,41.6164,40.9637,41.1203,1142836,CINF
2014-02-05,40.9637,41.277,40.8506,40.9898,791233,CINF
2014-02-06,40.4676,40.6243,39.2318,39.345,1464384,CINF
2014-02-07,39.3624,39.7975,39.0752,39.7975,1381353,CINF
2014-02-10,39.7105,39.841,39.3537,39.841,945603,CINF
2014-02-11,39.8584,40.4502,39.7605,40.311,852672,CINF
2014-02-12,40.4415,40.6156,40.2501,40.4763,710389,CINF
2014-02-13,40.163,40.8419,40.0412,40.8331,698744,CINF
2014-02-14,40.6852,40.9028,40.5634,40.9028,615837,CINF
2014-02-18,40.7983,41.1639,40.7548,41.0507,642148,CINF
2014-02-19,40.868,40.9898,40.4763,40.5198,753363,CINF
2014-02-20,40.6069,40.7809,40.3066,40.72,482985,CINF
2014-02-21,40.8419,40.8767,40.4676,40.6852,489319,CINF
2014-02-24,40.7026,40.9289,40.5808,40.5982,632434,CINF
2014-02-25,40.6678,41.0507,40.398,40.5024,371998,CINF
2014-02-26,40.5198,40.5721,40.2762,40.4328,452824,CINF
2014-02-27,40.398,40.6678,40.2414,40.5982,456748,CINF
2014-02-28,40.6417,40.9898,40.4763,40.7983,569164,CINF
2014-03-03,40.6243,40.6678,40.2414,40.4328,410997,CINF
2014-03-04,40.7722,41.0855,40.72,41.0072,723376,CINF
2014-03-05,40.9811,41.0507,40.8027,40.9811,415787,CINF
2014-03-06,40.9898,41.599,40.9637,41.4684,637139,CINF
2014-03-07,41.6164,41.7643,41.4075,41.6338,548117,CINF
2014-03-10,41.512,41.6251,41.3379,41.4859,466032,CINF
2014-03-11,41.5207,41.6338,41.1551,41.277,504047,CINF
2014-03-12,41.1377,41.4772,41.0072,41.451,388601,CINF
2014-03-13,41.686,41.7295,41.0507,41.0594,586140,CINF
2014-03-14,41.0594,41.4255,41.0333,41.1639,559466,CINF
2014-03-17,41.4362,41.5592,41.076,41.2956,856189,CINF
2014-03-18,41.322,41.7436,41.2613,41.6558,345810,CINF
2014-03-19,41.6645,41.726,41.2429,41.3483,384707,CINF
2014-03-20,41.2253,41.835,40.9881,41.7963,419605,CINF
2014-03-21,42.1565,42.2531,41.6821,42.095,1594532,CINF
2014-03-24,42.1565,42.3058,41.972,42.1477,536807,CINF
2014-03-25,42.3322,42.4376,41.9377,42.1213,318072,CINF
2014-03-26,42.2531,42.4727,42.1477,42.174,454818,CINF
2014-03-27,42.0247,42.1301,41.7708,42.0335,662567,CINF
2014-03-28,42.0774,42.4376,42.0477,42.3849,757110,CINF
2014-03-31,41.972,42.7802,41.972,42.745,1076583,CINF
2014-04-01,41.8666,42.3234,41.5504,42.0159,1245550,CINF
2014-04-02,41.8842,42.3541,41.8216,42.2882,680246,CINF
2014-04-03,42.2443,42.6045,42.0752,42.3849,507285,CINF
2014-04-04,42.5606,42.7714,42.2756,42.3322,920682,CINF
2014-04-07,42.3497,42.5957,41.6821,41.7085,796565,CINF
2014-04-08,41.5855,41.8139,41.2868,41.726,687345,CINF
2014-04-09,41.7875,42.1038,41.6118,42.0335,465498,CINF
2014-04-10,42.1213,42.5518,41.7436,41.7524,724707,CINF
2014-04-11,41.5416,41.7524,41.2868,41.3834,790484,CINF
2014-04-14,41.8842,42.0247,41.6031,41.9193,656592,CINF
2014-04-15,41.9017,42.4112,41.6558,42.3058,749722,CINF
2014-04-16,42.6396,42.9515,42.42,42.8768,644917,CINF
2014-04-17,42.8768,43.0788,42.6835,42.8417,2604551,CINF
2014-04-21,42.7714,42.9295,42.5957,42.7626,547170,CINF
2014-04-22,42.666,43.0086,42.3849,42.9646,654338,CINF
2014-04-23,43.0525,43.3863,43.0174,43.3599,575886,CINF
2014-04-24,43.4829,43.685,43.2897,43.6674,701319,CINF
2014-04-25,43.2721,43.2721,41.9457,42.1653,1128570,CINF
2014-04-28,42.2619,42.666,41.9632,42.3937,712820,CINF
2014-04-29,42.4376,42.745,42.3585,42.4639,498598,CINF
2014-04-30,42.3849,42.8329,42.174,42.7977,778514,CINF
2014-05-01,42.868,43.0569,42.6396,43.0349,526531,CINF
2014-05-02,43.0613,43.4566,42.9032,43.1228,625423,CINF
2014-05-05,42.8329,43.1843,42.7099,43.0613,456060,CINF
2014-05-06,42.8592,42.9821,42.5781,42.7538,624008,CINF
2014-05-07,42.789,43.3424,42.5351,43.3248,520682,CINF
2014-05-08,43.193,43.5532,43.0525,43.2282,479201,CINF
2014-05-09,43.2809,43.2809,42.868,43.1579,390065,CINF
2014-05-12,43.2282,43.4478,43.1755,43.2721,456633,CINF
2014-05-13,43.3512,43.4961,43.1667,43.2809,518675,CINF
2014-05-14,43.2897,43.3512,42.8241,42.9646,360023,CINF
2014-05-15,42.8417,42.8417,42.2355,42.5254,589201,CINF
2014-05-16,42.5693,42.6014,42.1859,42.5079,499465,CINF
