date,open,high,low,close,volume,Name
2013-05-21,23.5843,23.7102,23.4764,23.5123,4090633,CSX
2013-05-22,23.5303,23.6653,23.0896,23.1705,5787876,CSX
2013-05-23,22.8107,22.8602,22.6039,22.8018,7205095,CSX
2013-05-24,22.6848,22.9816,22.5859,22.9367,4221804,CSX
2013-05-28,23.2245,23.3774,22.6668,22.7568,10422292,CSX
2013-05-29,22.6663,23.1097,22.4853,22.793,8679811,CSX
2013-05-30,22.8925,23.2183,22.8473,23.0373,4258899,CSX
2013-05-31,22.9106,23.363,22.802,22.8111,6715802,CSX
2013-06-03,22.8925,22.992,22.4944,22.7839,5727401,CSX
2013-06-04,22.7658,23.0147,22.3767,22.3858,9815335,CSX
2013-06-05,22.2863,22.3134,21.8972,21.9153,8778186,CSX
2013-06-06,21.9243,22.3948,21.8248,22.3767,9287159,CSX
2013-06-07,22.5849,22.9287,22.4763,22.6392,7538036,CSX
2013-06-10,22.7658,22.9016,22.6482,22.6934,6823939,CSX
2013-06-11,22.4944,22.802,22.3726,22.4129,6526888,CSX
2013-06-12,22.6572,22.7206,22.4129,22.4853,7237632,CSX
2013-06-13,22.4401,22.7206,22.4039,22.6753,6835187,CSX
2013-06-14,22.7296,23.0192,22.5487,22.5668,7345453,CSX
2013-06-17,22.6844,22.7206,22.2772,22.4763,8151224,CSX
2013-06-18,22.5034,22.8835,22.431,22.8835,4558806,CSX
2013-06-19,22.8654,22.9287,22.2546,22.2591,7453221,CSX
2013-06-20,21.9696,21.9696,21.5352,21.68,12477917,CSX
2013-06-21,21.8248,21.8248,21.119,21.2366,15674683,CSX
2013-06-24,21.0195,21.0285,20.2685,20.4947,13786100,CSX
2013-06-25,20.7209,21.0195,20.6214,20.938,9250219,CSX
2013-06-26,21.1643,21.3181,20.7933,21.0195,9296626,CSX
2013-06-27,21.1371,21.3271,21.0195,21.2276,6067854,CSX
2013-06-28,21.2005,21.309,20.9652,20.9833,8782603,CSX
2013-07-01,21.11,21.2638,20.8928,21.0104,6105237,CSX
2013-07-02,20.9471,21.1643,20.7661,20.9109,8765457,CSX
2013-07-03,20.8295,20.9019,20.7118,20.8385,2801441,CSX
2013-07-05,20.9833,21.1281,20.8295,21.0466,5363363,CSX
2013-07-08,21.1552,21.1733,20.8928,21.0557,4924428,CSX
2013-07-09,21.2638,21.8519,21.2276,21.7705,10041900,CSX
2013-07-10,21.7615,21.8067,21.49,21.6348,6576590,CSX
2013-07-11,22.1143,22.1732,21.8157,22.0691,5651728,CSX
2013-07-12,21.9967,22.431,21.965,22.042,5778074,CSX
2013-07-15,22.1053,22.3044,21.9605,22.0239,8737603,CSX
2013-07-16,22.0962,22.3722,21.9967,22.2953,7160483,CSX
2013-07-17,22.7477,22.8111,22.2139,22.7115,11235572,CSX
2013-07-18,22.7296,23.3359,22.6663,23.1187,10105749,CSX
2013-07-19,23.1278,23.2544,22.8835,22.9739,6975589,CSX
2013-07-22,22.983,23.1911,22.8654,22.9106,4460880,CSX
2013-07-23,23.0011,23.0101,22.8382,22.8654,4918678,CSX
2013-07-24,22.8925,22.9468,22.3948,22.5668,6157331,CSX
2013-07-25,22.5396,22.6301,22.3496,22.5849,4541272,CSX
2013-07-26,22.4582,22.4944,22.1008,22.3315,7119959,CSX
2013-07-29,22.3044,22.4672,22.2682,22.3044,4986835,CSX
2013-07-30,22.4672,22.4853,22.2229,22.3587,4229450,CSX
2013-07-31,22.3406,22.6482,22.3406,22.4491,6766863,CSX
2013-08-01,22.6663,23.0961,22.5894,23.0192,7094342,CSX
2013-08-02,24.1412,24.1412,23.173,23.5711,23884513,CSX
2013-08-05,23.7612,23.7612,23.2544,23.3992,10513018,CSX
2013-08-06,23.3268,23.3902,22.9197,23.173,8726152,CSX
2013-08-07,23.0644,23.0735,22.8654,22.992,7800215,CSX
2013-08-08,23.1368,23.5078,23.0916,23.363,6918877,CSX
2013-08-09,23.3721,23.3902,23.0463,23.2544,6271694,CSX
2013-08-12,23.0961,23.2273,22.9482,22.983,6570235,CSX
2013-08-13,22.983,23.0735,22.7477,22.9106,5833061,CSX
2013-08-14,22.802,22.9694,22.7658,22.8925,5591962,CSX
2013-08-15,22.6753,22.888,22.431,22.7658,5436149,CSX
2013-08-16,22.7749,22.8201,22.5125,22.7658,4494549,CSX
2013-08-19,22.6934,22.7568,22.4944,22.5215,3828164,CSX
2013-08-20,22.5849,22.6482,22.3858,22.4582,5685924,CSX
2013-08-21,22.431,22.4672,22.2229,22.2863,4890489,CSX
2013-08-22,22.3315,22.8563,22.2591,22.7839,3834367,CSX
2013-08-23,22.8654,22.983,22.6889,22.9468,4489090,CSX
2013-08-26,23.1046,23.3231,23.0773,23.1683,5789295,CSX
2013-08-27,22.8998,22.9726,22.5857,22.5857,6062148,CSX
2013-08-28,22.4582,22.5857,22.2853,22.5129,4482230,CSX
2013-08-29,22.4491,22.6949,22.349,22.6039,3495398,CSX
2013-08-30,22.6312,22.6767,22.2671,22.4036,4309647,CSX
2013-09-03,22.6858,22.786,22.4673,22.6767,6513513,CSX
2013-09-04,22.6767,23.2502,22.6676,23.0227,6542042,CSX
2013-09-05,23.0044,23.2138,23.0044,23.1501,2988727,CSX
2013-09-06,23.2138,23.3777,23.0955,23.1683,4377411,CSX
2013-09-09,23.232,23.4505,23.1046,23.3595,4285043,CSX
2013-09-10,23.5324,23.7236,23.4596,23.7236,5684754,CSX
2013-09-11,23.7418,23.8238,23.6417,23.8238,3823997,CSX
2013-09-12,23.7782,23.7782,23.3231,23.4778,6801965,CSX
2013-09-13,23.5233,23.7236,23.4323,23.7236,4612865,CSX
2013-09-16,24.0149,24.1333,23.7919,23.8602,5134092,CSX
2013-09-17,23.7054,23.8784,23.2684,23.8602,8137381,CSX
2013-09-18,23.9239,24.3518,23.7691,24.2971,8047600,CSX
2013-09-19,24.3609,24.4883,24.1697,24.3518,5904629,CSX
2013-09-20,24.3973,24.461,23.9694,24.0513,6548109,CSX
2013-09-23,24.024,24.0331,23.7509,23.8511,5712124,CSX
2013-09-24,23.8329,24.0149,23.5188,23.7418,7315874,CSX
2013-09-25,23.7691,23.8784,23.5689,23.6144,5161078,CSX
2013-09-26,23.6781,23.7691,23.5415,23.6508,4022787,CSX
2013-09-27,23.5324,23.7191,23.3504,23.5324,5758314,CSX
2013-09-30,23.2684,23.5871,23.1774,23.4323,5219549,CSX
2013-10-01,23.4414,23.8966,23.4323,23.8056,4839742,CSX
2013-10-02,23.6417,23.7509,23.3959,23.7327,5577908,CSX
2013-10-03,23.6872,23.7054,23.1865,23.3777,4936089,CSX
2013-10-04,22.9953,23.3413,22.7951,23.2775,6913505,CSX
2013-10-07,23.1228,23.3049,23.0044,23.0864,5537777,CSX
2013-10-08,23.1137,23.2958,22.8315,22.9862,8397741,CSX
2013-10-09,23.05,23.2958,22.9475,23.1774,6182983,CSX
2013-10-10,23.4323,23.7418,23.405,23.7327,5338570,CSX
2013-10-11,23.7236,23.7418,23.4323,23.5142,8674699,CSX
2013-10-14,23.4505,23.7509,23.4232,23.6872,7245119,CSX
2013-10-15,23.669,23.8329,23.6235,23.76,7196692,CSX
2013-10-16,23.8602,23.8602,23.1046,23.5689,10771115,CSX
2013-10-17,23.4141,23.4141,23.0135,23.0955,11195926,CSX
2013-10-18,23.1956,23.4414,23.1228,23.3959,9432919,CSX
2013-10-21,23.3413,23.6963,23.2867,23.6963,5582771,CSX
2013-10-22,23.7327,23.9324,23.6781,23.7509,4207155,CSX
2013-10-23,23.8056,24.0331,23.7145,23.8238,8278649,CSX
2013-10-24,23.8784,24.0878,23.71,24.0787,6261151,CSX
2013-10-25,24.0604,24.2243,23.9603,24.2243,4378031,CSX
2013-10-28,24.2425,24.4064,24.1333,24.2971,4851155,CSX
2013-10-29,24.3427,24.4428,24.2016,24.2698,4561378,CSX
2013-10-30,24.2425,24.3427,23.7919,23.842,6982377,CSX
2013-10-31,23.8966,23.9603,23.6417,23.7236,5827547,CSX
2013-11-01,23.7509,23.9967,23.7236,23.9239,4104398,CSX
2013-11-04,24.1151,24.2516,23.9876,24.106,5185320,CSX
2013-11-05,24.0695,24.1424,23.9421,24.0878,4329985,CSX
2013-11-06,24.0969,24.1788,23.8511,23.8966,6704045,CSX
2013-11-07,23.9694,24.2516,23.8511,23.8784,5239392,CSX
2013-11-08,23.9057,24.2425,23.8693,24.2243,6094711,CSX
2013-11-11,24.2152,24.5338,24.1242,24.5247,5805876,CSX
2013-11-12,24.4519,24.4983,24.2471,24.3791,4712619,CSX
2013-11-13,24.2789,24.4792,24.197,24.4792,4599008,CSX
2013-11-14,24.5702,24.7068,24.5202,24.5793,7416300,CSX
2013-11-15,24.6158,24.6522,24.4246,24.5793,7559715,CSX
2013-11-18,24.6431,25.0163,24.6067,24.7887,6664572,CSX
2013-11-19,24.7523,24.8069,24.3518,24.4883,6256535,CSX
2013-11-20,24.5338,24.5793,24.3518,24.4974,4638041,CSX
2013-11-21,24.5247,24.6704,24.37,24.6249,4638358,CSX
2013-11-22,24.634,24.898,24.5884,24.898,3930803,CSX
2013-11-25,24.8889,25.0618,24.8798,24.9435,3127561,CSX
2013-11-26,24.9709,25.0167,24.7329,24.8153,4646249,CSX
2013-11-27,24.8977,25.0442,24.797,24.9892,3021920,CSX
2013-11-29,24.9984,25.1265,24.8977,24.9618,2250868,CSX
2013-12-02,24.9618,25.2455,24.9526,25.0167,3905277,CSX
2013-12-03,25.0533,25.3279,24.9526,25.0899,6621155,CSX
2013-12-04,24.9709,25.1998,24.7329,24.8977,4619880,CSX
2013-12-05,24.9343,25.3371,24.8977,25.2455,5863471,CSX
2013-12-06,25.4195,25.5385,25.3279,25.4011,5065058,CSX
2013-12-09,25.4927,25.749,25.4927,25.7032,4215217,CSX
2013-12-10,25.6575,25.8588,25.6117,25.6208,4781413,CSX
2013-12-11,25.6025,25.6117,25.0075,25.035,6214067,CSX
2013-12-12,24.9435,25.1174,24.9389,24.9709,4254291,CSX
