date,open,high,low,close,volume,Name
2013-05-21,25.2789,25.3462,24.9221,25.0635,5311552,CTL
2013-05-22,25.05,25.3597,24.7975,24.9221,5604468,CTL
2013-05-23,24.774,25.2991,24.6797,25.1981,13461077,CTL
2013-05-24,25.0769,25.2116,24.9827,25.0904,11070804,CTL
2013-05-28,25.2789,25.5414,24.875,24.9557,13091469,CTL
2013-05-29,24.9154,24.9423,23.9767,24.3499,8723278,CTL
2013-05-30,24.4182,24.5002,24.0423,24.0765,6585577,CTL
2013-05-31,24.0013,24.1927,23.3247,23.3384,12838955,CTL
2013-06-03,23.3179,23.6186,23.3179,23.5571,6059090,CTL
2013-06-04,23.6049,23.8578,23.5844,23.7553,6115357,CTL
2013-06-05,23.6118,24.0081,23.5503,23.8715,7853308,CTL
2013-06-06,23.8441,24.3157,23.7074,24.261,5079712,CTL
2013-06-07,24.3498,24.4319,24.0457,24.2132,5187098,CTL
2013-06-10,24.2815,24.3909,24.179,24.343,3194525,CTL
2013-06-11,24.1585,24.589,24.0833,24.2542,9924177,CTL
2013-06-12,24.3909,24.5002,24.1653,24.1858,4738218,CTL
2013-06-13,24.1722,24.6232,24.1243,24.5549,3302196,CTL
2013-06-14,24.5822,24.8761,24.4934,24.63,4272929,CTL
2013-06-17,24.8009,25.0059,24.384,24.5959,3642002,CTL
2013-06-18,24.5754,24.8624,24.5685,24.7667,2884387,CTL
2013-06-19,24.7394,24.8083,24.1448,24.1448,4798351,CTL
2013-06-20,23.9398,23.9603,23.2701,23.3247,6232374,CTL
2013-06-21,23.5229,23.7895,23.3316,23.3589,8513623,CTL
2013-06-24,23.2222,23.4888,23.1197,23.2291,5296647,CTL
2013-06-25,23.3794,24.0081,23.3657,23.892,5657303,CTL
2013-06-26,24.0081,24.056,23.663,23.8168,3820848,CTL
2013-06-27,23.9193,24.4182,23.9071,24.1038,3755633,CTL
2013-06-28,24.097,24.4558,24.0628,24.1585,4649088,CTL
2013-07-01,24.138,24.343,23.9603,24.0218,2583345,CTL
2013-07-02,23.9603,24.4182,23.9261,24.0833,4076082,CTL
2013-07-03,23.9398,24.2473,23.9193,24.1038,1778305,CTL
2013-07-05,24.1858,24.2952,23.851,24.22,1952476,CTL
2013-07-08,24.3225,24.3498,24.0081,24.1585,2876758,CTL
2013-07-09,24.2815,24.2815,24.097,24.1858,2869190,CTL
2013-07-10,24.2268,24.2815,24.0355,24.2337,3013472,CTL
2013-07-11,24.4592,24.6642,24.384,24.6095,2818980,CTL
2013-07-12,24.5822,24.8214,24.5139,24.7667,3255564,CTL
2013-07-15,24.7531,24.8316,24.3943,24.7667,3642826,CTL
2013-07-16,24.7121,24.8146,24.5549,24.7872,3790946,CTL
2013-07-17,24.8556,24.9369,24.671,24.6779,3505092,CTL
2013-07-18,24.6779,24.6915,24.261,24.4729,4903520,CTL
2013-07-19,24.4729,24.6608,24.4182,24.589,3644491,CTL
2013-07-22,24.6164,24.6642,24.2473,24.548,3532214,CTL
2013-07-23,24.5412,24.6437,24.3362,24.5617,13298269,CTL
2013-07-24,24.5822,24.5959,24.3259,24.5139,2944325,CTL
2013-07-25,24.4045,24.6779,24.3362,24.4865,3214116,CTL
2013-07-26,24.4524,24.671,24.3498,24.6232,2757887,CTL
2013-07-29,24.6164,24.8009,24.5549,24.7052,2519767,CTL
2013-07-30,24.5822,24.6369,24.3498,24.4114,4545076,CTL
2013-07-31,24.425,24.7257,24.4045,24.5002,4625270,CTL
2013-08-01,24.6437,24.8692,24.5355,24.8214,3251416,CTL
2013-08-02,24.6847,24.872,24.6027,24.6779,3137565,CTL
2013-08-05,24.5822,24.7599,24.4729,24.6642,3583586,CTL
2013-08-06,24.6779,24.7804,24.5685,24.7257,3197999,CTL
2013-08-07,24.6642,24.9102,24.5344,24.8692,4621453,CTL
2013-08-08,24.1448,24.1448,23.4067,23.4819,16527725,CTL
2013-08-09,23.4546,23.581,23.0035,23.1607,8025526,CTL
2013-08-12,23.1129,23.4443,23.0992,23.2906,4550973,CTL
2013-08-13,23.3179,23.3862,23.0992,23.1539,4346033,CTL
2013-08-14,23.1129,23.2086,23.0138,23.0514,4280500,CTL
