date,open,high,low,close,volume,Name
2013-05-21,44.2212,45.035,44.1938,44.6784,4990979,DFS
2013-05-22,44.779,45.4557,43.6725,43.8097,6588573,DFS
2013-05-23,43.1696,44.1206,42.9044,43.5628,4692671,DFS
2013-05-24,43.2336,43.7823,43.0599,43.5994,2421428,DFS
2013-05-28,44.1023,44.4681,43.4348,43.5902,4103264,DFS
2013-05-29,43.2885,43.6817,43.0233,43.4257,4130669,DFS
2013-05-30,43.4439,44.3766,43.4348,44.02,2552268,DFS
2013-05-31,43.8737,44.1298,43.3525,43.3525,4022439,DFS
2013-06-03,43.6634,44.212,43.2885,44.1846,4072859,DFS
2013-06-04,44.1846,44.5961,43.7091,44.1755,4153446,DFS
2013-06-05,44.0566,44.3949,43.3616,43.4897,4160715,DFS
2013-06-06,43.4348,44.5321,43.2976,44.5047,4216546,DFS
2013-06-07,44.8979,45.1539,44.3766,44.4955,6222729,DFS
2013-06-10,44.6875,45.1539,44.3172,44.9344,4602700,DFS
2013-06-11,44.6235,44.8064,44.0475,44.1298,3205381,DFS
2013-06-12,44.4498,44.6784,43.3114,43.4074,2888212,DFS
2013-06-13,43.6085,44.0749,43.2062,43.9834,2267613,DFS
2013-06-14,43.9103,44.0109,42.9502,43.2885,3007846,DFS
2013-06-17,43.5811,44.0612,43.2062,43.3434,3620833,DFS
2013-06-18,43.2885,43.9469,43.2885,43.7914,2577718,DFS
2013-06-19,43.6725,44.2506,43.6268,43.6451,3950680,DFS
2013-06-20,43.3708,43.5902,42.685,42.7581,4057805,DFS
2013-06-21,43.069,43.1422,42.0184,42.4198,5141555,DFS
2013-06-24,41.8163,41.926,41.2219,41.4505,3702801,DFS
2013-06-25,41.862,42.4564,41.8099,42.2643,2938423,DFS
2013-06-26,42.621,43.0233,42.3558,42.877,2791290,DFS
2013-06-27,43.197,43.5079,42.8861,43.3982,3228854,DFS
2013-06-28,43.2976,43.892,42.9136,43.5628,3636406,DFS
2013-07-01,43.9011,44.715,43.8463,44.4224,3793069,DFS
2013-07-02,44.3675,44.8521,43.6177,43.9194,3491122,DFS
2013-07-03,43.7183,44.4772,43.5994,44.2029,1636819,DFS
2013-07-05,44.5504,45.7483,44.4279,45.7117,3294292,DFS
2013-07-08,46.0775,46.3975,45.7666,45.8489,3661420,DFS
2013-07-09,46.2969,46.3884,45.8397,45.9769,2789068,DFS
2013-07-10,45.9129,45.9769,45.2545,45.4831,3922125,DFS
2013-07-11,46.0866,46.178,45.8169,46.0409,2616515,DFS
2013-07-12,46.0957,46.5621,45.9312,46.5347,2497431,DFS
2013-07-15,46.8639,46.8639,45.8031,45.9769,2721944,DFS
2013-07-16,45.6203,45.7574,44.9893,45.3916,3760740,DFS
2013-07-17,45.5745,46.1049,44.9893,45.9037,4900459,DFS
2013-07-18,46.05,46.5255,45.8489,46.2512,3094082,DFS
2013-07-19,46.4432,46.6535,46.0363,46.2878,2679360,DFS
2013-07-22,46.3152,46.6526,46.2055,46.5255,2135241,DFS
2013-07-23,46.5987,46.745,45.858,46.3701,3493945,DFS
2013-07-24,46.3335,47.2753,45.5837,46.114,4335694,DFS
2013-07-25,45.9677,46.1223,45.7848,46.05,2404384,DFS
2013-07-26,45.8946,45.8946,44.8156,45.2179,5114923,DFS
2013-07-29,45.0533,45.5288,44.7424,45.3642,3001828,DFS
2013-07-30,45.6477,46.0317,45.5197,45.8489,2700347,DFS
2013-07-31,45.8214,46.1688,45.0716,45.2728,4004904,DFS
2013-08-01,45.6843,46.7633,45.6843,46.6627,3104154,DFS
2013-08-02,46.6718,46.7816,46.3244,46.7541,2397580,DFS
2013-08-05,46.681,46.7724,46.4615,46.5712,1379922,DFS
2013-08-06,46.6814,46.8742,46.3693,46.6447,2075266,DFS
2013-08-07,46.4519,46.5529,46.0663,46.2408,2401289,DFS
2013-08-08,46.5804,46.8191,46.2591,46.709,1987766,DFS
2013-08-09,46.5896,46.9844,46.048,46.0663,2260265,DFS
2013-08-12,45.9286,46.4794,45.7817,46.1673,1523794,DFS
2013-08-13,46.2408,46.709,45.9378,46.4978,1432663,DFS
2013-08-14,46.406,46.6722,45.8919,46.204,2279900,DFS
2013-08-15,45.8644,46.0113,45.3227,45.5155,3031072,DFS
2013-08-16,45.3962,45.8093,45.3962,45.6991,2773515,DFS
2013-08-19,45.6991,45.7909,44.6893,44.6985,2475986,DFS
