date,open,high,low,close,volume,Name
2017-09-01,65.9603,66.5936,64.9708,66.4749,7341133,DWDP
2017-09-05,66.3165,66.465,64.2979,64.2979,10832692,DWDP
2017-09-06,64.5156,64.6443,63.3381,64.1891,10345913,DWDP
2017-09-07,63.9219,64.2683,63.5459,64.0011,6382521,DWDP
2017-09-08,64.2188,64.5156,63.9615,64.1693,8099999,DWDP
2017-09-11,64.5651,66.4551,64.5156,66.1483,11567033,DWDP
2017-09-12,67.4841,68.5231,67.089,67.8008,14631020,DWDP
2017-09-13,68.1768,68.8695,67.5732,68.7705,9223585,DWDP
2017-09-14,68.8695,69.5621,68.4934,69.285,12264841,DWDP
2017-09-15,69.5225,69.9579,68.7705,69.1267,32382148,DWDP
2017-09-18,69.2653,69.6314,68.8892,69.0377,7193708,DWDP
2017-09-19,69.285,69.3741,68.909,69.3147,6713280,DWDP
2017-09-20,69.5423,69.76,68.9289,69.671,6812432,DWDP
2017-09-21,69.671,69.76,69.3642,69.5819,4450285,DWDP
2017-09-22,69.4038,69.4928,68.9486,69.2257,4078750,DWDP
2017-09-25,69.3345,69.6413,68.4835,69.6017,6419196,DWDP
2017-09-26,69.5225,69.736,68.6023,68.6221,5244251,DWDP
2017-09-27,68.7903,68.7903,67.5534,68.0779,7044021,DWDP
2017-09-28,67.7216,68.345,67.0587,68.3351,7885679,DWDP
2017-09-29,68.2758,68.6814,67.8503,68.5033,5746573,DWDP
2017-10-02,68.6716,69.6808,68.4242,69.6808,6044629,DWDP
2017-10-03,69.671,69.8787,69.1664,69.6215,6796348,DWDP
2017-10-04,69.8392,70.1657,69.7006,69.7105,5999448,DWDP
2017-10-05,70.0767,70.2548,69.5027,70.2251,5481589,DWDP
2017-10-06,70.0569,70.4823,69.8787,70.4725,4247331,DWDP
2017-10-09,70.4527,71.1255,70.2548,70.9276,5278932,DWDP
2017-10-10,70.8089,70.9969,70.4131,70.8188,4829699,DWDP
2017-10-11,70.7495,70.8781,70.1756,70.8683,5091115,DWDP
2017-10-12,70.7495,70.8781,70.4626,70.6506,4464655,DWDP
2017-10-13,70.7792,70.9474,70.4032,70.6802,5136216,DWDP
2017-10-16,71.0464,71.0563,70.0668,70.1855,4336975,DWDP
2017-10-17,70.0569,70.1904,69.7897,70.136,5606700,DWDP
2017-10-18,70.1162,70.2251,69.8194,70.0371,4755382,DWDP
2017-10-19,69.9084,70.329,69.5522,70.1459,6006408,DWDP
2017-10-20,70.4527,70.6408,70.2548,70.4329,7374262,DWDP
2017-10-23,71.1948,71.4222,70.6506,70.799,11205340,DWDP
2017-10-24,71.0859,71.363,70.8584,71.1057,10364834,DWDP
2017-10-25,71.1057,71.3432,70.1855,70.3735,6559212,DWDP
2017-10-26,71.5708,73.0748,71.2739,72.2832,16846954,DWDP
2017-10-27,72.2338,72.3327,71.4719,71.7786,8587317,DWDP
2017-10-30,71.5609,71.8479,70.7692,70.9276,5860821,DWDP
2017-10-31,71.1552,71.7044,70.8485,71.551,6007601,DWDP
2017-11-01,72.3426,72.8077,71.5609,72.5504,7968525,DWDP
2017-11-02,71.2641,72.4317,70.8089,71.2838,10314302,DWDP
2017-11-03,71.3333,71.5114,70.1162,70.4131,8619088,DWDP
2017-11-06,70.6506,70.9771,69.3939,69.5027,9270953,DWDP
2017-11-07,70.1459,70.4032,69.5819,70.3933,6719034,DWDP
2017-11-08,70.5615,70.7495,69.9678,70.0668,6091437,DWDP
2017-11-09,69.76,69.7996,69.2752,69.4928,4529926,DWDP
2017-11-10,69.4928,69.7501,69.008,69.2356,7127142,DWDP
2017-11-13,70.6655,70.6854,69.6607,69.7702,6865130,DWDP
2017-11-14,69.4419,69.5712,67.9844,68.2182,8133045,DWDP
2017-11-15,67.87,68.7852,67.6461,68.6161,14901145,DWDP
2017-11-16,69.0041,70.4069,68.7156,70.3173,9595780,DWDP
2017-11-17,70.2875,70.8446,70.1383,70.377,8784131,DWDP
2017-11-20,70.2974,70.9043,70.1781,70.4865,5600160,DWDP
2017-11-21,71.0336,71.4067,70.7352,70.8944,8091913,DWDP
2017-11-22,70.9839,71.0137,70.2378,70.2378,6403981,DWDP
2017-11-24,70.2378,71.0237,70.1681,70.7949,2636225,DWDP
2017-11-27,70.6655,70.6854,69.6607,69.7702,6865430,DWDP
2017-11-28,69.9393,70.8347,69.7702,70.7252,8536608,DWDP
2017-11-29,70.8048,71.5609,70.5064,71.4117,6437722,DWDP
2017-11-30,71.4515,72.4563,71.073,71.5908,8947524,DWDP
2017-12-01,71.9489,72.2374,70.3074,70.6456,7635467,DWDP
2017-12-04,71.352,72.613,71.1331,71.7599,8568660,DWDP
2017-12-05,72.5657,72.8244,71.1331,71.1729,8653891,DWDP
2017-12-06,71.2923,71.4216,70.586,70.7153,5718907,DWDP
2017-12-07,70.6357,71.1331,70.4864,71.0038,6199520,DWDP
2017-12-08,70.8446,71.153,69.9592,70.3671,8554883,DWDP
2017-12-11,70.4168,71.0436,70.3173,70.4467,6637423,DWDP
2017-12-12,70.5462,70.7849,70.3024,70.4268,9231704,DWDP
2017-12-13,70.3173,70.6854,70.0587,70.198,9708476,DWDP
2017-12-14,70.2477,70.5661,69.7105,69.9592,7043250,DWDP
2017-12-15,69.6856,70.0786,69.5015,69.6408,16367655,DWDP
2017-12-18,70.0388,71.3222,69.8796,71.0237,7101853,DWDP
2017-12-19,71.0436,71.3769,70.8546,71.0535,5166907,DWDP
2017-12-20,71.3023,71.6903,70.8745,70.9043,5837730,DWDP
2017-12-21,71.3719,71.4316,70.6456,71.2724,7250309,DWDP
2017-12-22,71.6206,71.9788,71.3918,71.74,4378410,DWDP
2017-12-26,71.74,71.7997,70.9441,71.0734,3230974,DWDP
2017-12-27,71.2824,71.3819,70.9242,71.0734,4259551,DWDP
2017-12-28,71.0137,71.2625,70.5263,71.1431,4343255,DWDP
2017-12-29,71.4415,71.4813,70.8546,70.8546,4745557,DWDP
2018-01-02,71.2028,71.8196,71.0336,71.5311,7430608,DWDP
2018-01-03,71.6405,72.7647,71.3222,72.6752,7885764,DWDP
2018-01-04,72.7946,74.3515,72.7647,74.068,9716612,DWDP
