date,open,high,low,close,volume,Name
2013-05-21,58.5082,58.9954,58.4145,58.7237,644797,EFX
2013-05-22,58.6578,58.9398,57.6517,57.9244,672513,EFX
2013-05-23,57.3884,57.9385,57.0123,57.5388,579160,EFX
2013-05-24,57.2755,57.5765,56.9746,57.5576,412002,EFX
2013-05-28,57.9526,58.3851,57.662,57.9808,603489,EFX
2013-05-29,57.8209,58.103,57.1721,57.7927,983297,EFX
2013-05-30,57.8303,58.3569,57.6987,57.9808,439851,EFX
2013-05-31,57.8021,58.1783,57.2473,57.2661,478421,EFX
2013-06-03,57.3602,57.6705,56.89,57.6329,457102,EFX
2013-06-04,57.5106,57.567,57.0875,57.2849,673305,EFX
2013-06-05,57.5106,57.5294,56.166,56.2224,761490,EFX
2013-06-06,56.2224,56.4104,55.5171,56.2318,480313,EFX
2013-06-07,56.5327,57.1627,56.307,56.749,521638,EFX
2013-06-10,56.9182,57.2849,56.5139,56.749,622642,EFX
2013-06-11,56.3634,56.5985,55.771,56.401,488780,EFX
2013-06-12,56.7584,56.7678,56.1095,56.1095,346976,EFX
2013-06-13,56.1377,57.1815,55.8462,57.1157,604141,EFX
2013-06-14,57.0781,57.3132,56.8618,57.1721,536516,EFX
2013-06-17,57.6235,57.868,56.5985,56.7113,817570,EFX
2013-06-18,56.7113,57.7927,56.3916,57.6423,543377,EFX
2013-06-19,57.7081,57.8303,56.9276,56.937,344704,EFX
2013-06-20,56.3728,56.6267,55.7334,55.8556,686337,EFX
2013-06-21,56.3258,56.4856,54.8589,54.9623,862190,EFX
2013-06-24,54.511,54.8871,54.1066,54.558,467055,EFX
2013-06-25,54.9435,55.3385,54.7743,55.094,439750,EFX
2013-06-26,55.2632,55.5076,54.9435,55.1504,593885,EFX
2013-06-27,55.4889,55.771,55.4043,55.6676,478452,EFX
2013-06-28,55.4983,55.7616,55.3761,55.4137,773893,EFX
2013-07-01,55.4325,56.2788,55.4325,55.8651,421872,EFX
2013-07-02,55.8274,56.0249,55.4607,55.7522,444515,EFX
2013-07-03,55.4889,55.8274,55.235,55.5077,200876,EFX
2013-07-05,55.8368,56.0343,55.5453,55.9873,380948,EFX
2013-07-08,56.3446,56.354,55.8086,56.1001,928516,EFX
2013-07-09,56.401,56.5562,56.0907,56.26,729116,EFX
2013-07-10,56.2412,56.8524,56.2412,56.796,505451,EFX
2013-07-11,57.2473,57.5482,57.1909,57.4072,481052,EFX
2013-07-12,57.3508,57.5482,57.0922,57.4448,509188,EFX
2013-07-15,57.5012,57.9197,57.4166,57.7363,503873,EFX
2013-07-16,57.7081,58.009,57.2379,57.4072,419249,EFX
2013-07-17,57.5576,57.8115,57.2755,57.4072,223734,EFX
2013-07-18,57.4448,58.0372,57.2944,57.9244,282925,EFX
2013-07-19,57.6799,57.9338,57.3414,57.7739,359632,EFX
2013-07-22,57.7833,58.0278,57.6517,58.009,429235,EFX
2013-07-23,57.962,58.0466,57.5765,57.8209,502790,EFX
2013-07-24,57.8962,58.1406,57.0875,57.1063,569579,EFX
2013-07-25,56.7396,58.3381,56.4292,58.1783,950248,EFX
2013-07-26,57.9902,58.3804,57.7833,58.103,727184,EFX
2013-07-29,58.1406,59.269,57.9526,59.175,755555,EFX
2013-07-30,59.4477,60.0589,59.3349,59.711,861534,EFX
2013-07-31,59.8991,60.0777,59.1656,59.4571,1088296,EFX
2013-08-01,59.8803,61.1027,59.7298,60.6513,822332,EFX
2013-08-02,60.5855,61.3284,60.3974,61.3002,803272,EFX
2013-08-05,60.9899,61.4976,60.971,61.4694,674501,EFX
2013-08-06,61.2814,61.507,60.8864,61.2719,1035865,EFX
2013-08-07,61.1215,61.4694,60.736,60.8864,1131791,EFX
2013-08-08,61.2437,61.7327,60.8582,61.5258,682104,EFX
2013-08-09,61.5352,61.7045,61.0933,61.2719,406477,EFX
2013-08-12,61.0933,61.6951,61.0933,61.1591,513829,EFX
2013-08-13,61.2625,61.4694,60.8441,61.2061,326348,EFX
2013-08-14,61.1121,61.2061,60.4351,60.4445,429517,EFX
2013-08-15,60.0871,60.1247,58.9211,58.9493,615656,EFX
2013-08-16,58.7801,59.081,58.5497,58.6014,736099,EFX
2013-08-19,58.3456,59.1666,58.3267,58.6098,525616,EFX
2013-08-20,58.6287,59.3459,58.6193,59.0911,265695,EFX
2013-08-21,59.0817,59.4025,58.4966,58.5343,334306,EFX
2013-08-22,58.5343,59.1949,58.4305,59.025,305253,EFX
2013-08-23,59.1666,59.2232,58.6381,58.9118,411684,EFX
2013-08-26,58.8646,59.2893,58.6665,58.959,377988,EFX
2013-08-27,58.4872,58.4872,57.7134,57.7322,460124,EFX
2013-08-28,57.7039,57.7181,56.9207,57.0245,463366,EFX
2013-08-29,56.8075,57.317,56.7509,56.9773,584678,EFX
2013-08-30,56.7792,56.8358,55.5996,55.76,743862,EFX
2013-09-03,56.2696,56.7509,55.4392,55.911,707591,EFX
2013-09-04,55.8921,56.2413,55.6279,56.0903,578059,EFX
2013-09-05,56.0148,56.3734,55.8025,56.2224,512786,EFX
2013-09-06,56.2696,56.5055,55.5807,55.9959,476175,EFX
2013-09-09,56.1281,56.6187,56.0431,56.3545,501672,EFX
2013-09-10,56.6565,56.7225,56.1469,56.2696,796553,EFX
2013-09-11,56.1752,56.4206,56.1186,56.2318,921800,EFX
2013-09-12,56.2602,56.3828,55.9771,56.0526,1074034,EFX
2013-09-13,55.9865,56.8452,55.9582,56.5716,767023,EFX
2013-09-16,57.2321,57.5152,56.9018,57.2793,467921,EFX
2013-09-17,57.3265,57.6662,57.2038,57.5907,443697,EFX
2013-09-18,57.6568,58.3834,57.5058,58.1003,706222,EFX
2013-09-19,58.1758,58.8929,58.1758,58.8458,543650,EFX
2013-09-20,58.9307,59.3931,58.0248,58.0625,1029420,EFX
2013-09-23,58.0437,58.1946,57.3737,57.619,299723,EFX
2013-09-24,57.0339,57.3076,56.8263,56.9018,723318,EFX
2013-09-25,56.8452,56.9962,56.2318,56.3168,578093,EFX
2013-09-26,56.4866,56.732,56.1233,56.3734,501658,EFX
2013-09-27,56.279,56.4866,55.7412,56.4395,545519,EFX
2013-09-30,56.1092,56.5904,55.845,56.4772,497286,EFX
2013-10-01,56.3168,56.8452,56.2413,56.4961,479405,EFX
2013-10-02,56.213,56.3828,55.5619,56.0243,688245,EFX
2013-10-03,55.8166,55.9299,55.543,55.6562,1494119,EFX
2013-10-04,55.5902,56.3262,55.5902,56.2318,783878,EFX
2013-10-07,55.9016,56.3451,55.8921,56.1469,798835,EFX
2013-10-08,56.1375,56.2224,55.6751,55.8355,1085062,EFX
2013-10-09,55.8166,56.213,55.8166,56.0809,703177,EFX
2013-10-10,56.4395,57.402,56.2319,57.3925,550530,EFX
2013-10-11,57.3642,57.619,57.1,57.468,421265,EFX
2013-10-14,57.0906,57.8077,56.7792,57.7039,741209,EFX
2013-10-15,57.468,57.5058,56.7414,56.7509,620727,EFX
2013-10-16,56.9962,57.1849,56.6801,57.1755,860077,EFX
2013-10-17,57.0339,58.2229,56.9962,58.1474,609898,EFX
2013-10-18,58.4589,58.7325,58.1946,58.6665,699409,EFX
2013-10-21,58.808,58.9118,58.1663,58.3551,1114796,EFX
2013-10-22,58.3551,58.5721,58.0814,58.1852,1310717,EFX
2013-10-23,58.1286,58.3079,57.7322,57.8455,1328509,EFX
2013-10-24,58.3456,60.5821,58.072,60.1385,1169388,EFX
2013-10-25,60.8274,61.9692,60.5537,61.8277,1095564,EFX
2013-10-28,61.8654,62.4882,61.8277,62.1768,879986,EFX
2013-10-29,62.2617,62.4788,61.3275,61.4219,667382,EFX
2013-10-30,61.3936,61.6106,60.9123,61.0728,659287,EFX
2013-10-31,60.969,61.4313,60.6292,61.0256,550882,EFX
2013-11-01,61.0539,61.5729,60.9973,61.5068,443547,EFX
2013-11-04,61.554,61.5729,61.0209,61.4785,426506,EFX
2013-11-05,61.3558,61.4313,60.6953,60.7047,393256,EFX
2013-11-06,61.0728,61.403,60.4783,60.6953,637358,EFX
2013-11-07,60.9312,61.2426,59.9309,59.9876,341128,EFX
2013-11-08,59.9781,61.0916,59.8838,61.0539,395557,EFX
2013-11-11,60.9218,61.2804,60.8227,61.0067,393093,EFX
2013-11-12,60.9595,61.4785,60.7519,61.403,456047,EFX
2013-11-13,61.1577,62.0919,61.0161,62.0825,591467,EFX
2013-11-14,62.1957,62.5637,61.9173,62.4788,439344,EFX
2013-11-15,62.4505,62.9412,61.9032,62.677,628197,EFX
2013-11-18,62.7241,62.9129,62.4514,62.8091,357073,EFX
2013-11-19,62.743,63.2148,62.5731,63.0355,609483,EFX
2013-11-20,63.4332,63.774,63.0166,63.3763,721368,EFX
2013-11-21,63.4144,64.1078,63.2339,64.0698,502372,EFX
2013-11-22,63.9653,64.4782,63.8988,64.4497,637135,EFX
2013-11-25,64.6112,64.8677,64.4023,64.5257,529006,EFX
2013-11-26,64.5162,64.6017,64.1458,64.1553,497744,EFX
2013-11-27,64.2218,64.4213,63.7278,64.0793,364982,EFX
2013-11-29,64.0413,64.3263,63.7658,63.9558,217692,EFX
2013-12-02,64.0888,64.4972,63.6803,63.9273,429037,EFX
2013-12-03,63.7563,64.2598,63.3811,63.6803,607111,EFX
2013-12-04,63.4239,63.9653,63.0059,63.6043,528340,EFX
2013-12-05,63.4904,63.7183,63.1484,63.3194,317512,EFX
2013-12-06,63.9083,64.9152,63.7563,64.8867,498070,EFX
2013-12-09,64.9532,65.1052,64.3643,64.6777,372939,EFX
2013-12-10,64.5257,64.7727,63.9463,64.0413,360084,EFX
2013-12-11,63.9938,64.0888,63.2339,63.3289,392230,EFX
2013-12-12,63.1864,63.6233,62.9869,63.4524,388753,EFX
2013-12-13,63.5569,63.8988,63.2263,63.4144,347973,EFX
2013-12-16,63.6993,64.7537,63.3479,64.6207,862680,EFX
2013-12-17,64.5067,64.6777,63.3574,63.7373,712035,EFX
2013-12-18,63.6613,63.9178,62.7115,63.8703,1324460,EFX
2013-12-19,63.8133,64.199,63.6613,63.7088,503582,EFX
2013-12-20,64.1648,64.6492,63.7753,64.2978,1073246,EFX
2013-12-23,64.7062,65.1432,64.6397,64.8962,463934,EFX
2013-12-24,64.8297,65.5801,64.806,65.5421,169362,EFX
2013-12-26,65.5516,65.7772,65.2761,65.7036,252868,EFX
