date,open,high,low,close,volume,Name
2013-05-21,55.3326,55.9258,55.1077,55.5048,2775346,EXPE
2013-05-22,55.5048,55.744,54.7776,55.1891,4652869,EXPE
2013-05-23,54.6628,56.0311,54.4524,55.6962,3630512,EXPE
2013-05-24,55.2082,56.5621,55.1852,56.4903,1719887,EXPE
2013-05-28,57.2383,57.6315,56.4424,56.5479,2488565,EXPE
2013-05-29,56.1643,56.7013,55.0711,55.0999,1931903,EXPE
2013-05-30,55.0711,56.0972,55.004,55.1287,2126504,EXPE
2013-05-31,54.9848,55.6753,54.8985,55.1478,1968673,EXPE
2013-06-03,55.1574,55.7616,54.6262,55.1478,2316595,EXPE
2013-06-04,54.7451,55.1037,53.4553,53.8245,2595058,EXPE
2013-06-05,53.7095,53.8725,52.529,52.7026,2432665,EXPE
2013-06-06,52.8081,53.4074,52.156,53.3163,2058985,EXPE
2013-06-07,53.5656,53.8917,53.0957,53.5464,1774550,EXPE
2013-06-10,53.5656,54.7163,53.5656,54.4095,1343479,EXPE
2013-06-11,53.7382,54.5054,53.4314,53.5464,1105101,EXPE
2013-06-12,53.9204,54.9177,53.9204,54.0547,2478991,EXPE
2013-06-13,53.9588,55.9054,53.8053,55.7616,2149978,EXPE
2013-06-14,55.6177,56.3465,55.1335,55.6273,2718203,EXPE
2013-06-17,55.9438,56.7588,55.6944,56.7013,1832200,EXPE
2013-06-18,56.8835,58.4466,56.826,58.1493,3047147,EXPE
2013-06-19,58.4945,58.5712,57.3534,58.0054,2607557,EXPE
2013-06-20,57.3246,58.0246,57.0465,57.2479,2097716,EXPE
2013-06-21,57.526,57.7657,56.1259,56.4136,3060331,EXPE
2013-06-24,56.0205,56.2026,53.7574,54.6492,3027537,EXPE
2013-06-25,55.2246,55.6657,54.3999,54.7739,1660726,EXPE
2013-06-26,55.3876,55.6273,55.0424,55.5314,1679014,EXPE
2013-06-27,55.8287,57.6219,55.8287,57.4589,2147540,EXPE
2013-06-28,56.9986,58.2212,56.6054,57.6794,4310025,EXPE
2013-07-01,57.8424,59.9712,57.6123,59.5589,2869931,EXPE
2013-07-02,59.5589,59.9617,58.5807,59.1562,1552015,EXPE
2013-07-03,58.6863,59.4918,58.6575,59.1466,912536,EXPE
2013-07-05,59.8945,60.3356,59.1753,60.2973,937555,EXPE
2013-07-08,60.4315,60.863,59.4534,59.837,1868391,EXPE
2013-07-09,60.4987,60.7192,60.0671,60.4315,1951416,EXPE
2013-07-10,60.1438,60.6233,59.7219,60.6233,1290667,EXPE
2013-07-11,61.1891,61.3617,59.9712,60.4891,2272734,EXPE
2013-07-12,60.6425,61.3137,60.3837,61.1315,1465276,EXPE
2013-07-15,61.1315,61.7453,60.6329,61.6973,1097423,EXPE
2013-07-16,61.8603,62.6562,61.3233,61.8507,2592508,EXPE
2013-07-17,61.5726,62.6275,61.5726,62.4261,1437919,EXPE
2013-07-18,62.1864,63.4234,62.1864,62.8288,1621278,EXPE
2013-07-19,62.8001,62.8001,61.4959,61.7836,2876096,EXPE
2013-07-22,62.2631,62.2631,61.0069,61.3233,1855341,EXPE
2013-07-23,61.6973,62.112,61.0213,61.1603,3565569,EXPE
2013-07-24,61.4959,61.985,60.8439,61.1603,2650785,EXPE
2013-07-25,61.822,63.2402,61.1028,62.3302,9911690,EXPE
2013-07-26,47.9464,48.8141,45.1558,45.2613,28243134,EXPE
2013-07-29,46.0093,46.1819,43.8709,44.1355,12649987,EXPE
2013-07-30,44.3503,45.7265,43.9188,45.5394,8096438,EXPE
2013-07-31,45.7887,46.2394,45.0887,45.1942,5086202,EXPE
2013-08-01,45.6449,45.8894,45.1846,45.2613,3752551,EXPE
2013-08-02,45.3093,46.2011,45.1271,46.1915,4193419,EXPE
2013-08-05,46.3641,47.8984,46.038,47.649,6839249,EXPE
2013-08-06,48.5792,50.0272,48.3299,48.8765,9019897,EXPE
