date,open,high,low,close,volume,Name
2013-05-21,41.8945,42.3847,41.8112,41.8945,1346921,FIS
2013-05-22,41.9407,42.32,41.6077,41.7927,2104612,FIS
2013-05-23,41.543,41.9592,41.4875,41.8482,1609447,FIS
2013-05-24,41.617,41.8575,41.2192,41.7742,1090626,FIS
2013-05-28,42.0425,42.505,41.9685,42.3662,1532793,FIS
2013-05-29,42.0517,42.1165,41.5707,41.691,1565183,FIS
2013-05-30,41.7465,42.431,41.7095,42.3477,1109626,FIS
2013-05-31,42.1627,42.246,41.5152,41.5337,3218708,FIS
2013-06-03,41.5245,41.839,41.0804,41.543,1776581,FIS
2013-06-04,41.5337,41.6077,40.7012,40.9972,2073002,FIS
2013-06-05,40.9139,41.1174,40.0907,40.1184,1791284,FIS
2013-06-06,40.0629,40.8307,39.8039,40.8214,1638723,FIS
2013-06-07,41.0342,41.3579,40.9232,41.1914,1432425,FIS
2013-06-10,41.4422,41.6188,41.2052,41.5631,1323847,FIS
2013-06-11,41.1447,41.7862,40.972,41.4422,1605870,FIS
2013-06-12,41.4329,41.5166,40.7264,40.7636,1448939,FIS
2013-06-13,40.7636,41.6188,40.5312,41.5631,961384,FIS
2013-06-14,41.1726,41.34,40.401,40.5684,1586632,FIS
2013-06-17,40.8844,41.34,40.6149,40.9216,1732796,FIS
2013-06-18,41.0053,41.2098,40.8566,41.2098,1199874,FIS
2013-06-19,41.2563,41.3864,40.6799,40.6892,919892,FIS
2013-06-20,40.3732,40.587,39.5551,39.6202,1497746,FIS
2013-06-21,39.8526,39.8805,39.1925,39.6388,1900480,FIS
2013-06-24,39.3878,39.8526,39.1275,39.5365,1949398,FIS
2013-06-25,39.8898,40.0385,39.4435,39.9827,1538416,FIS
2013-06-26,40.3546,40.3546,39.7596,39.9269,2115276,FIS
2013-06-27,40.0757,40.1129,39.8712,39.9827,2140207,FIS
2013-06-28,39.6759,40.2244,39.6759,39.8247,4008275,FIS
2013-07-01,40.1036,40.5777,40.0515,40.3546,1378855,FIS
2013-07-02,40.3917,40.4847,39.7224,39.7875,1873539,FIS
2013-07-03,39.6109,40.2616,39.6109,40.0199,1420988,FIS
2013-07-05,40.3639,40.5777,40.0943,40.5591,1156408,FIS
2013-07-08,40.903,41.5631,40.8566,41.4887,1547454,FIS
2013-07-09,41.656,41.7676,41.1633,41.3028,998830,FIS
2013-07-10,41.247,41.7583,41.247,41.7025,1220248,FIS
2013-07-11,42.1301,42.2324,41.8419,42.158,1097908,FIS
2013-07-12,42.1394,42.2324,41.6281,41.8884,944178,FIS
2013-07-15,41.8234,42.0929,41.6374,41.8791,591465,FIS
2013-07-16,41.8419,42.0093,41.4422,41.5538,754538,FIS
2013-07-17,41.6374,41.7769,41.3957,41.5817,553355,FIS
2013-07-18,41.6095,41.8977,41.4794,41.5631,625986,FIS
2013-07-19,41.7118,41.7118,41.2005,41.247,943139,FIS
2013-07-22,41.2284,41.3493,41.1178,41.1726,1227624,FIS
2013-07-23,41.5817,41.6095,41.1819,41.405,1359478,FIS
2013-07-24,41.6003,41.6746,41.1354,41.2005,873433,FIS
2013-07-25,41.2284,41.498,40.996,41.4143,911350,FIS
2013-07-26,41.0797,41.2284,40.7729,41.2284,800909,FIS
2013-07-29,41.089,41.2842,41.0239,41.1633,909777,FIS
2013-07-30,41.3678,41.4143,39.8061,40.0292,2601248,FIS
2013-07-31,39.9269,40.2988,39.7689,40.1222,2495628,FIS
2013-08-01,40.2988,41.7397,40.2151,41.6932,2096678,FIS
2013-08-02,41.6188,42.2277,41.3585,42.1394,1782473,FIS
2013-08-05,42.0279,42.423,41.9349,42.3161,1929194,FIS
2013-08-06,42.2231,43.004,42.1766,42.7065,1829061,FIS
2013-08-07,42.6135,43.2829,42.4462,43.1527,1789378,FIS
2013-08-08,43.4037,43.6733,43.1062,43.255,1796202,FIS
2013-08-09,43.1899,43.8499,43.1899,43.6454,1129828,FIS
2013-08-12,43.4781,44.3705,43.3944,44.073,2137162,FIS
2013-08-13,43.9336,44.0265,43.2271,43.6733,2824753,FIS
2013-08-14,43.571,43.8778,43.5524,43.6547,988040,FIS
2013-08-15,43.2829,43.32,42.6973,42.7809,1565440,FIS
2013-08-16,42.7623,42.9482,42.6786,42.8645,1612948,FIS
2013-08-19,42.7623,43.0412,42.5629,42.6042,840729,FIS
2013-08-20,42.5856,42.8069,42.5206,42.5949,1005570,FIS
2013-08-21,42.4741,42.7158,42.1115,42.3625,1002077,FIS
2013-08-22,42.4834,42.6684,42.3532,42.5763,649578,FIS
2013-08-23,42.7065,42.911,42.3904,42.4927,1225378,FIS
2013-08-26,42.4555,42.6414,42.1859,42.2231,1347000,FIS
2013-08-27,41.8605,41.9814,41.3678,41.3864,1017294,FIS
2013-08-28,41.4143,41.5352,41.1912,41.1912,1085548,FIS
2013-08-29,41.089,41.6188,40.9591,41.498,694164,FIS
2013-08-30,41.4794,41.6746,41.2005,41.3307,1320891,FIS
2013-09-03,41.749,42.0,41.1819,41.3771,1235533,FIS
2013-09-04,41.3585,41.5817,41.1912,41.3864,1195834,FIS
2013-09-05,41.3957,41.6281,41.2842,41.4701,1117102,FIS
2013-09-06,41.4887,42.1673,41.0704,41.9349,1035801,FIS
2013-09-09,42.4174,42.6696,41.7682,41.9783,1606133,FIS
2013-09-10,42.1558,42.8937,42.1042,42.8844,1003025,FIS
2013-09-11,42.847,43.0525,42.7536,42.819,929853,FIS
2013-09-12,42.6696,42.8564,42.3707,42.7069,990342,FIS
2013-09-13,42.8377,43.0058,42.6602,42.9311,972601,FIS
2013-09-16,43.3515,43.669,43.2739,43.5196,715313,FIS
2013-09-17,43.613,43.8559,43.5383,43.7625,750913,FIS
2013-09-18,43.8932,44.0427,43.4542,43.8185,948532,FIS
2013-09-19,43.8278,44.1828,43.7531,44.024,756800,FIS
2013-09-20,44.052,44.2108,43.7251,43.7625,1323074,FIS
2013-09-23,43.5756,43.8185,43.2954,43.4355,528215,FIS
2013-09-24,43.4822,44.024,43.4112,43.7438,897758,FIS
