date,open,high,low,close,volume,Name
2013-05-21,23.2169,23.2169,22.8801,22.9362,1247225,FLIR
2013-05-22,22.8988,22.9643,22.5338,22.7023,2005723,FLIR
2013-05-23,22.5806,22.749,22.4777,22.6835,975929,FLIR
2013-05-24,22.5245,22.618,22.3934,22.5993,1605422,FLIR
2013-05-28,22.8613,23.0859,22.749,23.0859,1760513,FLIR
2013-05-29,22.9362,23.0204,22.7584,22.9268,1424363,FLIR
2013-05-30,22.8894,23.114,22.8239,22.9362,1398038,FLIR
2013-05-31,22.8146,23.0251,22.7023,22.7958,1072517,FLIR
2013-06-03,22.8052,23.4135,22.3841,22.4683,1285835,FLIR
2013-06-04,22.487,22.7584,22.4168,22.5619,1141623,FLIR
2013-06-05,22.4496,22.59,22.3888,22.4215,1095405,FLIR
2013-06-06,22.4496,22.59,22.4262,22.59,1351171,FLIR
2013-06-07,22.7116,22.8941,22.618,22.8333,2005212,FLIR
2013-06-10,22.9081,22.9549,22.6789,22.7958,1629786,FLIR
2013-06-11,22.4683,22.721,22.356,22.5432,775537,FLIR
2013-06-12,22.7023,22.7678,22.1876,22.1876,863661,FLIR
2013-06-13,22.225,22.6555,22.0659,22.59,834232,FLIR
2013-06-14,22.5712,22.8894,22.5712,22.8707,1656105,FLIR
2013-06-17,23.3947,23.3947,22.9643,23.348,1506824,FLIR
2013-06-18,24.0404,25.023,24.0404,24.7844,2784521,FLIR
2013-06-19,24.8827,24.892,24.5177,24.5645,1478913,FLIR
2013-06-20,24.3305,24.3492,23.8205,23.9375,1307788,FLIR
2013-06-21,24.0685,24.1434,23.8814,24.0779,1893613,FLIR
2013-06-24,24.0311,24.0311,23.7598,23.8252,1690593,FLIR
2013-06-25,23.9843,24.1434,23.8252,24.0872,1577084,FLIR
2013-06-26,24.265,24.6066,24.1902,24.4896,1006276,FLIR
2013-06-27,24.9949,25.154,24.7797,25.0698,778054,FLIR
2013-06-28,24.8639,25.416,24.8359,25.2382,1819274,FLIR
2013-07-01,25.4348,25.7061,25.3038,25.6032,1240307,FLIR
2013-07-02,25.4722,25.8652,25.402,25.5003,1302943,FLIR
2013-07-03,25.4722,25.8559,25.388,25.7061,523602,FLIR
2013-07-05,25.7716,26.2021,25.7342,26.1179,852160,FLIR
2013-07-08,26.3518,26.6607,26.1834,26.6513,1332988,FLIR
2013-07-09,26.7449,27.1005,26.7449,26.932,1434176,FLIR
2013-07-10,26.8759,27.063,26.7168,27.035,763771,FLIR
2013-07-11,27.1847,27.3344,27.0443,27.2502,598117,FLIR
2013-07-12,27.1005,27.3906,26.9788,27.3157,567987,FLIR
2013-07-15,27.3625,27.6807,27.3344,27.4748,652550,FLIR
2013-07-16,27.5777,27.6526,27.1473,27.1753,698447,FLIR
2013-07-17,27.3531,27.4093,27.166,27.2783,544191,FLIR
2013-07-18,27.2783,27.3531,27.0443,27.1753,763172,FLIR
2013-07-19,27.2034,27.2034,26.8384,27.1098,1025694,FLIR
2013-07-22,27.2408,27.3157,27.035,27.2128,766301,FLIR
2013-07-23,27.3251,27.3718,27.1192,27.1379,766424,FLIR
2013-07-24,27.3063,27.3999,27.0911,27.2221,806282,FLIR
2013-07-25,28.0269,30.2073,26.9601,29.861,3585964,FLIR
2013-07-26,29.1592,30.6845,28.7008,30.357,2820820,FLIR
2013-07-29,29.7207,30.5161,29.0095,29.8423,2159743,FLIR
2013-07-30,29.6926,30.5021,29.4774,30.0482,1554312,FLIR
2013-07-31,30.1231,30.7126,30.0669,30.3851,1407202,FLIR
2013-08-01,30.6378,30.8343,30.4225,30.7126,1316396,FLIR
2013-08-02,30.7501,31.6437,30.6658,31.5829,1605872,FLIR
2013-08-05,31.3957,31.5829,30.9185,31.0308,2040673,FLIR
2013-08-06,31.0121,31.1899,30.7501,30.9185,1142158,FLIR
2013-08-07,30.8998,31.0121,30.6003,30.7688,760435,FLIR
2013-08-08,30.8811,30.9559,30.4693,30.5535,1075190,FLIR
2013-08-09,30.591,31.0954,30.4263,30.8717,1083877,FLIR
2013-08-12,30.7501,31.2272,30.7407,31.0495,722788,FLIR
2013-08-13,31.0495,31.1899,30.7683,31.0682,548291,FLIR
2013-08-14,30.9185,31.0776,30.7407,30.7968,617140,FLIR
2013-08-15,30.5247,30.8813,30.1494,30.2057,781880,FLIR
2013-08-16,30.0649,30.6467,30.0274,30.2151,1160304,FLIR
2013-08-19,30.2714,30.4121,29.9711,29.9899,860497,FLIR
2013-08-20,30.0274,30.3277,29.7647,30.1118,886371,FLIR
2013-08-21,30.0743,30.4027,29.9992,30.2245,883122,FLIR
2013-08-22,30.2526,30.947,30.2385,30.9094,556795,FLIR
2013-08-23,30.9658,31.0408,30.262,30.3183,664960,FLIR
2013-08-26,30.3183,30.5529,30.1025,30.3558,809113,FLIR
2013-08-27,30.0274,30.0931,29.3424,29.3987,577879,FLIR
2013-08-28,29.4644,29.6802,29.3236,29.5676,506426,FLIR
2013-08-29,29.5301,30.0555,29.3893,29.8116,518161,FLIR
2013-08-30,29.8303,29.8303,29.333,29.3518,917438,FLIR
2013-09-03,29.7647,29.9711,29.1829,29.3893,847240,FLIR
2013-09-04,29.4362,29.9805,29.3424,29.9429,758963,FLIR
2013-09-05,29.896,30.215,29.8022,29.9523,501869,FLIR
2013-09-06,30.0743,30.1306,29.4831,29.7365,654838,FLIR
2013-09-09,29.7928,30.1775,29.699,30.0462,743888,FLIR
2013-09-10,30.2151,30.4121,30.1569,30.3934,1202061,FLIR
2013-09-11,30.3183,30.5716,30.1963,30.3183,604900,FLIR
2013-09-12,30.3089,30.3089,29.896,29.9148,601486,FLIR
2013-09-13,29.9899,30.0555,29.7177,29.8866,544501,FLIR
2013-09-16,30.3371,30.3652,29.6427,29.9242,1356611,FLIR
2013-09-17,30.0743,30.1025,29.6896,29.896,1203165,FLIR
2013-09-18,29.8303,29.9992,29.5864,29.9429,1364381,FLIR
2013-09-19,30.0274,30.3277,29.8303,30.1681,751030,FLIR
2013-09-20,30.14,30.2995,29.6145,29.6427,1254676,FLIR
2013-09-23,30.0368,30.0368,29.1641,29.2486,679386,FLIR
2013-09-24,29.3236,29.8116,29.1078,29.6333,953805,FLIR
2013-09-25,29.5958,29.7459,29.2486,29.2579,626180,FLIR
2013-09-26,29.3987,29.9336,29.2673,29.5394,666430,FLIR
2013-09-27,29.3518,29.5488,29.2579,29.3893,390955,FLIR
2013-09-30,29.2016,29.6567,29.0234,29.4644,910288,FLIR
2013-10-01,29.3518,29.7553,29.1453,29.7084,817019,FLIR
2013-10-02,29.4738,29.7647,29.3518,29.7459,528715,FLIR
2013-10-03,29.577,30.384,29.5676,30.3652,2019297,FLIR
2013-10-04,30.3652,30.5247,30.0931,30.4121,777086,FLIR
2013-10-07,30.0462,30.3746,29.774,30.14,585383,FLIR
2013-10-08,30.1588,30.2151,29.7177,29.8303,866114,FLIR
2013-10-09,29.7834,29.9148,29.4644,29.7084,781689,FLIR
2013-10-10,30.0086,30.3464,29.7177,30.2151,784135,FLIR
2013-10-11,30.1025,30.6655,29.8866,30.6561,572118,FLIR
2013-10-14,30.9282,31.1534,30.3652,31.1253,729273,FLIR
2013-10-15,28.5636,28.9014,26.7807,26.8276,8334059,FLIR
2013-10-16,26.7431,26.837,26.1895,26.6212,2714775,FLIR
2013-10-17,26.5742,27.2405,26.4616,27.2029,2106137,FLIR
2013-10-18,27.3249,27.6346,27.0153,27.6158,1124436,FLIR
2013-10-21,27.6534,27.7941,26.9871,27.1185,1082539,FLIR
2013-10-22,27.1654,27.5971,27.1654,27.2405,1388661,FLIR
2013-10-23,27.1654,27.2592,26.7713,27.0059,953648,FLIR
2013-10-24,27.0059,27.2967,26.3209,26.8933,1099263,FLIR
2013-10-25,26.8182,26.9684,26.4429,26.7807,1454775,FLIR
