date,open,high,low,close,volume,Name
2013-05-21,61.4206,61.9597,60.7885,61.3369,1759557,FLR
2013-05-22,61.2719,61.9225,60.1937,60.4167,1656298,FLR
2013-05-23,59.3664,60.7235,58.7901,60.3517,1913508,FLR
2013-05-24,59.7475,60.1844,57.9815,59.1898,1949734,FLR
2013-05-28,60.2587,60.2959,59.5337,59.7289,1415184,FLR
2013-05-29,59.0783,59.7661,58.6693,58.9296,1239832,FLR
2013-05-30,59.4048,59.8894,58.8179,59.5353,942918,FLR
2013-05-31,59.1719,60.0385,58.9016,58.9016,1901572,FLR
2013-06-03,58.9482,59.2464,57.5691,58.7991,1702434,FLR
2013-06-04,58.5196,59.2744,57.6343,58.3984,1394081,FLR
2013-06-05,58.24,58.3798,57.0007,57.3827,1647314,FLR
2013-06-06,57.1777,57.9977,56.9168,57.9605,1611294,FLR
2013-06-07,58.24,58.8457,57.8859,58.5755,1016079,FLR
2013-06-10,58.7059,59.1532,58.1468,58.7805,980820,FLR
2013-06-11,57.9046,58.0723,56.8516,57.3734,1793907,FLR
2013-06-12,57.9605,58.1562,55.8545,56.1061,1646113,FLR
2013-06-13,56.0036,57.1684,55.9104,56.9727,1611374,FLR
2013-06-14,56.982,57.6436,56.7025,56.8423,1171815,FLR
2013-06-17,57.3082,58.6267,57.2616,58.063,1580073,FLR
2013-06-18,58.268,59.1812,58.1655,58.9669,1347845,FLR
2013-06-19,58.8364,59.1719,57.9698,57.9884,1296474,FLR
2013-06-20,57.1218,57.1311,55.6402,55.9197,1927881,FLR
2013-06-21,56.3111,56.5907,55.2581,56.0688,2597211,FLR
2013-06-24,55.0811,55.109,53.8976,54.6152,1760457,FLR
2013-06-25,55.2395,55.6681,54.7456,55.109,1731302,FLR
2013-06-26,55.6029,55.6681,54.4567,54.8481,1537167,FLR
2013-06-27,55.3047,55.8143,54.9506,55.6588,1326524,FLR
2013-06-28,55.1556,55.6402,54.7736,55.2674,2051570,FLR
2013-07-01,55.7613,55.9011,54.8481,54.9972,1800109,FLR
2013-07-02,54.9506,55.2115,54.0561,54.3263,1337886,FLR
2013-07-03,54.2611,54.6711,53.7122,54.2983,944526,FLR
2013-07-05,54.8668,54.9506,53.5808,54.5965,1394368,FLR
2013-07-08,54.7922,54.9133,53.7718,53.8138,2008368,FLR
2013-07-09,54.3542,55.4818,54.2611,54.9879,1287568,FLR
2013-07-10,55.0811,55.4631,54.7922,55.2488,1091571,FLR
2013-07-11,56.1993,57.1777,56.0781,57.0659,2093367,FLR
2013-07-12,56.9075,57.6436,56.5627,57.2989,1255148,FLR
2013-07-15,57.3082,57.8393,57.1687,57.625,882426,FLR
2013-07-16,57.7741,57.9139,56.5161,57.0007,1146319,FLR
2013-07-17,57.4293,57.5505,56.8991,57.0939,918339,FLR
2013-07-18,57.1777,58.2959,57.1777,58.0257,1130902,FLR
2013-07-19,58.0816,58.8178,57.7741,58.5568,1406674,FLR
2013-07-22,58.3518,58.7525,57.9884,58.7153,1017839,FLR
2013-07-23,58.8178,58.8457,58.3705,58.6593,802176,FLR
2013-07-24,58.7991,59.06,57.9698,58.0443,1016896,FLR
2013-07-25,57.8393,58.4916,57.5421,57.8673,1315405,FLR
2013-07-26,57.3826,57.9325,56.9448,57.4014,1563125,FLR
2013-07-29,57.1591,57.1964,55.8918,56.19,1629638,FLR
2013-07-30,56.4509,56.7118,56.0409,56.5907,2057314,FLR
2013-07-31,56.7491,59.0787,56.7491,58.2959,2884525,FLR
2013-08-01,58.883,60.9983,57.4759,60.6069,2593716,FLR
2013-08-02,60.4951,62.4939,59.9453,61.9953,2620089,FLR
2013-08-05,61.7996,62.3494,61.3347,62.1537,1297083,FLR
2013-08-06,61.9953,62.1072,60.4671,61.0821,2970088,FLR
2013-08-07,60.9144,61.0122,59.8429,60.7653,2039779,FLR
2013-08-08,61.0355,62.1537,60.5091,61.5387,2553100,FLR
2013-08-09,61.5201,61.7344,60.8864,61.4828,1787681,FLR
2013-08-12,60.9424,61.4269,60.7839,61.0821,1419918,FLR
2013-08-13,61.2592,61.5946,60.8864,61.3244,1145670,FLR
2013-08-14,61.4269,62.191,61.0728,61.9021,1344233,FLR
2013-08-15,61.3337,61.781,60.8585,61.4549,1402717,FLR
2013-08-16,61.2592,62.0606,61.1474,61.6785,1026608,FLR
2013-08-19,61.371,61.5201,60.4392,60.6255,1252751,FLR
2013-08-20,60.8399,61.2685,60.3367,60.6162,1876102,FLR
2013-08-21,60.346,61.5015,60.2528,60.8026,1282809,FLR
2013-08-22,61.2312,62.1444,61.1567,61.7624,679083,FLR
2013-08-23,61.809,61.809,60.7839,61.576,939181,FLR
2013-08-26,61.9538,62.6077,61.8885,62.1033,1104217,FLR
2013-08-27,61.3092,61.3653,60.2536,60.4685,1477729,FLR
2013-08-28,60.3097,60.4871,59.8613,60.0761,1083807,FLR
2013-08-29,59.6838,60.2162,59.5717,59.6931,1252503,FLR
2013-08-30,59.8146,59.9173,59.0112,59.2541,926963,FLR
2013-09-03,59.8613,60.4199,59.0485,59.3568,938823,FLR
2013-09-04,59.3288,60.0948,59.1326,59.908,676159,FLR
2013-09-05,59.8426,60.8515,59.8332,60.7207,776087,FLR
2013-09-06,61.0009,61.2345,60.2723,60.3283,984176,FLR
2013-09-09,60.6366,62.0098,60.6366,61.5521,1172490,FLR
2013-09-10,61.9818,62.4582,61.851,62.3275,2088874,FLR
2013-09-11,62.0472,63.0468,62.0285,62.7291,974958,FLR
2013-09-12,62.7198,63.9716,62.589,63.2616,1549194,FLR
2013-09-13,63.4298,63.7474,62.7198,62.7852,958167,FLR
2013-09-16,64.1771,64.4387,63.1869,63.3924,1368849,FLR
2013-09-17,63.4017,63.7287,63.0935,63.5606,688546,FLR
2013-09-18,63.6913,66.0828,63.4858,65.3074,1717626,FLR
2013-09-19,65.5597,66.9049,65.4476,66.7461,1943959,FLR
2013-09-20,68.5397,69.8008,67.101,67.2692,3790724,FLR
2013-09-23,67.0263,67.2038,65.8119,66.2509,1501043,FLR
2013-09-24,66.1575,67.3066,66.1108,66.634,1286159,FLR
2013-09-25,66.5779,67.3813,66.0267,67.1664,1314363,FLR
2013-09-26,67.2598,67.3813,66.7647,67.2879,1068078,FLR
2013-09-27,66.6433,67.0006,66.1015,66.3724,1295335,FLR
2013-09-30,65.5036,66.4751,65.4195,66.2883,1001423,FLR
2013-10-01,66.1108,67.7176,65.9053,67.1945,968557,FLR
2013-10-02,66.6713,68.4556,66.662,68.3808,1655896,FLR
2013-10-03,68.6611,68.8946,66.335,67.1571,1427730,FLR
2013-10-04,67.0637,67.5494,66.634,67.1384,1009655,FLR
2013-10-07,66.6433,67.2412,66.1202,66.5966,1041820,FLR
2013-10-08,66.3817,67.0356,64.9338,65.1019,1200543,FLR
2013-10-09,65.513,65.9707,64.3921,65.0178,1533216,FLR
2013-10-10,65.896,67.1945,65.896,67.017,953590,FLR
2013-10-11,67.3533,68.5397,67.1758,68.1753,1034466,FLR
2013-10-14,67.5775,68.9974,67.2879,68.8853,1101978,FLR
2013-10-15,68.5957,68.8479,67.6896,67.9605,1302057,FLR
2013-10-16,68.3995,69.3337,67.7269,69.2683,1416647,FLR
2013-10-17,68.8853,70.8284,68.8853,70.5761,1492834,FLR
2013-10-18,71.1179,72.4538,70.8564,72.1082,1830425,FLR
2013-10-21,72.0521,72.2016,71.1366,71.6504,945944,FLR
2013-10-22,71.9307,73.0797,71.7999,71.9774,958544,FLR
2013-10-23,71.3702,72.0801,70.3519,71.4356,1162817,FLR
2013-10-24,71.4636,72.0615,71.2768,71.8186,1182758,FLR
2013-10-25,71.9026,71.9213,70.3519,71.2861,1454163,FLR
2013-10-28,71.4075,71.7251,70.9311,71.529,1326766,FLR
2013-10-29,71.968,72.2109,71.3608,71.8186,1192167,FLR
2013-10-30,71.7532,71.926,70.791,71.0058,1405394,FLR
2013-10-31,70.2211,70.2679,68.9367,69.3337,2571106,FLR
2013-11-01,69.0254,71.7811,68.3341,69.9689,3262977,FLR
2013-11-04,70.3052,70.847,69.6326,70.819,1326566,FLR
2013-11-05,70.2398,71.3982,69.9129,71.1927,2591616,FLR
2013-11-06,71.2768,71.8232,70.8003,71.6131,1657655,FLR
2013-11-07,71.9213,72.4445,70.5761,70.6882,1782056,FLR
2013-11-08,70.5014,72.8275,70.3706,72.7901,1881910,FLR
2013-11-11,72.3417,72.9909,71.9961,72.7247,1237503,FLR
2013-11-12,72.5566,72.8275,72.1222,72.3791,1316035,FLR
2013-11-13,71.4356,74.0092,71.174,73.8737,1869064,FLR
2013-11-14,74.1446,74.2381,73.2759,74.126,876836,FLR
2013-11-15,74.2567,74.4342,73.6308,74.1353,850220,FLR
2013-11-18,74.3969,74.6865,72.7154,72.9022,1388985,FLR
2013-11-19,72.6313,72.6593,71.4356,71.968,1263645,FLR
2013-11-20,71.9774,72.7994,71.0058,71.202,974525,FLR
2013-11-21,71.6691,73.033,71.6598,72.8648,1088143,FLR
2013-11-22,72.8461,73.5001,72.267,73.4534,1238347,FLR
2013-11-25,73.827,73.827,72.3137,73.1357,1290384,FLR
2013-11-26,72.9209,74.6865,72.9115,73.6776,2065310,FLR
2013-11-27,73.8835,74.1363,73.1253,73.1721,794404,FLR
2013-11-29,73.2283,73.4248,72.6385,72.8351,448094,FLR
2013-12-02,72.9194,73.481,71.7212,72.9381,948968,FLR
2013-12-03,72.3952,72.7228,71.7586,72.3203,1054978,FLR
2013-12-04,71.8616,73.2189,71.1596,71.9084,1008399,FLR
2013-12-05,71.5714,72.4373,71.0566,71.2906,1056583,FLR
2013-12-06,72.1612,72.807,71.7212,72.4607,815057,FLR
2013-12-09,72.4607,72.6198,71.773,71.9459,1131929,FLR
2013-12-10,71.9084,73.0036,71.8991,72.6854,1275588,FLR
2013-12-11,72.9006,72.9849,70.5043,70.7571,1123023,FLR
2013-12-12,70.7945,71.1502,69.9895,70.055,1536854,FLR
2013-12-13,70.2048,70.7664,69.821,70.0082,1286060,FLR
2013-12-16,70.6728,71.431,70.5979,71.0847,1370404,FLR
2013-12-17,71.1034,71.6089,70.6185,70.9536,1223435,FLR
2013-12-18,71.2064,73.0645,70.9911,72.9568,1710026,FLR
2013-12-19,72.7696,73.9584,72.4794,73.7899,1628538,FLR
2013-12-20,74.052,74.4358,73.7058,74.2954,1895156,FLR
2013-12-23,74.5949,74.7728,73.6486,73.9678,745783,FLR
2013-12-24,73.9678,74.4638,73.8554,74.2018,401866,FLR
2013-12-26,74.4171,75.0536,74.3141,74.8664,608147,FLR
2013-12-27,74.9413,75.2034,74.4358,74.6604,854678,FLR
2013-12-30,74.8477,75.2221,74.5481,74.7728,734005,FLR
2013-12-31,74.8102,75.3063,74.5107,75.1566,929385,FLR
2014-01-02,74.7166,75.0723,73.7525,73.8273,1206471,FLR
2014-01-03,73.8554,74.6885,73.7618,74.0894,825157,FLR
2014-01-06,74.4639,74.7166,73.2844,73.5372,875452,FLR
2014-01-07,73.8367,74.7073,73.6495,74.3047,1006871,FLR
2014-01-08,74.1831,74.5668,73.8648,74.2205,970017,FLR
2014-01-09,74.4264,74.8664,73.3125,73.7618,1432007,FLR
2014-01-10,74.2579,74.5388,73.7525,73.8554,1393898,FLR
2014-01-13,73.8461,74.0801,72.7696,73.0504,2072974,FLR
2014-01-14,73.9584,74.7073,73.3406,74.3983,1989848,FLR
2014-01-15,74.7353,76.1394,74.623,75.3157,1713229,FLR
2014-01-16,75.2127,75.4655,74.2767,75.297,1140765,FLR
2014-01-17,75.634,76.9819,75.2127,76.804,1580999,FLR
2014-01-21,77.4125,78.2081,76.7666,77.6371,1727939,FLR
2014-01-22,78.1052,78.5638,77.712,78.3017,1556952,FLR
2014-01-23,77.581,77.581,75.7369,75.9054,1936517,FLR
2014-01-24,75.2502,75.3531,72.5262,72.5262,1935521,FLR
2014-01-27,72.442,73.2095,70.7383,71.8148,1571124,FLR
2014-01-28,72.0301,72.7977,71.8991,72.5075,1356669,FLR
2014-01-29,71.6182,72.6666,70.729,71.2532,1948678,FLR
2014-01-30,71.9084,72.0769,71.2438,71.4685,1431100,FLR
2014-01-31,70.4388,71.665,70.1393,71.1034,1205719,FLR
2014-02-03,71.0192,71.3749,68.817,69.0721,1652313,FLR
2014-02-04,69.4747,70.6447,68.6322,70.4014,1405561,FLR
2014-02-05,69.9895,70.4201,69.3717,70.0737,1160287,FLR
2014-02-06,70.1486,71.665,70.0925,71.1689,876317,FLR
2014-02-07,73.0411,73.0411,71.7399,72.2735,1632308,FLR
2014-02-10,72.1237,72.8726,71.7774,72.4513,1328281,FLR
2014-02-11,72.6573,73.0598,72.4326,72.6854,1628851,FLR
2014-02-12,73.0036,75.2689,72.91,74.7915,2063147,FLR
2014-02-13,73.9865,74.6604,73.3874,73.8273,1527277,FLR
2014-02-14,73.8554,74.726,73.7422,74.5762,1633668,FLR
2014-02-18,75.1378,75.2782,73.9771,75.0068,1927569,FLR
2014-02-19,75.3063,77.7869,74.9628,75.1191,3475792,FLR
2014-02-20,75.3438,75.7369,74.6512,74.8945,2450218,FLR
2014-02-21,75.3531,75.3812,74.052,74.1269,1414003,FLR
2014-02-24,74.1175,74.8757,73.6214,73.8835,1200127,FLR
2014-02-25,73.9116,74.2579,72.5075,72.7883,1994878,FLR
2014-02-26,73.1815,73.9584,72.6479,73.3219,1848589,FLR
2014-02-27,73.3687,73.8461,72.807,73.1627,1410954,FLR
2014-02-28,73.3035,73.3035,72.5433,72.9187,1954007,FLR
2014-03-03,71.9895,72.5621,71.6798,72.196,1310277,FLR
2014-03-04,72.9281,73.8667,72.8343,73.5851,1680544,FLR
2014-03-05,73.7165,73.9324,73.1064,73.3411,1034899,FLR
2014-03-06,73.6884,75.3309,73.6602,75.1995,1426595,FLR
2014-03-07,75.8096,75.8096,74.5613,74.7959,1261848,FLR
2014-03-10,74.3923,74.8053,73.0407,73.8292,1104332,FLR
2014-03-11,73.8855,74.1858,72.1679,72.4964,1225981,FLR
2014-03-12,71.952,72.1632,71.2011,71.7549,1511157,FLR
2014-03-13,71.952,72.0383,69.8589,70.3845,1683379,FLR
2014-03-14,70.1687,70.5441,69.6337,69.7651,1226884,FLR
2014-03-17,70.3658,71.2199,70.3376,70.3939,1262233,FLR
2014-03-18,69.3521,72.44,69.3521,72.1679,1976579,FLR
2014-03-19,72.1397,72.1397,70.3095,70.76,1469350,FLR
2014-03-20,70.6286,71.2387,70.2531,70.8163,1266163,FLR
