date,open,high,low,close,volume,Name
2013-05-21,33.2018,33.4277,32.7951,32.8042,2903845,FL
2013-05-22,32.8313,33.0211,32.2439,32.3794,2517407,FL
2013-05-23,32.1083,32.3885,31.9999,32.2439,3676782,FL
2013-05-24,30.4907,30.7437,29.4695,30.6353,10437193,FL
2013-05-28,31.2317,31.6745,30.6986,30.816,5974764,FL
2013-05-29,30.7166,30.9606,30.5359,30.7437,3914886,FL
2013-05-30,30.7528,30.9516,30.563,30.7347,4058214,FL
2013-05-31,30.6805,31.4034,30.4997,31.0149,3198733,FL
2013-06-03,30.9697,31.051,30.6443,30.9697,3092301,FL
2013-06-04,30.9877,31.4938,30.9606,31.4577,2779218,FL
2013-06-05,31.3221,31.501,30.7257,30.7799,2976325,FL
2013-06-06,30.7889,31.1685,30.554,31.1685,1600618,FL
2013-06-07,31.3944,31.6971,31.1685,31.5661,1867690,FL
2013-06-10,31.8463,32.0451,31.6836,31.8282,2434056,FL
2013-06-11,31.5119,31.8463,31.2317,31.2498,1960213,FL
2013-06-12,31.4034,31.6294,30.798,30.8703,2261566,FL
2013-06-13,30.9516,31.2408,30.7166,31.1414,2461177,FL
2013-06-14,31.0781,31.7017,31.042,31.4215,2172436,FL
2013-06-17,31.6294,31.8011,31.2136,31.3221,1535389,FL
2013-06-18,31.4034,32.0451,31.3763,31.9999,2673619,FL
2013-06-19,32.036,32.5557,31.9637,32.0812,2819208,FL
2013-06-20,31.8734,31.9366,31.4215,31.5842,3065552,FL
2013-06-21,31.7197,31.8643,31.3628,31.6113,3151121,FL
2013-06-24,31.3311,31.3628,30.7437,31.051,1692910,FL
2013-06-25,31.3221,31.4893,31.1956,31.2408,1810885,FL
2013-06-26,31.539,31.539,30.3009,30.6353,3560137,FL
2013-06-27,30.8974,31.1143,30.7654,30.9516,2409830,FL
2013-06-28,30.9606,31.9637,30.9516,31.7468,3351699,FL
2013-07-01,32.0722,32.5421,31.8643,31.9547,2102402,FL
2013-07-02,31.9908,32.5511,31.9366,32.2529,1847351,FL
2013-07-03,32.1264,32.3071,31.8372,32.027,536414,FL
2013-07-05,32.2891,32.4517,31.8463,32.3162,1158775,FL
2013-07-08,32.28,33.4639,32.28,33.1295,2837862,FL
2013-07-09,33.2018,33.3012,32.985,33.0753,1746886,FL
2013-07-10,33.1476,33.4639,32.9759,33.2108,1993527,FL
