date,open,high,low,close,volume,Name
2013-05-21,35.9417,36.5618,35.8281,36.3959,3559398,GPS
2013-05-22,36.2998,36.5225,35.6797,35.8456,3792204,GPS
2013-05-23,35.7408,36.3085,35.3827,36.1251,3883115,GPS
2013-05-24,35.0333,35.7583,35.0159,35.4962,3777566,GPS
2013-05-28,35.7495,35.8718,35.2954,35.3914,2580045,GPS
2013-05-29,35.0945,35.1731,34.2734,34.387,5506915,GPS
2013-05-30,34.4307,35.1294,34.4219,34.9285,3387701,GPS
2013-05-31,34.946,36.0771,34.9023,35.4176,3912553,GPS
2013-06-03,35.4176,35.4613,34.9023,35.4176,3637660,GPS
2013-06-04,35.3652,35.8718,35.2779,35.7495,3686313,GPS
2013-06-05,35.5749,35.8019,35.1119,35.1556,2720080,GPS
2013-06-06,35.1643,35.8238,34.9285,35.7932,3465201,GPS
2013-06-07,36.4657,37.0335,36.0989,36.7627,6423311,GPS
2013-06-10,36.8413,37.0335,36.195,36.3085,2862466,GPS
2013-06-11,36.0378,36.1251,35.7059,35.8456,2664122,GPS
2013-06-12,36.0989,36.2998,35.2517,35.4875,2553136,GPS
2013-06-13,35.5137,36.2212,35.4788,36.1513,4720055,GPS
2013-06-14,36.1601,36.3609,35.7932,36.2299,3655449,GPS
2013-06-17,36.5618,36.9898,36.3784,36.492,4196283,GPS
2013-06-18,36.588,37.0247,36.5007,36.9811,2252821,GPS
2013-06-19,36.7977,37.0772,36.4308,36.457,2679282,GPS
2013-06-20,36.2125,36.3871,35.4875,35.5836,2806634,GPS
2013-06-21,35.9068,36.3609,35.7364,36.0902,5461355,GPS
2013-06-24,35.7146,35.9068,34.9394,35.2604,3144032,GPS
2013-06-25,35.5923,36.0116,35.3216,35.8631,2706146,GPS
2013-06-26,36.2125,36.5007,36.064,36.3522,2456550,GPS
2013-06-27,36.6928,36.8675,36.492,36.6404,2961168,GPS
2013-06-28,36.5531,36.8326,36.3522,36.4483,3477538,GPS
2013-07-01,36.6317,37.5925,36.6317,37.3829,4118416,GPS
2013-07-02,37.3829,37.8676,37.1427,37.444,3342628,GPS
2013-07-03,37.1558,37.6318,36.9549,37.4615,1717217,GPS
2013-07-05,37.6449,37.8982,37.3566,37.8196,1581014,GPS
2013-07-08,37.951,38.4156,37.951,38.2578,2347309,GPS
2013-07-09,38.4857,38.6522,38.2753,38.512,3115817,GPS
2013-07-10,38.512,38.7837,38.2841,38.6522,2769317,GPS
2013-07-11,39.143,39.4016,39.108,39.2307,4665993,GPS
2013-07-12,39.4586,39.7653,39.2841,39.5287,4385946,GPS
2013-07-15,38.959,39.4761,38.8889,39.3271,1960143,GPS
2013-07-16,39.4848,39.6338,39.0554,39.1518,2090425,GPS
2013-07-17,39.3534,39.59,39.0554,39.1868,1445301,GPS
2013-07-18,39.1868,39.6338,39.0904,39.5199,1971978,GPS
2013-07-19,39.5374,39.6601,39.2657,39.4673,1677110,GPS
2013-07-22,39.5111,39.5944,39.0291,39.5024,1292765,GPS
