date,open,high,low,close,volume,Name
2013-05-21,29.4229,29.6239,29.3585,29.4872,655879,GRMN
2013-05-22,29.5194,29.5274,28.5142,28.6509,1229500,GRMN
2013-05-23,28.5383,28.5826,28.3051,28.4258,1073277,GRMN
2013-05-24,28.2086,28.3454,27.8709,28.2408,881149,GRMN
2013-05-28,28.667,28.9002,28.2247,28.5464,696340,GRMN
2013-05-29,28.474,28.4821,28.0639,28.2328,734843,GRMN
2013-05-30,28.2649,28.86,28.2489,28.6429,868517,GRMN
2013-05-31,28.4821,28.7072,28.08,28.088,868626,GRMN
2013-06-03,28.1443,28.3856,27.9272,28.1041,885829,GRMN
2013-06-04,28.1443,28.4901,27.8709,27.9513,1424342,GRMN
2013-06-05,27.9433,27.9674,27.2276,27.3,1285442,GRMN
2013-06-06,27.3965,27.6056,27.1794,27.6056,755125,GRMN
2013-06-07,28.0317,28.1363,27.7021,28.0157,1808641,GRMN
2013-06-10,28.5477,28.7758,28.3929,28.4336,1183404,GRMN
2013-06-11,28.124,28.401,27.9611,27.9855,1047199,GRMN
2013-06-12,28.181,28.181,27.6678,27.7737,1206312,GRMN
2013-06-13,27.6759,28.2788,27.627,28.1973,1160563,GRMN
2013-06-14,27.8959,27.9611,27.4315,27.4722,962911,GRMN
2013-06-17,27.6026,28.7636,27.6026,28.4662,1556241,GRMN
2013-06-18,28.564,29.5335,28.564,29.1343,1494031,GRMN
2013-06-19,29.1831,29.3298,28.4092,28.4825,1006724,GRMN
2013-06-20,28.1647,28.6291,27.79,27.8959,1117136,GRMN
2013-06-21,28.0344,28.4092,27.904,28.2625,1527053,GRMN
2013-06-24,28.124,28.458,27.847,28.1566,931427,GRMN
2013-06-25,28.458,28.5884,28.0018,28.4743,724699,GRMN
2013-06-26,28.7106,28.9876,28.3888,28.8898,1031140,GRMN
2013-06-27,29.0854,29.5457,29.0854,29.5009,790206,GRMN
2013-06-28,29.3379,29.9816,29.3298,29.4683,2137334,GRMN
2013-07-01,29.4764,29.8431,29.4357,29.5742,689519,GRMN
2013-07-02,29.5172,29.5986,28.5803,28.678,1116305,GRMN
2013-07-03,28.5232,28.7025,28.287,28.5803,529497,GRMN
2013-07-05,28.841,28.9306,28.564,28.7921,630646,GRMN
