date,open,high,low,close,volume,Name
2013-05-21,38.1182,38.3075,37.4306,37.5302,4303414,HCA
2013-05-22,37.311,38.3673,36.7928,37.1615,5321758,HCA
2013-05-23,36.9124,37.9089,36.5436,37.7694,3283930,HCA
2013-05-24,37.5801,37.7096,37.2512,37.4007,1453292,HCA
2013-05-28,37.8292,38.5467,37.59,38.178,1945953,HCA
2013-05-29,37.9687,37.9986,37.3608,37.8989,1977653,HCA
2013-05-30,38.0086,39.0649,37.9787,38.6862,2787175,HCA
2013-05-31,38.6464,39.5333,38.3972,38.9254,2975948,HCA
2013-06-03,38.9952,39.2742,38.2876,39.1446,2369767,HCA
2013-06-04,39.0649,39.613,38.6165,38.8855,2791574,HCA
2013-06-05,38.6165,38.7689,37.7395,37.9787,4227608,HCA
2013-06-06,38.1282,38.6663,37.7495,38.2677,4426984,HCA
2013-06-07,38.4869,39.6628,38.3474,39.4635,3024482,HCA
2013-06-10,39.4635,40.3405,39.3838,40.1013,3368153,HCA
2013-06-11,39.6429,40.191,39.4037,39.5931,2670369,HCA
2013-06-12,40.1013,40.1532,38.9952,39.3938,3204353,HCA
2013-06-13,39.2842,40.3006,39.0749,40.1512,2920393,HCA
2013-06-14,40.1113,40.1811,39.6728,39.7625,1637251,HCA
2013-06-17,40.1312,40.1312,38.5567,39.1247,4547899,HCA
2013-06-18,39.0749,39.1446,38.6065,38.6962,3634399,HCA
2013-06-19,38.6962,38.9653,37.7694,38.6165,6374380,HCA
2013-06-20,38.1381,38.3574,37.002,37.5502,5774063,HCA
2013-06-21,37.6897,37.7843,36.2546,37.311,4373792,HCA
2013-06-24,37.002,37.7096,35.856,36.4739,4816439,HCA
2013-06-25,36.6333,37.0917,36.3144,36.4938,2091585,HCA
2013-06-26,36.6234,37.1117,36.0055,36.3942,2703161,HCA
2013-06-27,36.424,36.8326,35.9557,36.2646,7830587,HCA
2013-06-28,36.1052,36.3443,35.278,35.9357,16050876,HCA
2013-07-01,36.2845,37.0618,36.135,36.8127,4618094,HCA
2013-07-02,36.8426,37.0618,36.3543,36.7828,3031863,HCA
2013-07-03,35.6567,36.0753,35.0787,35.3677,6752550,HCA
2013-07-05,35.5172,35.9407,35.3278,35.7364,3540943,HCA
2013-07-08,35.9557,36.4041,35.6766,36.3244,2696369,HCA
2013-07-09,36.6134,37.012,35.9058,36.7429,3586128,HCA
2013-07-10,36.8426,37.2612,36.5436,37.1416,2534005,HCA
2013-07-11,37.3907,37.5302,36.8625,37.1117,2710784,HCA
2013-07-12,37.2014,37.5103,37.012,37.4904,2324852,HCA
2013-07-15,37.7694,37.7694,36.8426,37.0818,2701155,HCA
2013-07-16,38.3673,39.1147,38.0385,38.7261,10198043,HCA
2013-07-17,38.9354,38.9354,38.2378,38.3574,4036294,HCA
2013-07-18,38.3175,39.1048,38.3175,39.0251,4280783,HCA
2013-07-19,38.5567,39.0649,38.1481,38.4969,4880340,HCA
2013-07-22,38.3972,39.2044,38.1581,39.0848,2301541,HCA
2013-07-23,39.0749,39.1446,38.477,38.9653,2244870,HCA
2013-07-24,38.9653,39.0948,38.5268,38.6264,1463706,HCA
2013-07-25,38.4072,38.5666,38.3075,38.5467,1292433,HCA
2013-07-26,38.5766,39.7625,38.5467,39.6031,2830848,HCA
2013-07-29,39.5632,39.9917,38.8756,38.9154,1955338,HCA
2013-07-30,39.1147,39.1546,37.9488,38.9553,3886769,HCA
2013-07-31,38.9752,39.0749,38.7062,38.8656,3362726,HCA
2013-08-01,38.8656,39.8223,38.2677,38.9453,4310421,HCA
2013-08-02,38.8656,39.1446,38.7361,38.9055,2307912,HCA
2013-08-05,38.9055,39.6031,38.8457,39.4237,1848442,HCA
2013-08-06,39.3838,39.3838,37.9488,38.1979,3576696,HCA
2013-08-07,38.0484,38.2876,37.6697,37.9288,2098754,HCA
2013-08-08,38.0684,38.6763,38.0584,38.3972,2134683,HCA
2013-08-09,38.4471,39.0649,38.3972,38.8756,2298408,HCA
2013-08-12,38.8855,38.9852,38.4271,38.6364,1302978,HCA
2013-08-13,38.746,38.9553,38.2278,38.4969,2109837,HCA
2013-08-14,38.6862,39.3639,38.5766,38.9852,2620904,HCA
2013-08-15,38.4969,38.6962,37.8491,38.2776,2304460,HCA
2013-08-16,38.2876,38.3175,37.6697,37.7694,1926498,HCA
2013-08-19,37.8292,38.2477,37.6236,37.9189,2351893,HCA
2013-08-20,37.9687,38.6464,37.8691,38.4471,1957818,HCA
2013-08-21,38.3773,38.6264,37.9687,38.1282,2558886,HCA
2013-08-22,38.2976,38.8556,38.0983,38.3673,1307578,HCA
2013-08-23,38.3673,38.3773,37.9089,38.1282,2652212,HCA
2013-08-26,38.1979,39.5009,38.0783,39.2443,2658921,HCA
2013-08-27,38.756,38.9852,38.2577,38.3673,2855508,HCA
2013-08-28,38.3673,38.8656,38.2776,38.4371,2032175,HCA
2013-08-29,38.3374,38.9752,38.3374,38.6165,1317518,HCA
2013-08-30,38.5766,38.7361,37.8591,38.0584,2078993,HCA
2013-09-03,38.178,38.7361,38.173,38.5467,2128940,HCA
2013-09-04,38.6165,38.6165,38.2677,38.3773,1320031,HCA
2013-09-05,38.3075,38.783,38.3075,38.5567,5440818,HCA
2013-09-06,38.6464,39.7525,38.3574,39.3838,2394333,HCA
2013-09-09,39.3738,39.4137,38.2976,38.7062,4034296,HCA
2013-09-10,38.8955,39.4037,38.8855,39.2044,2707826,HCA
2013-09-11,39.2144,39.6927,39.2144,39.5632,1760396,HCA
2013-09-12,39.5333,39.7725,38.8158,39.6031,3206301,HCA
2013-09-13,39.7226,40.4402,39.613,40.1512,2843501,HCA
2013-09-16,40.5896,41.4267,40.5597,40.9584,2959728,HCA
2013-09-17,40.8986,41.1776,40.48,41.1676,1912233,HCA
2013-09-18,41.357,42.6027,41.2175,42.6027,6365828,HCA
2013-09-19,42.6027,42.9614,42.1443,42.1941,3375953,HCA
2013-09-20,42.1941,42.3535,41.656,42.0097,3706743,HCA
2013-09-23,42.0346,42.0346,41.357,41.8603,2068910,HCA
2013-09-24,41.7257,41.9051,41.1577,41.3072,3865322,HCA
2013-09-25,41.636,41.9848,41.4168,41.8852,2566742,HCA
2013-09-26,42.0645,42.4133,41.9151,42.224,1818984,HCA
