date,open,high,low,close,volume,Name
2013-05-21,52.2111,53.0046,52.0694,52.9007,194275,HII
2013-05-22,53.0424,53.4127,52.2866,52.4945,204359,HII
2013-05-23,52.1261,52.9385,51.8049,52.9007,188633,HII
2013-05-24,52.7495,52.9007,52.0505,52.2772,126714,HII
2013-05-28,52.8345,53.5808,52.4331,52.6456,119250,HII
2013-05-29,52.3428,52.5131,51.5762,51.8885,162547,HII
2013-05-30,51.7655,52.8159,51.7655,52.3238,178785,HII
2013-05-31,52.2671,53.2039,51.8601,52.2576,183845,HII
2013-06-03,52.3617,52.5794,51.2639,51.5384,298601,HII
2013-06-04,51.51,52.1819,50.98,51.9264,268182,HII
2013-06-05,51.7276,52.0967,51.0841,51.5194,187692,HII
2013-06-06,51.5573,52.2481,51.1324,52.2387,142054,HII
2013-06-07,52.2292,53.1282,49.5983,53.0147,135056,HII
2013-06-10,53.1945,53.6298,52.6929,53.6203,171362,HII
2013-06-11,53.0336,53.4405,52.3712,53.0241,114853,HII
2013-06-12,53.45,53.7434,52.1156,52.3049,100995,HII
2013-06-13,52.1346,53.0715,52.0683,52.9863,187072,HII
2013-06-14,52.939,53.5541,52.5415,53.0809,95428,HII
2013-06-17,53.4595,53.6582,52.6361,53.2891,224731,HII
2013-06-18,53.2229,54.6045,53.0809,54.5478,134099,HII
2013-06-19,54.5478,54.5478,53.5352,53.6109,109794,HII
2013-06-20,52.9957,53.6014,52.7308,52.9295,210055,HII
2013-06-21,52.9484,53.1188,51.9074,52.0967,451736,HII
2013-06-24,51.7276,52.5226,51.4059,52.0872,214443,HII
2013-06-25,52.4185,52.5226,51.6898,51.7466,277591,HII
2013-06-26,52.0589,52.5888,51.8507,52.3617,159405,HII
2013-06-27,52.7118,53.7718,52.7118,53.5541,173704,HII
2013-06-28,53.4311,53.8948,53.0194,53.45,812416,HII
2013-07-01,53.7718,54.4342,53.3459,53.8664,244667,HII
2013-07-02,53.8853,54.2639,53.1282,53.5636,252304,HII
2013-07-03,53.4689,54.2639,53.4689,54.226,354459,HII
2013-07-05,54.2828,55.0162,54.2828,54.9358,183218,HII
2013-07-08,55.1818,55.6834,54.5667,54.6803,315126,HII
2013-07-09,55.0399,55.655,54.737,55.144,137570,HII
2013-07-10,55.1345,56.1376,55.1345,55.9862,122386,HII
2013-07-11,56.6392,57.4985,56.5351,57.3395,228576,HII
2013-07-12,57.3868,57.6045,56.0903,56.961,155455,HII
2013-07-15,57.1502,57.6897,56.8853,57.6045,141081,HII
2013-07-16,57.5572,57.9452,56.7528,56.8001,162975,HII
2013-07-17,56.9515,57.4152,56.8379,57.2543,144619,HII
2013-07-18,57.4152,58.7306,57.4152,58.6644,242944,HII
2013-07-19,58.4467,59.5208,58.4467,59.4215,267450,HII
2013-07-22,59.554,59.8,59.1399,59.554,256998,HII
2013-07-23,59.6865,59.9988,59.4877,59.8663,177226,HII
2013-07-24,59.9609,60.3678,59.8379,59.942,172616,HII
2013-07-25,59.9136,59.9136,59.0619,59.7054,145167,HII
2013-07-26,59.3742,59.7906,58.9672,59.1565,96254,HII
2013-07-29,58.9294,59.2417,58.7023,58.759,103712,HII
2013-07-30,59.0997,59.5398,58.4278,58.6076,148131,HII
2013-07-31,58.8158,59.1565,58.5319,58.8442,307398,HII
2013-08-01,59.5824,60.5571,59.3552,59.8095,450290,HII
2013-08-02,59.6013,60.0934,59.5634,59.9514,180605,HII
2013-08-05,59.7338,60.2164,59.2227,60.1407,109744,HII
2013-08-06,59.923,60.207,59.4026,59.8,120494,HII
2013-08-07,59.4877,60.188,58.7969,59.9325,281944,HII
2013-08-08,60.2827,60.5571,59.8,60.1218,416752,HII
2013-08-09,59.8663,60.6991,59.5256,60.6707,297431,HII
2013-08-12,60.5382,61.2101,60.3489,60.9451,297204,HII
2013-08-13,61.0871,61.6643,60.3394,61.3237,330264,HII
2013-08-14,61.371,61.4041,60.4152,60.4909,140493,HII
2013-08-15,60.0745,60.2259,59.5795,59.8473,315796,HII
2013-08-16,59.8473,60.4719,59.8473,60.065,123944,HII
2013-08-19,59.9609,60.2921,59.8568,60.0934,127749,HII
2013-08-20,60.0934,60.999,60.0461,60.5287,131699,HII
2013-08-21,60.2827,61.0871,60.2827,60.5003,176037,HII
2013-08-22,60.6896,62.1754,60.595,61.7117,113417,HII
2013-08-23,62.0523,62.1683,61.617,61.8441,109808,HII
2013-08-26,61.8652,62.9457,61.6188,62.1969,168695,HII
2013-08-27,61.723,62.1875,60.5856,60.5856,195272,HII
2013-08-28,60.6141,61.3723,60.434,60.87,95951,HII
2013-08-29,60.7088,61.6188,60.7088,61.2396,122167,HII
2013-08-30,61.2112,61.3344,59.9221,60.0169,220269,HII
2013-09-03,60.9174,61.2775,59.9885,60.2728,355338,HII
2013-09-04,60.1401,60.9458,60.0643,60.8889,324652,HII
2013-09-05,60.7467,60.9837,60.5667,60.7847,128841,HII
2013-09-06,60.9268,61.5884,60.1496,61.3913,181451,HII
2013-09-09,61.2586,62.4908,61.2586,62.4813,131947,HII
2013-09-10,62.6898,63.3912,62.396,63.3438,211495,HII
2013-09-11,63.2016,64.0357,63.0926,64.0357,136503,HII
2013-09-12,64.14,64.7229,63.7135,64.4528,854725,HII
2013-09-13,64.4528,64.6215,63.2964,64.3106,302839,HII
2013-09-16,65.2205,65.2678,64.5002,65.1163,165199,HII
2013-09-17,65.1447,65.7797,64.7561,65.7039,256837,HII
2013-09-18,65.5428,66.1684,64.922,65.8651,406110,HII
2013-09-19,65.8935,66.0925,65.1921,65.4859,158063,HII
2013-09-20,65.6281,65.9314,64.2253,64.2537,416577,HII
2013-09-23,64.3675,64.6367,63.922,64.0926,384067,HII
2013-09-24,64.0736,64.5665,63.6282,63.9504,368764,HII
2013-09-25,63.9883,64.2443,63.5903,63.8651,407608,HII
2013-09-26,63.9789,64.2632,63.6187,63.8936,245642,HII
2013-09-27,63.4386,63.9789,63.1007,63.903,274219,HII
2013-09-30,63.5334,64.2822,63.0216,63.8841,295453,HII
2013-10-01,63.7419,65.3343,63.7419,65.1352,422411,HII
2013-10-02,64.8035,64.9741,64.377,64.5191,289811,HII
2013-10-03,64.4149,64.4907,63.6661,64.1021,415600,HII
2013-10-04,64.2158,64.5381,63.8936,64.3296,246055,HII
2013-10-07,63.903,64.3485,63.2869,64.0452,212042,HII
2013-10-08,63.9599,64.4999,63.3343,63.7988,351614,HII
2013-10-09,64.0073,64.4708,63.2206,63.8936,489420,HII
2013-10-10,64.6897,66.7181,64.5855,66.6802,503215,HII
2013-10-11,66.3105,67.2584,66.0831,67.0688,740646,HII
2013-10-14,66.6992,67.6754,66.6636,67.5806,462977,HII
2013-10-15,67.5238,67.8176,67.193,67.4764,317018,HII
2013-10-16,67.8081,68.2252,67.5143,67.7986,257680,HII
2013-10-17,67.5048,68.4432,67.5048,68.1967,316130,HII
2013-10-18,68.5474,69.2488,67.9408,69.2204,340752,HII
2013-10-21,69.2204,69.41,68.3863,68.5,186848,HII
2013-10-22,68.6517,68.9929,68.4053,68.4526,305046,HII
2013-10-23,68.1873,68.718,68.047,68.3105,341122,HII
2013-10-24,68.538,68.7275,68.1493,68.6422,348073,HII
2013-10-25,68.7086,68.7086,67.8366,68.1873,394343,HII
2013-10-28,68.0261,68.1019,67.7418,67.9219,176020,HII
2013-10-29,67.9124,68.2631,67.7419,68.2441,244301,HII
2013-10-30,68.2441,68.8128,67.5996,67.8839,196384,HII
2013-10-31,68.1209,68.5569,67.7892,67.8176,311390,HII
2013-11-01,67.9503,68.538,67.3532,68.083,169027,HII
2013-11-04,68.2157,69.0403,68.064,68.9929,233163,HII
2013-11-05,68.7654,69.0877,68.3484,68.4811,284865,HII
2013-11-06,68.6327,69.173,68.4147,68.8602,173719,HII
2013-11-07,71.0876,71.7606,68.8318,69.154,421553,HII
2013-11-08,69.9313,72.1208,69.173,72.1113,538560,HII
2013-11-11,72.3482,72.9075,71.9502,72.7274,408121,HII
2013-11-12,72.7463,73.533,72.5568,73.2203,480758,HII
2013-11-13,73.0781,74.5093,73.0781,74.3482,510862,HII
2013-11-14,74.4998,75.2865,74.3956,74.8505,350537,HII
2013-11-15,74.879,75.5045,74.5757,75.2202,280498,HII
2013-11-18,75.751,76.1585,74.8221,74.9832,361217,HII
