date,open,high,low,close,volume,Name
2013-05-21,53.0527,53.2667,52.4198,52.7674,800952,HOG
2013-05-22,52.705,53.0973,51.0913,51.3589,1285486,HOG
2013-05-23,50.6457,51.2787,50.2445,50.8418,1130081,HOG
2013-05-24,50.1465,50.2891,48.9251,49.4243,1997682,HOG
2013-05-28,50.5609,50.9993,49.9523,50.4266,1046591,HOG
2013-05-29,49.9971,49.9971,49.2185,49.6391,1103364,HOG
2013-05-30,49.3528,50.0955,49.308,49.5854,1224707,HOG
2013-05-31,48.9053,50.015,48.7263,48.8069,1474764,HOG
2013-06-03,48.959,49.4333,48.3326,48.8516,1671347,HOG
2013-06-04,48.968,49.2454,48.0373,48.3863,1089508,HOG
2013-06-05,48.0373,48.5116,47.7509,48.2342,1476080,HOG
2013-06-06,48.1894,48.7174,47.733,48.6369,975454,HOG
2013-06-07,48.5563,48.6816,47.4019,48.2521,1916938,HOG
2013-06-10,48.5474,48.8158,48.082,48.3326,1174137,HOG
2013-06-11,47.7509,48.0731,47.205,47.4735,1568790,HOG
2013-06-12,47.9657,48.0552,46.8113,46.9366,1102672,HOG
2013-06-13,46.9813,47.9299,46.7001,47.8494,906049,HOG
2013-06-14,47.8762,47.9925,47.4198,47.5451,950324,HOG
2013-06-17,47.8941,48.4847,47.4825,47.8941,1375859,HOG
2013-06-18,47.9925,48.8158,47.7688,48.4937,1081219,HOG
2013-06-19,48.5116,48.8964,47.9389,47.9389,904520,HOG
2013-06-20,47.3393,47.4198,46.2654,46.5697,1615036,HOG
2013-06-21,46.7576,46.8829,44.941,45.2274,3066612,HOG
2013-06-24,44.771,45.3526,43.9835,44.8784,1528542,HOG
2013-06-25,45.3884,46.3075,45.2229,46.1222,1574336,HOG
2013-06-26,46.686,47.0171,46.1401,46.8829,1496400,HOG
2013-06-27,47.1335,48.3773,47.1335,47.9478,2120616,HOG
2013-06-28,47.9746,49.666,47.9299,49.0575,4004845,HOG
2013-07-01,49.2901,50.2387,49.2901,49.7018,1842917,HOG
2013-07-02,49.8092,50.2297,48.9322,49.1022,1776178,HOG
2013-07-03,48.789,49.2633,48.6011,48.9232,418692,HOG
2013-07-05,49.3975,49.7286,49.1801,49.4423,692781,HOG
2013-07-08,49.9076,49.9434,49.2185,49.3707,798842,HOG
2013-07-09,49.7107,49.7913,48.4668,48.5026,1948933,HOG
2013-07-10,48.5116,48.6369,47.742,48.3147,1871765,HOG
2013-07-11,48.8516,49.3886,48.8337,49.308,1260449,HOG
2013-07-12,49.129,50.1403,49.0127,50.0776,1404597,HOG
2013-07-15,49.2364,49.9255,49.1146,49.6123,1652459,HOG
2013-07-16,49.4959,49.666,49.0038,49.2812,988899,HOG
2013-07-17,49.4691,50.1582,49.4512,49.7286,886582,HOG
2013-07-18,49.8271,50.5072,49.7197,50.3371,829681,HOG
2013-07-19,50.3371,50.4445,49.6033,49.9971,887938,HOG
2013-07-22,50.0866,50.3461,49.657,49.7823,753352,HOG
2013-07-23,49.9434,50.6593,49.9434,50.0776,1058072,HOG
2013-07-24,50.2119,50.4714,49.581,49.9881,1506693,HOG
2013-07-25,51.4289,53.2634,49.7286,49.8807,3183569,HOG
2013-07-26,49.5675,49.9165,49.0664,49.5496,1483762,HOG
2013-07-29,49.3975,51.1067,49.2185,50.4893,1502387,HOG
2013-07-30,50.8114,51.3931,50.5788,51.1873,1314474,HOG
2013-07-31,51.3663,51.6079,50.7264,50.8025,1344337,HOG
2013-08-01,51.3036,52.5427,51.2947,52.2969,1724741,HOG
2013-08-02,52.1269,52.6549,52.0106,52.4401,1373803,HOG
2013-08-05,52.3775,53.2097,52.3059,52.6996,964592,HOG
2013-08-06,52.6817,53.0844,52.3685,52.5385,1336838,HOG
2013-08-07,52.3775,52.4491,51.8942,52.1001,1004651,HOG
2013-08-08,52.5117,53.2187,52.3417,52.9681,1310359,HOG
2013-08-09,52.7981,52.986,52.1806,52.5922,868396,HOG
2013-08-12,52.3238,52.6101,51.6616,51.8853,955296,HOG
2013-08-13,51.93,52.7712,51.93,52.6728,1391682,HOG
2013-08-14,52.5206,52.9905,52.5206,52.6459,977334,HOG
2013-08-15,52.0016,52.1895,51.3126,51.4557,1277828,HOG
2013-08-16,51.3572,52.4535,51.2768,52.2969,1600971,HOG
2013-08-19,52.4133,52.7891,51.9121,51.9479,1283618,HOG
2013-08-20,51.9211,53.0218,51.8763,52.458,1435161,HOG
2013-08-21,52.1716,52.6012,52.0262,52.0553,907828,HOG
2013-08-22,52.1001,52.9412,52.1001,52.7802,690055,HOG
2013-08-23,53.0934,53.6482,52.7533,53.5498,1269122,HOG
2013-08-26,53.5677,53.9793,53.2634,53.4245,1365291,HOG
2013-08-27,52.7802,53.0665,52.5028,52.6638,1373532,HOG
2013-08-28,52.6191,53.1292,52.3954,52.977,1050679,HOG
2013-08-29,52.8965,53.9077,52.7981,53.6929,1228488,HOG
2013-08-30,53.6661,53.9793,53.4871,53.675,1399928,HOG
2013-09-03,54.2836,54.8473,54.2836,54.6505,1656006,HOG
2013-09-04,54.5968,56.1449,54.1583,55.6169,1980449,HOG
2013-09-05,55.6169,55.9838,55.4022,55.7333,967538,HOG
2013-09-06,55.778,56.1002,54.6326,55.4559,1218707,HOG
2013-09-09,55.9645,56.7187,55.9645,56.2967,1372457,HOG
2013-09-10,56.4942,57.2257,56.4673,57.033,1253838,HOG
2013-09-11,57.2305,57.2305,56.5841,56.8803,868861,HOG
2013-09-12,56.9432,57.015,56.4853,56.584,695834,HOG
2013-09-13,56.4673,56.8983,56.3685,56.8354,893130,HOG
2013-09-16,57.5358,57.859,56.7905,56.9073,734961,HOG
2013-09-17,57.0958,57.7859,57.024,57.7692,787162,HOG
2013-09-18,57.7692,58.4516,57.0509,58.1733,882727,HOG
2013-09-19,58.4965,58.4965,57.5986,57.9129,808339,HOG
2013-09-20,57.9578,58.3618,57.648,57.7064,1370911,HOG
2013-09-23,57.5537,57.8231,56.9073,57.4729,821162,HOG
2013-09-24,57.5986,58.2092,57.2754,57.7782,752005,HOG
2013-09-25,57.9398,58.1643,57.1766,57.455,992962,HOG
2013-09-26,57.6166,58.0745,57.4819,58.0296,668289,HOG
2013-09-27,57.6884,58.3349,57.5807,58.0476,978867,HOG
2013-09-30,57.4011,58.0925,56.8983,57.6794,1080471,HOG
2013-10-01,57.9219,59.134,57.8276,58.7659,1827301,HOG
2013-10-02,58.3798,58.6851,57.7513,58.6851,925946,HOG
2013-10-03,58.4157,59.0891,57.5986,57.8859,1130552,HOG
2013-10-04,58.1284,59.0532,58.0745,58.6312,994470,HOG
2013-10-07,57.9488,58.1373,57.4639,57.4729,1200796,HOG
2013-10-08,57.5178,57.7333,56.3506,56.5122,1211833,HOG
2013-10-09,56.7097,57.5537,56.3865,57.4011,1354278,HOG
2013-10-10,58.299,58.4606,57.859,58.0835,1173207,HOG
2013-10-11,57.8859,59.0442,57.8186,59.0352,943066,HOG
2013-10-14,58.4516,59.1609,58.1463,58.9814,885105,HOG
