date,open,high,low,close,volume,Name
2013-05-21,25.4746,25.5691,24.6753,25.4746,2164967,HRB
2013-05-22,25.423,25.784,24.9632,25.0878,3511907,HRB
2013-05-23,24.9073,25.1136,24.5979,25.0535,3108457,HRB
2013-05-24,24.8558,25.1136,24.6581,25.0878,1324140,HRB
2013-05-28,25.2511,25.6207,25.2511,25.509,1844866,HRB
2013-05-29,25.3629,25.5949,25.3027,25.4316,1496444,HRB
2013-05-30,25.466,25.7753,25.4058,25.509,1524785,HRB
2013-05-31,25.4574,25.9473,25.1566,25.1566,2605952,HRB
2013-06-03,25.2082,25.4058,24.7183,24.8472,2731210,HRB
2013-06-04,24.873,24.9568,24.2627,24.7526,2973621,HRB
2013-06-05,24.6753,24.7784,24.2026,24.3229,2094085,HRB
2013-06-06,24.2627,25.0363,24.194,25.0363,1988585,HRB
2013-06-07,25.2425,25.7324,25.1738,25.6465,2070586,HRB
2013-06-10,25.8776,26.0074,25.6093,25.8776,1732517,HRB
2013-06-11,25.7131,25.7563,25.3323,25.4448,2306542,HRB
2013-06-12,25.5487,25.5487,24.9082,24.9515,2731564,HRB
2013-06-13,24.7351,25.2804,23.9735,25.0207,6570232,HRB
2013-06-14,24.9255,25.0294,24.6746,24.7784,2794216,HRB
2013-06-17,24.9602,25.2371,24.813,24.9861,2647720,HRB
2013-06-18,25.0121,25.4102,24.9688,25.289,1607707,HRB
2013-06-19,25.289,25.5833,25.1765,25.1765,1776518,HRB
2013-06-20,24.9255,24.9515,24.3543,24.4322,1927903,HRB
2013-06-21,24.6226,24.7827,24.2938,24.6053,2613024,HRB
2013-06-24,24.2851,24.3284,23.5754,23.7831,2759778,HRB
2013-06-25,23.9649,24.2678,23.9303,24.138,1984070,HRB
2013-06-26,24.389,24.717,24.2332,24.5447,1964733,HRB
2013-06-27,24.7178,24.7438,24.3803,24.4842,1961202,HRB
2013-06-28,24.3457,24.4322,23.9908,24.0168,3714231,HRB
2013-07-01,24.1207,24.6313,24.1207,24.3543,2329384,HRB
2013-07-02,24.3543,24.5534,24.0817,24.2418,1617082,HRB
2013-07-03,23.9908,24.3976,23.8091,24.1639,971028,HRB
2013-07-05,24.4063,24.4928,24.1899,24.4928,885077,HRB
2013-07-08,24.5621,25.0813,24.5361,25.0554,2355760,HRB
2013-07-09,25.1419,25.3323,24.8823,25.2804,1976474,HRB
2013-07-10,25.3237,25.6396,25.1246,25.6006,1646704,HRB
2013-07-11,25.9641,25.9641,25.6699,25.9122,1987575,HRB
2013-07-12,25.9035,27.4008,25.6958,26.5094,5795987,HRB
2013-07-15,26.5873,26.6028,26.0593,26.1545,2321616,HRB
2013-07-16,26.1805,26.3795,25.7997,25.8083,2532276,HRB
2013-07-17,25.9208,26.4055,25.9122,26.3449,3664724,HRB
2013-07-18,26.3968,26.7257,26.3449,26.6132,1900792,HRB
2013-07-19,26.5959,27.0026,26.5959,26.8469,1571609,HRB
2013-07-22,26.6565,26.9075,26.3622,26.7603,1530565,HRB
2013-07-23,26.769,26.8469,26.6998,26.795,1788090,HRB
2013-07-24,26.8209,26.8209,26.4574,26.5094,2328553,HRB
2013-07-25,26.4834,26.6219,26.4042,26.5267,1504282,HRB
2013-07-26,26.3968,26.5267,26.3103,26.3882,1571541,HRB
2013-07-29,26.293,26.5267,26.2411,26.3709,1530968,HRB
2013-07-30,26.5353,27.0286,26.3968,27.0286,2914201,HRB
2013-07-31,27.046,27.4787,26.9421,27.2017,3097827,HRB
2013-08-01,27.4008,27.7729,27.4008,27.6864,1690631,HRB
2013-08-02,27.5825,27.6431,27.3835,27.5999,1307844,HRB
2013-08-05,27.496,27.6085,27.3921,27.4181,1130530,HRB
2013-08-06,27.3835,27.3921,27.1844,27.3575,995063,HRB
2013-08-07,27.1758,27.4094,27.0157,27.2796,909970,HRB
2013-08-08,27.4181,27.4354,27.1931,27.2969,686498,HRB
2013-08-09,27.1931,27.3489,27.1325,27.1498,1275812,HRB
2013-08-12,27.0113,27.271,26.9161,27.1671,884388,HRB
2013-08-13,27.1671,27.2472,27.046,27.1238,920987,HRB
2013-08-14,27.1238,27.1844,26.743,26.7603,1203487,HRB
2013-08-15,26.518,26.5483,25.5746,25.6439,2926812,HRB
2013-08-16,25.5314,25.8343,25.4535,25.6872,950845,HRB
2013-08-19,25.5573,25.6084,25.0207,25.0207,1428216,HRB
2013-08-20,25.0381,25.1159,24.839,25.0467,2300400,HRB
2013-08-21,25.0034,25.1073,24.7784,24.8044,1353391,HRB
2013-08-22,24.839,25.2804,24.813,25.1852,928878,HRB
2013-08-23,25.2198,25.2198,24.8736,25.0727,1188236,HRB
2013-08-26,25.1159,25.4189,25.0121,25.0986,1253361,HRB
2013-08-27,24.7698,24.9688,24.4729,24.4928,1042919,HRB
2013-08-28,24.4928,24.6356,24.3716,24.389,855454,HRB
2013-08-29,24.3111,24.5621,24.3111,24.3716,823946,HRB
2013-08-30,24.4495,24.4928,24.0774,24.1553,1018104,HRB
2013-09-03,24.4668,24.6573,23.9649,24.1293,2374493,HRB
2013-09-04,23.4542,24.0774,23.134,23.9735,6678485,HRB
2013-09-05,24.1347,24.1609,23.5331,23.5767,3244976,HRB
2013-09-06,23.4895,23.6639,23.4197,23.4633,2497121,HRB
2013-09-09,23.4982,23.7249,23.4372,23.6029,1556021,HRB
2013-09-10,23.7947,23.8906,23.6552,23.7511,1438465,HRB
2013-09-11,23.7511,23.786,23.4895,23.6203,1557258,HRB
2013-09-12,23.6203,23.908,23.5593,23.5854,1108333,HRB
2013-09-13,23.5854,23.8121,23.5244,23.7511,776176,HRB
2013-09-16,23.8906,24.0824,23.6682,23.69,1526821,HRB
2013-09-17,23.69,23.8993,23.6204,23.8906,1734434,HRB
2013-09-18,23.847,24.4225,23.847,24.3527,3027704,HRB
2013-09-19,24.3614,24.5184,24.2132,24.3004,2476458,HRB
2013-09-20,24.3265,24.3614,23.5244,23.6377,3181273,HRB
2013-09-23,23.629,23.6726,23.1669,23.4633,1876920,HRB
2013-09-24,23.5069,23.6159,23.2628,23.5244,1906417,HRB
2013-09-25,23.5069,23.5767,23.2454,23.3238,1449459,HRB
2013-09-26,23.3326,23.35,22.6699,22.7135,5604297,HRB
2013-09-27,22.6525,23.0012,22.6525,22.9838,8296517,HRB
2013-09-30,22.7571,23.629,22.6525,23.2454,6490887,HRB
2013-10-01,23.751,24.3353,23.6377,24.2917,6002858,HRB
2013-10-02,24.1086,24.4355,23.9037,24.3614,3510897,HRB
2013-10-03,24.2481,24.453,24.0214,24.3614,3461758,HRB
2013-10-04,24.4835,25.5647,24.3178,24.8584,5645201,HRB
2013-10-07,24.6056,24.6884,24.1958,24.2132,3517215,HRB
2013-10-08,24.1958,24.248,23.6988,23.7685,1648452,HRB
2013-10-09,23.5418,23.9429,23.193,23.7162,3446827,HRB
2013-10-10,23.8644,24.3614,23.8644,24.2655,2095833,HRB
2013-10-11,24.2655,24.4486,24.1173,24.1783,1564546,HRB
2013-10-14,24.0737,24.2045,23.7467,24.1783,2842373,HRB
2013-10-15,24.1086,24.3789,23.908,24.0998,2247550,HRB
2013-10-16,24.3353,25.3816,24.2219,25.1636,4504262,HRB
2013-10-17,25.0415,25.3816,24.8759,25.3554,2240708,HRB
2013-10-18,25.5211,25.6083,25.338,25.5036,2362190,HRB
2013-10-21,25.4688,25.5908,25.3205,25.3641,1761158,HRB
2013-10-22,25.3641,25.7042,25.3641,25.6344,2111773,HRB
2013-10-23,25.4775,25.4775,25.0502,25.1723,1473070,HRB
2013-10-24,25.2246,25.2944,24.9282,25.0241,1151637,HRB
2013-10-25,25.1636,25.1636,24.7581,24.8323,1110056,HRB
2013-10-28,24.8671,24.8759,24.6317,24.7102,1193212,HRB
2013-10-29,24.7974,25.3728,24.7887,25.1723,1825931,HRB
2013-10-30,25.2508,25.2944,24.7102,24.7799,939264,HRB
2013-10-31,24.8061,24.9543,24.6056,24.7974,1791579,HRB
2013-11-01,24.8846,25.229,24.8322,25.1897,1401195,HRB
2013-11-04,25.2072,25.7303,25.1956,25.6606,1528023,HRB
2013-11-05,25.5211,25.9222,25.3816,25.8262,1803398,HRB
2013-11-06,25.8698,25.8698,24.902,24.9718,3886831,HRB
2013-11-07,25.0328,25.1025,23.7424,23.8557,3368378,HRB
2013-11-08,23.8557,24.2917,23.8034,24.2829,1357734,HRB
2013-11-11,24.3527,24.5707,24.1522,24.2394,1085090,HRB
2013-11-12,24.2481,24.3178,23.8644,23.8906,1639532,HRB
2013-11-13,23.7162,24.5096,23.6552,24.4835,1659116,HRB
2013-11-14,24.4835,24.6317,24.3527,24.562,1207272,HRB
2013-11-15,24.5184,24.8759,24.3353,24.8497,2411335,HRB
2013-11-18,24.9369,24.9892,24.5968,24.684,1254190,HRB
2013-11-19,24.6143,24.9805,24.4661,24.7189,1105158,HRB
2013-11-20,24.7974,25.0415,24.6579,24.7363,807399,HRB
2013-11-21,24.7712,25.2682,24.7625,25.1985,960170,HRB
2013-11-22,25.1985,25.2333,24.9718,25.0328,1236814,HRB
2013-11-25,25.12,25.1985,24.5925,24.6404,1399415,HRB
2013-11-26,24.623,24.8584,24.3614,24.4137,1642314,HRB
2013-11-27,24.4225,24.6666,24.3091,24.5096,919453,HRB
2013-11-29,24.5009,24.5968,24.2786,24.3178,775386,HRB
2013-12-02,24.344,24.9325,24.2568,24.7887,1886186,HRB
2013-12-03,24.684,25.0677,24.6579,24.8235,2186067,HRB
2013-12-04,24.7189,24.8846,24.4835,24.841,1943521,HRB
2013-12-05,24.7619,25.1527,24.7005,25.0605,1710336,HRB
2013-12-06,25.2712,25.5698,25.1922,25.4732,1928899,HRB
2013-12-09,25.4556,25.5083,25.2888,25.482,1886381,HRB
2013-12-10,25.4117,25.6312,25.2273,25.2888,2616738,HRB
2013-12-11,24.9024,26.0791,23.8751,24.5951,8845880,HRB
2013-12-12,24.5336,24.8717,24.4019,24.718,3484529,HRB
2013-12-13,24.7005,24.9727,24.4634,24.6215,1950017,HRB
2013-12-16,24.7532,25.1395,24.6829,24.7707,2498194,HRB
2013-12-17,24.7532,24.9112,24.5424,24.5688,2521955,HRB
2013-12-18,24.56,24.8322,24.1648,24.8234,3092356,HRB
2013-12-19,24.8673,25.1044,24.7268,25.0078,1908728,HRB
2013-12-20,25.0342,25.28,24.9376,25.0605,3003248,HRB
2013-12-23,25.3854,25.4205,24.9376,25.3151,1368320,HRB
2013-12-24,25.3766,25.4469,25.0956,25.2361,413738,HRB
2013-12-26,25.3239,25.4293,25.2361,25.4117,780350,HRB
2013-12-27,25.4293,25.4381,24.9463,25.0429,1069791,HRB
2013-12-30,25.0429,25.64,24.9112,25.5434,1934945,HRB
2013-12-31,25.5434,25.6049,25.359,25.4995,1247594,HRB
2014-01-02,25.4556,25.8244,25.4205,25.7981,1835433,HRB
2014-01-03,25.9035,26.0352,25.561,25.7103,1653426,HRB
2014-01-06,25.7278,25.8244,24.9727,25.0078,4010901,HRB
2014-01-07,25.0078,25.3239,24.9902,24.999,3405355,HRB
2014-01-08,25.0078,26.2459,24.6171,26.1142,7809402,HRB
2014-01-09,26.5445,26.7815,26.1581,26.3688,5053321,HRB
2014-01-10,26.5884,26.7552,26.2854,26.6059,2382081,HRB
2014-01-13,26.4742,26.4918,25.7849,25.8244,3136184,HRB
2014-01-14,25.9122,26.123,25.7278,26.0,2290970,HRB
2014-01-15,26.0352,26.1142,25.64,25.7454,2079833,HRB
2014-01-16,25.6839,25.7366,25.0429,25.2976,3619653,HRB
2014-01-17,25.3064,25.6918,25.1659,25.4908,2988691,HRB
2014-01-21,25.7805,25.7805,25.1132,25.2712,1844539,HRB
2014-01-22,25.3151,25.763,25.1571,25.763,1971664,HRB
2014-01-23,25.5961,25.7278,25.2712,25.4644,2850339,HRB
2014-01-24,25.3503,25.4117,24.5249,24.6566,2892965,HRB
2014-01-27,24.7532,25.8991,24.7532,25.7015,4683692,HRB
2014-01-28,25.7015,25.8464,25.4732,25.7366,2703081,HRB
2014-01-29,25.5434,25.842,25.4293,25.5786,2813856,HRB
2014-01-30,25.7366,26.5357,25.482,26.4479,3219367,HRB
2014-01-31,26.0966,26.8079,25.9386,26.6937,4464107,HRB
2014-02-03,26.6498,26.7024,25.5522,25.7454,4276918,HRB
2014-02-04,25.8859,26.4127,25.5347,26.0088,3818925,HRB
2014-02-05,25.763,25.8771,25.5522,25.6839,2362110,HRB
2014-02-06,25.8069,26.123,25.6839,25.7805,2130309,HRB
2014-02-07,26.0088,26.5093,25.8859,26.0439,2858717,HRB
2014-02-10,26.0264,26.1142,25.8113,26.0966,1781112,HRB
2014-02-11,26.1581,27.1416,26.1405,27.0011,3972242,HRB
2014-02-12,26.9923,27.0011,26.404,26.7728,3588144,HRB
2014-02-13,26.6059,27.1416,26.5796,26.9835,2099589,HRB
2014-02-14,26.9484,27.4664,26.7815,27.282,1970687,HRB
2014-02-18,27.2908,27.3874,26.9923,27.1942,1672328,HRB
2014-02-19,27.1679,27.7738,27.124,27.5806,3342630,HRB
2014-02-20,27.7299,27.8089,27.5894,27.686,2227327,HRB
2014-02-21,27.8352,27.9494,27.2908,27.2908,3621707,HRB
2014-02-24,27.686,27.8791,27.5279,27.7035,2911164,HRB
2014-02-25,27.6596,28.2743,27.6596,28.2655,4664598,HRB
2014-02-26,28.3358,28.4675,27.8001,27.844,2221930,HRB
2014-02-27,27.8352,28.0196,27.5367,27.8265,1934741,HRB
2014-02-28,27.8616,27.967,27.4401,27.7826,3284369,HRB
2014-03-03,27.5016,28.1953,27.4138,28.046,2116328,HRB
2014-03-04,28.3182,28.3182,27.484,27.7211,4349252,HRB
2014-03-05,27.7826,27.8616,27.1942,27.3347,5270632,HRB
2014-03-06,27.563,27.5911,27.0801,27.1855,5070306,HRB
2014-03-07,26.6323,27.2206,26.3688,26.6849,8139688,HRB
2014-03-10,26.6762,26.843,26.5006,26.8167,2761700,HRB
2014-03-11,26.8342,27.0801,26.5348,26.5884,2663788,HRB
2014-03-12,26.4566,26.742,26.4391,26.5269,2485258,HRB
2014-03-13,26.5976,26.9423,26.191,26.3855,3843656,HRB
2014-03-14,26.3059,26.5092,25.917,25.9612,3690867,HRB
2014-03-17,26.0761,26.6153,26.0407,26.3766,1686860,HRB
2014-03-18,26.4031,26.4031,26.0849,26.1468,1851363,HRB
2014-03-19,26.191,26.3236,25.9788,26.1291,2299351,HRB
2014-03-20,26.0849,26.3678,25.9612,26.3501,1759444,HRB
2014-03-21,26.4562,26.7125,26.32,26.5357,2938803,HRB
2014-03-24,26.5711,26.7037,25.9523,26.1114,2204614,HRB
2014-03-25,26.2087,26.3147,25.7402,25.749,1889783,HRB
2014-03-26,25.8639,25.9435,25.6606,25.6606,2439519,HRB
2014-03-27,25.5899,25.6518,25.201,25.2629,3318926,HRB
2014-03-28,25.3778,26.8893,25.3247,26.8363,5307003,HRB
2014-03-31,26.7655,27.0661,26.3501,26.686,2989652,HRB
2014-04-01,26.8716,27.3843,26.7479,27.2871,2663783,HRB
2014-04-02,27.2694,27.5964,27.1456,27.3136,2533051,HRB
2014-04-03,27.3755,27.3755,26.2352,26.4915,3990821,HRB
2014-04-04,26.5711,26.7832,25.6518,26.0849,3813984,HRB
2014-04-07,25.9435,26.0142,24.9271,25.2187,4416959,HRB
2014-04-08,25.2275,25.6209,25.0154,25.5015,3249811,HRB
2014-04-09,25.528,25.9612,25.391,25.7932,1937573,HRB
2014-04-10,25.8374,25.9656,25.0507,25.1214,2745039,HRB
2014-04-11,26.412,26.412,23.7955,24.432,17767294,HRB
2014-04-14,24.6176,25.1038,24.4408,24.7855,3915075,HRB
2014-04-15,24.7237,24.9977,24.1933,24.8916,3695273,HRB
2014-04-16,25.0419,25.1745,24.927,25.0419,2026827,HRB
2014-04-17,24.9004,25.0419,24.7767,24.927,2143815,HRB
2014-04-21,24.8386,25.2584,24.5513,25.2275,2935809,HRB
2014-04-22,25.2363,25.3247,24.9977,25.0507,1616012,HRB
2014-04-23,25.0596,25.0861,24.6883,24.7237,2252493,HRB
2014-04-24,24.7767,24.98,24.6353,24.7237,1951839,HRB
2014-04-25,24.6176,24.7148,24.2375,24.4231,2832618,HRB
2014-04-28,24.6264,24.6441,23.853,24.2198,3188995,HRB
2014-04-29,24.3259,24.9623,24.0969,24.9004,2470886,HRB
2014-04-30,24.6618,25.1855,24.5911,25.1214,2370971,HRB
2014-05-01,25.1391,25.7755,25.0242,25.4662,3180662,HRB
2014-05-02,25.5015,25.749,25.3247,25.5634,1526653,HRB
2014-05-05,25.3954,25.5722,25.2452,25.475,1940051,HRB
2014-05-06,25.3689,25.4441,24.7502,24.7767,3845039,HRB
2014-05-07,24.8828,24.98,24.0695,24.4938,4664618,HRB
2014-05-08,24.4938,24.9004,24.3789,24.5292,1942080,HRB
2014-05-09,24.5822,24.7148,24.3082,24.706,1681389,HRB
2014-05-12,24.7502,25.201,24.7325,24.98,1740930,HRB
2014-05-13,24.9888,25.17,24.9093,24.9888,1651470,HRB
2014-05-14,24.9888,25.1303,24.8474,24.98,1469355,HRB
2014-05-15,24.8474,24.8828,24.3966,24.6971,3283652,HRB
2014-05-16,24.6529,24.9358,24.4673,24.9093,3007013,HRB
2014-05-19,24.8828,25.3601,24.8828,25.3247,1903435,HRB
2014-05-20,25.2452,25.3071,24.9623,25.0861,2033001,HRB
2014-05-21,25.1303,25.7048,25.0772,25.696,2241326,HRB
2014-05-22,25.8728,25.9347,25.6695,25.8551,2345867,HRB
2014-05-23,25.8816,25.9965,25.6871,25.97,1982877,HRB
2014-05-27,26.0319,26.1556,25.8374,26.0496,1497168,HRB
2014-05-28,26.0584,26.2971,25.7579,26.023,2243400,HRB
2014-05-29,26.0849,26.1733,25.7667,26.0054,1572488,HRB
2014-05-30,26.0407,26.3413,25.9347,26.3236,1925603,HRB
2014-06-02,26.3147,26.3324,25.886,25.917,1480779,HRB
2014-06-03,25.9435,26.1468,25.8021,25.8639,2278861,HRB
2014-06-04,25.8551,26.3943,25.8463,26.3766,1963994,HRB
2014-06-05,26.3678,26.5888,26.023,26.3589,1745476,HRB
2014-06-06,26.4031,26.7921,26.3678,26.7921,2364364,HRB
2014-06-09,26.7655,27.0838,26.7479,27.0484,3389709,HRB
2014-06-10,26.9158,27.181,26.8274,27.1633,3542604,HRB
2014-06-11,28.2594,28.7279,27.6141,28.4185,6701363,HRB
2014-06-12,28.5697,29.1479,28.543,28.7832,5339514,HRB
2014-06-13,28.8099,29.0322,28.632,28.8988,2530487,HRB
2014-06-16,28.8632,29.5215,28.8188,29.4859,3133273,HRB
2014-06-17,29.4503,29.815,29.4414,29.6993,2462482,HRB
2014-06-18,29.646,29.9262,29.4058,29.7527,2581667,HRB
2014-06-19,29.9217,29.931,29.3969,29.6104,2315204,HRB
2014-06-20,29.7661,29.7661,29.2724,29.5126,2986936,HRB
2014-06-23,29.6371,29.8683,29.4414,29.5392,1994955,HRB
2014-06-24,29.4147,29.7082,29.2279,29.2724,2646693,HRB
2014-06-25,29.2991,29.7349,29.2457,29.6905,1874096,HRB
2014-06-26,29.6371,29.7082,29.3169,29.6282,1588830,HRB
2014-06-27,29.5837,29.8594,29.4681,29.7527,1556185,HRB
2014-06-30,29.6993,29.8683,29.5081,29.815,2046441,HRB
2014-07-01,29.2635,29.5392,29.2457,29.2635,5885766,HRB
2014-07-02,29.3347,29.646,29.2991,29.5303,3098937,HRB
2014-07-03,29.7082,29.7438,29.5037,29.5748,1235988,HRB
2014-07-07,29.4681,29.5748,29.1746,29.2635,2025752,HRB
2014-07-08,29.2457,29.2902,28.5341,28.6053,4511403,HRB
2014-07-09,28.9878,29.2768,28.8632,29.2635,2863703,HRB
2014-07-10,28.8366,29.2368,28.6942,28.9967,1680243,HRB
2014-07-11,29.0411,29.5748,28.9984,29.3525,2104062,HRB
2014-07-14,29.4948,29.5215,29.1212,29.219,1458452,HRB
2014-07-15,29.2724,29.2857,29.0278,29.1034,1766991,HRB
2014-07-16,29.2991,29.308,28.8632,28.97,1868434,HRB
2014-07-17,28.8721,29.0145,28.4007,28.4096,1755283,HRB
2014-07-18,28.5075,28.8188,28.463,28.7921,1076860,HRB
2014-07-21,28.5875,28.7298,28.4541,28.5875,1176425,HRB
2014-07-22,28.6853,28.7921,28.4719,28.4897,1491333,HRB
2014-07-23,28.4719,28.6765,28.4363,28.5697,1427562,HRB
2014-07-24,28.5875,29.0678,28.5786,28.9967,2018785,HRB
2014-07-25,28.8366,29.05,28.7031,28.7743,1276778,HRB
2014-07-28,28.6231,28.8721,28.463,28.8543,1577516,HRB
2014-07-29,28.8188,28.9255,28.4808,28.4897,1032725,HRB
2014-07-30,28.6231,28.8721,28.463,28.8543,1577516,HRB
2014-07-31,28.5964,28.7743,28.5252,28.5786,1701517,HRB
2014-08-01,28.6142,28.6409,28.3829,28.4719,1279173,HRB
2014-08-04,28.4986,28.6498,28.3029,28.6231,1321582,HRB
2014-08-05,28.2762,28.7743,28.1428,28.5252,1457822,HRB
2014-08-06,28.4541,28.8632,28.3918,28.7298,1528790,HRB
2014-08-07,28.8188,29.0322,28.6765,28.801,1576900,HRB
2014-08-08,28.8455,29.0767,28.6765,29.0767,1520771,HRB
2014-08-11,29.2635,29.5748,29.139,29.557,1879554,HRB
2014-08-12,29.6104,29.7349,29.2813,29.3169,1788805,HRB
2014-08-13,29.4503,29.5126,29.2991,29.4592,1217935,HRB
2014-08-14,29.5303,29.6371,29.4147,29.5837,938754,HRB
2014-08-15,29.6282,29.6905,29.2457,29.5303,1154570,HRB
2014-08-18,29.726,29.8594,29.6282,29.7082,1129978,HRB
2014-08-19,29.815,29.8861,29.726,29.7705,2042107,HRB
2014-08-20,29.6727,30.0196,29.6549,29.9573,1639364,HRB
2014-08-21,30.0196,30.1441,29.8594,30.0907,1616443,HRB
2014-08-22,30.0107,30.1539,29.9484,30.0462,1089262,HRB
2014-08-25,30.1708,30.1708,29.9306,29.9751,923060,HRB
2014-08-26,30.0373,30.0774,29.9128,30.0018,1294382,HRB
2014-08-27,30.0107,30.0996,29.9395,30.0996,1058644,HRB
2014-08-28,29.9929,30.0508,29.8328,29.8506,1818570,HRB
2014-08-29,29.9217,30.0729,29.7883,29.8239,1869111,HRB
2014-09-02,29.9929,30.0996,29.815,29.8861,1766220,HRB
2014-09-03,29.9751,30.0462,29.6282,29.7972,2776584,HRB
2014-09-04,29.8328,29.9217,29.0189,29.1835,5231232,HRB
2014-09-05,29.2819,29.2909,28.8792,29.1029,1990680,HRB
2014-09-08,28.9239,28.9776,28.6465,28.8165,1897557,HRB
2014-09-09,28.8076,29.0313,28.6644,28.9508,3073176,HRB
2014-09-10,29.0313,29.1298,28.7897,28.9508,2113727,HRB
2014-09-11,28.8344,29.085,28.7271,29.0492,2329061,HRB
2014-09-12,29.0313,29.094,28.8523,29.0403,1621075,HRB
2014-09-15,28.9508,28.9508,28.7271,28.9239,1144339,HRB
2014-09-16,28.8165,28.9687,28.736,28.8792,1903287,HRB
2014-09-17,28.8523,29.1119,28.6823,28.8165,1202947,HRB
2014-09-18,28.8344,28.906,28.7539,28.8613,789941,HRB
2014-09-19,28.8523,28.9418,28.6823,28.8702,1563245,HRB
2014-09-22,28.745,28.9284,28.5078,28.915,2486420,HRB
2014-09-23,28.7897,28.8613,28.1901,28.208,2443929,HRB
2014-09-24,28.1722,28.387,28.0917,28.208,1904499,HRB
2014-09-25,28.1632,28.1632,27.7247,27.7605,2193635,HRB
2014-09-26,27.859,27.9977,27.7784,27.9843,1079707,HRB
2014-09-29,27.7426,28.0201,27.6979,27.7784,1670815,HRB
2014-09-30,27.8142,27.9216,27.501,27.7516,4249352,HRB
2014-10-01,27.6531,27.7516,27.152,27.3041,5417599,HRB
