date,open,high,low,close,volume,Name
2013-05-21,40.144,40.4898,39.8573,40.2705,2658695,IP
2013-05-22,40.3469,40.7203,39.2606,39.4643,3499527,IP
2013-05-23,38.8447,40.2366,38.7938,40.0414,4161568,IP
2013-05-24,39.8801,40.1432,39.5491,39.931,2160529,IP
2013-05-28,40.5166,41.1192,40.4572,40.6015,2782036,IP
2013-05-29,40.2535,40.3299,39.5152,39.7698,3617855,IP
2013-05-30,39.7868,40.1178,39.5593,39.7443,2184575,IP
2013-05-31,39.4982,40.0668,39.1672,39.1672,2395885,IP
2013-06-03,39.2266,39.2775,38.1658,38.9805,3414691,IP
2013-06-04,39.0739,39.3412,38.2958,38.6241,3619687,IP
2013-06-05,38.4883,38.5986,37.6056,37.6141,4586347,IP
2013-06-06,37.6056,38.2082,37.5802,38.2082,3369956,IP
2013-06-07,38.4713,38.7768,38.3334,38.7174,4184109,IP
2013-06-10,38.7174,38.9381,38.3779,38.6665,3339252,IP
2013-06-11,38.1997,38.6835,38.0469,38.4543,2191096,IP
2013-06-12,38.8617,38.9593,37.3595,37.368,3147178,IP
2013-06-13,37.8517,38.7853,37.4019,38.7089,3656214,IP
2013-06-14,38.7174,38.9041,38.4034,38.4883,2100889,IP
2013-06-17,38.8532,39.634,38.8277,39.2606,2804985,IP
2013-06-18,39.2945,39.4558,38.7344,39.0145,2710092,IP
2013-06-19,38.972,39.5067,38.8447,38.8447,2800033,IP
2013-06-20,38.2676,38.5052,37.4189,37.5632,3179125,IP
2013-06-21,38.1063,38.1063,36.0695,37.003,5942119,IP
2013-06-24,36.375,36.6721,35.9507,36.4005,4927301,IP
2013-06-25,36.7824,36.9946,36.392,36.7569,3732008,IP
2013-06-26,37.0879,37.5208,36.723,37.4529,3485504,IP
2013-06-27,37.6481,37.8772,37.2322,37.2577,3260383,IP
2013-06-28,37.0455,37.7923,36.6126,37.6056,9672120,IP
2013-07-01,37.8093,38.3694,37.8093,38.3015,4086230,IP
2013-07-02,38.2846,38.8956,38.2337,38.8277,4884842,IP
2013-07-03,38.4883,38.9126,38.4373,38.8447,1991519,IP
2013-07-05,39.1842,39.3624,38.8956,39.3115,1525952,IP
2013-07-08,39.5067,39.7613,39.4133,39.5237,2615009,IP
2013-07-09,39.7783,39.931,39.5831,39.7953,2937202,IP
2013-07-10,39.6595,39.6934,39.1927,39.4133,3330410,IP
2013-07-11,39.9735,40.4318,39.8207,40.3639,4024097,IP
2013-07-12,40.1687,40.9495,40.0499,40.8476,4314126,IP
2013-07-15,40.6949,40.9325,40.3851,40.8307,2694202,IP
2013-07-16,40.8476,41.1532,40.6524,41.0683,3308337,IP
2013-07-17,41.3993,41.5351,40.313,40.5336,3659167,IP
2013-07-18,40.5676,41.0174,40.5166,40.627,2787376,IP
2013-07-19,40.7458,40.8391,40.1602,40.4997,3358369,IP
2013-07-22,40.4742,40.8222,40.1899,40.2281,2887021,IP
2013-07-23,40.2875,40.4487,39.7571,39.7868,3521668,IP
