date,open,high,low,close,volume,Name
2013-05-21,46.1371,47.1384,46.0669,46.5675,37117109,JPM
2013-05-22,46.9276,48.2714,46.8047,47.1033,46951089,JPM
2013-05-23,46.3919,47.2429,46.2513,46.8574,25297169,JPM
2013-05-24,46.4621,47.1296,46.304,47.1296,18342221,JPM
2013-05-28,47.9201,47.9979,47.4502,47.9552,27164167,JPM
2013-05-29,47.5073,48.2714,47.3492,48.0167,20482608,JPM
2013-05-30,47.9552,49.097,47.8937,48.8511,24872254,JPM
2013-05-31,48.9301,49.0355,47.9464,47.9464,24974322,JPM
2013-06-03,47.9552,48.1836,46.5807,47.8586,28280137,JPM
2013-06-04,47.9025,48.6491,47.3141,47.4634,22021973,JPM
2013-06-05,47.235,47.6654,46.2865,46.5763,24325924,JPM
2013-06-06,46.4094,47.0067,45.9088,46.9891,23940236,JPM
2013-06-07,47.2262,47.8498,46.9101,47.6654,21691275,JPM
2013-06-10,47.9904,48.166,47.4458,47.7444,16007507,JPM
2013-06-11,46.954,47.4722,46.6466,46.9803,17600719,JPM
2013-06-12,47.3404,47.5161,46.5191,46.708,18476181,JPM
2013-06-13,46.5499,47.639,46.5236,47.5776,17087841,JPM
2013-06-14,47.4634,47.5424,46.4709,46.6641,17183052,JPM
2013-06-17,47.1648,47.6522,47.0242,47.2965,16855353,JPM
2013-06-18,47.4546,47.6654,47.1823,47.5249,13253408,JPM
2013-06-19,47.4195,47.8762,47.0067,47.033,20838070,JPM
2013-06-20,46.6202,46.708,45.9088,46.0932,31862273,JPM
2013-06-21,46.5148,46.5324,45.3994,45.6365,44414895,JPM
2013-06-24,44.688,45.1886,44.0117,44.7231,30555014,JPM
2013-06-25,45.2413,46.1674,45.2413,45.7419,20899419,JPM
2013-06-26,46.2425,46.3743,45.5645,46.1108,19331616,JPM
2013-06-27,46.5763,46.9803,46.4446,46.6817,17094217,JPM
2013-06-28,46.6553,46.6641,46.1811,46.3655,18262487,JPM
2013-07-01,47.084,47.4467,46.3851,46.4382,23513028,JPM
2013-07-02,46.509,47.3583,46.1108,46.7124,23939764,JPM
2013-07-03,46.2789,46.7213,46.1905,46.6859,10443381,JPM
2013-07-05,47.2079,47.7741,46.9867,47.7652,17070738,JPM
2013-07-08,48.2518,48.5792,47.8183,48.3934,21787090,JPM
2013-07-09,48.7207,48.8092,47.9422,48.5615,20510215,JPM
2013-07-10,48.4553,48.7915,48.1634,48.5084,16931388,JPM
2013-07-11,49.4019,49.4285,48.2607,48.7827,21295126,JPM
2013-07-12,49.11,49.4108,48.4376,48.6322,32526194,JPM
2013-07-15,49.0923,49.1011,48.3049,48.5615,28296290,JPM
2013-07-16,48.5703,49.0215,48.4642,48.6676,19224290,JPM
2013-07-17,48.703,49.1719,48.5172,48.8977,19166250,JPM
2013-07-18,49.11,50.0124,49.0923,49.8708,24562658,JPM
2013-07-19,49.9947,50.0345,49.4639,49.685,17760823,JPM
2013-07-22,49.6939,50.1362,49.4993,50.0389,16001777,JPM
2013-07-23,50.1805,50.3309,49.9637,50.1362,10577746,JPM
2013-07-24,50.3574,50.3663,49.8797,50.1009,16664911,JPM
2013-07-25,49.9416,49.9858,49.4462,49.9858,13860446,JPM
2013-07-26,49.5966,49.7381,49.1896,49.5877,16765035,JPM
