date,open,high,low,close,volume,Name
2013-05-21,88.1199,88.1199,86.8196,87.1789,2979330,KMB
2013-05-22,87.042,88.137,86.8966,87.3842,2400082,KMB
2013-05-23,86.6656,88.3252,86.4774,87.7178,6744062,KMB
2013-05-24,87.6922,88.5647,87.273,88.5476,6421767,KMB
2013-05-28,89.1892,89.4972,88.847,89.4202,6976364,KMB
2013-05-29,88.8128,88.8641,85.0574,85.1087,4738850,KMB
2013-05-30,85.3397,86.3662,85.2285,85.8102,2080116,KMB
2013-05-31,85.545,85.6819,82.8268,82.8332,4043858,KMB
2013-06-03,82.9786,83.0813,81.7041,82.722,4350369,KMB
2013-06-04,82.645,83.9111,82.5424,83.4748,2996347,KMB
2013-06-05,83.3972,83.3972,82.5346,82.5604,1932930,KMB
2013-06-06,82.3017,83.1125,81.5771,83.1125,3160364,KMB
2013-06-07,83.8285,84.5358,83.2937,83.7767,2011569,KMB
2013-06-10,83.7508,84.1994,82.9659,84.1649,2071296,KMB
2013-06-11,83.656,84.9757,83.2937,84.4927,1924967,KMB
2013-06-12,85.2,85.3553,83.4921,83.5093,2280799,KMB
2013-06-13,83.6128,84.5789,83.3023,84.1649,2494105,KMB
2013-06-14,84.1649,85.1828,84.0786,84.4151,2252409,KMB
2013-06-17,84.8032,85.9074,84.7946,85.8642,1937385,KMB
2013-06-18,85.985,85.985,85.2863,85.778,1659282,KMB
2013-06-19,85.3898,85.7435,83.2074,83.2419,2330743,KMB
2013-06-20,82.7028,82.7028,80.9215,81.6547,5431272,KMB
2013-06-21,82.5777,83.1729,81.8013,82.6208,3771700,KMB
2013-06-24,81.6374,82.8537,80.8783,82.0256,2368260,KMB
2013-06-25,82.5518,82.8624,81.439,82.4656,1906061,KMB
2013-06-26,83.1643,83.932,83.0435,83.6646,2137469,KMB
2013-06-27,84.0873,84.6988,83.8026,83.9492,1685882,KMB
2013-06-28,83.6732,84.139,83.1815,83.794,2488673,KMB
2013-07-01,83.5697,84.5789,83.5697,83.8199,1482000,KMB
2013-07-02,84.001,84.4582,83.3627,83.7077,1253078,KMB
2013-07-03,83.5352,84.0269,82.8365,83.6991,940488,KMB
2013-07-05,84.0441,84.1735,82.8882,84.0096,929612,KMB
2013-07-08,84.4754,85.0448,84.1407,84.5962,1545578,KMB
2013-07-09,85.131,85.4674,84.8119,84.993,1137536,KMB
2013-07-10,85.1569,85.3725,84.5358,85.0448,1850461,KMB
2013-07-11,85.8125,86.1316,85.3294,85.9591,1733492,KMB
2013-07-12,85.7607,86.2007,85.6141,86.1575,1148883,KMB
2013-07-15,86.1662,86.4422,85.4588,86.3646,1386361,KMB
2013-07-16,86.1662,86.4939,85.847,86.4249,2159278,KMB
2013-07-17,86.839,86.9563,85.847,85.9505,1404283,KMB
2013-07-18,86.0454,86.2783,85.2173,85.3208,2242421,KMB
2013-07-19,85.3467,85.8211,84.6738,85.8211,2922096,KMB
2013-07-22,84.07,85.3208,82.9314,84.2598,3239921,KMB
2013-07-23,84.2598,84.8507,83.3109,84.7083,2351830,KMB
2013-07-24,84.6911,84.7946,84.2512,84.4064,1606458,KMB
2013-07-25,84.3805,85.2173,84.2167,84.9412,1196650,KMB
