date,open,high,low,close,volume,Name
2013-05-21,56.0216,56.557,55.7885,56.4965,1724263,K
2013-05-22,56.4274,56.7296,55.8316,56.2116,3077402,K
2013-05-23,55.728,56.1425,55.5294,55.8575,2811842,K
2013-05-24,55.7626,55.7798,55.1495,55.6503,1615264,K
2013-05-28,56.1511,56.4102,55.7798,55.8835,1569029,K
2013-05-29,55.8144,55.8835,54.666,54.925,1554620,K
2013-05-30,55.0728,55.2989,54.7337,54.7337,1675728,K
2013-05-31,54.725,54.7685,53.9512,53.9512,2290610,K
2013-06-03,53.8816,54.4729,53.06,54.4555,2489477,K
2013-06-04,54.4468,55.0206,54.2903,54.8207,1834907,K
2013-06-05,54.6728,54.6728,53.7164,53.7251,1690264,K
2013-06-06,53.6208,53.9425,53.4208,53.9425,2497469,K
2013-06-07,54.2642,55.1424,54.1864,55.1163,2353568,K
2013-06-10,55.1163,55.1685,54.4555,54.838,1220072,K
2013-06-11,54.4729,55.2467,54.0294,54.7772,1665934,K
2013-06-12,55.0032,55.038,54.5859,54.6381,1333867,K
2013-06-13,54.7598,55.8553,54.3685,55.8466,2215347,K
2013-06-14,55.9249,56.6118,55.7423,55.8553,1800819,K
2013-06-17,56.151,56.6205,55.9684,56.2379,1598084,K
2013-06-18,56.1423,56.5161,55.8032,56.4466,1276513,K
2013-06-19,56.377,56.5248,55.4815,55.5336,1623672,K
2013-06-20,55.1771,55.351,54.3946,54.4033,2470329,K
2013-06-21,54.8989,55.1685,54.4729,54.9946,2940557,K
2013-06-24,54.8989,55.5945,54.4903,55.0032,1901189,K
2013-06-25,55.2119,55.6293,54.7772,54.9337,1634581,K
2013-06-26,55.3597,55.6901,55.1511,55.2293,1647914,K
2013-06-27,55.7075,56.3249,55.6554,56.0118,1536462,K
2013-06-28,55.9597,56.4988,55.8466,55.8466,2420235,K
2013-07-01,55.6727,56.8031,55.6727,56.4205,1566202,K
2013-07-02,56.2901,56.9335,56.1162,56.6118,1863823,K
2013-07-03,56.777,56.777,56.1944,56.5683,774535,K
2013-07-05,56.7074,56.9074,56.1857,56.8118,894610,K
2013-07-08,57.0204,57.3335,56.6726,57.1509,1341201,K
2013-07-09,57.3856,57.8204,57.203,57.3161,1051317,K
2013-07-10,57.2639,57.5334,57.0639,57.3595,1665939,K
2013-07-11,58.003,58.0464,57.6899,57.8464,1566692,K
2013-07-12,57.8464,57.9769,57.5421,57.8204,1373420,K
2013-07-15,57.716,57.9896,57.603,57.8378,1154957,K
2013-07-16,57.6465,57.916,57.4726,57.6552,938453,K
2013-07-17,57.6899,57.8247,57.4291,57.5421,1203516,K
2013-07-18,57.6291,58.0812,57.5769,57.9421,809561,K
2013-07-19,58.1682,58.5507,57.9769,58.5333,1445522,K
2013-07-22,58.4377,59.1107,58.3073,58.6551,1553562,K
2013-07-23,58.7159,58.829,58.2638,58.4551,1154491,K
2013-07-24,58.4725,58.5725,57.9856,58.1421,796295,K
2013-07-25,58.0377,58.4029,57.916,58.229,1122379,K
2013-07-26,57.9334,58.3334,57.5682,58.2377,1057614,K
2013-07-29,58.0377,58.4899,57.8291,58.1595,1033430,K
2013-07-30,58.3073,58.629,57.7682,57.7769,1707025,K
2013-07-31,57.9421,58.1073,57.49,57.5943,2210049,K
2013-08-01,57.3335,57.4813,56.5596,56.8813,3972449,K
2013-08-02,56.9857,56.9987,55.8727,56.7161,2834273,K
2013-08-05,56.7161,56.9074,56.3944,56.6726,1384300,K
2013-08-06,56.7248,57.2987,56.4988,57.2117,2279755,K
2013-08-07,57.1074,57.1856,56.7161,56.977,1864732,K
2013-08-08,57.1074,57.2682,56.89,57.09,1257544,K
2013-08-09,57.1248,57.2274,56.9465,57.1074,1496370,K
2013-08-12,57.0378,57.203,56.9248,57.1509,1369249,K
2013-08-13,57.2465,57.5943,56.9857,57.2987,1755817,K
2013-08-14,57.3335,57.3421,56.8813,56.8813,2098357,K
2013-08-15,56.5596,56.577,55.7771,56.0466,1994354,K
2013-08-16,55.7336,55.8684,54.6337,54.7337,3245922,K
2013-08-19,54.7076,54.9163,54.5114,54.6033,1454706,K
2013-08-20,54.6381,55.038,54.4294,54.4381,1971197,K
2013-08-21,54.499,54.499,53.8381,53.9425,1925614,K
2013-08-22,53.9773,54.3903,53.8468,54.2729,1383378,K
2013-08-23,54.4555,54.6642,54.3077,54.5424,1103344,K
2013-08-26,54.9913,54.9913,54.0277,54.0539,1500837,K
2013-08-27,53.7298,54.28,53.6509,53.9926,1525839,K
2013-08-28,53.8875,53.9839,53.502,53.5108,1583122,K
