date,open,high,low,close,volume,Name
2013-05-21,41.203,41.4335,40.9566,39.677,2481200,LB
2013-05-22,41.4256,41.5845,40.7023,39.3114,2822000,LB
2013-05-23,40.6228,41.4017,40.4718,39.0968,2456700,LB
2013-05-24,40.1539,40.3764,39.4385,38.0238,3018900,LB
2013-05-28,40.1539,40.1539,39.5339,38.0635,2502400,LB
2013-05-29,39.0729,39.1762,38.755,37.3402,3257400,LB
2013-05-30,38.9775,39.6611,38.914,37.8966,2700900,LB
2013-05-31,39.359,39.9075,39.1762,38.1907,3486700,LB
2013-06-03,39.7644,40.3287,39.4783,38.747,3799000,LB
2013-06-04,40.2731,41.7037,40.13,39.669,5961800,LB
2013-06-05,40.8374,41.2507,40.6625,39.6849,3953600,LB
2013-06-06,40.9169,40.9169,39.6213,38.914,3993400,LB
2013-06-07,40.4718,40.7261,40.1618,39.0809,2698000,LB
2013-06-10,40.5274,40.7102,40.0903,38.9298,1794900,LB
2013-06-11,39.9711,40.0028,39.5657,38.4609,1388600,LB
2013-06-12,40.1062,40.4002,39.6372,38.4132,1781700,LB
2013-06-13,39.9393,40.6069,39.8836,39.1683,1845800,LB
2013-06-14,40.3287,41.0679,40.3208,39.0173,4201500,LB
2013-06-17,40.5195,40.75,40.2572,39.1762,2164300,LB
2013-06-18,40.5195,41.6561,40.5036,40.1936,1972500,LB
2013-06-19,41.5845,42.2363,41.1315,39.8041,3004200,LB
2013-06-20,40.6705,41.0361,40.0664,39.3114,4451100,LB
2013-06-21,41.044,41.3063,40.6784,39.5657,4861100,LB
2013-06-24,40.5274,40.5592,39.1127,37.8648,2583800,LB
2013-06-25,39.5736,39.8518,39.2478,38.1986,1548300,LB
2013-06-26,39.8836,40.0664,39.2637,38.1986,1826100,LB
2013-06-27,39.6531,39.8041,39.065,37.7853,3301300,LB
2013-06-28,39.1127,39.6372,38.9934,37.833,3553700,LB
2013-07-01,39.4783,39.8041,39.3829,38.0953,2676600,LB
2013-07-02,39.4147,39.8836,39.3193,38.2463,1487800,LB
2013-07-03,39.3432,39.3432,38.7629,37.7933,1171500,LB
2013-07-05,39.4147,39.7008,38.9855,38.1509,2196400,LB
2013-07-08,39.6213,40.2174,39.5498,38.6914,2309400,LB
2013-07-09,40.2015,40.5831,39.8121,38.8424,2195100,LB
2013-07-10,40.1539,40.3764,39.8041,38.8742,2616700,LB
2013-07-11,40.7261,41.6402,40.5751,40.1936,3639400,LB
2013-07-12,41.5925,41.5925,40.9884,39.8041,1633100,LB
2013-07-15,41.0917,41.8071,41.044,39.9949,1469000,LB
2013-07-16,41.505,41.7355,40.9964,39.7962,1404800,LB
2013-07-17,41.2904,41.6561,41.0838,39.8916,1089800,LB
2013-07-18,41.362,41.8865,41.354,40.3844,1329100,LB
2013-07-19,41.7355,41.9024,41.4256,40.3208,1327000,LB
2013-07-22,41.6561,42.1091,41.6402,40.6466,914600,LB
2013-07-23,42.0773,42.4827,41.9342,40.8453,1672500,LB
2013-07-24,42.3078,42.4111,41.7196,40.432,1245100,LB
2013-07-25,41.7355,42.3316,41.7117,40.901,1086200,LB
2013-07-26,42.1965,42.737,41.9819,41.2348,1485900,LB
2013-07-29,42.6496,44.3505,42.6098,42.5621,4197600,LB
2013-07-30,44.2312,44.2312,43.5159,42.4906,2108200,LB
2013-07-31,43.9054,44.5174,43.81,42.8403,1950400,LB
2013-08-01,44.5969,45.797,44.4379,44.2074,1966500,LB
2013-08-02,45.6222,46.6475,45.5109,44.8591,3418000,LB
2013-08-05,46.3375,46.5362,45.6142,44.1438,2409500,LB
2013-08-06,45.495,45.5268,44.5492,43.7544,3969100,LB
2013-08-07,44.6604,45.5745,44.6604,44.0166,2850300,LB
2013-08-08,47.8238,48.3245,47.3628,46.2819,4349600,LB
2013-08-09,47.7443,48.7537,47.6887,47.0608,2429800,LB
2013-08-12,48.4278,48.6981,48.2053,47.0051,1517000,LB
2013-08-13,48.714,48.7696,48.1576,47.1323,1741700,LB
2013-08-14,48.7537,48.7537,48.2609,46.6872,2175000,LB
2013-08-15,47.9589,48.0463,47.5059,46.1467,1931400,LB
2013-08-16,47.6728,47.7443,46.9495,45.3837,2086600,LB
2013-08-19,46.8939,47.4184,46.7667,45.3519,1437900,LB
2013-08-20,47.0846,48.4596,47.0846,46.5998,1797100,LB
2013-08-21,48.223,48.3508,47.3761,46.4414,1912700,LB
2013-08-22,47.9114,47.9114,45.5466,45.4747,3643000,LB
2013-08-23,46.8808,47.5599,46.6811,45.9461,1756500,LB
2013-08-26,47.2963,47.5279,46.713,45.3708,1351200,LB
2013-08-27,46.1538,46.2177,45.3309,44.1565,2404700,LB
2013-08-28,45.4667,46.002,45.1152,44.3882,1260400,LB
2013-08-29,45.6744,46.2097,45.5786,44.5879,1362500,LB
2013-08-30,46.002,46.1218,45.6025,44.508,1250400,LB
2013-09-03,46.3136,46.4973,45.6585,44.5639,1502300,LB
2013-09-04,45.978,46.713,45.978,45.1152,2083100,LB
2013-09-05,46.3455,46.6491,45.3868,44.1485,4246300,LB
2013-09-06,45.6345,45.6585,44.9474,43.805,2112100,LB
2013-09-09,45.2191,46.1778,45.1791,44.8036,1210700,LB
2013-09-10,46.2577,46.5453,45.9621,45.2031,1220100,LB
2013-09-11,46.5932,47.0726,46.3855,45.5466,1479400,LB
2013-09-12,46.769,46.769,45.7703,44.6598,1350100,LB
2013-09-13,46.1538,46.8648,45.978,45.4507,1276900,LB
2013-09-16,47.48,47.5439,46.9447,45.7463,1106900,LB
2013-09-17,47.2483,47.9194,47.0726,46.5293,1332200,LB
2013-09-18,47.7916,48.8382,47.504,47.3522,1594000,LB
2013-09-19,48.8302,48.8462,48.1191,46.8648,1124900,LB
2013-09-20,48.3668,48.3668,47.6398,46.5533,1859000,LB
