date,open,high,low,close,volume,Name
2013-05-21,91.8462,92.1214,91.2613,92.0268,1452071,LMT
2013-05-22,91.8806,92.8353,91.3989,91.5967,2119770,LMT
2013-05-23,90.9,91.8591,90.7108,91.4333,4760271,LMT
2013-05-24,91.2441,92.1214,90.771,92.087,4807070,LMT
2013-05-28,92.6891,93.5836,92.5085,92.6805,5380134,LMT
2013-05-29,92.1644,92.6461,91.6741,92.302,1545389,LMT
2013-05-30,93.5802,94.3801,93.0498,93.0585,2068512,LMT
2013-05-31,92.7455,93.7193,92.0151,92.0151,1976152,LMT
2013-06-03,92.163,92.163,90.9892,91.6761,2035182,LMT
2013-06-04,91.5022,92.0064,90.9979,91.3544,1554867,LMT
2013-06-05,91.1718,91.2326,89.9371,90.0676,1333464,LMT
2013-06-06,90.2501,90.8675,89.5893,90.7457,1652506,LMT
2013-06-07,90.9109,93.4324,90.7892,93.3454,1827613,LMT
2013-06-10,93.415,93.5889,92.5281,92.7455,1108456,LMT
2013-06-11,92.1282,92.7368,91.4848,92.1282,1139090,LMT
2013-06-12,92.9542,93.3802,92.4238,93.0759,1597184,LMT
2013-06-13,93.0672,94.154,92.702,93.8758,1830965,LMT
2013-06-14,93.6845,94.3018,93.215,93.641,1053099,LMT
2013-06-17,94.1192,94.9887,93.6758,94.1366,1144352,LMT
2013-06-18,94.4062,94.9974,94.1801,94.6409,1656522,LMT
2013-06-19,94.5627,94.8496,92.9455,92.9716,1566002,LMT
2013-06-20,92.389,92.9716,91.2935,91.3283,2591079,LMT
2013-06-21,91.7282,92.2742,91.2935,91.3457,2836055,LMT
2013-06-24,91.0413,91.2239,89.998,90.2762,1419113,LMT
2013-06-25,90.8588,90.9544,90.0241,90.1371,1467607,LMT
2013-06-26,90.8588,92.0847,90.7362,91.963,1666649,LMT
2013-06-27,92.2934,93.5802,92.1716,93.3454,2536353,LMT
2013-06-28,93.1281,94.6496,93.1281,94.3018,2717385,LMT
2013-07-01,94.3018,94.6418,93.8062,93.954,1509088,LMT
2013-07-02,93.8671,93.8671,92.1108,92.5107,1586943,LMT
2013-07-03,92.4933,93.3628,91.763,93.2063,651550,LMT
2013-07-05,93.5367,94.4844,93.3541,94.4757,731768,LMT
2013-07-08,94.8148,95.1148,94.5279,94.9191,1102405,LMT
2013-07-09,95.406,95.9103,94.9018,95.2669,1150853,LMT
2013-07-10,95.3104,97.1015,95.1887,96.9624,1397083,LMT
2013-07-11,97.7101,98.3883,97.3971,98.3361,1118285,LMT
2013-07-12,98.3535,98.7448,97.1884,97.8405,1459316,LMT
2013-07-15,98.0318,99.4403,97.7805,99.4403,1445919,LMT
2013-07-16,99.4056,99.5621,97.8753,97.9014,1274475,LMT
2013-07-17,98.2405,99.1882,98.1622,99.1882,1131764,LMT
2013-07-18,99.2751,100.3272,99.1795,100.3272,1058193,LMT
