date,open,high,low,close,volume,Name
2013-05-21,114.2358,114.7876,113.3742,114.6327,1401989,MCK
2013-05-22,114.4294,115.5137,113.4613,113.8002,1193160,MCK
2013-05-23,112.9966,113.9938,112.4739,113.5388,838375,MCK
2013-05-24,113.0644,113.8873,112.3867,113.5678,665528,MCK
2013-05-28,114.0422,114.5262,111.5445,112.5997,1505799,MCK
2013-05-29,109.7826,111.1282,109.405,110.7216,1665176,MCK
2013-05-30,110.5667,111.7381,109.9568,111.2734,1047644,MCK
2013-05-31,110.9346,111.9801,110.1795,110.2279,1237108,MCK
2013-06-03,110.6345,110.6345,108.2626,109.1436,1679771,MCK
2013-06-04,108.95,109.7148,107.8173,108.7273,1454476,MCK
2013-06-05,108.2521,109.4547,108.0291,108.3006,949152,MCK
2013-06-06,108.417,108.9213,107.7769,108.4364,1047167,MCK
2013-06-07,109.2801,111.3847,109.2511,110.5215,1037511,MCK
2013-06-10,110.6573,111.8405,110.6282,111.2004,993234,MCK
2013-06-11,110.2015,110.861,109.3189,109.4644,1025107,MCK
2013-06-12,110.3664,110.5603,108.611,108.6401,737144,MCK
2013-06-13,108.7952,110.5118,107.9515,110.4148,769873,MCK
2013-06-14,110.2015,111.7532,110.056,110.8416,1163020,MCK
2013-06-17,111.5398,111.7144,110.2888,110.9289,1111651,MCK
2013-06-18,111.3653,112.2769,110.9386,111.1616,1112873,MCK
2013-06-19,111.3265,112.4515,110.4827,110.4924,1159270,MCK
2013-06-20,109.862,110.0075,107.0883,107.4472,1688152,MCK
2013-06-21,108.4655,109.4741,107.195,107.6217,2465231,MCK
2013-06-24,107.2338,108.5916,106.5074,108.1842,1140885,MCK
2013-06-25,108.6595,108.6595,107.2241,107.3599,1369527,MCK
2013-06-26,108.1454,112.1702,107.4569,112.0539,2385016,MCK
2013-06-27,112.3351,113.6735,111.889,112.0829,1214952,MCK
2013-06-28,112.1508,112.4903,111.0452,111.0452,1514356,MCK
2013-07-01,112.2769,113.2564,111.8211,112.6745,1388220,MCK
2013-07-02,112.4806,112.5776,110.3858,110.8319,1161780,MCK
2013-07-03,110.3858,111.4041,109.8427,111.1616,761156,MCK
2013-07-05,112.209,112.2866,111.181,112.2381,507728,MCK
2013-07-08,112.5,113.5183,112.2963,112.4418,867400,MCK
2013-07-09,112.9849,113.7123,112.4224,112.5097,954158,MCK
2013-07-10,112.5679,114.1099,111.2634,113.3631,956731,MCK
2013-07-11,114.4396,114.9245,114.2117,114.6627,734051,MCK
2013-07-12,114.8858,115.1573,114.0032,115.0603,727614,MCK
2013-07-15,115.3707,115.9235,114.7694,115.9041,607686,MCK
2013-07-16,115.7974,115.9527,114.4106,114.7306,809328,MCK
2013-07-17,114.847,115.0409,114.0808,114.4978,850213,MCK
2013-07-18,114.8179,115.4676,114.4493,114.9051,714043,MCK
2013-07-19,114.5657,115.3513,113.9838,115.07,686768,MCK
2013-07-22,115.1185,115.7974,114.75,114.9827,1275386,MCK
2013-07-23,115.1961,115.1961,114.0614,114.556,752123,MCK
2013-07-24,115.0118,115.1573,114.1875,114.8858,895495,MCK
2013-07-25,114.6821,115.1088,113.7317,115.0021,1005540,MCK
2013-07-26,117.3491,122.5474,117.3491,121.0829,1974139,MCK
2013-07-29,120.6077,120.7337,119.1336,120.3362,1378008,MCK
2013-07-30,120.2004,120.6853,119.4051,119.7058,958257,MCK
2013-07-31,119.6088,120.2586,118.1153,118.959,1340975,MCK
2013-08-01,119.5409,120.1374,118.9202,119.7834,985569,MCK
2013-08-02,119.347,120.1519,118.9202,119.6961,896193,MCK
2013-08-05,119.1918,120.3265,118.5517,119.7349,834247,MCK
2013-08-06,119.8125,120.0743,118.7554,119.8416,798132,MCK
2013-08-07,119.7058,119.9676,118.8814,119.3761,775611,MCK
2013-08-08,120.1713,120.889,119.5652,120.6756,812222,MCK
2013-08-09,120.5301,120.8308,119.5506,120.4623,779906,MCK
2013-08-12,120.2392,120.2974,118.862,119.1627,1041646,MCK
2013-08-13,119.2888,120.1228,118.8911,119.8125,682893,MCK
2013-08-14,119.8804,120.2392,119.4827,119.667,683308,MCK
2013-08-15,119.1142,119.3858,117.931,118.5226,925516,MCK
2013-08-16,118.2414,119.0851,117.931,118.1444,2384117,MCK
2013-08-19,117.8825,118.7069,117.8534,117.9601,887009,MCK
2013-08-20,117.9698,119.2742,117.8801,118.8233,814307,MCK
