date,open,high,low,close,volume,Name
2013-05-21,37.1237,37.3895,37.1237,37.3039,3220982,MMC
2013-05-22,37.2859,37.5562,36.7002,36.7633,2605920,MMC
2013-05-23,36.538,36.8624,36.3848,36.4659,2536714,MMC
2013-05-24,36.2226,36.4299,36.0694,36.4299,1691316,MMC
2013-05-28,36.7362,37.0651,36.4299,36.4929,2666868,MMC
2013-05-29,36.2767,36.4749,36.1055,36.2046,2543590,MMC
2013-05-30,36.2046,36.7137,36.1956,36.511,1626399,MMC
2013-05-31,36.4028,36.7002,36.0514,36.0604,2787355,MMC
2013-06-03,36.0965,36.3848,35.7721,36.3848,2507718,MMC
2013-06-04,36.3758,36.4929,35.9478,35.9793,2296032,MMC
2013-06-05,35.9523,35.9793,35.4928,35.5108,2058156,MMC
2013-06-06,33.7627,36.0244,33.7627,36.0064,2307600,MMC
2013-06-07,36.2947,36.556,36.1776,36.4479,3429314,MMC
2013-06-10,36.511,36.6371,36.2316,36.3668,2728588,MMC
2013-06-11,36.1415,36.4839,36.1235,36.2406,2246246,MMC
2013-06-12,36.4389,36.4569,35.7766,35.8802,1853676,MMC
2013-06-13,35.8712,36.3848,35.673,36.3217,1992601,MMC
2013-06-14,36.2587,36.4073,35.9343,35.9974,1413609,MMC
2013-06-17,36.1686,36.4555,36.1145,36.3217,3136005,MMC
2013-06-18,36.3668,36.4659,36.0514,36.4569,3298914,MMC
2013-06-19,36.3217,36.4659,35.5198,35.5739,4383793,MMC
2013-06-20,35.3125,35.5018,34.9882,35.0512,3129063,MMC
2013-06-21,35.3576,35.709,35.2134,35.4477,3930389,MMC
2013-06-24,35.1323,35.2315,34.6908,35.0512,2498948,MMC
2013-06-25,35.3306,35.5648,35.1549,35.4027,2050633,MMC
2013-06-26,35.709,36.0379,35.5648,35.9523,2647985,MMC
2013-06-27,36.1235,36.3398,35.9253,36.3037,2264897,MMC
2013-06-28,36.2226,36.2947,35.727,35.9703,3158830,MMC
2013-07-01,36.1055,36.5425,36.0694,36.4299,2442964,MMC
2013-07-02,36.3938,36.6191,36.1325,36.3127,2574160,MMC
2013-07-03,36.0694,36.4839,36.0064,36.2947,922572,MMC
2013-07-05,36.4569,36.9164,36.3713,36.8984,1414091,MMC
2013-07-08,37.2257,37.3798,36.9084,36.9809,2060049,MMC
2013-07-09,36.5548,37.2076,36.5548,37.0262,2743565,MMC
2013-07-10,36.9265,37.1033,36.8086,37.0444,1634644,MMC
2013-07-11,37.407,37.9691,37.3889,37.9147,2668137,MMC
2013-07-12,37.8785,37.9238,37.5158,37.7606,1258635,MMC
2013-07-15,37.8059,37.9328,37.543,37.6881,1540591,MMC
2013-07-16,37.7878,37.9147,37.5249,37.7425,2064796,MMC
2013-07-17,37.8241,37.9419,37.5702,37.5793,1343934,MMC
2013-07-18,37.6337,38.0598,37.5974,37.9238,1474096,MMC
2013-07-19,37.9238,37.9782,37.7334,37.8966,1177260,MMC
2013-07-22,37.8603,37.9782,37.8059,37.9782,1049309,MMC
2013-07-23,37.951,38.0054,37.7878,37.8331,1353414,MMC
