date,open,high,low,close,volume,Name
2013-05-21,41.008,41.6801,41.008,41.5289,4511792,M
2013-05-22,41.5289,41.949,40.9324,41.1676,4369992,M
2013-05-23,40.8316,41.4029,40.714,41.1508,3016995,M
2013-05-24,40.8232,41.4564,40.6299,41.3441,2732587,M
2013-05-28,41.7726,42.0078,41.2265,41.5205,2592885,M
2013-05-29,41.2181,41.2937,40.6468,41.0416,2622164,M
2013-05-30,41.092,41.7558,41.0416,41.3273,3751051,M
2013-05-31,40.9408,41.4365,40.6131,40.6131,3332760,M
2013-06-03,40.8232,41.008,40.2855,40.9576,4051823,M
2013-06-04,40.8484,40.9744,40.2015,40.6552,4006853,M
2013-06-05,40.4535,40.6468,39.7226,39.7898,3729922,M
2013-06-06,39.9158,40.6552,39.8234,40.6552,3690926,M
2013-06-07,40.8568,41.176,40.7308,40.84,2961454,M
2013-06-10,41.2118,41.5327,41.0935,41.3216,3482949,M
2013-06-11,40.9246,41.5074,40.76,41.0091,2939670,M
2013-06-12,41.1104,41.3216,40.5108,40.5868,3096941,M
2013-06-13,40.6797,41.3131,40.4686,41.178,3378442,M
2013-06-14,40.9669,41.6002,40.8317,40.9415,2194522,M
2013-06-17,41.3047,41.7354,40.9753,41.2202,2853515,M
2013-06-18,41.1273,41.786,41.0767,41.6509,2530524,M
2013-06-19,41.6931,41.7691,40.7642,40.8149,3360097,M
2013-06-20,40.5193,40.7557,39.413,39.5397,4195969,M
2013-06-21,39.8606,40.021,38.9569,39.5734,5256311,M
2013-06-24,39.1596,39.2948,38.6107,38.9654,3017634,M
2013-06-25,39.2272,39.5481,39.0794,39.337,2247981,M
2013-06-26,39.6917,40.3673,39.6579,40.3082,2913987,M
2013-06-27,40.6713,41.1104,40.564,40.6628,4036652,M
2013-06-28,40.7389,40.9584,40.4771,40.5362,5580344,M
2013-07-01,40.7473,41.2962,40.7051,40.7557,3648097,M
2013-07-02,40.7473,41.1104,40.5446,40.874,3605398,M
2013-07-03,40.57,41.0006,40.3588,40.9415,2003322,M
2013-07-05,41.3807,41.5834,40.933,41.5327,2022513,M
2013-07-08,41.6847,42.6221,41.6678,42.4532,3735662,M
2013-07-09,42.6474,42.8754,42.4363,42.5376,2919525,M
2013-07-10,42.4363,42.639,41.3469,41.7776,4734646,M
2013-07-11,42.2252,42.259,41.5348,41.9634,3675369,M
2013-07-12,41.9634,42.2674,41.5834,41.7438,3546426,M
2013-07-15,41.9803,42.6474,41.8789,42.411,3858441,M
2013-07-16,42.4447,42.6474,41.8198,42.014,5493783,M
2013-07-17,42.0901,42.1559,41.7776,41.8283,1751122,M
2013-07-18,41.8789,41.9043,41.2287,41.558,3187186,M
2013-07-19,41.5918,41.5918,40.7304,41.406,5933090,M
2013-07-22,41.4229,41.8367,41.3047,41.3047,2953337,M
2013-07-23,41.3638,41.6805,41.0429,41.2033,2824430,M
2013-07-24,41.2624,41.4905,40.6628,40.7895,4017373,M
2013-07-25,40.7135,40.8106,40.2406,40.5362,4014913,M
2013-07-26,40.3588,40.7262,40.097,40.6797,2569066,M
2013-07-29,40.6037,40.9753,40.5108,40.7642,1993962,M
2013-07-30,40.9838,41.1273,40.4517,40.6713,4140002,M
2013-07-31,40.7811,41.3469,40.6291,40.8233,4701014,M
2013-08-01,41.3131,41.8367,41.0682,41.6087,4129642,M
2013-08-02,41.5074,41.7945,41.3385,41.7691,2143695,M
2013-08-05,41.6171,41.9887,41.5665,41.9465,2099974,M
2013-08-06,41.6678,41.8198,40.4602,40.9078,4809177,M
2013-08-07,40.646,40.6966,40.0759,40.3926,4852875,M
2013-08-08,40.57,40.8486,39.9619,40.7304,6248327,M
2013-08-09,40.6882,41.0471,40.249,40.9753,4733585,M
2013-08-12,40.7473,40.9415,40.4771,40.6291,4973074,M
2013-08-13,40.5362,41.0851,40.4517,40.9584,6379294,M
2013-08-14,39.4299,39.6494,38.8978,39.1258,17050217,M
2013-08-15,38.7205,39.1934,38.2222,39.1005,9928541,M
2013-08-16,38.9569,38.9569,37.9858,37.9942,7749226,M
2013-08-19,38.0618,38.3151,37.8338,37.9604,4554357,M
2013-08-20,38.0871,38.636,37.9942,38.5178,8227147,M
2013-08-21,38.3489,38.5431,37.6311,37.9435,6897003,M
2013-08-22,38.0027,38.3109,37.8338,37.9604,2912242,M
2013-08-23,37.9351,38.0702,37.5297,37.8253,3713571,M
2013-08-26,37.8,37.9182,37.2679,37.2933,5268398,M
2013-08-27,36.9893,37.1075,36.6346,36.7106,5329212,M
2013-08-28,36.7528,37.6437,36.6135,37.4284,7103248,M
2013-08-29,37.3355,38.1631,37.2511,37.6733,5705619,M
2013-08-30,37.7324,37.8844,37.3693,37.5213,3341296,M
2013-09-03,37.8,38.0027,37.2342,37.3946,5274122,M
2013-09-04,37.2848,38.0027,37.2595,37.8338,4902762,M
2013-09-05,37.8591,38.8725,37.8338,38.8641,6995038,M
2013-09-06,38.9316,38.9992,37.9604,38.0702,6742446,M
2013-09-09,38.3698,38.769,38.3656,38.5567,3125608,M
2013-09-10,38.769,38.803,37.7584,37.8603,6147457,M
2013-09-11,37.7074,37.7584,37.2658,37.4866,6781093,M
2013-09-12,37.4441,37.6819,36.9261,36.9686,6442744,M
2013-09-13,37.2148,37.9707,36.9431,37.9622,5980532,M
2013-09-16,38.2764,38.4208,38.0726,38.1915,3413853,M
2013-09-17,38.2085,38.4803,38.1957,38.2594,3020058,M
2013-09-18,38.3614,38.8794,37.7923,38.7096,4266038,M
2013-09-19,38.7775,39.0493,38.5057,38.5992,3435700,M
2013-09-20,38.5482,38.7011,37.8603,37.8943,5397753,M
2013-09-23,37.8943,38.0259,37.5163,37.9537,4426172,M
2013-09-24,37.7839,37.8943,36.8582,37.011,7716418,M
2013-09-25,37.0365,37.1469,36.2637,36.3486,6924837,M
2013-09-26,36.425,36.8157,36.2467,36.7902,5070822,M
2013-09-27,36.7647,37.1979,36.7054,36.9601,5397892,M
2013-09-30,36.5864,36.8327,36.4505,36.7478,3819107,M
2013-10-01,36.7138,37.1979,36.6925,36.8921,4646009,M
2013-10-02,36.6713,37.3507,36.5312,37.3422,5559932,M
2013-10-03,37.3337,37.7745,37.011,37.5461,5835269,M
2013-10-04,37.6055,37.6055,37.1384,37.4272,4433027,M
2013-10-07,37.045,37.062,36.51,36.51,4639743,M
2013-10-08,36.6204,36.6883,36.0004,36.0514,5176473,M
2013-10-09,36.1533,36.3061,35.8221,35.9749,5073561,M
2013-10-10,36.5354,36.7945,36.3996,36.6968,3451535,M
2013-10-11,36.5354,36.5524,35.856,36.2127,5182840,M
2013-10-14,36.0514,36.2764,35.8645,36.1618,4611874,M
2013-10-15,36.2467,36.5779,35.8985,36.0768,5411918,M
2013-10-16,36.2297,37.2531,36.1787,37.1894,8316011,M
2013-10-17,37.045,37.8433,36.9516,37.7584,5699781,M
2013-10-18,37.8008,37.9197,37.1129,37.6989,5033594,M
2013-10-21,37.7669,37.8348,37.2743,37.5715,2858564,M
2013-10-22,37.5546,37.9707,37.3847,37.8773,4372436,M
2013-10-23,37.8348,38.0259,37.4357,37.8263,2830884,M
2013-10-24,37.8518,38.3868,37.479,38.3019,3894113,M
2013-10-25,38.4208,38.4208,37.9452,38.1236,3580255,M
2013-10-28,37.7074,38.7682,37.5121,38.5907,5108897,M
2013-10-29,38.769,39.2871,38.769,39.1767,5080074,M
