date,open,high,low,close,volume,Name
2013-05-21,69.1444,69.6268,68.6705,69.3425,1373341,NEE
2013-05-22,69.2564,69.9111,67.8435,68.1967,1805030,NEE
2013-05-23,67.7315,67.7315,67.1198,67.3869,2062167,NEE
2013-05-24,67.1112,67.1974,66.2325,66.5943,1837660,NEE
2013-05-28,66.8355,66.8614,65.9869,66.3531,2045390,NEE
2013-05-29,66.0085,66.086,64.4922,65.2331,2521195,NEE
2013-05-30,65.6676,66.8757,65.2852,65.798,1962592,NEE
2013-05-31,65.5373,67.0321,65.4678,65.7198,2572075,NEE
2013-06-03,65.7545,66.8105,64.9898,66.2934,2191104,NEE
2013-06-04,66.1717,66.6671,66.0413,66.4759,2280794,NEE
2013-06-05,66.2673,66.3594,65.7372,66.0413,1534396,NEE
2013-06-06,66.024,67.2581,65.8675,67.2581,2888867,NEE
2013-06-07,67.7969,68.5095,67.3797,68.4835,3262083,NEE
2013-06-10,68.4226,69.0049,68.1384,68.3792,3210554,NEE
2013-06-11,67.8751,68.7616,67.6752,68.5443,2856622,NEE
2013-06-12,68.8745,69.0397,67.4579,67.5709,1696864,NEE
2013-06-13,67.6665,68.9267,67.4319,68.7703,1692818,NEE
2013-06-14,68.8137,69.8131,68.7876,69.2917,2262736,NEE
2013-06-17,69.8653,70.3607,69.7089,70.0999,2300840,NEE
2013-06-18,70.2738,71.0038,70.1521,70.9082,1937123,NEE
2013-06-19,70.7431,71.0733,69.6915,69.6915,1963470,NEE
2013-06-20,69.1527,69.17,67.0929,67.2059,2516620,NEE
2013-06-21,67.7447,68.4487,66.8409,68.075,3173508,NEE
2013-06-24,67.6491,68.7181,67.1016,68.1184,1690769,NEE
2013-06-25,68.6138,68.9788,67.8925,68.6573,1619906,NEE
2013-06-26,69.1787,69.9348,69.0991,69.3873,1670132,NEE
2013-06-27,69.7175,70.352,69.4568,69.8914,1250093,NEE
2013-06-28,70.7952,71.0646,69.6828,70.8126,2747775,NEE
2013-07-01,71.1602,71.2211,69.4829,69.7262,2607833,NEE
2013-07-02,69.7262,70.3954,69.5437,69.8218,1984271,NEE
2013-07-03,69.4655,69.8914,69.283,69.6306,699222,NEE
2013-07-05,69.6741,69.7958,68.692,69.4655,1195387,NEE
2013-07-08,69.535,70.4823,69.3525,70.0999,1994875,NEE
2013-07-09,70.4128,70.9908,70.0913,70.6996,1562196,NEE
2013-07-10,70.5519,71.2037,70.2738,70.943,1046254,NEE
2013-07-11,71.5079,72.4812,71.4905,72.3335,1736501,NEE
2013-07-12,72.3074,73.1243,71.9598,73.0114,1446528,NEE
2013-07-15,72.7593,74.6365,72.7072,74.2541,2052938,NEE
2013-07-16,74.315,74.4367,73.4111,73.837,2633055,NEE
2013-07-17,74.2628,74.4367,73.5328,73.7066,1769819,NEE
2013-07-18,73.9239,74.4714,73.724,74.2455,1455442,NEE
2013-07-19,74.3324,74.5844,73.7675,73.837,1818678,NEE
2013-07-22,73.8978,74.1933,73.6979,73.7675,1241551,NEE
2013-07-23,73.8978,74.2281,73.5415,73.6979,2578952,NEE
2013-07-24,73.6632,73.7414,72.6898,72.7941,2184487,NEE
2013-07-25,72.6637,73.1939,72.6377,73.0722,1821681,NEE
2013-07-26,72.3509,73.0114,72.0989,72.9592,1498474,NEE
2013-07-29,73.0896,74.4671,73.0461,73.6892,2925889,NEE
2013-07-30,76.1748,76.1748,73.8804,75.158,2428412,NEE
2013-07-31,75.2797,75.7142,74.3245,75.271,2852145,NEE
2013-08-01,75.6273,76.8179,75.6273,76.731,2911360,NEE
2013-08-02,76.5659,76.6441,76.0271,76.4268,1779562,NEE
2013-08-05,76.3139,76.3139,75.6099,75.6794,1237059,NEE
2013-08-06,75.7924,76.0531,75.3318,75.4535,2129401,NEE
2013-08-07,75.7403,75.8619,75.0972,75.4013,1758596,NEE
2013-08-08,75.4709,75.6968,75.0624,75.2883,1463806,NEE
2013-08-09,75.2275,75.5056,74.6896,74.9668,1133701,NEE
2013-08-12,74.7408,74.8625,74.1064,74.3845,945176,NEE
2013-08-13,74.5149,74.5801,73.8457,73.9587,1024101,NEE
2013-08-14,73.8109,74.0716,73.0201,73.3677,1483436,NEE
2013-08-15,72.9331,72.9331,71.9945,72.1336,1465720,NEE
2013-08-16,72.2379,72.3769,70.7778,71.3949,2545803,NEE
2013-08-19,71.2645,71.6991,70.6735,70.8647,1085796,NEE
2013-08-20,70.9343,72.1423,70.7518,71.4296,1369031,NEE
2013-08-21,71.1515,71.2384,69.8045,70.2042,2123730,NEE
2013-08-22,70.3607,70.5953,69.8523,70.3694,1436597,NEE
2013-08-23,70.3954,70.9864,70.0826,70.7518,741245,NEE
2013-08-26,71.306,71.3586,70.5613,70.5876,1143611,NEE
2013-08-27,70.1407,71.398,69.8691,71.0519,2315076,NEE
2013-08-28,70.6576,71.4024,69.8778,71.0432,2716982,NEE
2013-08-29,71.0081,71.0695,70.3422,70.5876,1379305,NEE
2013-08-30,70.6226,70.9643,70.0531,70.4123,1146078,NEE
2013-09-03,71.0344,71.0782,69.5974,69.8953,1415408,NEE
2013-09-04,69.7814,70.386,69.3258,70.1845,1168100,NEE
2013-09-05,70.386,70.7803,69.9392,70.0618,2352290,NEE
2013-09-06,70.2721,70.8154,70.018,70.1056,2658679,NEE
2013-09-09,70.1845,70.3597,69.9654,70.2984,1647280,NEE
2013-09-10,70.5876,70.6839,70.2255,70.6314,1238400,NEE
2013-09-11,70.5788,70.5788,69.0717,69.7551,3125139,NEE
2013-09-12,69.9041,70.1056,69.1506,69.4572,2190466,NEE
2013-09-13,69.7201,69.9129,69.2908,69.4134,1466003,NEE
2013-09-16,70.3247,70.7365,69.133,69.3696,3291535,NEE
2013-09-17,69.3696,69.6762,69.0717,69.2207,2092469,NEE
2013-09-18,69.0892,72.6204,69.0542,72.3312,4192695,NEE
2013-09-19,72.375,73.5053,72.2699,72.4626,2034893,NEE
2013-09-20,71.7179,71.8493,70.57,70.7015,4789431,NEE
2013-09-23,70.5437,71.3674,70.188,71.1659,2381278,NEE
2013-09-24,71.2184,71.5251,70.754,71.1659,2108991,NEE
2013-09-25,71.0782,71.4375,70.386,70.386,1972500,NEE
2013-09-26,70.5525,70.9468,70.202,70.4824,1805758,NEE
2013-09-27,70.4298,70.6138,69.9304,70.1582,1645153,NEE
2013-09-30,69.8953,70.2458,69.6588,70.2371,2381893,NEE
2013-10-01,70.3334,70.7277,70.0268,70.1582,1745835,NEE
2013-10-02,69.8778,70.5613,69.7814,70.4561,1867851,NEE
2013-10-03,70.2809,70.2809,69.1944,69.615,1478157,NEE
2013-10-04,69.6325,69.9654,69.3609,69.7902,1105394,NEE
2013-10-07,69.431,70.0005,69.3521,69.5273,818577,NEE
2013-10-08,69.4923,70.6839,69.4923,69.8252,1650514,NEE
2013-10-09,70.0706,71.2097,69.7762,70.0969,1407866,NEE
2013-10-10,70.4999,71.42,69.6851,71.3236,1956791,NEE
2013-10-11,71.2359,71.7967,71.0519,71.6302,1427092,NEE
2013-10-14,71.2009,71.2447,70.1407,71.0257,1639771,NEE
2013-10-15,70.8679,71.1045,70.2195,70.2809,1281978,NEE
2013-10-16,70.4736,71.42,70.2371,71.42,1628709,NEE
2013-10-17,71.1659,72.8044,70.6752,72.7255,1509451,NEE
2013-10-18,73.1461,73.5229,72.9095,73.1987,2192702,NEE
2013-10-21,73.1286,73.7682,73.0059,73.4177,1795168,NEE
2013-10-22,73.4878,74.9423,73.4265,74.4867,2020587,NEE
2013-10-23,74.1099,75.3103,74.0573,74.5568,1737430,NEE
2013-10-24,74.9511,74.9511,74.0546,74.6269,1236639,NEE
2013-10-25,74.4779,75.3279,74.0398,75.3103,1106316,NEE
2013-10-28,74.9686,75.3979,74.2063,74.6181,2341074,NEE
2013-10-29,74.6269,75.3979,74.4166,75.3366,1395276,NEE
2013-10-30,75.5381,75.9938,74.8897,74.9861,1636457,NEE
2013-10-31,75.0037,75.1263,73.6893,74.2589,2944116,NEE
