date,open,high,low,close,volume,Name
2013-05-21,25.4786,25.578,25.2073,25.4153,2085006,NWL
2013-05-22,25.3972,25.5871,24.8366,24.9903,3461878,NWL
2013-05-23,24.71,24.927,24.6377,24.7914,2531283,NWL
2013-05-24,24.6016,24.8457,24.4704,24.7643,1793851,NWL
2013-05-28,25.0265,25.1033,24.8276,24.918,1489360,NWL
2013-05-29,24.7271,24.8089,24.5453,24.5726,1949919,NWL
2013-05-30,24.6635,24.8635,24.6362,24.6635,1277391,NWL
2013-05-31,24.5453,24.8044,24.3453,24.5816,2478767,NWL
2013-06-03,24.5726,24.7271,24.2044,24.618,4064211,NWL
2013-06-04,24.5726,24.6998,24.3453,24.4544,4329567,NWL
2013-06-05,24.3544,24.4635,23.9453,24.0271,2121259,NWL
2013-06-06,23.9998,24.3089,23.8453,24.3089,2270749,NWL
2013-06-07,24.4726,24.8453,24.3989,24.7998,1409353,NWL
2013-06-10,24.8907,24.9089,24.5726,24.6816,1022724,NWL
2013-06-11,24.4453,24.6362,24.2453,24.3544,1741901,NWL
2013-06-12,25.318,25.318,24.0362,24.118,1696364,NWL
2013-06-13,24.1544,24.7907,23.9635,24.6726,1510860,NWL
2013-06-14,24.6453,24.9998,24.4907,24.6998,1091860,NWL
2013-06-17,24.8998,25.018,24.2998,24.4362,2804740,NWL
2013-06-18,24.4362,24.6135,24.2816,24.5453,2039575,NWL
2013-06-19,24.5453,24.8226,24.2907,24.2998,1553632,NWL
2013-06-20,24.0907,24.1089,23.6226,23.6907,2517730,NWL
2013-06-21,23.8998,23.9707,23.3362,23.5907,2625939,NWL
2013-06-24,23.318,23.318,22.9544,23.1544,3613869,NWL
2013-06-25,23.2726,23.4544,23.0089,23.118,3003129,NWL
2013-06-26,23.3544,23.4453,23.0726,23.2089,2381999,NWL
2013-06-27,23.3817,23.8544,23.3271,23.8089,1983497,NWL
2013-06-28,23.7816,24.0726,23.7271,23.8635,3445629,NWL
2013-07-01,23.8544,24.2544,23.8544,24.0453,1441300,NWL
2013-07-02,23.7453,24.018,23.6907,23.7453,1579413,NWL
2013-07-03,23.6635,23.8089,23.5316,23.6362,900027,NWL
2013-07-05,23.7362,23.8362,23.5362,23.7453,1756909,NWL
2013-07-08,23.8817,24.2089,23.7757,24.118,2015955,NWL
2013-07-09,24.3362,24.5544,24.118,24.4635,1631005,NWL
2013-07-10,24.4362,24.518,24.0089,24.218,1931555,NWL
2013-07-11,24.5544,24.618,24.3907,24.5089,1740467,NWL
2013-07-12,24.4998,24.618,24.3453,24.5816,1586205,NWL
