date,open,high,low,close,volume,Name
2013-05-21,43.5721,43.9955,43.5721,43.8189,1041388,O
2013-05-22,43.7871,44.1772,41.4341,41.7327,3104083,O
2013-05-23,40.9045,41.0001,39.2961,40.3153,3740619,O
2013-05-24,39.8296,40.2118,39.304,39.5509,2194862,O
2013-05-28,39.8614,40.1242,38.6431,38.8502,2435241,O
2013-05-29,38.5396,38.5396,36.5012,37.7672,3809689,O
2013-05-30,37.8481,38.2798,37.0904,37.2886,2239592,O
2013-05-31,37.1687,37.4725,36.3294,36.3294,2560298,O
2013-06-03,36.2735,36.6811,35.594,35.666,3491531,O
2013-06-04,35.7459,35.8898,34.6508,34.7068,3155412,O
2013-06-05,34.5789,35.2104,34.5709,34.9546,3078008,O
2013-06-06,34.9546,36.4173,34.7707,36.2975,2772526,O
2013-06-07,36.3694,36.3934,35.1544,35.8338,2209024,O
2013-06-10,35.8498,35.917,35.3063,35.4662,1912677,O
2013-06-11,35.2264,35.5461,34.5229,34.9226,2150923,O
2013-06-12,35.2024,35.2024,34.2272,34.443,1918461,O
2013-06-13,34.9826,35.4262,34.3791,35.2503,2646027,O
2013-06-14,35.3063,36.3214,35.2024,35.9138,2702902,O
2013-06-17,36.1696,36.3134,35.1464,35.3862,2065062,O
2013-06-18,35.5221,35.9697,34.9386,35.7139,1818113,O
2013-06-19,35.8099,35.9378,34.4804,34.7308,2378361,O
2013-06-20,34.3791,34.435,32.5646,32.7884,3740330,O
2013-06-21,32.9962,33.276,32.2529,32.6365,5724048,O
2013-06-24,32.5006,33.3479,31.8372,32.6046,3638183,O
2013-06-25,32.7404,33.1561,32.4527,32.9962,2452215,O
2013-06-26,33.324,33.5638,33.0362,33.4359,2426107,O
2013-06-27,33.7261,34.3202,33.7261,33.9429,2190209,O
2013-06-28,34.0071,34.0472,33.4371,33.6539,2583548,O
2013-07-01,33.8225,34.0713,33.4532,33.5977,1575208,O
2013-07-02,33.7101,34.842,33.6057,34.7055,3846614,O
2013-07-03,34.7296,35.0018,34.0312,34.8099,2908684,O
2013-07-05,33.5254,34.8099,33.4451,34.2479,2110302,O
2013-07-08,34.2158,34.6887,34.1115,34.2399,3454426,O
2013-07-09,34.4968,34.7939,34.3844,34.7778,3128166,O
2013-07-10,34.9384,35.0026,34.5691,34.6734,4109592,O
2013-07-11,35.1551,35.8696,35.1391,35.7813,1825265,O
2013-07-12,35.8455,36.0543,35.6047,35.9981,1316927,O
2013-07-15,36.1586,36.3995,36.0061,36.2791,1299008,O
2013-07-16,36.2469,36.4557,35.974,36.2951,1450633,O
2013-07-17,36.4637,36.6885,36.263,36.552,1161957,O
2013-07-18,36.6564,36.9293,36.544,36.8731,1200239,O
2013-07-19,36.849,36.8731,36.3754,36.3914,1598312,O
2013-07-22,36.6724,36.9052,36.2951,36.9052,1367597,O
2013-07-23,36.9052,36.9695,36.4717,36.7447,1546039,O
2013-07-24,36.7447,36.7973,35.4843,35.6529,1700942,O
2013-07-25,35.7251,36.0061,35.4923,35.6127,1491619,O
2013-07-26,35.404,35.8455,35.3638,35.5645,1804677,O
