date,open,high,low,close,volume,Name
2013-05-21,71.7114,71.9674,71.2688,71.7114,3984661,PEP
2013-05-22,71.6767,73.1347,71.668,72.0065,5241802,PEP
2013-05-23,71.425,71.7982,70.7394,71.2688,4653996,PEP
2013-05-24,70.9998,71.8416,70.7741,71.668,3579593,PEP
2013-05-28,72.1106,72.4508,71.3122,71.5379,4052797,PEP
2013-05-29,71.3643,71.3643,70.2274,70.401,4346002,PEP
2013-05-30,70.4183,70.7221,70.0365,70.4877,4959796,PEP
2013-05-31,70.3142,70.8262,70.0538,70.0972,7815798,PEP
2013-06-03,70.0104,70.7221,69.1946,70.6439,5758958,PEP
2013-06-04,70.8609,71.2167,70.3142,70.8436,4542984,PEP
2013-06-05,70.6928,71.2477,70.5442,70.9637,6998124,PEP
2013-06-06,70.955,71.3657,70.5355,71.3657,6031676,PEP
2013-06-07,71.6454,72.1086,71.2172,72.1086,6447739,PEP
2013-06-10,72.1872,72.5892,71.7542,72.4057,5036518,PEP
2013-06-11,71.995,72.3708,71.5056,72.1261,6504908,PEP
2013-06-12,72.3708,72.7029,71.6978,71.759,4277783,PEP
2013-06-13,71.7153,71.8726,71.0074,71.6454,5413775,PEP
2013-06-14,71.6629,72.5368,71.6541,71.7765,4034293,PEP
2013-06-17,72.1785,72.4756,71.7372,72.1435,4656277,PEP
2013-06-18,71.9862,72.2659,71.6629,72.161,3355859,PEP
2013-06-19,71.8901,72.2484,70.6928,70.6928,5486986,PEP
2013-06-20,70.3345,70.6841,68.8357,68.9624,6940127,PEP
2013-06-21,69.5305,70.282,69.2333,70.0286,9416910,PEP
2013-06-24,68.7614,70.5704,68.3419,70.0286,6787341,PEP
2013-06-25,70.282,70.3957,69.6266,69.95,5930320,PEP
2013-06-26,70.4568,71.2871,70.4568,71.0511,4519191,PEP
2013-06-27,71.4619,72.137,71.2434,71.4356,4464628,PEP
2013-06-28,71.6367,71.8988,71.3133,71.4793,6001777,PEP
2013-07-01,71.6279,72.0998,71.4531,71.6978,3804856,PEP
2013-07-02,71.6104,71.8639,71.0686,71.3832,5056144,PEP
2013-07-03,71.1735,71.1735,70.1947,70.553,3866203,PEP
2013-07-05,70.8763,71.0336,70.1684,70.6141,3343334,PEP
2013-07-08,71.0686,71.523,70.8501,71.4706,3751546,PEP
2013-07-09,71.8464,72.4232,71.6279,72.3358,3838592,PEP
2013-07-10,72.3358,72.9039,72.2484,72.5281,5654259,PEP
2013-07-11,73.1049,73.9613,73.1049,73.8914,4751096,PEP
2013-07-12,73.4544,73.8652,73.2709,73.6904,4349946,PEP
2013-07-15,73.7865,74.2148,73.6991,74.04,4222156,PEP
2013-07-16,73.3496,73.6729,72.8077,73.4282,4480747,PEP
2013-07-17,73.4544,74.7304,73.3496,74.4944,7277801,PEP
2013-07-18,74.5731,76.085,74.5469,75.8578,9202364,PEP
2013-07-19,75.4558,75.8927,75.045,75.5169,6147266,PEP
2013-07-22,75.3247,75.9801,75.1848,75.5082,4781189,PEP
2013-07-23,75.482,75.5344,75.1324,75.3334,6321160,PEP
2013-07-24,75.7704,75.7704,74.844,74.844,5939787,PEP
2013-07-25,74.844,74.9838,74.5294,74.7653,5084973,PEP
2013-07-26,74.1536,74.5818,73.7254,74.5556,4190333,PEP
2013-07-29,74.5119,74.809,74.2497,74.5032,3406312,PEP
2013-07-30,74.7828,75.1499,74.3808,74.3808,4354748,PEP
2013-07-31,74.5381,74.8615,72.9126,73.0087,8016515,PEP
2013-08-01,73.4457,73.7603,73.2971,73.5855,5791338,PEP
2013-08-02,73.4107,73.7079,72.8873,73.6642,4426376,PEP
2013-08-05,73.7079,73.9701,73.2097,73.8302,3590210,PEP
2013-08-06,73.7953,74.6605,73.5156,74.3284,3837769,PEP
2013-08-07,74.2235,74.2759,73.7297,74.0749,3832553,PEP
2013-08-08,74.2672,74.3633,73.7953,74.005,2707864,PEP
2013-08-09,74.005,74.0837,73.5681,73.7079,3753864,PEP
2013-08-12,73.3496,73.437,73.0,73.2447,2868566,PEP
2013-08-13,73.3321,73.4981,72.764,72.8776,2952974,PEP
2013-08-14,72.8339,73.0087,72.3008,72.3183,2934139,PEP
2013-08-15,71.8726,71.9076,70.6404,70.7103,5350212,PEP
2013-08-16,70.4394,70.5704,69.8626,70.0723,6032434,PEP
2013-08-19,70.0111,70.8326,69.7577,70.6841,4945079,PEP
2013-08-20,70.754,70.754,70.1422,70.1684,3452854,PEP
2013-08-21,69.9674,70.0548,69.0498,69.111,5453936,PEP
2013-08-22,69.0323,69.6397,68.7876,69.2595,3821543,PEP
2013-08-23,69.4955,69.8975,69.277,69.7839,3033831,PEP
2013-08-26,69.8888,70.0024,69.6266,69.6441,4078997,PEP
2013-08-27,69.2071,69.3819,68.7002,69.0935,5179710,PEP
2013-08-28,69.0061,69.6353,68.9886,69.3644,5057364,PEP
2013-08-29,69.2595,69.6878,69.0848,69.3295,5616981,PEP
2013-08-30,69.4081,69.7752,69.2421,69.679,4362672,PEP
2013-09-03,70.3345,70.6054,69.95,70.0898,5966611,PEP
2013-09-04,70.158,70.158,69.5331,69.9996,5334978,PEP
2013-09-05,69.9996,70.1562,69.357,69.5947,4025828,PEP
2013-09-06,69.6299,70.1316,68.9346,69.7619,4443555,PEP
2013-09-09,69.7531,69.9556,69.3482,69.8675,3757080,PEP
2013-09-10,70.202,70.2372,69.5595,69.9115,4682455,PEP
2013-09-11,69.9468,70.3252,69.6563,70.2812,4437887,PEP
2013-09-12,70.3868,70.4572,70.026,70.2988,3322278,PEP
2013-09-13,70.5013,70.7653,70.3252,70.6949,3416088,PEP
2013-09-16,71.1086,71.487,70.9501,71.311,4130134,PEP
2013-09-17,71.3022,72.0327,71.267,71.8743,4111763,PEP
2013-09-18,71.9007,72.9921,71.5178,72.9481,4916811,PEP
2013-09-19,72.9481,73.0009,71.5927,72.0151,5304730,PEP
2013-09-20,72.1736,72.1736,71.7159,71.9447,5343146,PEP
2013-09-23,71.7863,71.8039,71.2494,71.311,5384783,PEP
2013-09-24,71.2582,71.4928,70.8181,70.8885,5599549,PEP
2013-09-25,71.0118,71.4342,70.4837,70.5981,5146832,PEP
2013-09-26,70.6597,70.9149,70.2812,70.8885,3941610,PEP
2013-09-27,70.7301,71.0118,70.3252,70.5893,3429154,PEP
2013-09-30,70.29,70.3428,69.7531,69.9732,5231393,PEP
2013-10-01,69.8675,70.2548,69.5507,70.2548,4142656,PEP
2013-10-02,69.9996,70.0436,69.2426,70.026,5448253,PEP
2013-10-03,70.0348,70.3323,69.7883,69.9203,3987559,PEP
2013-10-04,70.0436,70.3516,69.6475,70.0788,2841538,PEP
2013-10-07,69.7531,70.0524,69.4979,69.5859,4872495,PEP
2013-10-08,69.7883,69.8411,69.4098,69.4715,5552453,PEP
