date,open,high,low,close,volume,Name
2013-05-21,32.9259,33.151,32.7874,33.0125,1236284,PFG
2013-05-22,32.9952,33.4107,32.3633,32.5278,1364049,PFG
2013-05-23,32.121,32.3287,31.8267,32.2508,1286749,PFG
2013-05-24,31.9565,32.2248,31.6016,32.2162,1014268,PFG
2013-05-28,32.6403,33.2375,32.61,32.9,1278914,PFG
2013-05-29,32.6749,33.2722,32.5537,33.0211,1405093,PFG
2013-05-30,33.0647,33.7439,33.056,33.5349,1203903,PFG
2013-05-31,33.3608,33.5785,32.9341,32.9602,1757907,PFG
2013-06-03,33.0821,33.2127,32.3506,32.8296,1838912,PFG
2013-06-04,32.847,33.2127,32.5248,32.7773,1635181,PFG
2013-06-05,32.7599,32.8122,32.0981,32.4377,2165211,PFG
2013-06-06,32.4551,32.9254,32.1852,32.9167,1302666,PFG
2013-06-07,33.1953,33.683,33.0995,33.5959,1317788,PFG
2013-06-10,33.7178,33.9181,33.6046,33.7178,946282,PFG
2013-06-11,33.4304,33.6656,32.8905,33.0995,1646134,PFG
2013-06-12,33.3608,33.4914,33.0647,33.1169,1381707,PFG
2013-06-13,33.1082,33.7613,32.995,33.6743,1169828,PFG
2013-06-14,33.6656,33.683,32.8905,33.1257,1212628,PFG
2013-06-17,33.3608,33.8745,33.3608,33.7439,1001321,PFG
2013-06-18,33.8136,34.0052,33.7004,33.8571,1006813,PFG
2013-06-19,33.7613,33.9965,33.2563,33.265,1832580,PFG
2013-06-20,32.9341,33.0995,32.2766,32.4203,2652374,PFG
2013-06-21,32.7077,32.8296,31.7324,32.0458,2945238,PFG
2013-06-24,31.5843,31.6888,31.0444,31.4537,2002943,PFG
2013-06-25,31.8456,32.3593,31.6453,32.2113,1315690,PFG
2013-06-26,32.1765,32.7599,32.1329,32.6206,1674442,PFG
2013-06-27,32.8383,33.1257,32.7599,33.0647,834083,PFG
2013-06-28,32.9689,32.9689,32.5683,32.6119,2037583,PFG
2013-07-01,32.8644,33.0647,32.7251,32.9341,1535006,PFG
2013-07-02,32.8296,32.995,32.2461,32.4725,2360778,PFG
2013-07-03,32.2026,32.281,32.0023,32.1939,1027600,PFG
2013-07-05,32.3593,33.0299,32.3593,33.0124,1453976,PFG
2013-07-08,33.1866,33.6307,33.1344,33.3695,2066497,PFG
2013-07-09,33.6568,33.7875,33.2301,33.6656,1468028,PFG
2013-07-10,33.5785,33.7004,33.2563,33.4479,1762465,PFG
2013-07-11,33.9007,33.9616,33.4653,33.831,1395095,PFG
2013-07-12,33.7701,33.9094,33.6264,33.8745,911630,PFG
2013-07-15,33.5959,34.0483,33.5175,33.7439,1308600,PFG
2013-07-16,33.831,34.0313,33.6133,33.7788,1617701,PFG
2013-07-17,33.9181,34.4406,33.8049,34.3622,1779497,PFG
2013-07-18,34.4928,34.815,34.4406,34.6844,1341969,PFG
2013-07-19,34.7628,34.7628,34.3448,34.5538,958362,PFG
2013-07-22,34.5625,35.4681,34.4754,35.4681,1552059,PFG
2013-07-23,35.6423,35.6945,35.1721,35.1895,1059579,PFG
2013-07-24,35.2766,35.4594,34.8847,34.9108,1215192,PFG
2013-07-25,34.7279,35.2896,34.6583,35.233,1359452,PFG
2013-07-26,36.5828,37.6016,36.5741,37.4362,4615112,PFG
2013-07-29,37.3404,37.7322,36.9746,37.0269,1395158,PFG
2013-07-30,37.2881,37.4797,37.0443,37.1401,1093857,PFG
2013-07-31,37.3055,38.1589,37.3055,37.7584,2534208,PFG
2013-08-01,38.1589,39.1342,38.1589,39.0559,2271542,PFG
2013-08-02,38.8295,38.8991,38.4637,38.6379,1492583,PFG
2013-08-05,38.4724,38.5856,38.0283,38.1676,1772956,PFG
2013-08-06,38.037,38.1198,37.5929,37.8019,1855027,PFG
2013-08-07,37.6452,37.7148,37.3491,37.4884,1540502,PFG
2013-08-08,37.7671,38.0327,37.3665,37.5407,1203121,PFG
2013-08-09,37.4971,37.7671,37.2968,37.3491,1072461,PFG
2013-08-12,37.0269,37.3237,36.8527,37.0617,978057,PFG
2013-08-13,37.1836,37.4449,36.9921,37.4013,787053,PFG
2013-08-14,37.323,37.5494,37.2272,37.2968,655181,PFG
2013-08-15,36.8963,37.0269,36.4957,36.5479,715020,PFG
2013-08-16,36.4478,37.1662,36.4086,36.9921,1015088,PFG
2013-08-19,36.9224,37.0008,36.4347,36.4783,937164,PFG
2013-08-20,36.4173,36.9659,36.3389,36.8179,745320,PFG
2013-08-21,36.7134,36.9137,36.217,36.5828,1044339,PFG
2013-08-22,36.7047,37.323,36.635,36.9659,864908,PFG
2013-08-23,36.9921,37.053,36.6176,36.844,863452,PFG
2013-08-26,36.8353,37.1314,36.6786,36.696,912169,PFG
2013-08-27,36.1387,36.1561,35.3462,35.3549,1692452,PFG
2013-08-28,35.3288,35.6466,35.085,35.5204,1496885,PFG
2013-08-29,35.4943,36.2954,35.294,35.8426,1180843,PFG
2013-08-30,35.8687,35.9732,35.3201,35.6336,1123260,PFG
2013-09-03,36.1244,36.5713,35.9754,36.2646,2062750,PFG
2013-09-04,36.2996,37.1673,36.2471,36.6677,1791373,PFG
2013-09-05,36.8079,37.2111,36.7378,36.8781,998420,PFG
2013-09-06,37.0095,37.1585,36.2646,36.843,1132237,PFG
2013-09-09,36.8868,37.4258,36.7378,37.4039,1133233,PFG
2013-09-10,37.7807,38.4292,37.658,38.3416,1327840,PFG
2013-09-11,38.2978,38.438,37.9648,38.4117,940733,PFG
