date,open,high,low,close,volume,Name
2013-05-21,52.461,52.9946,52.3072,52.3525,1006703,PNR
2013-05-22,52.3344,52.9494,51.5022,51.6108,1007707,PNR
2013-05-23,50.9324,51.7283,50.8329,51.0409,1498973,PNR
2013-05-24,50.8329,52.0901,50.6972,51.9816,1215003,PNR
2013-05-28,52.461,52.9042,51.9282,52.1896,767897,PNR
2013-05-29,51.7012,52.5198,51.6017,52.3525,777701,PNR
2013-05-30,52.5243,53.3564,52.2982,53.0399,1326885,PNR
2013-05-31,52.7957,53.8991,52.66,52.6781,1680901,PNR
2013-06-03,52.8137,52.9946,51.6289,52.6962,1198371,PNR
2013-06-04,52.5695,52.8861,51.3575,52.253,1864097,PNR
2013-06-05,51.9997,52.1263,51.2491,51.7103,1503956,PNR
2013-06-06,51.6017,52.6509,51.5203,52.6509,1385732,PNR
2013-06-07,53.0218,53.664,52.8047,53.4107,1259314,PNR
2013-06-10,53.5283,53.8358,53.2389,53.7816,1149914,PNR
2013-06-11,53.1213,53.5645,52.7866,53.0489,778699,PNR
2013-06-12,53.474,53.4831,52.3886,52.5062,567576,PNR
2013-06-13,52.4158,53.8539,51.8278,53.7182,1288497,PNR
2013-06-14,53.6007,54.27,53.4831,54.0167,1090513,PNR
2013-06-17,54.3243,54.3966,52.9223,53.1936,2226224,PNR
2013-06-18,53.3203,54.0258,52.8861,53.8811,1107982,PNR
2013-06-19,53.8358,54.1886,53.0489,53.067,1661810,PNR
2013-06-20,52.6148,52.6148,51.1992,51.2942,1613743,PNR
2013-06-21,51.6469,51.7917,51.059,51.4389,2219458,PNR
2013-06-24,50.7786,51.1992,50.1907,50.4711,1543159,PNR
2013-06-25,50.8872,51.5113,50.8329,51.1947,1336218,PNR
2013-06-26,51.5836,51.8459,51.1223,51.7555,866217,PNR
2013-06-27,51.9997,52.9313,51.9997,52.868,809692,PNR
2013-06-28,52.7685,52.9042,52.1354,52.1806,2088660,PNR
2013-07-01,52.461,52.9313,52.1444,52.6871,837382,PNR
2013-07-02,52.5786,53.0761,52.2259,52.4067,1149020,PNR
2013-07-03,52.2077,52.5153,51.9002,52.3977,354696,PNR
2013-07-05,52.7685,53.1755,52.4429,53.1665,576037,PNR
2013-07-08,53.4198,53.4379,53.0127,53.1936,831810,PNR
2013-07-09,53.5735,53.8176,53.0761,53.266,1050112,PNR
2013-07-10,53.1665,53.5102,52.6781,53.2298,864575,PNR
2013-07-11,54.062,54.9665,53.5464,54.8579,1379607,PNR
2013-07-12,54.668,55.1564,54.3424,55.1474,858886,PNR
2013-07-15,55.3554,55.4549,54.512,55.066,1322025,PNR
2013-07-16,55.1474,55.5996,54.4147,54.4418,863767,PNR
2013-07-17,54.7042,54.9826,54.3243,54.478,661024,PNR
2013-07-18,54.7403,54.7675,54.2429,54.677,957913,PNR
2013-07-19,54.7403,55.1564,54.3966,54.9393,1216365,PNR
2013-07-22,55.1474,55.8529,54.6092,54.6589,1075327,PNR
2013-07-23,54.0614,55.8416,53.8616,54.4247,1406401,PNR
2013-07-24,54.5337,54.897,54.2249,54.3884,1340604,PNR
2013-07-25,54.4338,55.2331,54.184,55.2149,679662,PNR
2013-07-26,54.8243,55.0968,54.5155,55.0696,1271355,PNR
2013-07-29,54.9515,55.1786,54.4156,54.8243,733786,PNR
2013-07-30,54.9152,55.4828,54.352,55.2966,1162524,PNR
2013-07-31,55.442,56.005,55.1877,55.4783,1364627,PNR
2013-08-01,55.8598,57.0315,55.8598,56.7317,884708,PNR
2013-08-02,56.6228,56.7953,56.1504,56.7953,590577,PNR
2013-08-05,56.8226,57.413,56.6863,57.413,794615,PNR
2013-08-06,57.1405,57.5447,57.0451,57.4311,910847,PNR
2013-08-07,57.2404,57.5447,56.7772,57.4584,895472,PNR
2013-08-08,57.6854,57.9216,57.3857,57.7763,833377,PNR
2013-08-09,57.6037,58.0033,57.0769,57.6128,729924,PNR
2013-08-12,57.3766,58.0578,57.3766,58.0033,654923,PNR
2013-08-13,58.1305,58.4666,57.858,58.2849,727299,PNR
2013-08-14,58.3848,58.9298,57.5855,57.64,919175,PNR
2013-08-15,57.086,57.1132,56.4774,56.7045,952725,PNR
2013-08-16,56.541,56.7408,56.2867,56.4138,998735,PNR
2013-08-19,56.4048,56.5138,55.9779,56.0324,571090,PNR
2013-08-20,56.0324,56.5047,55.8228,56.2413,509495,PNR
2013-08-21,56.1414,56.4593,55.5964,55.6236,529165,PNR
2013-08-22,55.7599,56.5501,55.7599,56.4138,388223,PNR
2013-08-23,56.5228,56.6046,55.8507,56.105,463859,PNR
2013-08-26,56.0687,56.4865,55.887,55.996,584427,PNR
2013-08-27,55.2603,55.5691,54.7971,54.8516,716769,PNR
2013-08-28,54.8425,55.2876,54.3974,55.0242,645093,PNR
2013-08-29,54.8334,55.8598,54.7789,55.3875,678502,PNR
2013-08-30,55.4147,55.5782,54.4656,54.5973,655040,PNR
2013-09-03,55.5146,55.7599,54.8289,55.0696,787840,PNR
2013-09-04,55.1877,56.105,54.9969,55.9779,663895,PNR
2013-09-05,55.887,56.6228,55.6781,56.5319,776457,PNR
2013-09-06,56.6863,56.7681,55.541,55.9869,663268,PNR
2013-09-09,56.2685,57.0951,56.2504,57.0406,399048,PNR
2013-09-10,57.3948,58.4484,57.2495,58.4212,623256,PNR
2013-09-11,58.3848,58.5756,57.8944,58.5392,532136,PNR
2013-09-12,58.4393,58.7391,57.9761,58.2304,640266,PNR
2013-09-13,58.403,58.4484,57.967,58.2123,575507,PNR
2013-09-16,59.1205,59.2023,58.3576,58.4484,385479,PNR
2013-09-17,58.3667,58.7936,58.1941,58.6573,410074,PNR
2013-09-18,58.6301,59.3349,58.2032,59.1569,739319,PNR
2013-09-19,59.3839,60.047,59.3839,59.4294,884860,PNR
2013-09-20,59.393,60.3922,59.393,59.7836,2764427,PNR
2013-09-23,59.611,59.6564,58.4484,58.7391,1015179,PNR
2013-09-24,58.6755,59.5384,58.5392,59.1115,867909,PNR
2013-09-25,59.2023,59.7109,58.9571,59.4929,993879,PNR
2013-09-26,59.611,59.9017,59.2295,59.8744,586193,PNR
2013-09-27,59.4294,59.72,59.1796,59.5111,500620,PNR
2013-09-30,59.066,59.393,58.839,58.9843,1001854,PNR
2013-10-01,58.7936,60.047,58.7936,59.9289,962087,PNR
2013-10-02,59.4203,60.2241,59.1296,60.1923,939242,PNR
2013-10-03,59.9562,60.2196,58.9026,59.5656,732580,PNR
2013-10-04,59.5474,60.4557,59.3022,60.2287,719973,PNR
2013-10-07,59.175,59.7518,59.0479,59.2659,731473,PNR
2013-10-08,59.1478,59.6383,57.9307,57.9761,865461,PNR
2013-10-09,58.1123,58.4212,57.531,57.9489,667947,PNR
2013-10-10,58.73,59.4203,58.5756,59.4203,734728,PNR
2013-10-11,59.3567,60.4921,59.2659,60.3013,514161,PNR
2013-10-14,59.9834,60.1832,59.4475,59.938,896462,PNR
2013-10-15,59.7564,59.938,58.6373,58.8026,875531,PNR
2013-10-16,59.166,59.6383,58.6755,59.1841,1083947,PNR
2013-10-17,58.8117,58.9026,58.294,58.6392,1490621,PNR
2013-10-18,59.0025,59.4566,58.67,59.2568,2055517,PNR
2013-10-21,59.4929,59.7836,59.3204,59.6746,1332943,PNR
2013-10-22,59.0388,59.1478,57.0406,58.7481,2864325,PNR
2013-10-23,58.7481,59.4138,58.1737,59.3682,1699310,PNR
2013-10-24,59.4594,60.1387,59.2588,59.9791,1124793,PNR
2013-10-25,59.9517,60.818,59.7967,60.7906,1054102,PNR
2013-10-28,60.6629,60.9,60.4168,60.5171,815004,PNR
2013-10-29,60.6812,61.748,60.5444,61.6751,1002404,PNR
2013-10-30,61.5474,61.9577,61.0459,61.2283,879633,PNR
2013-10-31,61.4198,61.6112,60.6903,61.1736,933416,PNR
2013-11-01,61.438,61.8757,60.9319,61.5292,798572,PNR
2013-11-04,61.7024,62.0489,61.4836,61.8665,586991,PNR
