date,open,high,low,close,volume,Name
2013-05-21,33.9249,33.9705,33.396,33.6422,3584059,RCL
2013-05-22,33.5693,33.7152,32.9035,32.9947,2212023,RCL
2013-05-23,32.5296,33.0859,32.4202,32.8671,1360150,RCL
2013-05-24,32.6938,33.1133,32.6664,32.9491,838209,RCL
2013-05-28,32.5844,33.013,32.3199,32.5661,2691995,RCL
2013-05-29,32.2834,32.3928,31.9733,32.0098,2005266,RCL
2013-05-30,32.2652,33.0175,32.1649,32.6756,1596518,RCL
2013-05-31,32.2834,32.2834,31.873,31.9277,2521082,RCL
2013-06-03,32.0007,32.0098,31.5174,31.8274,2546675,RCL
2013-06-04,31.7727,31.9277,31.0887,31.3441,2019637,RCL
2013-06-05,31.3532,31.3532,30.496,30.5507,1755575,RCL
2013-06-06,30.4504,30.5963,30.1221,30.3592,2339150,RCL
2013-06-07,30.5416,31.2301,30.2953,30.9975,2311330,RCL
2013-06-10,31.2164,31.3167,30.7878,31.1617,1693704,RCL
2013-06-11,30.6419,30.8607,30.2406,30.5598,1683199,RCL
2013-06-12,30.8516,30.8881,30.3491,30.4504,1314516,RCL
2013-06-13,30.5507,31.4535,30.5452,31.3532,1435864,RCL
2013-06-14,31.107,31.262,30.8972,30.9884,1899018,RCL
2013-06-17,31.1891,31.4718,31.0705,31.1617,1270955,RCL
2013-06-18,30.9884,31.4991,30.9884,31.2438,2269646,RCL
2013-06-19,31.2164,31.3806,30.6328,30.6784,2715146,RCL
2013-06-20,30.0765,30.1403,29.2648,29.3925,2727482,RCL
2013-06-21,29.7026,29.7938,28.8727,29.4016,2397841,RCL
2013-06-24,28.7632,29.3104,28.6082,29.0186,2201552,RCL
2013-06-25,29.812,30.4139,29.7299,30.1859,2485786,RCL
2013-06-26,30.1038,30.5598,30.1038,30.3045,1529521,RCL
2013-06-27,30.496,30.7787,30.4139,30.5233,943936,RCL
2013-06-28,30.2315,30.806,30.2315,30.4048,1725066,RCL
2013-07-01,30.6328,31.4809,30.6236,31.2347,1553119,RCL
2013-07-02,31.034,31.3167,30.8243,30.9702,1230002,RCL
2013-07-03,30.5598,30.6875,30.3774,30.3774,1243870,RCL
2013-07-05,30.7513,31.2803,30.6692,31.2347,905638,RCL
2013-07-08,31.4262,31.5174,30.9884,31.1435,993417,RCL
