date,open,high,low,close,volume,Name
2013-05-21,118.6633,118.9966,117.8076,118.276,531308,RE
2013-05-22,118.1589,118.5012,115.808,116.3574,426885,RE
2013-05-23,115.4026,115.6008,114.4929,114.9703,618475,RE
2013-05-24,114.7451,114.8532,113.376,114.2497,510411,RE
2013-05-28,115.2945,115.2945,113.2228,113.9885,474227,RE
2013-05-29,113.6282,115.6996,112.8896,115.4837,577586,RE
2013-05-30,115.5738,116.9069,115.1144,116.8798,410572,RE
2013-05-31,116.5736,117.6455,115.6819,116.7447,765371,RE
2013-06-03,117.9833,117.9833,115.073,116.6271,629267,RE
2013-06-04,117.0792,117.3323,115.5513,115.922,326247,RE
2013-06-05,115.8858,115.8947,114.1861,114.2494,299694,RE
2013-06-06,114.2042,115.4428,113.499,115.4428,288806,RE
2013-06-07,115.714,116.3017,114.6472,115.5332,376024,RE
2013-06-10,115.6779,116.4915,114.6291,116.4915,198686,RE
2013-06-11,114.3398,115.8768,113.7883,115.0721,364642,RE
2013-06-12,115.5151,115.7321,114.2765,114.6924,218313,RE
2013-06-13,114.6472,117.2238,114.3036,117.1244,279411,RE
2013-06-14,116.4102,117.2148,115.7592,116.1389,228747,RE
2013-06-17,116.9165,117.6668,116.6995,117.4589,245738,RE
2013-06-18,117.5764,118.5528,117.4951,118.2183,209449,RE
2013-06-19,118.0646,118.0827,115.5151,115.5513,222457,RE
2013-06-20,114.7376,115.1625,113.7521,113.8606,413172,RE
2013-06-21,114.8461,114.8461,111.3111,112.6401,594609,RE
2013-06-24,111.6547,113.0922,111.1032,112.5768,310864,RE
2013-06-25,113.9963,113.9963,112.4322,112.604,236577,RE
2013-06-26,113.49,114.4754,112.5045,113.942,216284,RE
2013-06-27,114.6743,116.6163,114.3217,116.3559,230144,RE
2013-06-28,116.4011,116.8532,115.271,115.9581,435353,RE
2013-07-01,116.5367,117.4951,116.1389,116.6814,493248,RE
2013-07-02,116.7176,117.2962,113.9872,114.2404,440167,RE
2013-07-03,113.7341,114.7918,113.292,114.3217,158051,RE
2013-07-05,115.045,115.9762,113.9872,115.9762,173430,RE
2013-07-08,116.1209,116.383,113.9782,114.6924,458794,RE
2013-07-09,114.9003,115.3614,114.1861,114.6834,415731,RE
2013-07-10,114.7918,115.5061,113.7793,115.5061,507411,RE
2013-07-11,116.6904,116.7176,115.5694,116.6,255344,RE
2013-07-12,117.034,118.5438,116.2023,118.5076,293209,RE
2013-07-15,119.1495,119.5835,118.589,119.5112,288812,RE
2013-07-16,119.3937,119.7191,117.3143,117.3414,286975,RE
2013-07-17,118.0014,118.2003,117.2238,117.7482,312592,RE
2013-07-18,117.9833,118.0014,116.9165,117.4951,542357,RE
2013-07-19,117.2238,117.7482,116.7808,117.3504,248835,RE
2013-07-22,117.3956,118.0737,116.9617,117.9742,338000,RE
2013-07-23,118.0194,119.1676,115.5332,116.0033,666248,RE
2013-07-24,120.6503,124.3119,116.374,117.043,755919,RE
2013-07-25,117.0701,118.3087,116.2655,118.3087,669834,RE
2013-07-26,118.2364,119.1043,117.1967,118.9868,332960,RE
2013-07-29,119.0591,119.5654,118.1822,119.4479,277558,RE
2013-07-30,120.0356,120.9125,119.3123,120.6322,542914,RE
2013-07-31,121.3917,121.5273,120.0988,120.7227,344994,RE
2013-08-01,121.7262,123.1366,120.6865,122.3591,590941,RE
2013-08-02,122.6122,122.784,121.681,122.3138,313138,RE
2013-08-05,122.1782,122.8834,121.3736,122.5399,373484,RE
2013-08-06,122.2234,122.3138,120.2977,121.5363,435545,RE
2013-08-07,121.2832,121.5363,120.0446,120.5599,192752,RE
2013-08-08,121.2561,121.2796,120.2525,120.8492,173173,RE
2013-08-09,120.8583,120.9686,119.5044,120.6684,169714,RE
2013-08-12,120.5147,121.6539,119.7914,121.5996,163076,RE
2013-08-13,121.7443,125.3064,121.3465,125.2521,609661,RE
2013-08-14,125.2069,125.442,124.4837,125.1165,449037,RE
2013-08-15,124.4927,125.9844,123.8237,124.9719,642555,RE
2013-08-16,125.2793,125.7765,124.7639,124.9267,246831,RE
2013-08-19,124.8091,125.7155,124.3028,124.5379,252483,RE
2013-08-20,124.5921,125.4149,124.4385,125.0894,189425,RE
2013-08-21,124.9357,125.1075,123.5705,123.6881,207614,RE
2013-08-22,124.0316,125.659,123.4712,125.3425,113492,RE
2013-08-23,125.6951,127.3044,124.9312,125.5595,163132,RE
2013-08-26,125.7772,126.5573,124.8791,125.5958,210625,RE
2013-08-27,124.3347,124.5888,123.7541,124.0989,218948,RE
2013-08-28,124.3438,124.6704,123.364,124.0716,378457,RE
2013-08-29,124.0263,124.87,123.7088,124.5978,247374,RE
2013-08-30,124.87,125.1263,124.1352,124.244,333564,RE
2013-09-03,124.3347,126.757,124.3347,126.1583,755841,RE
2013-09-04,125.9587,126.5756,124.6976,125.8044,663358,RE
2013-09-05,125.6321,126.258,122.9648,123.1463,607605,RE
2013-09-06,123.2914,124.1442,121.6584,121.8036,609961,RE
2013-09-09,122.5022,123.3912,122.3933,122.856,350318,RE
2013-09-10,123.8448,125.3145,123.1962,125.3145,661462,RE
2013-09-11,125.2873,126.131,124.8337,125.995,309666,RE
2013-09-12,126.1945,126.7661,124.8881,125.2964,260270,RE
2013-09-13,126.0131,126.8387,124.8519,126.122,241377,RE
2013-09-16,126.9385,128.8255,126.9203,128.508,486283,RE
