date,open,high,low,close,volume,Name
2013-05-21,59.5978,59.99,59.2501,59.5175,1420962,RTN
2013-05-22,59.4462,60.1238,58.9381,59.054,1654537,RTN
2013-05-23,58.6617,59.7672,58.5904,59.5086,1413076,RTN
2013-05-24,59.3838,59.5978,58.8935,59.4908,1114965,RTN
2013-05-28,59.99,60.6495,59.9366,60.4001,1539656,RTN
2013-05-29,60.0881,60.1683,59.4284,59.8207,1220653,RTN
2013-05-30,60.1059,61.1758,59.999,60.0257,1583910,RTN
2013-05-31,59.9455,60.7033,59.4106,59.4106,1957977,RTN
2013-06-03,59.1074,59.4016,58.5636,59.054,2897612,RTN
2013-06-04,58.947,59.4106,58.6617,59.152,1528452,RTN
2013-06-05,58.9648,59.054,58.253,58.3942,1386418,RTN
2013-06-06,58.4121,58.947,58.002,58.8222,1364676,RTN
2013-06-07,59.2055,60.1683,59.152,60.097,1907373,RTN
2013-06-10,60.1238,60.1594,59.5265,59.6869,1467353,RTN
2013-06-11,59.2679,59.892,59.0361,59.3214,1470752,RTN
2013-06-12,59.7761,59.9989,59.3392,59.473,1336787,RTN
2013-06-13,59.4551,60.7389,59.4284,60.3288,1873903,RTN
2013-06-14,60.0525,60.4715,59.7048,60.097,1834089,RTN
2013-06-17,60.6319,61.0599,60.0435,60.4269,1226823,RTN
2013-06-18,60.623,60.9351,60.3556,60.6854,1855796,RTN
2013-06-19,60.6854,60.6854,59.5666,59.6424,2434923,RTN
2013-06-20,59.366,59.6958,58.8489,58.9381,1925335,RTN
2013-06-21,59.1609,59.4462,58.8757,58.9381,2345429,RTN
2013-06-24,58.7152,59.0272,58.0733,58.4031,1788565,RTN
2013-06-25,58.8043,58.8757,57.9752,58.2338,1453063,RTN
2013-06-26,58.6706,59.1253,58.1447,58.7776,2034181,RTN
2013-06-27,59.2858,59.5443,59.1609,59.2323,1730448,RTN
2013-06-28,59.152,59.4283,58.7954,58.947,1960895,RTN
2013-07-01,59.3335,59.7291,58.8211,59.4234,1586572,RTN
2013-07-02,59.3785,59.3785,57.9671,58.2727,1939101,RTN
2013-07-03,58.0929,58.6863,58.012,58.5694,752978,RTN
2013-07-05,59.0009,59.3425,58.5694,59.1897,1070417,RTN
2013-07-08,59.6032,60.1966,59.4594,60.0887,1969310,RTN
2013-07-09,60.4842,61.0191,59.9988,60.6281,2058035,RTN
2013-07-10,60.673,61.5091,60.673,61.2933,1738684,RTN
2013-07-11,61.8237,62.471,61.8237,62.3721,1761337,RTN
2013-07-12,62.3002,62.5699,61.9676,62.453,1648268,RTN
2013-07-15,62.8486,63.0464,62.6418,62.9655,1398073,RTN
2013-07-16,62.9385,63.0104,62.4261,62.5339,1287702,RTN
2013-07-17,62.6508,62.8756,62.2912,62.444,1269855,RTN
2013-07-18,62.6688,62.8756,62.4081,62.6598,1718040,RTN
2013-07-19,62.6958,62.7857,62.471,62.7497,2856391,RTN
2013-07-22,62.7317,62.8117,62.3092,62.3631,1470461,RTN
2013-07-23,62.6238,62.8756,62.3461,62.6688,2272167,RTN
