date,open,high,low,close,volume,Name
2013-05-21,51.5951,52.2977,51.5483,52.0541,1771414,SPGI
2013-05-22,52.2123,52.6737,51.2895,51.5061,1105268,SPGI
2013-05-23,51.346,51.5061,50.7057,50.8752,1300745,SPGI
2013-05-24,50.1784,50.7057,49.8206,50.3291,1389806,SPGI
2013-05-28,50.9976,52.0993,50.894,51.2236,1251376,SPGI
2013-05-29,50.8846,51.2801,50.621,50.9317,732513,SPGI
2013-05-30,51.1483,52.1558,50.9788,51.9863,1560135,SPGI
2013-05-31,51.7791,52.0428,51.3648,51.3648,1750559,SPGI
2013-06-03,51.4119,51.7886,51.233,51.7886,1363380,SPGI
2013-06-04,51.4778,51.8262,51.2048,51.4307,1082434,SPGI
2013-06-05,51.1671,51.3272,50.2443,50.6586,1883275,SPGI
2013-06-06,50.5456,51.1953,50.4232,50.9129,2256816,SPGI
2013-06-07,51.2048,51.6473,50.8469,51.5437,2031435,SPGI
2013-06-10,51.5908,51.8639,51.233,51.6191,931850,SPGI
2013-06-11,52.4571,52.4571,50.9976,51.2707,1950050,SPGI
2013-06-12,51.4967,51.9204,51.2048,51.3554,1554818,SPGI
2013-06-13,51.1953,51.911,50.9976,51.8545,1295229,SPGI
2013-06-14,51.8451,52.0428,51.3507,51.5343,825739,SPGI
2013-06-17,51.7415,51.9298,51.313,51.8356,1336902,SPGI
2013-06-18,51.7509,52.8337,51.6709,52.8055,1172913,SPGI
2013-06-19,52.8808,53.2481,52.2688,52.2688,1350847,SPGI
2013-06-20,51.6661,52.5795,49.5946,51.3837,2180087,SPGI
2013-06-21,51.3178,51.7415,49.9524,51.233,3725259,SPGI
2013-06-24,50.4421,50.9599,49.604,50.0937,1623408,SPGI
2013-06-25,50.8281,50.8281,49.6888,49.943,1553906,SPGI
2013-06-26,50.1125,50.4609,49.9618,50.0466,1270097,SPGI
2013-06-27,50.5456,50.555,49.8206,50.1596,1723732,SPGI
2013-06-28,50.1313,50.5174,49.7735,50.0842,2663773,SPGI
2013-07-01,50.4326,51.6756,50.3291,50.9034,1444227,SPGI
