date,open,high,low,close,volume,Name
2013-05-21,31.8173,32.1895,31.6158,32.1895,3116907,STX
2013-05-22,31.9026,33.2438,31.9026,32.6934,7497563,STX
2013-05-23,32.7554,33.802,32.2825,33.3291,7468755,STX
2013-05-24,33.1198,33.3718,32.7477,33.2206,2749811,STX
2013-05-28,33.7633,33.802,33.3601,33.4221,3407272,STX
2013-05-29,33.1043,34.1043,33.0965,33.9261,4026181,STX
2013-05-30,34.0346,34.4533,33.7788,33.8563,3706902,STX
2013-05-31,33.7943,33.9959,33.3911,33.3989,6208637,STX
2013-06-03,33.4532,34.1121,33.081,34.0811,4042457,STX
2013-06-04,34.1276,34.8874,34.1276,34.6858,5099936,STX
2013-06-05,34.6781,34.7556,33.6315,33.8718,4269521,STX
2013-06-06,33.8873,34.2052,33.4958,34.2052,4186578,STX
2013-06-07,34.4145,34.4688,33.8253,34.1199,3291695,STX
2013-06-10,33.8718,34.2128,33.4532,34.0889,3943396,STX
2013-06-11,33.7943,34.5851,33.7323,34.0656,4210734,STX
2013-06-12,34.3912,34.5928,33.6547,33.7788,3389654,STX
2013-06-13,33.8563,34.1897,33.4532,34.0966,2932007,STX
2013-06-14,34.1276,34.3602,33.7865,33.8951,2605474,STX
2013-06-17,34.0811,34.4533,33.9183,34.1199,3120738,STX
2013-06-18,34.2517,34.9262,34.1432,34.8797,4571732,STX
2013-06-19,34.6858,34.9262,34.2129,34.4067,3490264,STX
2013-06-20,34.0036,34.1587,32.8678,33.2113,5166325,STX
2013-06-21,33.4687,33.4687,32.4918,32.7546,5995953,STX
2013-06-24,32.5306,32.5616,31.5382,31.9646,3867347,STX
2013-06-25,32.4841,33.0345,32.1274,32.8725,3339046,STX
2013-06-26,33.1663,33.3911,32.7787,33.1043,2784541,STX
2013-06-27,33.6315,34.8835,33.4997,34.6471,4063482,STX
2013-06-28,34.4998,35.2751,34.2982,34.7556,3896063,STX
2013-07-01,35.2673,35.4883,34.9804,35.2518,2837644,STX
2013-07-02,35.3526,35.5386,34.775,35.058,2711887,STX
2013-07-03,34.9417,35.2402,34.554,34.9649,1953379,STX
