date,open,high,low,close,volume,Name
2013-05-21,73.3964,74.2079,73.1259,73.7931,1344279,SWK
2013-05-22,74.0005,75.0735,73.0357,73.2431,1532556,SWK
2013-05-23,72.5128,72.648,71.1242,71.8275,1712479,SWK
2013-05-24,71.4037,71.4939,70.7049,70.9979,776325,SWK
2013-05-28,71.6291,72.1972,71.3766,72.0168,1609081,SWK
2013-05-29,71.6021,73.3062,71.1602,72.9005,1614230,SWK
2013-05-30,72.4046,73.0538,71.8996,72.3504,962633,SWK
2013-05-31,72.1521,72.5849,71.3676,71.4307,1336656,SWK
2013-06-03,71.8118,72.0477,70.8228,71.9932,1396105,SWK
2013-06-04,71.9932,72.4015,70.958,71.3491,990457,SWK
2013-06-05,71.2311,71.2901,69.8702,70.097,1124292,SWK
2013-06-06,70.2694,71.3128,69.8883,71.1585,867978,SWK
2013-06-07,71.5577,72.465,71.5396,72.3017,627809,SWK
2013-06-10,72.4378,72.592,71.7573,72.4106,682555,SWK
2013-06-11,71.5759,72.9277,71.1585,72.1656,973548,SWK
2013-06-12,72.8733,72.9141,71.2402,71.3854,687750,SWK
2013-06-13,71.3037,72.2926,70.7956,72.084,1021856,SWK
2013-06-14,71.9932,72.6193,71.7573,72.0567,501076,SWK
2013-06-17,72.6374,73.1001,72.179,72.6193,766018,SWK
2013-06-18,72.7735,73.835,72.4015,73.4721,941365,SWK
2013-06-19,73.4812,73.5266,72.0205,72.0205,1102842,SWK
2013-06-20,71.4579,71.4579,69.8067,70.0063,1034714,SWK
2013-06-21,70.3329,70.5325,68.5455,68.9538,1736853,SWK
2013-06-24,68.2915,68.8631,66.9306,68.0919,1664865,SWK
2013-06-25,68.9538,69.5617,68.8631,69.3712,832454,SWK
2013-06-26,69.9609,70.224,69.5163,69.7069,672497,SWK
2013-06-27,70.342,71.1313,70.2603,70.8773,972965,SWK
2013-06-28,70.7321,70.8319,69.9428,70.1333,1107805,SWK
2013-07-01,70.6867,71.4942,70.5597,71.086,677771,SWK
2013-07-02,70.9771,71.5759,70.3238,70.5688,916741,SWK
2013-07-03,70.503,70.9317,69.872,70.6867,335044,SWK
2013-07-05,71.4216,71.8118,70.9317,71.7392,475622,SWK
2013-07-08,72.2745,72.4106,71.8072,71.9569,666226,SWK
2013-07-09,72.465,73.5447,72.465,73.1092,781318,SWK
2013-07-10,73.0275,73.4449,72.1565,72.5467,984407,SWK
2013-07-11,73.6989,74.1707,73.4086,73.9711,885424,SWK
2013-07-12,73.7987,74.7151,73.5991,74.6697,888386,SWK
2013-07-15,74.7605,74.9601,74.3703,74.579,893617,SWK
2013-07-16,74.5064,74.799,73.5991,73.953,542290,SWK
2013-07-17,74.2615,74.3703,73.336,73.4721,713634,SWK
2013-07-18,73.4993,74.5246,73.4993,74.207,823545,SWK
2013-07-19,74.2796,75.4228,73.9439,75.4137,959865,SWK
2013-07-22,75.4863,76.0307,75.2958,75.7222,1013267,SWK
2013-07-23,75.8401,76.4207,75.5407,76.1123,1124190,SWK
2013-07-24,76.2756,76.4389,74.6062,74.8603,1263765,SWK
2013-07-25,74.3431,75.0739,73.7262,74.8603,1163021,SWK
2013-07-26,75.9853,76.8835,75.3956,76.2303,1845161,SWK
2013-07-29,76.0125,76.5478,75.2867,76.2666,880489,SWK
2013-07-30,76.2938,76.566,75.704,76.0397,595639,SWK
2013-07-31,76.0851,77.2283,75.8946,76.7746,930278,SWK
2013-08-01,77.319,79.0519,77.1103,78.9158,1017409,SWK
2013-08-02,78.4803,79.5509,78.1265,79.4965,960143,SWK
2013-08-05,79.1608,79.7052,78.6799,78.8251,913044,SWK
2013-08-06,78.7072,78.9249,77.5368,77.7545,636625,SWK
2013-08-07,77.4279,77.8997,76.9289,77.818,865523,SWK
2013-08-08,77.1648,78.3715,77.1648,77.6456,814132,SWK
2013-08-09,77.6547,77.8815,77.074,77.6638,587473,SWK
2013-08-12,77.446,80.4401,77.3372,80.0137,2163510,SWK
2013-08-13,80.1135,81.1387,79.6507,80.5762,1575835,SWK
2013-08-14,80.7758,81.2022,79.4511,79.8141,896042,SWK
2013-08-15,78.934,79.0701,78.0902,78.8614,885586,SWK
2013-08-16,78.5801,79.3423,78.3896,78.7525,589672,SWK
2013-08-19,78.7616,78.8523,77.8231,78.19,4573032,SWK
2013-08-20,78.1991,79.0338,78.0176,78.7072,794180,SWK
2013-08-21,78.6527,79.3876,78.2082,78.435,672705,SWK
2013-08-22,78.6255,79.7415,78.6255,79.5056,569188,SWK
2013-08-23,79.5691,79.8141,78.9793,79.4784,608218,SWK
2013-08-26,79.315,79.5147,78.5892,78.7525,516853,SWK
2013-08-27,77.8452,77.9087,76.5297,76.7474,782836,SWK
2013-08-28,76.8563,77.4188,76.5115,77.2827,1029153,SWK
2013-08-29,77.1194,78.6709,76.9198,77.8906,2709649,SWK
2013-08-30,78.1809,78.19,77.1285,77.3553,660084,SWK
2013-09-03,78.4441,79.0973,77.6729,78.2263,736162,SWK
2013-09-04,78.0803,79.002,78.0346,78.5731,720434,SWK
2013-09-05,78.5001,79.3305,78.3723,79.0841,547863,SWK
2013-09-06,79.4765,80.6355,78.3906,79.6408,695041,SWK
2013-09-09,79.9784,80.7998,79.9511,80.4256,451865,SWK
2013-09-10,80.9914,81.7215,80.7176,81.6028,854360,SWK
2013-09-11,81.6211,82.0044,81.2022,81.6393,934339,SWK
2013-09-12,81.758,81.9496,81.1283,81.4386,827883,SWK
2013-09-13,81.6667,81.8949,80.9367,81.4568,473741,SWK
2013-09-16,82.4515,82.6432,81.7762,81.8219,779919,SWK
2013-09-17,81.8219,82.1778,81.5572,81.8127,616550,SWK
2013-09-18,82.0044,83.6014,81.2834,83.4919,1004648,SWK
2013-09-19,83.72,84.2858,83.4462,83.501,629567,SWK
2013-09-20,83.2364,83.8204,82.0965,82.2508,994757,SWK
2013-09-23,82.1413,82.1413,80.6264,81.2834,836262,SWK
2013-09-24,81.2469,82.4607,81.2469,81.758,932954,SWK
2013-09-25,82.2964,82.4652,81.5846,81.9222,963835,SWK
2013-09-26,82.123,82.7892,81.9131,82.5975,613153,SWK
2013-09-27,82.1321,82.9078,81.9779,82.6705,641486,SWK
2013-09-30,81.8492,82.8257,81.8492,82.6523,652873,SWK
2013-10-01,83.2546,84.6508,83.1451,84.2858,1468124,SWK
2013-10-02,83.7656,84.1216,82.9808,83.3276,1642878,SWK
2013-10-03,83.0173,83.4006,82.0774,82.9169,1117621,SWK
2013-10-04,83.0447,83.5375,82.9535,83.1725,904608,SWK
2013-10-07,82.5428,82.9535,82.1048,82.1595,903028,SWK
2013-10-08,82.0409,82.561,80.9001,81.11,1113458,SWK
2013-10-09,81.3656,81.424,80.2568,80.672,1127292,SWK
2013-10-10,81.5207,82.3603,81.3199,82.3603,733131,SWK
2013-10-11,82.269,83.501,82.1869,83.3185,624856,SWK
2013-10-14,82.6249,83.5923,82.1321,83.574,741091,SWK
2013-10-15,83.282,83.5923,81.4203,81.685,1725756,SWK
2013-10-16,72.6687,72.9516,68.8267,70.0405,13708657,SWK
2013-10-17,69.4655,69.9036,67.6495,67.8685,6130171,SWK
2013-10-18,68.3796,70.661,67.9161,70.4146,4525426,SWK
2013-10-21,70.4146,71.0078,70.3234,70.7158,2142033,SWK
2013-10-22,70.7158,70.9074,69.8671,70.5971,2476096,SWK
2013-10-23,70.5241,70.5606,69.1598,69.7119,2559533,SWK
2013-10-24,70.0313,71.026,69.5477,70.953,1318273,SWK
2013-10-25,70.8983,71.6283,70.4055,71.601,1708938,SWK
2013-10-28,71.7287,71.747,71.2359,71.5371,1370288,SWK
2013-10-29,71.7105,72.9242,71.5827,72.8877,1641508,SWK
2013-10-30,72.9881,73.2801,71.7744,71.8474,1720853,SWK
2013-10-31,71.528,72.3584,70.7158,72.1759,1053069,SWK
2013-11-01,72.3949,72.5135,71.3363,72.1394,745026,SWK
2013-11-04,72.3402,72.7417,72.0846,72.6687,727287,SWK
2013-11-05,72.55,72.5683,71.528,71.674,1290956,SWK
2013-11-06,72.3584,73.5539,72.0299,73.5448,1412289,SWK
2013-11-07,73.5448,75.4338,73.4718,73.9645,3217373,SWK
2013-11-08,73.6999,74.3661,73.3987,73.8094,1728050,SWK
2013-11-11,73.7455,74.941,73.6725,74.4756,890801,SWK
2013-11-12,74.7494,75.0961,74.2383,74.6672,981062,SWK
2013-11-13,74.0649,75.452,74.0649,75.1692,2093856,SWK
2013-11-14,75.1509,75.3425,74.6946,74.795,1502084,SWK
2013-11-15,74.8224,75.5707,74.6764,75.4155,1558156,SWK
2013-11-18,75.7441,76.6567,75.233,75.5068,1494684,SWK
2013-11-19,75.306,75.6254,74.4482,74.6399,1092920,SWK
2013-11-20,75.1326,75.1965,73.9098,74.0832,1195911,SWK
2013-11-21,74.1379,74.8315,74.0468,74.3022,1195152,SWK
2013-11-22,74.1744,74.9593,73.3075,74.8771,1115765,SWK
2013-11-25,75.1326,75.2787,73.4535,73.5995,1302190,SWK
2013-11-26,73.9189,74.2839,73.2801,73.7729,2111605,SWK
2013-11-27,73.6725,74.2109,73.5083,73.9463,1160089,SWK
2013-11-29,73.8459,74.4665,73.4955,74.2748,610602,SWK
2013-12-02,74.2657,74.4208,72.4679,72.5774,1443446,SWK
2013-12-03,72.4497,72.9744,72.2398,72.8421,1489562,SWK
2013-12-04,72.539,74.0129,72.4288,73.09,1181346,SWK
2013-12-05,72.8788,73.5675,72.8145,73.2553,1427205,SWK
2013-12-06,74.1369,74.7246,73.9624,74.1185,957929,SWK
2013-12-09,73.9992,74.4859,73.8614,74.293,874148,SWK
2013-12-10,74.2655,74.6604,73.9349,74.1185,1177154,SWK
2013-12-11,73.889,74.2012,72.5207,72.8696,1993776,SWK
2013-12-12,73.2553,74.4124,72.8788,73.9716,2708718,SWK
2013-12-13,74.1645,74.541,73.4573,73.9073,995750,SWK
2013-12-16,73.9716,74.4032,73.3839,73.4941,1805011,SWK
2013-12-17,73.6686,73.9441,73.1267,73.2553,1193637,SWK
2013-12-18,73.4849,74.293,72.5941,73.9716,1859997,SWK
2013-12-19,73.9624,74.4859,73.8798,74.1369,1858916,SWK
2013-12-20,74.2287,74.6787,73.9165,73.9808,2429996,SWK
2013-12-23,74.6512,74.8716,74.0543,74.3389,1588269,SWK
2013-12-24,74.4951,74.6512,73.8339,74.0634,697451,SWK
2013-12-26,74.3206,74.5134,73.9716,74.4216,1249222,SWK
2013-12-27,74.4308,74.4859,74.2379,74.394,1133016,SWK
