date,open,high,low,close,volume,Name
2013-05-21,64.2954,64.5935,64.1277,64.5097,1321518,SYK
2013-05-22,64.5749,65.2178,62.7535,63.0749,1948720,SYK
2013-05-23,62.5811,63.1122,62.3761,62.6463,1603216,SYK
2013-05-24,62.4227,62.8233,62.0314,62.4134,1085441,SYK
2013-05-28,62.8047,63.6991,62.7768,63.2706,977264,SYK
2013-05-29,62.8886,63.019,62.2643,62.637,1350025,SYK
2013-05-30,62.6463,63.2519,62.5811,62.7488,1018448,SYK
2013-05-31,62.6184,63.1494,61.8544,61.8544,1267943,SYK
2013-06-03,61.8637,62.7302,61.5842,62.7115,1481709,SYK
2013-06-04,62.7115,62.7488,61.7146,62.1432,828529,SYK
2013-06-05,61.9755,62.1525,61.0252,61.2395,1327865,SYK
2013-06-06,61.2954,61.8441,61.109,61.8264,1323120,SYK
2013-06-07,62.1246,62.6091,62.0128,62.5625,773993,SYK
2013-06-10,62.6091,62.8513,62.255,62.6556,766655,SYK
2013-06-11,62.1991,62.6518,61.7333,62.2643,841186,SYK
2013-06-12,62.6277,62.6556,61.8264,61.8358,1043184,SYK
2013-06-13,61.7892,63.1587,61.314,63.0935,783003,SYK
2013-06-14,63.0283,63.3544,62.5438,62.6184,813155,SYK
2013-06-17,63.019,63.5594,62.8327,63.1774,1005821,SYK
2013-06-18,63.1681,63.4569,62.9631,63.047,1479103,SYK
2013-06-19,63.1308,63.2612,61.8358,61.9103,1262679,SYK
2013-06-20,61.2302,61.3606,60.1867,60.3264,1733739,SYK
2013-06-21,60.8668,61.4724,60.5594,61.1184,1669470,SYK
2013-06-24,60.8919,61.1351,59.7132,60.5832,1581142,SYK
2013-06-25,61.0509,61.2661,60.2932,60.7048,937169,SYK
2013-06-26,61.0977,61.4438,60.499,60.5177,1248239,SYK
2013-06-27,60.7422,60.8638,60.3867,60.5458,1302920,SYK
2013-06-28,60.4896,61.238,60.1996,60.5083,2394728,SYK
2013-07-01,60.6674,60.9667,60.1903,60.2745,1454257,SYK
2013-07-02,60.2464,60.8545,60.0499,60.1716,1573745,SYK
2013-07-03,60.0312,60.3119,59.6009,60.0593,492031,SYK
2013-07-05,60.4241,61.0322,60.2651,61.0229,967078,SYK
