date,open,high,low,close,volume,Name
2013-05-21,71.5202,71.9461,70.888,71.0494,4002486,UNP
2013-05-22,71.0449,72.1883,70.5517,70.6593,3729978,UNP
2013-05-23,69.9509,70.2647,69.3725,69.9778,3445694,UNP
2013-05-24,69.7491,70.471,69.1886,70.3096,2687678,UNP
2013-05-28,71.1929,71.5515,70.4983,70.7266,3902154,UNP
2013-05-29,70.3887,70.8968,69.952,70.3122,2735008,UNP
2013-05-30,70.5689,71.3795,70.3393,70.7806,2806138,UNP
2013-05-31,70.3978,71.6498,69.6322,69.6322,4239744,UNP
2013-06-03,69.8934,70.3167,69.2945,70.2041,4172108,UNP
2013-06-04,70.3978,71.267,69.8619,70.1276,3295186,UNP
2013-06-05,69.7133,69.9024,67.8624,68.3127,4797586,UNP
2013-06-06,68.2181,69.5827,68.1055,69.5782,3439310,UNP
2013-06-07,70.2537,71.6993,69.9745,71.2129,4725068,UNP
2013-06-10,71.4246,71.6182,70.4653,70.7401,2279212,UNP
2013-06-11,70.1411,70.8526,69.6727,69.7223,3075720,UNP
2013-06-12,70.3032,70.6365,69.3035,69.4971,2300438,UNP
2013-06-13,69.3665,70.8751,69.0648,70.6815,2528596,UNP
2013-06-14,70.5689,71.6543,70.3032,70.713,2392348,UNP
2013-06-17,71.1859,71.2444,69.8033,70.2402,3258154,UNP
2013-06-18,70.3302,71.1994,70.069,71.1319,2067212,UNP
2013-06-19,70.9877,71.2444,70.0916,70.1006,2357264,UNP
2013-06-20,69.38,69.7178,68.646,68.9837,4777214,UNP
2013-06-21,69.5872,69.5872,68.1461,68.763,5318134,UNP
2013-06-24,67.8218,68.038,66.8513,67.2544,4572194,UNP
2013-06-25,68.0065,69.3395,67.5741,69.0918,4645400,UNP
2013-06-26,69.7493,70.6545,69.666,70.3888,4002086,UNP
2013-06-27,70.7265,70.9922,69.8844,69.9565,4046462,UNP
2013-06-28,69.7763,70.3298,69.4566,69.4791,4629284,UNP
2013-07-01,70.0961,70.7716,69.8664,69.9925,2561920,UNP
2013-07-02,69.9249,70.686,69.5331,69.8934,3043082,UNP
2013-07-03,69.6142,70.1321,69.1999,69.9384,1713430,UNP
2013-07-05,70.4383,70.9517,70.1231,70.9202,1771312,UNP
2013-07-08,70.9697,71.0868,69.8979,70.3663,3599896,UNP
2013-07-09,70.8121,72.1767,70.8121,71.7894,3247312,UNP
2013-07-10,71.6092,71.6092,70.6635,70.9877,3712692,UNP
2013-07-11,71.3795,71.92,70.8436,71.7668,3608584,UNP
2013-07-12,71.312,72.8206,71.1859,72.3928,3119884,UNP
2013-07-15,72.5414,72.817,71.8074,71.965,2892294,UNP
2013-07-16,72.3838,72.3973,71.3931,71.7038,2743814,UNP
2013-07-17,72.1902,72.8071,71.7128,71.911,3143018,UNP
2013-07-18,72.01,73.0909,71.0193,72.6675,3815336,UNP
2013-07-19,72.5504,73.6223,72.2082,73.5682,3376202,UNP
2013-07-22,73.7664,74.3878,73.3115,73.5322,2882916,UNP
2013-07-23,73.5682,73.7168,72.7351,72.8026,2804540,UNP
2013-07-24,72.7756,73.0548,71.6137,71.7849,3566594,UNP
2013-07-25,71.8434,72.1136,71.1769,72.0911,2892592,UNP
2013-07-26,71.947,72.1496,70.8031,71.7849,2567910,UNP
2013-07-29,71.6227,71.6633,70.7716,70.8031,3337358,UNP
2013-07-30,71.7173,72.1722,70.9517,71.4786,3286076,UNP
2013-07-31,71.5912,72.3388,71.3795,71.4201,3073950,UNP
2013-08-01,72.028,73.4781,71.8529,73.3025,3437926,UNP
2013-08-02,73.4241,74.1041,72.9918,73.5727,2522718,UNP
2013-08-05,73.3205,73.5457,72.627,72.9422,2174092,UNP
2013-08-06,72.7396,72.8657,71.8209,72.0551,3085780,UNP
2013-08-07,71.7443,71.8974,71.4606,71.6407,3060914,UNP
2013-08-08,72.0641,72.8161,72.0325,72.3027,2349744,UNP
2013-08-09,72.2712,72.3059,71.4291,71.9605,2519554,UNP
2013-08-12,71.5552,72.0325,71.4246,71.6813,1573272,UNP
2013-08-13,71.6903,72.582,71.4786,72.1406,1843078,UNP
2013-08-14,71.965,72.1361,71.357,71.4201,2058382,UNP
2013-08-15,70.9427,71.0733,70.0826,70.605,2812650,UNP
2013-08-16,70.4518,71.384,70.2942,71.1228,2870590,UNP
2013-08-19,71.0508,71.1634,70.4248,70.4699,2846616,UNP
2013-08-20,70.4879,71.0418,70.0961,70.4518,2920490,UNP
2013-08-21,70.4789,70.614,69.5827,69.7448,3790040,UNP
2013-08-22,69.9384,71.5552,69.9384,71.4246,2981696,UNP
