date,open,high,low,close,volume,Name
2013-05-21,38.9918,39.1206,38.7514,38.8201,407937,AJG
2013-05-22,38.863,39.1722,38.2276,38.4595,653801,AJG
2013-05-23,38.3307,38.4423,38.0559,38.3478,484726,AJG
2013-05-24,38.1761,38.2792,37.7983,38.1933,342024,AJG
2013-05-28,38.4681,38.7686,38.3393,38.4766,902089,AJG
2013-05-29,38.3135,38.3564,37.9443,38.1761,286063,AJG
2013-05-30,38.262,38.6054,38.2019,38.4852,405656,AJG
2013-05-31,38.4766,38.5112,37.7929,37.8015,586675,AJG
2013-06-03,37.8621,37.8621,37.1179,37.3169,762286,AJG
2013-06-04,37.3948,37.6536,36.9794,37.1611,459417,AJG
2013-06-05,36.9707,37.2035,36.7111,36.8582,353701,AJG
2013-06-06,36.8323,37.3515,36.7804,37.3515,634084,AJG
2013-06-07,37.5419,37.9573,37.371,37.8794,450540,AJG
2013-06-10,37.9314,38.0179,37.6285,37.8275,518368,AJG
2013-06-11,37.8967,38.0266,37.6371,37.8881,794786,AJG
2013-06-12,38.0352,38.1286,37.6112,37.6285,251569,AJG
2013-06-13,37.5938,38.4506,37.3169,38.3987,452594,AJG
2013-06-14,38.3208,38.5025,38.191,38.3814,466675,AJG
2013-06-17,38.5545,38.9006,38.5545,38.8141,444193,AJG
2013-06-18,38.9439,39.368,38.7362,39.2555,445524,AJG
2013-06-19,38.6583,38.866,37.94,37.9487,860340,AJG
2013-06-20,37.6717,37.7669,36.9361,36.9534,864025,AJG
2013-06-21,37.0054,37.4727,36.9881,37.2996,847093,AJG
2013-06-24,36.9534,37.1611,36.6419,36.9361,430744,AJG
2013-06-25,37.2044,37.2823,36.8842,37.1784,476996,AJG
2013-06-26,37.49,37.5938,37.1179,37.3775,646404,AJG
2013-06-27,37.5333,38.1044,37.4121,37.966,323634,AJG
2013-06-28,37.9573,38.1218,37.7496,37.8102,615602,AJG
2013-07-01,37.9833,38.4506,37.9054,38.2948,394042,AJG
2013-07-02,38.2516,38.6324,37.9503,38.1737,305366,AJG
2013-07-03,38.1044,38.2256,37.7842,38.0612,154513,AJG
2013-07-05,38.2602,38.3727,38.0698,38.3468,375452,AJG
2013-07-08,38.5285,38.7275,38.4247,38.5458,345908,AJG
2013-07-09,38.7016,38.866,38.4852,38.5025,598185,AJG
2013-07-10,38.5112,38.6583,38.2516,38.615,368914,AJG
2013-07-11,38.9439,39.2555,38.8401,39.2295,598234,AJG
2013-07-12,39.1603,39.4372,39.0651,39.4026,246333,AJG
2013-07-15,39.3766,39.7141,38.9785,39.2468,469663,AJG
2013-07-16,39.4458,39.6103,38.6756,38.7016,523476,AJG
2013-07-17,38.8401,38.8747,38.5112,38.5804,567893,AJG
2013-07-18,38.641,39.1256,38.641,38.892,852283,AJG
2013-07-19,38.9526,39.0824,38.7795,38.9266,294945,AJG
2013-07-22,38.9093,39.0564,38.7795,39.0478,323144,AJG
2013-07-23,39.1256,39.2814,38.6324,38.6497,436344,AJG
2013-07-24,38.7881,38.8487,38.0266,38.0439,507496,AJG
2013-07-25,38.0698,38.3814,37.94,38.0698,448322,AJG
2013-07-26,37.9919,38.0266,37.5938,37.8708,668297,AJG
2013-07-29,37.8362,38.0006,37.6631,37.7756,278542,AJG
2013-07-30,37.8102,38.1044,37.6497,37.8708,311188,AJG
2013-07-31,38.2948,39.2053,38.2516,38.4073,786647,AJG
2013-08-01,38.8141,39.5324,38.3641,38.7881,1095810,AJG
2013-08-02,38.5891,39.1343,38.4593,39.0824,474215,AJG
2013-08-05,39.0391,39.2814,38.6237,38.6843,374909,AJG
2013-08-06,38.6497,38.7102,38.4333,38.4939,327002,AJG
2013-08-07,38.4506,38.4679,38.1867,38.2775,244450,AJG
2013-08-08,38.2948,38.5025,38.0525,38.2948,490173,AJG
2013-08-09,38.0525,38.3208,38.0525,38.1304,272460,AJG
2013-08-12,37.966,38.3381,37.8102,37.8535,429320,AJG
2013-08-13,38.3035,38.5631,38.1477,38.4073,868563,AJG
2013-08-14,38.2862,38.4816,37.7929,38.165,469909,AJG
2013-08-15,37.7496,37.9314,37.2131,37.291,495390,AJG
2013-08-16,37.0746,37.4294,36.9881,37.1698,385446,AJG
2013-08-19,37.1265,37.1958,36.8929,37.1179,316813,AJG
2013-08-20,37.1092,37.6631,36.9275,37.5246,386873,AJG
2013-08-21,37.3775,37.4987,36.9102,37.0227,381353,AJG
2013-08-22,37.0833,37.1958,36.7977,37.0486,372006,AJG
2013-08-23,37.239,37.3256,37.0227,37.3256,337656,AJG
2013-08-26,37.6647,37.7694,37.1498,37.1498,502801,AJG
2013-08-27,36.8531,37.1585,36.4778,36.6611,648866,AJG
2013-08-28,36.6087,36.792,36.3469,36.4342,635931,AJG
2013-08-29,36.3557,37.0102,36.3557,36.7396,523043,AJG
2013-08-30,36.5302,36.5302,35.9455,36.0764,559539,AJG
2013-09-03,36.6262,36.792,35.8757,36.1288,1213368,AJG
