date,open,high,low,close,volume,Name
2013-05-21,45.0606,45.1243,44.1954,44.6963,5987295,ALL
2013-05-22,44.6143,45.4248,44.2045,44.4322,4997375,ALL
2013-05-23,44.0861,44.6325,43.9495,44.4049,3829750,ALL
2013-05-24,44.2227,44.4777,43.7401,44.3775,3131575,ALL
2013-05-28,44.76,45.0697,44.2136,44.4595,3295041,ALL
2013-05-29,44.1666,44.6975,44.0293,44.4412,3198148,ALL
2013-05-30,44.5694,44.8989,44.4778,44.6975,3215866,ALL
2013-05-31,44.5419,44.8531,44.1574,44.1574,3024948,ALL
2013-06-03,44.1574,44.2764,43.1185,43.4526,5573702,ALL
2013-06-04,43.3794,43.6265,42.5189,42.7295,4947544,ALL
2013-06-05,42.5189,42.702,41.9514,41.9789,4327603,ALL
2013-06-06,41.9605,42.5555,41.7363,42.5555,4164116,ALL
2013-06-07,42.8485,43.4984,42.6837,43.4434,3965246,ALL
2013-06-10,43.4892,43.6998,43.1505,43.297,3518769,ALL
2013-06-11,42.9858,43.5396,42.6837,43.2512,4054032,ALL
2013-06-12,43.4892,43.5716,42.9958,43.0407,4352987,ALL
2013-06-13,42.9949,43.4938,42.5922,43.3977,3063890,ALL
2013-06-14,43.4068,43.5258,42.8118,42.9034,2723344,ALL
2013-06-17,43.1048,43.6265,43.0681,43.4068,2193909,ALL
2013-06-18,43.6082,43.6906,43.2695,43.6357,2060991,ALL
2013-06-19,43.5808,43.8645,43.059,43.0681,3277206,ALL
2013-06-20,42.7844,43.9286,42.5372,42.6288,5386347,ALL
2013-06-21,42.9766,43.416,42.5647,43.2329,7306918,ALL
2013-06-24,42.7295,43.0369,42.3725,42.6562,4402543,ALL
2013-06-25,42.9034,43.2055,42.821,42.9125,3360866,ALL
2013-06-26,43.1231,43.8462,42.9858,43.7181,4191693,ALL
2013-06-27,43.9927,44.3222,43.9377,44.2124,2486186,ALL
2013-06-28,44.2124,44.4595,44.0293,44.0476,3726784,ALL
2013-07-01,44.2124,44.8714,44.1941,44.5694,2751348,ALL
2013-07-02,44.5602,45.0453,44.2856,44.4137,2589918,ALL
2013-07-03,44.2124,44.5269,43.9744,44.368,1103570,ALL
