date,open,high,low,close,volume,Name
2013-05-21,39.697,39.8126,39.1183,39.4299,569628,AVY
2013-05-22,39.3676,39.7682,38.5129,38.6553,595600,AVY
2013-05-23,38.4061,39.1361,38.2992,38.8868,512212,AVY
2013-05-24,38.6642,38.9091,38.4061,38.869,357010,AVY
2013-05-28,39.234,39.8394,39.234,39.5011,550364,AVY
2013-05-29,39.2429,39.4566,38.6909,38.9669,458995,AVY
2013-05-30,38.9758,39.4833,38.9313,39.1806,476765,AVY
2013-05-31,38.9936,39.4566,38.7266,38.7266,681173,AVY
2013-06-03,38.8969,38.9237,38.0723,38.7714,655630,AVY
2013-06-04,38.7803,39.0761,38.1978,38.628,467273,AVY
2013-06-05,38.4846,38.4846,37.491,37.911,650222,AVY
2013-06-06,37.8841,38.3591,37.5077,38.3502,743222,AVY
2013-06-07,38.619,38.9417,38.2247,38.8879,470821,AVY
2013-06-10,38.9954,39.0582,38.619,39.0313,324508,AVY
2013-06-11,38.6101,38.9686,38.386,38.5115,352131,AVY
2013-06-12,38.7983,38.852,38.1799,38.2605,294137,AVY
2013-06-13,38.2336,38.8431,38.1261,38.7176,437074,AVY
2013-06-14,38.7086,38.8252,38.3681,38.5742,323593,AVY
2013-06-17,38.8162,39.1783,38.6746,38.9327,301249,AVY
2013-06-18,39.0044,39.6587,38.9327,39.5332,397726,AVY
2013-06-19,39.5153,39.5153,38.8969,38.8969,691387,AVY
2013-06-20,38.4308,38.4487,37.427,37.5256,771773,AVY
2013-06-21,37.7766,37.8572,36.9699,37.3464,602906,AVY
2013-06-24,36.9341,37.1313,36.486,36.8176,509999,AVY
2013-06-25,37.1761,37.8751,37.1223,37.7228,502023,AVY
2013-06-26,37.9737,38.1351,37.5435,37.7855,545610,AVY
2013-06-27,38.0365,38.5473,37.8393,38.2964,519050,AVY
2013-06-28,38.1619,38.5204,37.9558,38.3233,991650,AVY
2013-07-01,38.5025,39.1299,38.4039,39.0044,551632,AVY
2013-07-02,38.9327,39.3988,38.6818,38.8789,389287,AVY
2013-07-03,38.5653,39.1568,38.5653,39.0223,386084,AVY
2013-07-05,39.3181,39.829,39.1209,39.829,281235,AVY
2013-07-08,40.0082,40.3488,39.9275,40.2681,642977,AVY
2013-07-09,40.537,40.7288,40.2143,40.3308,696105,AVY
2013-07-10,40.286,40.286,39.587,39.7931,800859,AVY
2013-07-11,40.3398,40.3757,39.9723,40.1068,565790,AVY
2013-07-12,39.9634,40.1695,39.82,40.062,647296,AVY
2013-07-15,40.0889,40.1247,39.9374,40.1157,618095,AVY
2013-07-16,40.1247,40.1695,39.4167,39.4884,730748,AVY
2013-07-17,39.6676,39.8738,39.3898,39.6587,980123,AVY
2013-07-18,39.7214,40.3757,39.6497,40.3308,516296,AVY
2013-07-19,40.2412,40.3219,40.0261,40.1426,572207,AVY
2013-07-22,39.9992,40.304,39.5332,39.7931,657836,AVY
2013-07-23,41.2092,42.0875,39.8469,39.9903,1376190,AVY
2013-07-24,40.1606,40.3219,39.1837,39.3719,835903,AVY
2013-07-25,39.2374,39.6945,39.1747,39.6139,873324,AVY
2013-07-26,39.3808,39.587,38.973,39.569,936098,AVY
2013-07-29,39.4705,39.7124,39.4032,39.578,614662,AVY
2013-07-30,39.6228,39.9723,39.6228,39.7393,578054,AVY
2013-07-31,39.9096,40.2323,39.6228,40.0889,1051058,AVY
2013-08-01,40.4115,41.3884,40.4115,41.3167,823612,AVY
2013-08-02,41.2002,41.254,40.8148,40.9851,630197,AVY
2013-08-05,40.9851,41.1016,40.5908,40.7162,411620,AVY
2013-08-06,40.6356,40.7073,39.8917,40.0799,715415,AVY
