date,open,high,low,close,volume,Name
2013-05-21,255.8398,258.2257,254.3784,256.7995,737423,BLK
2013-05-22,256.7731,262.4779,249.0697,251.2002,1172184,BLK
2013-05-23,247.2561,249.7564,244.2601,248.9728,747987,BLK
2013-05-24,246.4021,249.6243,246.3317,249.4571,417426,BLK
2013-05-28,251.2794,257.3277,251.0329,253.8326,564174,BLK
2013-05-29,252.063,254.308,248.9464,249.7124,749516,BLK
2013-05-30,248.7087,252.3852,247.6523,250.8921,781861,BLK
2013-05-31,249.774,251.7813,245.733,245.8035,812794,BLK
2013-06-03,246.4549,246.4637,240.3715,245.0375,774769,BLK
2013-06-04,245.3897,247.8988,241.8329,243.2327,718980,BLK
2013-06-05,244.3843,246.0495,233.0553,236.4743,1305860,BLK
2013-06-06,236.5635,239.9864,232.2225,239.7725,1409330,BLK
2013-06-07,243.338,250.2016,240.4678,249.7916,899128,BLK
2013-06-10,248.7398,252.1805,246.3901,250.781,695217,BLK
2013-06-11,249.0429,249.3459,245.2812,246.1993,643994,BLK
2013-06-12,248.1336,249.5857,239.3625,239.8171,866564,BLK
2013-06-13,239.5853,243.0795,235.9574,242.8388,1162636,BLK
2013-06-14,242.7764,243.9709,238.9346,240.4321,761601,BLK
2013-06-17,242.9547,247.8751,241.5642,246.0122,762654,BLK
2013-06-18,247.2512,248.9894,244.9247,246.4578,506428,BLK
2013-06-19,246.8144,247.9909,239.095,239.3001,832063,BLK
2013-06-20,235.9663,237.036,223.3354,224.6368,2373379,BLK
2013-06-21,230.4308,230.5556,215.7052,221.6596,2622578,BLK
2013-06-24,219.6273,221.3298,214.4662,218.9498,1564392,BLK
2013-06-25,222.4975,226.2948,220.7504,225.1449,1258714,BLK
2013-06-26,224.9221,231.2242,224.9221,230.0119,1028320,BLK
2013-06-27,229.3968,236.6616,229.3968,235.378,1042380,BLK
2013-06-28,235.2175,235.2175,228.3985,228.9511,1407026,BLK
2013-07-01,229.6286,233.1852,228.0241,228.2915,835772,BLK
2013-07-02,228.1132,231.2242,227.0436,228.9244,483370,BLK
2013-07-03,226.8475,229.2809,225.5193,227.5338,248215,BLK
2013-07-05,229.8158,230.8141,225.858,229.3166,596218,BLK
2013-07-08,231.7412,232.2492,228.0776,229.1027,844586,BLK
2013-07-09,231.2242,235.1195,227.516,234.7718,939040,BLK
2013-07-10,236.2159,237.3925,233.8983,235.9574,884984,BLK
2013-07-11,238.5067,242.4823,237.9541,240.5747,932335,BLK
2013-07-12,240.2271,240.4855,236.8666,240.441,675422,BLK
2013-07-15,240.8243,241.7148,239.7992,240.5034,464695,BLK
2013-07-16,240.7263,243.7659,236.6616,239.202,661988,BLK
2013-07-17,239.612,242.714,239.0237,242.714,1075306,BLK
2013-07-18,243.8996,249.2569,242.7234,248.615,1234350,BLK
2013-07-19,249.5688,250.2284,245.3882,250.2284,775137,BLK
2013-07-22,249.8094,254.9349,248.6328,254.9349,769421,BLK
2013-07-23,254.9527,257.4486,253.8474,253.9989,706067,BLK
2013-07-24,254.195,255.3271,251.8596,253.1076,856228,BLK
2013-07-25,251.5565,255.4072,250.7009,254.0257,580320,BLK
2013-07-26,252.3231,255.2914,251.0841,255.2736,421460,BLK
2013-07-29,255.6569,255.6569,251.3961,252.3677,423985,BLK
2013-07-30,253.8563,254.302,251.2535,251.7616,494460,BLK
2013-07-31,251.9755,254.7655,250.7187,251.3337,733887,BLK
2013-08-01,254.9349,255.8263,252.8669,254.2842,774679,BLK
2013-08-02,254.4892,257.0051,253.4605,255.4875,610576,BLK
2013-08-05,254.0168,254.9616,252.644,254.6853,334468,BLK
2013-08-06,254.2218,255.4965,252.1894,253.678,335467,BLK
2013-08-07,252.3855,252.3855,247.9375,250.3888,477999,BLK
2013-08-08,252.5549,253.0897,248.1515,248.2674,501211,BLK
2013-08-09,248.5704,252.7064,247.1442,250.0947,576167,BLK
2013-08-12,248.8467,249.854,246.5826,247.991,356462,BLK
2013-08-13,248.2852,250.1749,246.2974,249.4172,382981,BLK
