date,open,high,low,close,volume,Name
2013-05-21,40.114,40.2133,39.6177,39.6838,1969156,BWA
2013-05-22,39.646,39.8966,38.7559,39.0835,2313202,BWA
2013-05-23,38.6061,39.0693,38.4595,38.833,1452476,BWA
2013-05-24,38.5352,38.9086,38.3555,38.7432,1258146,BWA
2013-05-28,39.3813,39.7358,39.0126,39.0882,1620234,BWA
2013-05-29,38.7951,39.4428,38.7951,39.1686,1716374,BWA
2013-05-30,39.2253,39.5326,39.1071,39.1355,1255626,BWA
2013-05-31,38.9701,39.1591,38.3224,38.3224,1632534,BWA
2013-06-03,38.4879,38.8991,37.6417,38.0672,2265990,BWA
2013-06-04,38.0388,38.3319,37.5897,37.9963,1554086,BWA
2013-06-05,37.8639,38.0057,37.2541,37.5567,1582120,BWA
2013-06-06,37.5472,37.9159,37.2541,37.9065,1601792,BWA
2013-06-07,37.8166,39.0599,37.0745,39.0551,2519128,BWA
2013-06-10,39.2442,39.7784,38.9653,39.6318,2360810,BWA
2013-06-11,39.0551,39.7926,38.8188,39.5231,2422636,BWA
2013-06-12,40.0573,40.1093,39.3529,39.3671,2035720,BWA
2013-06-13,39.2679,40.6009,39.2064,40.5111,1385508,BWA
2013-06-14,40.4544,40.5725,39.9296,39.9627,1479544,BWA
2013-06-17,40.3551,40.972,40.2984,40.79,2035528,BWA
2013-06-18,40.7805,41.2627,40.6103,40.9932,1975808,BWA
2013-06-19,40.9412,41.2532,40.53,40.5489,1934974,BWA
2013-06-20,39.958,40.0856,39.0693,39.2915,2005086,BWA
2013-06-21,39.6129,39.7287,39.1639,39.3577,2569328,BWA
2013-06-24,38.5683,39.0457,38.0577,38.7006,2012260,BWA
2013-06-25,39.0504,39.4948,38.9653,39.2489,1406092,BWA
2013-06-26,39.5089,40.2416,39.4239,39.9627,1251358,BWA
2013-06-27,40.3504,41.0121,40.2936,40.8562,1479544,BWA
2013-06-28,40.7238,41.4376,40.582,40.7238,1773776,BWA
2013-07-01,40.9365,41.1209,40.6482,40.7663,1733096,BWA
2013-07-02,40.7474,40.8183,39.9769,40.1613,2480910,BWA
2013-07-03,39.9249,40.1046,39.7737,39.9296,1202082,BWA
