date,open,high,low,close,volume,Name
2013-05-21,65.9952,66.0809,65.5751,65.918,1707862,CCI
2013-05-22,65.8323,65.9352,63.3286,63.4915,2159695,CCI
2013-05-23,62.9085,63.1572,62.3769,62.9171,2965792,CCI
2013-05-24,62.7456,63.26,62.3941,63.2086,1729461,CCI
2013-05-28,63.886,64.2889,62.7799,62.8742,2273601,CCI
2013-05-29,62.4284,62.6942,59.9076,61.5109,4659243,CCI
2013-05-30,61.6824,62.587,61.6481,61.7339,2519816,CCI
2013-05-31,61.4509,62.274,61.0908,61.0908,3280147,CCI
2013-06-03,61.0908,61.2623,60.4649,60.765,2798825,CCI
2013-06-04,60.7735,61.4852,59.8047,59.8904,3315116,CCI
2013-06-05,59.8047,60.0705,59.3674,59.8132,3506645,CCI
2013-06-06,59.8132,60.6707,59.7789,60.5678,3515992,CCI
2013-06-07,60.0962,60.7264,60.0962,60.2591,4203487,CCI
2013-06-10,60.3191,60.5077,59.1273,59.3417,2708829,CCI
2013-06-11,58.913,59.7275,58.7672,59.4617,2118422,CCI
2013-06-12,59.7104,59.7104,58.2785,58.3042,2261899,CCI
2013-06-13,58.5443,59.8304,58.047,59.7961,5231938,CCI
2013-06-14,59.7961,60.8421,59.6846,60.3105,3132197,CCI
2013-06-17,60.6535,60.8336,60.1048,60.3105,2731176,CCI
2013-06-18,60.3105,61.4595,60.3105,61.1594,1573863,CCI
2013-06-19,61.0994,61.2023,59.556,59.6246,2571593,CCI
2013-06-20,59.0673,59.0673,57.7469,58.047,3611447,CCI
2013-06-21,58.3728,58.9515,57.4982,58.7586,3084162,CCI
2013-06-24,58.047,58.2785,57.4039,57.7297,1967395,CCI
2013-06-25,58.227,58.8872,57.9441,58.5786,1493679,CCI
2013-06-26,58.8787,60.1819,58.6386,60.1305,2959187,CCI
2013-06-27,60.482,62.8399,60.4306,62.1368,4992949,CCI
2013-06-28,62.0168,62.3683,61.6567,62.0682,5258420,CCI
2013-07-01,62.1626,62.8399,61.8968,61.9997,3484318,CCI
2013-07-02,61.871,62.2826,61.4423,61.871,1983316,CCI
2013-07-03,61.631,62.2569,61.2023,62.0768,925799,CCI
2013-07-05,62.2912,62.2912,60.8807,61.9139,1177959,CCI
2013-07-08,62.0511,63.0157,62.0168,62.8656,2272444,CCI
2013-07-09,63.3629,63.3629,62.1197,62.3255,2046661,CCI
2013-07-10,62.3941,64.469,62.2912,64.1689,3507245,CCI
2013-07-11,65.0778,66.4153,65.0778,65.7808,3533445,CCI
2013-07-12,65.9352,66.5139,65.4293,66.2781,2178846,CCI
2013-07-15,66.5525,66.8783,65.2956,66.3296,1770421,CCI
2013-07-16,66.2524,66.3382,65.0821,65.4636,1970454,CCI
2013-07-17,64.7519,65.6351,63.3372,65.5408,4826419,CCI
