date,open,high,low,close,volume,Name
2013-05-21,51.8066,53.2632,51.7534,53.1744,1829386,CHRW
2013-05-22,53.1744,53.3787,52.2863,52.4994,1802935,CHRW
2013-05-23,52.3307,52.8458,52.2418,52.8369,1014968,CHRW
2013-05-24,52.455,52.5216,51.6201,52.1353,966260,CHRW
2013-05-28,52.8458,52.9169,51.2471,51.3981,1418212,CHRW
2013-05-29,51.2205,51.5668,51.0162,51.2205,1423651,CHRW
2013-05-30,51.3448,51.5047,50.9451,51.0428,998762,CHRW
2013-05-31,50.6787,50.8563,50.1369,50.3589,2271422,CHRW
2013-06-03,50.3856,50.6609,50.0747,50.6609,1064561,CHRW
2013-06-04,50.5987,50.9895,49.9593,50.1813,1250817,CHRW
2013-06-05,50.1724,50.5567,50.0026,50.2796,1374412,CHRW
2013-06-06,50.4137,50.6639,49.94,50.3243,955618,CHRW
2013-06-07,50.7712,51.4325,50.4047,51.084,1252361,CHRW
2013-06-10,50.1545,50.7712,49.9668,50.7712,1577076,CHRW
2013-06-11,50.3332,50.7622,50.2618,50.4941,586007,CHRW
2013-06-12,50.7265,51.0393,50.0205,50.0651,857658,CHRW
2013-06-13,49.9043,50.8963,49.9043,50.6907,1380291,CHRW
2013-06-14,50.7175,51.1197,50.3869,50.4941,1222136,CHRW
2013-06-17,50.9052,51.1555,50.4405,50.8516,1036777,CHRW
2013-06-18,51.1018,51.3163,50.6818,51.2359,1313120,CHRW
2013-06-19,51.2984,51.4593,50.512,50.5209,1165483,CHRW
2013-06-20,50.1545,50.3779,49.4306,49.5289,1999293,CHRW
2013-06-21,48.957,49.806,48.6888,48.9659,5348442,CHRW
2013-06-24,48.7603,48.9927,48.0275,48.5548,2219048,CHRW
2013-06-25,49.2251,49.2966,48.5905,48.8855,1925835,CHRW
2013-06-26,49.4395,49.5647,48.9078,49.2608,1200481,CHRW
2013-06-27,49.5379,50.1545,49.444,49.806,1164576,CHRW
2013-06-28,49.6451,50.5567,49.6004,50.3243,2058388,CHRW
2013-07-01,50.8158,50.941,50.2528,50.512,818267,CHRW
2013-07-02,50.3958,50.8427,50.1456,50.4584,919838,CHRW
2013-07-03,50.2171,50.4673,49.949,50.3779,459013,CHRW
2013-07-05,50.7175,51.3074,50.2618,51.2984,632747,CHRW
2013-07-08,51.4146,51.924,51.2538,51.8436,870036,CHRW
2013-07-09,51.9866,52.7909,51.9866,52.1832,779005,CHRW
2013-07-10,52.0313,52.4781,51.6827,51.9598,833567,CHRW
2013-07-11,52.7552,52.8982,52.4245,52.6211,963352,CHRW
2013-07-12,52.2905,52.5049,51.4414,51.6827,1361870,CHRW
2013-07-15,51.781,53.9438,51.7185,53.5684,1899981,CHRW
2013-07-16,53.7651,54.1136,53.5774,53.8276,1509107,CHRW
2013-07-17,54.0957,54.203,53.4701,53.6668,794629,CHRW
2013-07-18,53.8366,54.3549,53.8276,54.2477,849650,CHRW
2013-07-19,54.2208,54.4532,53.9974,54.1583,705567,CHRW
2013-07-22,54.623,54.632,54.0242,54.1047,758795,CHRW
2013-07-23,54.4264,54.4264,53.3897,53.5148,761713,CHRW
2013-07-24,54.0332,54.051,52.9786,52.9786,871615,CHRW
2013-07-25,52.9607,53.0322,52.2726,52.8892,828826,CHRW
2013-07-26,52.4692,53.1216,52.4022,53.0769,479420,CHRW
2013-07-29,52.782,53.0948,52.6122,52.7999,392919,CHRW
2013-07-30,52.9518,53.1663,52.5854,52.9071,625865,CHRW
2013-07-31,53.0501,53.8634,52.8803,53.2825,932992,CHRW
2013-08-01,53.8165,54.8286,53.059,54.5783,1139924,CHRW
2013-08-02,54.1315,54.2119,52.925,53.3629,1678390,CHRW
2013-08-05,53.2467,53.5327,52.8177,53.3182,749837,CHRW
2013-08-06,53.1752,53.8008,52.9697,53.2467,1623007,CHRW
2013-08-07,50.083,50.8695,49.6898,50.3243,4337410,CHRW
2013-08-08,50.3601,50.7086,50.0651,50.6997,1372812,CHRW
2013-08-09,50.8337,50.9052,50.4494,50.7533,1088714,CHRW
2013-08-12,50.5746,51.0661,50.5031,50.9946,905987,CHRW
2013-08-13,51.0035,51.0929,50.2081,50.4405,742944,CHRW
2013-08-14,50.3511,50.6326,49.6808,49.797,952347,CHRW
2013-08-15,49.6362,50.0526,49.3859,49.94,1151560,CHRW
2013-08-16,49.8238,50.3154,49.6728,50.1634,934429,CHRW
2013-08-19,50.1903,50.3109,49.7613,50.0651,871455,CHRW
2013-08-20,49.9579,50.7712,49.7523,50.4584,819205,CHRW
2013-08-21,50.4137,50.9736,50.1813,50.5835,909260,CHRW
2013-08-22,50.512,51.1367,50.4762,50.8695,654750,CHRW
2013-08-23,50.9588,51.2001,50.7801,51.1197,915064,CHRW
