date,open,high,low,close,volume,Name
2013-05-21,47.2174,47.5052,47.0404,47.0994,2351916,DHR
2013-05-22,47.092,47.247,46.096,46.3026,2821350,DHR
2013-05-23,45.9706,46.2657,45.8747,46.0296,2822608,DHR
2013-05-24,45.7419,46.0296,45.5279,45.8157,2287504,DHR
2013-05-28,46.2731,46.6346,46.0886,46.1772,1980720,DHR
2013-05-29,45.8157,46.096,45.6644,45.8968,2103672,DHR
2013-05-30,46.0518,46.4059,45.8083,46.1108,2098290,DHR
2013-05-31,45.8968,46.2878,45.6091,45.6091,2699399,DHR
2013-06-03,45.6386,46.0518,45.5722,46.0149,3149402,DHR
2013-06-04,45.9116,46.31,45.3251,45.587,2959586,DHR
2013-06-05,45.5058,45.5796,44.4508,44.591,3459392,DHR
2013-06-06,44.6352,44.709,44.0081,44.5836,4640144,DHR
2013-06-07,44.9672,45.8673,44.65,45.8157,3385582,DHR
2013-06-10,45.9042,46.1993,45.7198,45.9558,2490454,DHR
2013-06-11,45.4911,46.096,45.4026,45.8968,2290813,DHR
2013-06-12,46.0591,46.0591,45.2697,45.2992,2647557,DHR
2013-06-13,45.7493,46.2436,45.1295,46.096,2248300,DHR
2013-06-14,46.0518,46.3542,45.8304,46.1255,2118406,DHR
2013-06-17,46.4797,46.9887,46.4575,46.7526,3072842,DHR
2013-06-18,46.7158,47.6601,46.5387,47.483,2965606,DHR
2013-06-19,47.483,47.8077,46.9666,46.9814,3497636,DHR
2013-06-20,46.4723,46.6494,45.8157,45.9337,3270545,DHR
2013-06-21,46.1772,46.3911,45.4984,45.8231,5981006,DHR
2013-06-24,45.4763,45.9558,45.1738,45.4911,3110574,DHR
2013-06-25,45.7935,46.0665,45.4247,45.9632,3111683,DHR
2013-06-26,46.3655,46.9854,46.2843,46.7566,3296234,DHR
2013-06-27,47.0666,47.1626,46.5647,46.9707,2531966,DHR
2013-06-28,46.8157,47.026,46.5205,46.7197,4228276,DHR
2013-07-01,47.0445,48.0852,46.9412,47.753,3760389,DHR
2013-07-02,47.6718,47.801,46.8378,47.0002,3248561,DHR
2013-07-03,46.7493,47.17,46.6164,46.9633,1100358,DHR
2013-07-05,47.384,47.694,47.2511,47.6792,1750447,DHR
2013-07-08,47.9375,48.0195,47.4652,47.5611,2790956,DHR
2013-07-09,48.2254,49.207,48.2254,49.1701,4706772,DHR
2013-07-10,49.1554,50.1444,49.1554,50.041,4703594,DHR
2013-07-11,50.6167,50.9267,50.041,50.447,4258184,DHR
2013-07-12,50.4248,50.506,49.9008,50.3289,3040436,DHR
2013-07-15,50.5651,50.6536,50.2846,50.4839,3494749,DHR
2013-07-16,50.4839,50.7717,49.8418,50.2403,2522139,DHR
2013-07-17,50.3953,50.6536,50.292,50.4913,3217950,DHR
2013-07-18,50.1887,50.6905,49.3251,50.0041,5498028,DHR
2013-07-19,50.1887,50.9415,49.948,50.6979,2941459,DHR
2013-07-22,50.4765,50.8382,50.0779,50.3141,2777315,DHR
2013-07-23,50.3732,50.4839,50.0706,50.1148,2472930,DHR
2013-07-24,50.1887,50.2846,49.7347,49.9156,2671325,DHR
2013-07-25,49.5613,49.768,49.3251,49.6572,3102199,DHR
2013-07-26,49.3989,49.4506,49.1037,49.2439,2375693,DHR
2013-07-29,49.3583,49.6277,48.8749,49.5908,2145425,DHR
2013-07-30,49.7901,50.0853,49.5539,49.5761,2108340,DHR
2013-07-31,49.5982,50.1739,49.5761,49.7015,2371772,DHR
2013-08-01,50.0558,50.3326,49.923,49.923,2788583,DHR
2013-08-02,49.9156,49.9156,49.4321,49.6203,2075213,DHR
2013-08-05,49.5244,49.6425,49.3694,49.5392,1592757,DHR
2013-08-06,49.5392,49.5761,49.2882,49.4875,2010715,DHR
2013-08-07,49.4506,49.8639,49.303,49.8122,2339852,DHR
2013-08-08,50.041,50.1739,49.6203,49.6941,2041171,DHR
2013-08-09,49.6499,49.7458,49.3915,49.4432,1557308,DHR
2013-08-12,49.1111,49.362,48.9561,49.0963,2111954,DHR
2013-08-13,49.1037,49.982,49.0594,49.9156,1760382,DHR
2013-08-14,49.7458,49.7827,49.1148,49.207,1734379,DHR
2013-08-15,49.0373,49.517,48.624,49.0889,2419244,DHR
2013-08-16,49.0889,49.3251,48.9376,49.2513,2177721,DHR
2013-08-19,49.0816,49.6609,49.052,49.3473,1952398,DHR
2013-08-20,49.3768,49.3768,48.8712,48.9487,2390427,DHR
2013-08-21,48.8897,49.207,48.7494,48.8454,1936928,DHR
2013-08-22,49.0077,49.8491,48.9044,49.6646,1675850,DHR
2013-08-23,49.6425,49.8491,49.4137,49.7015,1782998,DHR
2013-08-26,49.6203,49.8122,49.1701,49.1849,1613185,DHR
2013-08-27,48.5354,48.6609,48.1663,48.2697,2415903,DHR
2013-08-28,48.2328,48.4985,48.0187,48.1885,1574549,DHR
2013-08-29,48.7051,48.8675,47.8121,48.4247,1289605,DHR
2013-08-30,48.2844,48.5797,48.159,48.3582,1532578,DHR
2013-09-03,48.9192,49.1554,48.4228,48.6166,1693797,DHR
2013-09-04,48.4837,49.5539,48.4837,49.458,2113374,DHR
2013-09-05,49.4063,49.7606,49.207,49.613,1388476,DHR
2013-09-06,49.6868,49.886,49.0151,49.3251,1970844,DHR
2013-09-12,51.1998,51.3327,50.9636,51.2589,2498391,DHR
2013-09-13,51.3917,51.5024,50.9341,51.4877,2467848,DHR
2013-09-16,51.9231,52.1372,51.5688,51.746,2812703,DHR
2013-09-17,51.805,52.0338,51.5541,51.6869,2601980,DHR
2013-09-18,51.7312,52.067,51.4286,52.0264,2698595,DHR
2013-09-19,52.2405,52.3586,51.8272,51.8715,3978987,DHR
2013-09-20,51.901,52.1962,51.3474,51.3474,5124792,DHR
2013-09-23,51.1408,51.484,51.1031,51.3327,2158230,DHR
2013-09-24,51.3622,51.4065,50.8455,50.8824,2327640,DHR
2013-09-25,51.4178,51.517,50.8049,51.4251,2602611,DHR
2013-09-26,51.3365,51.7869,51.211,51.5137,1718093,DHR
2013-09-27,51.4178,51.7205,51.2627,51.5876,2376167,DHR
2013-09-30,51.1889,51.5285,51.019,51.1815,2672875,DHR
2013-10-01,51.2775,51.4178,51.0264,51.2922,2442761,DHR
2013-10-02,50.6277,51.0634,50.4874,51.0412,2349955,DHR
2013-10-03,50.3545,50.9304,49.8303,50.1995,2547428,DHR
2013-10-04,50.2143,50.8566,50.074,50.5908,1965937,DHR
2013-10-07,50.2659,50.421,50.0075,50.1035,1715122,DHR
2013-10-08,50.1183,50.5908,49.6605,49.6974,2979456,DHR
2013-10-09,49.6753,49.7639,49.343,49.5719,2927314,DHR
2013-10-10,50.1404,50.9748,50.074,50.9304,2700532,DHR
2013-10-11,50.8862,51.3218,50.6351,51.2701,1438106,DHR
2013-10-14,50.9231,51.4657,50.8271,51.3513,1537216,DHR
2013-10-15,51.2406,51.4621,50.9452,50.96,2432427,DHR
2013-10-16,51.115,51.2553,50.7976,51.056,4748406,DHR
2013-10-17,52.4293,53.5958,51.9641,53.3891,5891754,DHR
2013-10-18,53.6697,53.6697,52.9018,53.1602,4193859,DHR
2013-10-21,53.33,53.3817,52.9904,53.1085,2613596,DHR
2013-10-22,53.175,53.5146,53.0495,53.3374,2295008,DHR
2013-10-23,53.33,53.5294,52.9387,53.0864,2030953,DHR
2013-10-24,53.1233,53.3374,52.8058,53.1971,1993092,DHR
2013-10-25,53.0716,53.3227,52.78,53.2414,1722882,DHR
2013-10-28,53.2636,53.4777,52.9609,53.2784,1587753,DHR
2013-10-29,53.2636,53.5663,53.0569,53.5589,2287236,DHR
2013-10-30,53.5589,53.7657,53.1676,53.1898,1560739,DHR
2013-10-31,53.367,53.5811,53.0199,53.2267,1464707,DHR
2013-11-01,53.367,53.7361,53.1898,53.6254,2285041,DHR
2013-11-04,53.6328,53.7878,53.2045,53.714,1917390,DHR
2013-11-05,53.6475,53.7287,53.3522,53.5958,1372963,DHR
2013-11-06,53.8247,54.3416,53.6844,53.8838,1726488,DHR
2013-11-07,53.9429,54.1042,52.9387,53.0199,1772203,DHR
2013-11-08,53.426,55.1094,53.426,55.0799,4666397,DHR
2013-11-11,55.0799,55.2054,54.6812,54.9027,1758462,DHR
2013-11-12,54.8067,54.8657,54.1791,54.5631,2271891,DHR
2013-11-13,54.3342,54.5188,54.216,54.4597,2594312,DHR
2013-11-14,54.7772,55.3339,54.6443,54.9618,2912136,DHR
2013-11-15,54.7624,55.1833,54.6739,54.9987,3261793,DHR
2013-11-18,55.0208,55.3679,54.9175,55.043,2821024,DHR
2013-11-19,55.0208,55.1907,54.6517,54.7329,1762775,DHR
2013-11-20,54.7034,55.0135,54.2973,54.4818,2213924,DHR
2013-11-21,54.7846,54.9322,54.5557,54.8806,1807013,DHR
2013-11-22,54.947,55.1759,54.8141,55.1168,1938723,DHR
2013-11-25,55.3752,55.3752,54.9027,55.0208,1393190,DHR
2013-11-26,55.3974,56.0324,55.3752,55.6484,3621729,DHR
2013-11-27,55.9068,56.0619,55.5081,55.641,1415910,DHR
2013-11-29,55.6189,55.7739,55.1759,55.2276,1343415,DHR
2013-12-02,55.0725,55.5672,54.9027,55.0578,2471737,DHR
2013-12-03,54.8436,54.9691,54.2973,54.4671,2363186,DHR
2013-12-04,54.1865,54.851,53.8321,54.3859,1867734,DHR
2013-12-05,54.0758,54.6738,53.9281,54.3711,1902351,DHR
2013-12-06,54.9913,55.5894,54.851,55.4638,1833268,DHR
2013-12-09,55.833,55.9511,55.39,55.6558,2028100,DHR
2013-12-10,55.4048,55.6189,55.043,55.486,1827063,DHR
2013-12-11,55.4712,55.6152,54.3859,54.5852,3088688,DHR
2013-12-12,53.8173,55.0799,53.81,54.8215,3969015,DHR
2013-12-13,54.8363,54.9249,54.3785,54.6443,2696843,DHR
2013-12-16,54.8141,55.7739,54.7218,55.6041,3493231,DHR
2013-12-17,55.7444,55.9142,55.0356,55.198,2253603,DHR
2013-12-18,55.198,56.8593,55.0862,56.7485,3326054,DHR
2013-12-19,56.5123,56.6046,56.0988,56.5418,2415864,DHR
2013-12-20,57.8856,57.9889,57.5939,57.8044,2312905,DHR
2013-12-23,56.8224,57.0882,56.4384,56.6599,2252911,DHR
2013-12-24,56.5566,56.97,56.5566,56.6969,1071909,DHR
2013-12-26,56.8704,56.9148,56.6932,56.8114,1912755,DHR
2013-12-27,56.996,57.1585,56.7154,56.9074,835552,DHR
2013-12-30,56.8631,56.9665,56.5898,56.7375,971370,DHR
2013-12-31,56.9517,57.1142,56.7597,57.0182,1054050,DHR
2014-01-02,56.6193,56.8778,56.2057,56.4642,2010443,DHR
2014-01-03,56.4642,56.8409,56.3756,56.5455,1190825,DHR
2014-01-06,56.8335,57.0255,56.0215,56.0506,1955888,DHR
2014-01-07,56.2427,56.5529,56.0876,56.5159,2006366,DHR
2014-01-08,56.4199,56.8114,56.3387,56.5455,2276484,DHR
2014-01-09,56.9591,57.2877,56.5639,57.225,3084613,DHR
2014-01-10,57.3136,57.4096,56.7744,57.3727,2067184,DHR
2014-01-13,57.1068,57.2767,56.1983,56.2427,2572022,DHR
2014-01-14,57.321,57.8306,56.7929,57.8011,4642101,DHR
2014-01-15,57.8528,57.8823,57.3801,57.7641,2831206,DHR
