date,open,high,low,close,volume,Name
2013-05-21,50.3835,50.6655,50.0849,50.342,1587865,D
2013-05-22,50.2342,50.284,48.9485,49.1559,3057271,D
2013-05-23,48.6333,49.1559,47.754,48.8987,7343602,D
2013-05-24,48.7162,48.7411,47.6462,47.7955,7056667,D
2013-05-28,47.8038,48.3969,47.7706,47.8867,7417840,D
2013-05-29,47.5798,47.8535,46.9245,47.3393,2501634,D
2013-05-30,47.4803,48.0194,47.2895,47.3558,2232031,D
2013-05-31,47.2563,47.9448,46.9079,46.9079,3128862,D
2013-06-03,46.8333,47.1734,46.0784,46.0784,7373583,D
2013-06-04,45.954,46.46,45.7466,46.1697,8605718,D
2013-06-05,45.979,46.1382,45.5014,45.7193,4126540,D
2013-06-06,45.6857,46.3394,45.4008,46.3394,4995320,D
2013-06-07,46.641,46.6997,46.1089,46.6243,3468005,D
2013-06-10,46.7667,46.9092,46.3645,46.75,2991528,D
2013-06-11,46.4064,46.8002,46.2556,46.3645,3548366,D
2013-06-12,46.6662,46.817,46.2723,46.3561,3487847,D
2013-06-13,46.3394,47.3365,46.2723,47.2611,3287419,D
2013-06-14,47.236,47.4174,46.884,46.9595,2647255,D
2013-06-17,47.2192,47.8645,47.0935,47.5376,3510179,D
2013-06-18,47.6131,47.8058,47.3681,47.7639,2405262,D
2013-06-19,47.7639,47.9566,46.7081,46.7081,3284314,D
2013-06-20,46.5991,46.641,45.3673,45.4511,3794873,D
2013-06-21,45.8156,46.222,45.074,46.0964,4862496,D
2013-06-24,45.5852,46.5237,45.3757,46.2556,3387676,D
2013-06-25,46.5153,47.0768,46.088,46.817,3054307,D
2013-06-26,47.0516,47.3776,46.8254,47.1689,2495474,D
2013-06-27,47.3449,47.6089,47.1731,47.3282,2012063,D
2013-06-28,47.9734,47.9734,47.1019,47.6131,4228938,D
2013-07-01,47.8812,48.0488,46.9176,47.127,2787283,D
2013-07-02,47.0014,47.479,46.9595,47.2444,2353780,D
2013-07-03,46.993,47.3633,46.7919,47.2108,1048590,D
2013-07-05,47.2444,47.3448,46.5153,47.1354,2145038,D
2013-07-08,47.2946,47.8142,47.1438,47.6633,2383999,D
2013-07-09,47.8477,48.1326,47.6885,48.0488,1915215,D
2013-07-10,47.8645,48.1996,47.7723,48.0907,2477399,D
2013-07-11,48.56,49.1465,48.4343,49.0711,2114361,D
2013-07-12,48.9873,49.3309,48.803,49.2722,1932330,D
2013-07-15,49.1717,50.1772,49.0326,50.0432,2096160,D
2013-07-16,49.9845,50.261,49.599,49.8085,1451106,D
2013-07-17,50.127,50.1521,49.5655,49.842,1574189,D
2013-07-18,49.9594,50.4454,49.9426,50.4119,1991706,D
2013-07-19,50.4789,50.5962,49.9258,50.0096,2559525,D
2013-07-22,50.0599,50.2778,49.9594,50.1018,1193704,D
