date,open,high,low,close,volume,Name
2013-05-21,65.619,65.8534,64.7829,64.8941,2490174,EOG
2013-05-22,64.8361,65.4982,62.7387,63.2751,4033238,EOG
2013-05-23,62.3279,63.6182,61.9703,63.5023,3610578,EOG
2013-05-24,62.6952,63.2848,62.1636,63.2268,2410874,EOG
2013-05-28,64.0145,64.3963,62.5889,63.3669,3505826,EOG
2013-05-29,62.99,64.4785,62.8837,64.1933,3149460,EOG
2013-05-30,63.9517,64.7298,63.2582,64.1257,2435112,EOG
2013-05-31,63.6617,64.0798,62.3859,62.3907,3436724,EOG
2013-06-03,62.8982,63.855,62.6904,63.6714,2904720,EOG
2013-06-04,63.5361,64.1015,62.9851,63.8695,3553470,EOG
2013-06-05,63.6279,63.7777,62.0959,62.1104,2889650,EOG
2013-06-06,62.2989,63.1398,61.6272,63.135,2993084,EOG
2013-06-07,63.3573,64.5875,62.9223,64.1208,2235870,EOG
2013-06-10,63.9517,64.0822,63.3814,63.6086,1533500,EOG
2013-06-11,62.4825,62.9803,61.9751,62.3956,2794426,EOG
2013-06-12,63.4346,63.6811,62.5744,62.6469,2709366,EOG
2013-06-13,62.671,64.5171,62.5115,64.435,3135032,EOG
2013-06-14,64.5703,64.5703,63.3718,63.6666,2687614,EOG
2013-06-17,64.3722,64.9231,63.8695,64.435,2379340,EOG
2013-06-18,64.5171,65.706,64.3433,65.2517,2802308,EOG
2013-06-19,65.2275,66.687,65.1357,65.5272,3409064,EOG
2013-06-20,64.6235,64.7056,62.7247,63.3041,4400090,EOG
2013-06-21,63.9082,63.9831,62.1346,63.019,4787910,EOG
2013-06-24,62.2892,62.5647,60.1822,61.574,3961412,EOG
2013-06-25,62.3521,63.3573,61.9654,62.8982,3443842,EOG
2013-06-26,63.4008,64.058,62.5985,63.7197,2506058,EOG
2013-06-27,64.3528,64.7974,63.1736,63.3138,3611420,EOG
2013-06-28,63.0335,64.2707,62.8353,63.6376,3427256,EOG
2013-07-01,64.6573,65.9331,64.3915,65.3919,3232594,EOG
2013-07-02,65.358,67.3056,65.358,66.6339,4339992,EOG
2013-07-03,66.6919,66.9335,66.1168,66.7789,1709298,EOG
2013-07-05,67.2041,67.9677,66.9963,67.8517,2281490,EOG
2013-07-08,68.3833,68.8811,67.18,67.5424,3430316,EOG
2013-07-09,68.1175,68.8521,67.8469,68.7313,3547294,EOG
2013-07-10,68.9584,69.4369,68.4462,68.7554,3534520,EOG
2013-07-11,69.5915,70.9399,69.0551,69.374,5601574,EOG
2013-07-12,69.1566,69.9636,68.5815,69.9346,3773448,EOG
2013-07-15,69.9867,70.4634,68.997,69.4592,3462344,EOG
2013-07-16,69.5754,70.4246,69.5608,69.9528,3735922,EOG
2013-07-17,70.1899,70.8529,69.9964,70.5674,2746430,EOG
2013-07-18,70.8529,71.7481,70.7561,71.1335,3070432,EOG
2013-07-19,71.5255,71.9562,70.8964,71.9416,2742446,EOG
2013-07-22,71.9223,72.6094,71.3948,72.3384,3240978,EOG
2013-07-23,72.4013,72.5756,71.6235,71.9271,3267206,EOG
2013-07-24,72.1449,72.1691,69.2753,69.7157,6075692,EOG
2013-07-25,69.7157,71.3271,69.6818,71.3126,3924742,EOG
2013-07-26,70.7658,70.998,69.798,70.5238,2974548,EOG
2013-07-29,70.3206,70.4173,69.6189,70.0254,1627300,EOG
2013-07-30,70.1899,70.5432,68.4963,69.7302,3268352,EOG
2013-07-31,69.9818,71.6996,69.9818,70.4028,3469416,EOG
2013-08-01,71.4093,73.9934,71.4093,73.5869,3997024,EOG
2013-08-02,72.953,74.1386,72.7062,74.0515,2813110,EOG
2013-08-05,74.0079,75.0241,73.6256,74.6079,3573944,EOG
2013-08-06,74.5692,74.9612,73.2167,74.1434,4952662,EOG
2013-08-07,77.5743,78.1356,75.1451,75.5951,9414056,EOG
2013-08-08,76.3887,77.5452,75.6386,76.7371,4722576,EOG
2013-08-09,76.7758,77.4097,76.4564,76.8629,3664428,EOG
2013-08-12,76.5339,77.642,76.1951,76.8242,4004378,EOG
2013-08-13,76.9403,77.0149,75.8564,76.5726,2282664,EOG
2013-08-14,76.5145,76.892,75.5483,75.6822,2548278,EOG
2013-08-15,75.266,76.35,74.6612,75.7741,2551442,EOG
2013-08-16,75.2612,75.9193,74.6708,75.2418,2501962,EOG
