date,open,high,low,close,volume,Name
2013-05-21,193.3895,194.6089,191.4678,193.2086,603869,EQIX
2013-05-22,193.3637,194.0789,187.3141,188.0466,601852,EQIX
2013-05-23,186.4178,188.1327,183.5567,185.5474,1149471,EQIX
2013-05-24,184.9528,186.1421,182.2943,184.4875,770812,EQIX
2013-05-28,186.8832,187.1159,180.9714,181.0576,742979,EQIX
2013-05-29,180.7215,180.9887,173.8188,176.5333,1473592,EQIX
2013-05-30,175.4475,177.5158,174.5987,175.2407,956558,EQIX
2013-05-31,174.2066,176.1972,172.595,174.6288,1092214,EQIX
2013-06-03,174.3789,176.8867,171.5265,173.5688,1718376,EQIX
2013-06-04,171.5609,172.483,168.0449,170.6561,1979587,EQIX
2013-06-05,170.0701,173.655,169.0618,172.3107,1047454,EQIX
2013-06-06,172.1814,175.7147,171.6385,175.6888,731654,EQIX
2013-06-07,162.5813,167.9191,161.866,165.9508,8139491,EQIX
2013-06-10,167.0711,172.7416,166.5023,171.5006,1669564,EQIX
2013-06-11,170.1993,170.7953,167.7433,169.3117,1077208,EQIX
2013-06-12,169.8719,171.199,160.6682,162.6416,1891697,EQIX
2013-06-13,162.2538,165.3476,160.7802,165.0029,1132348,EQIX
2013-06-14,165.1752,165.8991,163.6069,164.6926,630735,EQIX
2013-06-17,164.9425,166.5799,164.1928,166.4162,1149946,EQIX
2013-06-18,166.4937,167.5537,164.5479,164.8822,779990,EQIX
2013-06-19,164.6668,165.4682,159.4186,159.6427,1678317,EQIX
2013-06-20,157.9622,158.4534,152.5331,153.007,2120107,EQIX
2013-06-21,153.4293,154.3686,150.7234,153.4552,2221548,EQIX
2013-06-24,152.8088,153.6792,149.0601,151.7833,1040219,EQIX
2013-06-25,153.9464,154.0584,149.9047,153.8688,1479575,EQIX
2013-06-26,154.7651,158.7292,154.5367,157.5744,1030039,EQIX
2013-06-27,158.8929,162.228,158.5741,161.0818,1409889,EQIX
2013-06-28,160.5303,160.6251,157.2314,159.1859,1348688,EQIX
2013-07-01,161.6075,163.0897,160.289,161.5127,899363,EQIX
2013-07-02,161.2197,162.047,157.4193,159.8323,743097,EQIX
2013-07-03,159.2807,160.987,157.5486,158.7981,320456,EQIX
2013-07-05,160.8061,162.0298,158.0484,160.0046,363480,EQIX
2013-07-08,161.2369,161.4041,159.5565,159.8926,452584,EQIX
