date,open,high,low,close,volume,Name
2013-05-21,35.754,36.1162,35.7169,35.949,1757581,EXPD
2013-05-22,35.9119,36.4041,35.3547,35.5683,1821249,EXPD
2013-05-23,35.5219,37.3235,35.2897,37.2771,3499090,EXPD
2013-05-24,36.9985,37.1099,36.2369,36.5248,1836967,EXPD
2013-05-28,37.2956,37.8064,36.4412,36.7663,1754888,EXPD
2013-05-29,36.4505,36.8127,36.3112,36.5527,1114446,EXPD
2013-05-30,36.665,36.8241,36.3609,36.5246,1130254,EXPD
2013-05-31,36.3655,36.8568,36.3468,36.5246,1608908,EXPD
2013-06-03,36.5153,36.6931,36.0099,36.4965,1822529,EXPD
2013-06-04,36.4685,36.665,35.8462,36.0193,1389924,EXPD
2013-06-05,36.1409,36.1409,35.2426,35.3549,1253806,EXPD
2013-06-06,35.4578,36.0286,35.3736,35.8321,1411694,EXPD
2013-06-07,35.9538,36.3936,35.804,36.1409,1406042,EXPD
2013-06-10,36.1503,36.2785,35.8976,36.0099,1310828,EXPD
2013-06-11,35.7385,35.8976,35.3269,35.411,912021,EXPD
2013-06-12,35.7011,35.804,35.0741,35.1958,1072328,EXPD
2013-06-13,35.2519,36.1784,35.0648,36.0941,889711,EXPD
2013-06-14,36.1316,36.4498,35.7105,35.8228,631699,EXPD
2013-06-17,36.169,36.7399,35.8602,36.169,1890621,EXPD
2013-06-18,36.2626,36.6931,36.1129,36.4872,1000789,EXPD
2013-06-19,36.562,36.8428,35.9865,36.0099,790408,EXPD
2013-06-20,35.6169,35.6169,34.887,34.8963,1591288,EXPD
2013-06-21,34.9712,35.1771,34.5875,34.6717,2145877,EXPD
2013-06-24,34.5594,34.9057,34.1056,34.3535,1322105,EXPD
2013-06-25,35.0273,35.1209,34.5594,34.7934,1703012,EXPD
2013-06-26,35.0928,35.2987,34.887,34.9244,1000072,EXPD
2013-06-27,35.1864,35.4484,35.0086,35.3923,1222380,EXPD
2013-06-28,35.2051,35.8087,35.2051,35.5982,2155683,EXPD
2013-07-01,36.1035,36.6743,35.9538,36.1784,1867463,EXPD
2013-07-02,36.0941,36.2906,35.6075,35.7292,1028065,EXPD
2013-07-03,35.5795,35.7292,35.3642,35.542,417966,EXPD
2013-07-05,35.6824,36.0474,35.4672,36.0474,619099,EXPD
2013-07-08,36.1409,36.3187,35.9772,36.169,849639,EXPD
2013-07-09,36.2626,37.4043,36.1877,37.1142,1953688,EXPD
2013-07-10,36.9364,37.1984,36.8709,37.058,1300019,EXPD
2013-07-11,37.4136,37.7973,37.4136,37.7131,1222473,EXPD
2013-07-12,37.3201,37.5634,37.1329,37.4323,1772739,EXPD
2013-07-15,37.4136,38.1155,37.3205,38.0593,943365,EXPD
2013-07-16,38.181,38.3588,37.8755,38.0126,1159196,EXPD
2013-07-17,38.1342,38.2184,37.7318,37.8722,883765,EXPD
2013-07-18,37.8722,38.6957,37.8254,38.6583,1169326,EXPD
2013-07-19,38.6583,38.9063,38.37,38.5553,1201888,EXPD
2013-07-22,38.8922,38.9296,38.5553,38.6208,928429,EXPD
2013-07-23,38.5928,38.7331,37.7786,37.7973,1327163,EXPD
2013-07-24,37.8722,38.1249,37.423,37.4885,898708,EXPD
2013-07-25,37.4791,37.7412,37.1142,37.4511,970707,EXPD
2013-07-26,37.2265,38.181,37.1142,38.181,1322320,EXPD
2013-07-29,37.9377,38.1529,37.5353,37.5821,959351,EXPD
2013-07-30,37.6663,37.8441,37.4791,37.685,966144,EXPD
2013-07-31,37.8347,38.1716,37.6195,37.7318,850517,EXPD
2013-08-01,37.9658,39.1168,37.9564,39.0045,1474602,EXPD
2013-08-02,38.8454,38.9109,38.3588,38.546,1073931,EXPD
2013-08-05,38.4617,38.5179,37.4136,37.7505,1839566,EXPD
2013-08-06,39.2275,40.193,38.2839,38.5647,3283481,EXPD
2013-08-07,37.9938,38.6208,37.5634,38.5647,2783271,EXPD
2013-08-08,38.6957,38.8829,38.3494,38.4711,1589399,EXPD
2013-08-09,38.4617,38.4617,37.9938,38.1716,1026892,EXPD
2013-08-12,37.9845,38.3682,37.9003,38.181,699834,EXPD
2013-08-13,38.1623,38.3401,37.8722,38.0968,757150,EXPD
2013-08-14,38.1155,38.1342,37.6663,37.9096,724837,EXPD
2013-08-15,37.5353,37.7505,37.1329,37.2826,901160,EXPD
2013-08-16,37.1984,37.6382,37.182,37.4604,1047769,EXPD
2013-08-19,37.4323,37.7412,37.3481,37.3575,1052691,EXPD
2013-08-20,37.5446,38.1342,37.2686,37.947,987288,EXPD
2013-08-21,37.7318,38.181,37.3575,37.9096,1067681,EXPD
2013-08-22,37.9938,38.6957,37.9003,38.6115,714335,EXPD
2013-08-23,38.6021,38.7706,38.3401,38.6021,1406645,EXPD
2013-08-26,38.5834,39.304,38.4243,38.9484,1431938,EXPD
2013-08-27,38.4149,38.574,37.8207,38.0593,1679146,EXPD
2013-08-28,38.1716,38.2418,37.919,38.0406,718114,EXPD
2013-08-29,37.9003,38.3214,37.788,37.8535,778328,EXPD
2013-08-30,37.8347,38.0406,37.6476,37.9564,1165318,EXPD
2013-09-03,38.2839,38.8922,38.2839,38.7986,2169157,EXPD
2013-09-04,37.8956,39.3882,37.8956,39.2853,1716344,EXPD
2013-09-05,39.3227,39.5847,38.9109,39.435,1932828,EXPD
2013-09-06,39.6034,40.2772,39.07,40.1462,2739564,EXPD
2013-09-09,40.1743,40.8855,40.1556,40.82,2034483,EXPD
2013-09-10,40.9978,41.6435,40.8481,41.447,1992801,EXPD
2013-09-11,41.2692,41.8774,41.2692,41.8681,1607344,EXPD
2013-09-12,41.6903,41.8213,41.3861,41.4938,1587120,EXPD
2013-09-13,41.5873,41.6154,41.3347,41.4376,1499441,EXPD
2013-09-16,41.8681,42.1114,41.6529,41.7745,1472322,EXPD
2013-09-17,41.8119,41.9008,40.8761,41.0726,1907223,EXPD
2013-09-18,41.2317,42.4764,41.213,42.3266,2534445,EXPD
2013-09-19,42.3173,42.5606,41.9991,42.0459,1840901,EXPD
2013-09-20,42.1208,42.4857,41.9242,41.9345,2902240,EXPD
2013-09-23,41.8868,41.9851,41.4938,41.709,1216343,EXPD
2013-09-24,41.7839,42.1114,41.7184,41.8307,982539,EXPD
2013-09-25,41.7745,42.0085,41.2317,41.344,1145427,EXPD
2013-09-26,41.5593,41.8026,41.2972,41.475,757369,EXPD
2013-09-27,41.2879,41.5406,41.1288,41.3066,646860,EXPD
2013-09-30,40.951,41.3253,40.6609,41.2317,868911,EXPD
2013-10-01,41.082,41.7464,41.082,41.6529,765503,EXPD
2013-10-02,41.1943,41.4095,40.8948,41.2317,697741,EXPD
2013-10-03,40.9604,41.0352,40.0152,40.2585,1279666,EXPD
2013-10-04,40.3053,40.3427,39.7812,40.2679,1391706,EXPD
2013-10-07,39.9403,40.3521,39.6596,40.1462,925449,EXPD
2013-10-08,40.062,40.2398,39.304,39.3601,1278980,EXPD
2013-10-09,39.3601,39.7532,39.1496,39.6877,1359235,EXPD
2013-10-10,39.2853,40.4269,39.1075,40.3521,932780,EXPD
2013-10-11,40.0058,40.6609,40.0058,40.6609,547418,EXPD
2013-10-14,40.3053,40.8761,40.2585,40.7825,660097,EXPD
2013-10-15,40.6328,40.7638,40.3427,40.3895,1394138,EXPD
2013-10-16,40.5486,40.9136,40.2959,40.6235,1083308,EXPD
2013-10-17,40.3053,40.5205,40.1649,40.3708,1000618,EXPD
2013-10-18,40.4457,41.1007,40.3614,41.0914,974542,EXPD
2013-10-21,41.0259,41.5967,40.951,41.5031,841236,EXPD
2013-10-22,41.6716,41.9523,41.3019,41.6809,1071676,EXPD
2013-10-23,41.4095,41.7839,41.1288,41.3066,936769,EXPD
2013-10-24,41.7839,43.6742,41.6809,43.3279,2930107,EXPD
2013-10-25,43.3279,43.5058,42.6588,42.9349,1081297,EXPD
2013-10-28,43.0566,43.8894,42.9443,43.6368,1625800,EXPD
2013-10-29,43.6461,43.8614,43.3186,43.6471,715108,EXPD
2013-10-30,43.5245,43.8894,43.1689,43.3607,888828,EXPD
2013-10-31,43.4777,43.4955,42.1208,42.3828,1760548,EXPD
2013-11-01,42.5887,42.8507,42.2798,42.4857,1277929,EXPD
2013-11-04,42.5325,43.3373,42.5325,43.3186,1161750,EXPD
2013-11-05,41.6435,42.1114,39.828,40.6235,3390629,EXPD
2013-11-06,40.09,40.2772,39.6221,39.8748,2260713,EXPD
2013-11-07,40.193,40.2117,39.3695,39.4631,1857839,EXPD
2013-11-08,39.4443,39.8561,39.3788,39.6961,1412739,EXPD
2013-11-11,39.566,39.9309,39.4351,39.7915,861331,EXPD
2013-11-12,39.7719,40.076,39.5005,39.8748,939358,EXPD
2013-11-13,39.7438,40.3334,39.5754,40.3334,935583,EXPD
