date,open,high,low,close,volume,Name
2013-05-21,14.5115,14.5293,14.2533,14.4136,14819989,GLW
2013-05-22,14.4225,14.5472,13.9328,14.0664,14335166,GLW
2013-05-23,13.6746,14.0575,13.5589,14.0218,13630849,GLW
2013-05-24,13.8883,14.0129,13.8082,13.9417,10226517,GLW
2013-05-28,14.004,14.215,13.9862,14.0308,10188651,GLW
2013-05-29,13.9053,14.0666,13.8605,13.968,11165360,GLW
2013-05-30,13.9143,14.0935,13.9053,13.968,9875262,GLW
2013-05-31,13.9232,14.0755,13.7709,13.7709,10291209,GLW
2013-06-03,13.8157,14.0666,13.7799,14.0666,12680019,GLW
2013-06-04,14.0307,14.1472,13.8247,13.9501,11310201,GLW
2013-06-05,13.8874,13.8874,13.4036,13.4305,18431204,GLW
2013-06-06,13.4573,13.529,13.2781,13.4484,18588154,GLW
2013-06-07,13.529,13.8068,13.529,13.7799,15014030,GLW
2013-06-10,13.8157,13.8416,13.5917,13.6365,10070675,GLW
2013-06-11,13.52,13.6455,13.4125,13.4305,8978299,GLW
2013-06-12,13.52,13.5559,13.2154,13.2423,9574824,GLW
2013-06-13,13.1706,13.6007,13.0094,13.52,11532936,GLW
2013-06-14,13.5469,13.5738,13.3409,13.3677,7531808,GLW
2013-06-17,13.4484,13.6276,13.4215,13.538,7969738,GLW
2013-06-18,13.529,13.6365,13.52,13.6096,10244537,GLW
2013-06-19,13.6186,13.6634,13.3319,13.3767,13436152,GLW
2013-06-20,13.1617,13.3409,12.7585,12.8212,18669495,GLW
2013-06-21,12.9287,12.9377,12.651,12.7764,15305150,GLW
2013-06-24,12.6241,12.7137,12.418,12.5076,11963158,GLW
2013-06-25,12.6151,12.7585,12.4718,12.7316,9723148,GLW
2013-06-26,12.7854,12.8481,12.6151,12.8391,10055300,GLW
2013-06-27,12.9198,12.9825,12.7943,12.8122,7723517,GLW
2013-06-28,12.7764,12.866,12.651,12.7495,13675582,GLW
2013-07-01,12.866,13.0362,12.7988,12.9466,6831126,GLW
2013-07-02,12.9466,13.0362,12.8122,12.9198,7492387,GLW
2013-07-03,12.8212,12.8212,12.633,12.7943,6011242,GLW
2013-07-05,12.9108,13.0631,12.866,13.0094,5751106,GLW
2013-07-08,13.0989,13.1258,12.9556,13.0362,6542655,GLW
2013-07-09,13.1079,13.3409,13.1079,13.2333,11628078,GLW
2013-07-10,13.2513,13.3319,13.1348,13.2602,6343667,GLW
2013-07-11,13.4394,13.5111,13.305,13.4753,8341345,GLW
2013-07-12,13.4573,13.5111,13.314,13.4663,8459437,GLW
2013-07-15,13.4842,13.5917,13.4036,13.52,5687593,GLW
2013-07-16,13.5021,13.5648,13.3229,13.4573,6828274,GLW
2013-07-17,13.4036,13.4394,13.0273,13.2781,13592741,GLW
2013-07-18,13.0541,13.3409,13.0183,13.2513,10030274,GLW
2013-07-19,13.2871,13.538,13.2244,13.538,16081708,GLW
2013-07-22,13.5738,13.5917,13.3766,13.4305,9306343,GLW
2013-07-23,13.4215,13.529,13.3633,13.4573,6417621,GLW
2013-07-24,13.538,13.7351,13.4842,13.5648,11658774,GLW
2013-07-25,13.5648,13.7351,13.4842,13.6903,9275595,GLW
2013-07-26,13.6365,13.6634,13.4842,13.6634,9573694,GLW
2013-07-29,13.6813,13.8426,13.6482,13.7888,16824601,GLW
2013-07-30,13.6365,13.8336,13.1706,13.6096,27862863,GLW
2013-07-31,13.6544,13.7978,13.538,13.6096,14507556,GLW
2013-08-01,13.7261,13.8964,13.7261,13.8426,12931634,GLW
2013-08-02,13.8336,13.8471,13.744,13.7978,12023932,GLW
2013-08-05,13.7709,13.8874,13.7172,13.744,7387905,GLW
2013-08-06,13.7172,13.7261,13.4036,13.5021,14717973,GLW
2013-08-07,13.4215,13.5111,13.3767,13.4663,8584210,GLW
2013-08-08,13.4753,13.6186,13.3812,13.5559,7463918,GLW
2013-08-09,13.5648,13.6096,13.4663,13.52,5786258,GLW
2013-08-12,13.4842,13.6096,13.4663,13.538,5376919,GLW
2013-08-13,13.5469,13.6544,13.5021,13.6276,6503757,GLW
2013-08-14,13.6455,13.6813,13.52,13.5469,6587254,GLW
2013-08-15,13.4036,13.4663,13.3319,13.3588,8887038,GLW
2013-08-16,13.3229,13.5111,13.2961,13.4663,12241054,GLW
2013-08-19,13.4394,13.4663,13.1617,13.1885,9496371,GLW
2013-08-20,13.1975,13.2154,12.9153,12.9646,14361321,GLW
2013-08-21,12.9377,13.1796,12.8884,13.0362,10934921,GLW
2013-08-22,13.081,13.2513,12.9914,13.0989,7168943,GLW
2013-08-23,13.1796,13.2602,13.0855,13.2333,6857964,GLW
2013-08-26,13.318,13.4624,13.309,13.309,9926855,GLW
2013-08-27,13.1917,13.2007,12.8127,12.8308,12149178,GLW
2013-08-28,12.7676,12.903,12.7225,12.7857,7542157,GLW
2013-08-29,12.7496,12.8759,12.7045,12.7947,7773697,GLW
2013-08-30,12.7947,12.8173,12.5781,12.6684,8464968,GLW
2013-09-03,12.6864,12.7857,12.4834,12.5601,12256936,GLW
2013-09-04,12.5511,12.921,12.533,12.7947,13516607,GLW
2013-09-05,12.8398,13.0834,12.8218,13.0383,9632843,GLW
2013-09-06,13.0654,13.0834,12.8398,12.9932,11556169,GLW
2013-09-09,13.0022,13.2278,13.0022,13.2007,8429383,GLW
2013-09-10,13.291,13.4083,13.2504,13.4083,9345498,GLW
