date,open,high,low,close,volume,Name
2013-05-21,148.4445,151.3166,148.3135,150.3718,4077747,GS
2013-05-22,150.2595,153.8707,148.3135,149.0713,6168617,GS
2013-05-23,146.2834,148.6502,144.6555,147.2657,5619710,GS
2013-05-24,145.5443,148.6784,145.2823,148.4913,3317060,GS
2013-05-28,151.0252,152.677,150.0773,150.8188,4471541,GS
2013-05-29,149.9178,154.0379,149.6081,152.8553,4969048,GS
2013-05-30,152.6583,155.2767,151.1003,154.2443,4336049,GS
2013-05-31,153.8689,155.6315,152.1045,152.1139,4404918,GS
2013-06-03,151.6259,153.6718,149.9628,153.5029,4557488,GS
2013-06-04,153.4091,155.5489,150.6311,151.7385,3977236,GS
2013-06-05,151.5039,152.8741,147.8625,148.5663,4138003,GS
2013-06-06,148.5663,149.9647,146.7278,149.8615,3236154,GS
2013-06-07,151.0722,155.9524,150.7155,155.8023,5690363,GS
2013-06-10,156.4498,157.8576,155.1265,157.1913,3914237,GS
2013-06-11,155.1828,156.1664,153.1557,153.2683,3858073,GS
2013-06-12,154.8356,154.8356,151.166,151.9074,3243268,GS
2013-06-13,151.288,156.1589,151.166,155.6239,3769073,GS
2013-06-14,155.5489,155.896,152.8929,152.9023,2970563,GS
2013-06-17,153.9909,155.4832,152.8882,154.0191,2628240,GS
2013-06-18,154.0566,154.7323,153.0243,154.0566,2059734,GS
2013-06-19,154.066,154.7887,151.579,151.6259,3554203,GS
2013-06-20,149.3641,150.1524,145.3191,145.854,6488769,GS
2013-06-21,147.3463,147.5903,142.9353,144.7654,5390489,GS
2013-06-24,142.6442,143.2168,139.566,141.5087,4012960,GS
2013-06-25,143.0761,144.8217,142.2314,143.6485,3274809,GS
2013-06-26,144.9812,145.0563,141.4806,142.3346,3580307,GS
2013-06-27,143.6204,145.4599,143.2262,144.0709,2654849,GS
2013-06-28,143.3013,143.3764,141.7152,141.9498,3013155,GS
2013-07-01,143.3858,144.6246,142.3722,142.4191,2494163,GS
2013-07-02,141.8654,143.7705,140.6828,141.6401,3091265,GS
2013-07-03,140.4201,142.1094,140.101,141.1803,1270376,GS
2013-07-05,142.9353,143.8644,142.1845,143.8175,2243650,GS
2013-07-08,145.0751,145.2816,143.4796,144.3524,2700264,GS
2013-07-09,145.4599,147.7592,143.7518,147.29,3128249,GS
2013-07-10,146.9427,147.9305,145.1595,146.2482,2445210,GS
2013-07-11,148.754,149.9178,146.511,148.0126,2966333,GS
2013-07-12,148.8667,150.4246,148.8057,150.265,2844627,GS
2013-07-15,152.7896,153.3434,151.2505,152.9773,4129976,GS
2013-07-16,153.8408,154.1974,149.6269,150.3871,5972427,GS
2013-07-17,150.0117,152.0294,149.6926,151.5696,3715484,GS
2013-07-18,151.6447,154.4602,151.5696,153.9722,3461828,GS
2013-07-19,153.6812,154.7136,152.5832,154.2537,3329695,GS
2013-07-22,153.8689,156.1026,153.8032,156.0275,2741316,GS
2013-07-23,156.2621,157.1162,155.3049,156.0369,2545591,GS
2013-07-24,156.4968,156.6282,154.3288,154.8919,2546792,GS
2013-07-25,154.1786,155.7929,153.6249,155.7084,2235168,GS
2013-07-26,154.9013,155.4644,154.1693,155.0984,2372436,GS
2013-07-29,154.5071,154.6911,152.0576,153.1369,2824153,GS
2013-07-30,153.4372,153.9252,152.3485,152.4424,2553251,GS
2013-07-31,152.5362,155.7647,152.4424,153.944,3700336,GS
2013-08-01,155.5489,157.5714,154.7417,157.1913,3252883,GS
2013-08-02,156.5718,157.5751,156.2246,157.3133,1866749,GS
2013-08-05,156.9942,159.256,156.2068,157.9702,2622780,GS
2013-08-06,157.7356,157.9327,154.357,154.6479,3598714,GS
2013-08-07,153.9159,154.1317,152.0858,153.3997,2131822,GS
2013-08-08,154.6197,156.1964,152.8178,152.8272,2818374,GS
2013-08-09,152.4142,154.0097,152.0576,152.1608,2012031,GS
2013-08-12,151.7854,152.3955,150.678,151.7479,1982134,GS
2013-08-13,152.0294,154.432,151.0534,153.6437,2309645,GS
2013-08-14,153.7751,154.6667,152.9121,153.2964,1667444,GS
2013-08-15,151.9544,152.0107,150.2275,150.8657,2206861,GS
2013-08-16,150.4246,152.311,150.19,150.7812,2024311,GS
2013-08-19,150.3214,150.9032,148.7822,148.876,2228426,GS
2013-08-20,148.9605,150.1881,148.0783,149.7489,2295309,GS
2013-08-21,149.0168,149.4391,146.8864,147.4495,3053776,GS
2013-08-22,148.1065,149.8427,147.534,149.6081,2302684,GS
2013-08-23,149.777,149.9628,148.2848,148.8948,1500137,GS
2013-08-26,149.1563,151.3125,148.5348,148.6761,1884881,GS
2013-08-27,146.6234,147.3861,143.9964,144.2789,3671279,GS
2013-08-28,144.0623,145.1451,142.6029,144.0341,2343206,GS
2013-08-29,143.4691,145.6442,143.2055,144.6555,2132986,GS
2013-08-30,144.7873,144.9874,142.4899,143.2431,2233990,GS
2013-09-03,145.4559,146.9228,144.5519,145.7195,2464782,GS
2013-09-04,145.7195,148.064,145.3334,146.6422,2194219,GS
2013-09-05,146.8776,148.8173,146.4822,147.0471,2446517,GS
2013-09-06,147.8098,148.4972,144.4578,147.5085,2463985,GS
2013-09-09,148.2147,150.3709,147.9793,150.1732,2151025,GS
2013-09-10,153.4593,155.8604,153.0639,155.4931,5265957,GS
2013-09-11,155.2954,156.1051,154.2126,155.4178,2233155,GS
2013-09-12,155.2107,155.6532,153.5441,153.8077,2646238,GS
2013-09-13,154.7775,155.093,153.4405,154.4197,2231484,GS
2013-09-16,156.5948,158.7231,155.5402,157.2727,3671603,GS
2013-09-17,157.4234,157.7906,155.9828,157.6399,2639048,GS
2013-09-18,156.7737,159.2124,155.9639,158.2426,3422497,GS
2013-09-19,159.7773,160.0692,157.1315,157.9789,3534691,GS
2013-09-20,158.1861,159.8338,154.448,159.8338,20410196,GS
2013-09-23,158.3555,158.6192,155.0977,155.5967,4816407,GS
2013-09-24,155.8509,156.6795,153.4499,153.4499,3372845,GS
2013-09-25,153.723,154.1278,151.7456,152.8285,3616654,GS
2013-09-26,153.384,154.3538,151.6326,152.8096,2713328,GS
2013-09-27,151.3031,151.5479,150.1167,150.5122,3679094,GS
2013-09-30,148.5066,149.8436,147.4238,148.968,2805018,GS
2013-10-01,149.58,150.9453,148.3559,149.7118,2465710,GS
2013-10-02,148.4783,150.2579,148.3183,149.4011,2431040,GS
2013-10-03,149.3634,149.8625,146.3786,147.6874,2949487,GS
2013-10-04,147.904,148.064,146.9718,147.4049,2984451,GS
2013-10-07,146.1055,147.0754,145.211,145.2393,2622070,GS
2013-10-08,145.5877,146.7458,144.0623,144.1094,2923772,GS
2013-10-09,144.5896,146.2468,143.9022,145.4182,3227451,GS
2013-10-10,147.6686,148.9962,146.8871,148.7796,3644304,GS
2013-10-11,149.2316,151.1174,148.3183,150.6534,3124857,GS
2013-10-14,148.9774,150.5781,148.2994,150.1449,2427119,GS
2013-10-15,150.4745,150.6911,148.3089,148.4218,3038026,GS
2013-10-16,149.3163,153.0074,148.2994,152.772,3649722,GS
2013-10-17,147.3343,149.9001,146.8776,149.0715,7510989,GS
2013-10-18,149.5612,150.3709,147.5273,149.4199,4982636,GS
2013-10-21,149.4011,151.2654,149.0056,150.4368,2697525,GS
2013-10-22,151.256,151.3219,148.9868,149.9472,3239350,GS
2013-10-23,148.7891,148.8456,147.4143,148.5254,2715050,GS
2013-10-24,150.1355,150.9829,149.5517,150.6157,2590975,GS
2013-10-25,150.6534,152.7625,150.5687,152.6213,3720977,GS
2013-10-28,152.5366,152.7155,150.8888,152.0187,3341472,GS
2013-10-29,152.6025,153.5817,151.6044,152.6401,3702067,GS
2013-10-30,153.0639,153.4452,151.7362,152.5836,2344161,GS
2013-10-31,152.6213,153.8077,151.4632,151.4632,2784985,GS
2013-11-01,151.6232,153.1015,151.3314,152.5836,2738426,GS
2013-11-04,152.932,153.7041,152.1505,153.6288,1711023,GS
2013-11-05,152.2258,153.1319,151.3878,152.4895,2535830,GS
2013-11-06,153.0356,154.7022,152.8473,153.9678,3593628,GS
