date,open,high,low,close,volume,Name
2013-05-21,28.4203,28.6121,28.1599,28.3381,6670901,HIG
2013-05-22,28.3381,28.7583,27.7443,27.9909,8433496,HIG
2013-05-23,27.3332,27.9544,26.9769,27.7534,5413404,HIG
2013-05-24,27.525,27.6986,27.187,27.6255,3632157,HIG
2013-05-28,28.064,28.4386,27.7762,27.9818,3751115,HIG
2013-05-29,27.6438,28.3472,27.6438,28.1462,4444772,HIG
2013-05-30,28.2379,28.8978,28.1004,28.8061,5621162,HIG
2013-05-31,28.5953,28.7786,28.0638,28.0729,4962584,HIG
2013-06-03,28.2287,28.2471,26.7715,27.4222,9977090,HIG
2013-06-04,27.4222,27.9171,27.1105,27.2481,4218106,HIG
2013-06-05,27.1839,27.2389,26.5148,26.5698,5795822,HIG
2013-06-06,26.5973,27.1564,26.3132,27.0281,5998673,HIG
2013-06-07,27.2022,27.9538,27.1289,27.9538,5003599,HIG
2013-06-10,28.0546,28.1875,27.7338,28.1737,4685541,HIG
2013-06-11,27.7338,27.9813,27.2572,27.2755,4446806,HIG
2013-06-12,27.523,27.6788,26.8998,26.9731,4274520,HIG
2013-06-13,26.9273,27.5505,26.6248,27.5413,4426420,HIG
2013-06-14,27.5138,27.5413,26.6981,26.7623,4196273,HIG
2013-06-17,27.0922,27.4772,27.0556,27.2389,4631232,HIG
2013-06-18,27.3122,27.8163,27.2664,27.8163,2875366,HIG
2013-06-19,27.6147,27.7521,27.1014,27.2114,6482295,HIG
2013-06-20,26.8814,27.6697,26.7348,27.1839,6975331,HIG
2013-06-21,27.404,27.4863,26.6523,26.9181,9540767,HIG
2013-06-24,26.4873,26.5148,25.6991,26.2674,6103677,HIG
2013-06-25,26.5148,27.1014,26.3728,26.744,9082983,HIG
2013-06-26,27.9813,28.2287,27.1931,27.4863,12081003,HIG
2013-06-27,27.743,28.7328,27.743,28.6228,7681381,HIG
2013-06-28,28.5037,28.5312,28.1371,28.3387,7193507,HIG
2013-07-01,28.5953,28.852,28.4487,28.5953,4051488,HIG
2013-07-02,28.6687,28.8611,28.2287,28.3295,3712274,HIG
2013-07-03,28.1279,28.1371,27.4589,27.7613,6870736,HIG
2013-07-05,28.1096,28.7511,27.9996,28.742,3059324,HIG
2013-07-08,28.8978,29.0353,28.6595,28.8153,4186169,HIG
2013-07-09,29.0719,29.1452,28.5312,28.9161,6458624,HIG
2013-07-10,28.8795,29.1636,28.7511,29.1178,5025576,HIG
2013-07-11,29.411,29.4385,28.8336,29.1544,4414571,HIG
2013-07-12,29.1452,29.5393,29.1086,29.521,3250082,HIG
2013-07-15,29.2736,29.4936,29.0903,29.3285,3574287,HIG
2013-07-16,29.3744,29.466,28.8886,29.1452,2163012,HIG
2013-07-17,29.2827,29.3744,28.8153,29.0078,4505030,HIG
2013-07-18,29.0261,29.3377,28.9161,29.2644,5869242,HIG
2013-07-19,29.3285,29.3285,28.7374,29.0903,4655008,HIG
2013-07-22,29.0903,29.4569,28.9711,29.4294,3028234,HIG
2013-07-23,29.5943,29.631,28.8703,28.9344,2863514,HIG
2013-07-24,29.0628,29.1361,28.5523,28.6045,4153920,HIG
2013-07-25,28.6045,28.7878,28.3021,28.7878,2989427,HIG
2013-07-26,28.5403,28.7878,28.3387,28.742,2872096,HIG
2013-07-29,28.3204,28.4945,28.0729,28.2104,7946879,HIG
2013-07-30,28.2196,28.9528,27.688,28.0088,8378976,HIG
2013-07-31,28.0271,28.5449,27.9813,28.2837,6126978,HIG
2013-08-01,28.6046,29.411,28.6046,29.2736,5135233,HIG
2013-08-02,29.2919,29.4065,29.0536,29.356,4380661,HIG
2013-08-05,29.3102,29.5201,29.0719,29.2186,3431853,HIG
2013-08-06,29.1269,29.2094,28.7044,28.9803,5015304,HIG
2013-08-07,28.8153,28.9803,28.5312,28.742,2917928,HIG
2013-08-08,28.9436,29.2094,28.2287,28.6962,5985244,HIG
2013-08-09,28.6412,28.8611,28.5128,28.6962,2283474,HIG
2013-08-12,28.467,28.6228,28.1921,28.4487,3017685,HIG
2013-08-13,28.6228,28.9894,28.2746,28.8703,2714834,HIG
2013-08-14,28.8336,28.9436,28.5862,28.6503,2726841,HIG
2013-08-15,28.3204,28.5037,28.1233,28.3479,2998874,HIG
2013-08-16,28.2287,28.5614,28.0546,28.2654,4141698,HIG
2013-08-19,28.1921,28.2287,27.8713,27.9079,3463644,HIG
2013-08-20,27.9079,28.1829,27.578,27.9996,2869231,HIG
2013-08-21,27.9354,28.2104,27.6605,27.8805,3464835,HIG
2013-08-22,27.9538,28.3021,27.7796,28.1096,2278425,HIG
2013-08-23,28.1737,28.2196,27.8896,28.0913,1905624,HIG
2013-08-26,28.2151,28.3487,27.9572,28.1414,2267006,HIG
2013-08-27,27.6256,27.6624,27.3124,27.3308,6412355,HIG
2013-08-28,27.3216,27.6348,27.0821,27.4229,3601718,HIG
2013-08-29,27.211,27.8651,27.0544,27.5795,2757667,HIG
2013-08-30,27.6071,27.6071,27.1281,27.2663,2701327,HIG
2013-09-03,27.7269,28.2565,27.5703,27.819,4216104,HIG
2013-09-04,27.8466,28.3947,27.7914,28.1506,2713375,HIG
2013-09-05,28.1322,28.3993,28.1046,28.3164,2138961,HIG
2013-09-06,28.5375,28.6849,27.9848,28.4362,3755151,HIG
2013-09-09,28.5099,29.1639,28.5007,29.1455,3494329,HIG
2013-09-10,29.385,29.5139,29.1639,29.2468,2756528,HIG
2013-09-11,29.256,29.4218,29.081,29.3942,2122411,HIG
2013-09-12,29.4126,29.4771,28.9981,29.0441,3012633,HIG
2013-09-13,29.0902,29.2007,28.8968,29.127,1956565,HIG
2013-09-16,29.4863,29.6245,29.2836,29.3665,2928927,HIG
2013-09-17,29.385,29.7719,29.3573,29.7534,3400731,HIG
2013-09-18,29.7166,30.0298,29.4126,29.431,6640498,HIG
2013-09-19,29.3665,29.4494,28.5743,28.6849,6681946,HIG
2013-09-20,28.7586,29.1915,28.5513,28.5743,6276426,HIG
2013-09-23,28.5559,28.5743,28.2704,28.473,3603305,HIG
2013-09-24,28.5099,29.3021,28.4362,28.9428,4433773,HIG
2013-09-25,28.9981,29.385,28.8783,29.2284,3300857,HIG
2013-09-26,29.2744,29.3389,28.8875,29.0534,2776187,HIG
2013-09-27,28.8968,28.9428,28.6757,28.8046,2525959,HIG
2013-09-30,28.4454,28.8231,28.1875,28.6665,3301411,HIG
2013-10-01,28.7217,28.9474,28.5651,28.8231,2256849,HIG
2013-10-02,28.602,28.6388,28.3072,28.6112,3164630,HIG
2013-10-03,28.5191,28.7125,28.0631,28.4085,4217898,HIG
2013-10-04,28.4178,29.1224,28.3717,29.081,2596578,HIG
2013-10-07,28.7862,28.9658,28.4822,28.7033,2520923,HIG
2013-10-08,28.7586,28.8599,28.1783,28.2612,3662014,HIG
2013-10-09,28.3072,30.0114,28.0953,29.5692,11099367,HIG
