date,open,high,low,close,volume,Name
2013-05-21,79.1525,79.5003,78.6442,78.876,1097857,HSY
2013-05-22,79.0463,80.5068,78.9387,79.8975,946584,HSY
2013-05-23,79.4495,80.3186,79.0373,79.9512,956249,HSY
2013-05-24,79.7362,79.9691,79.0463,79.9691,1049762,HSY
2013-05-28,80.4799,81.0623,80.0229,80.7487,1205771,HSY
2013-05-29,80.3992,81.0802,79.4047,80.2648,2859286,HSY
2013-05-30,80.2021,81.806,80.0677,81.0444,2156975,HSY
2013-05-31,80.6053,80.8831,78.3115,79.8437,2624615,HSY
2013-06-03,79.7541,79.772,78.6251,79.2523,1962682,HSY
2013-06-04,79.2703,79.8789,79.0642,79.6555,1325822,HSY
2013-06-05,79.4674,79.6376,78.7058,78.7506,1343872,HSY
2013-06-06,78.8222,78.8939,78.0338,78.652,1277677,HSY
2013-06-07,79.2075,80.1752,79.1448,80.1752,1137448,HSY
2013-06-10,80.0408,80.2559,78.3832,78.8939,1805603,HSY
2013-06-11,78.4818,79.6197,78.195,78.7685,908232,HSY
2013-06-12,79.2075,79.2434,78.5534,78.5534,774224,HSY
2013-06-13,78.437,78.8043,77.8277,78.7506,981015,HSY
2013-06-14,78.8402,80.0677,78.4011,79.8795,903079,HSY
2013-06-17,80.3634,80.7487,79.9691,80.3903,718156,HSY
2013-06-18,80.3992,80.5784,80.0856,80.2917,661116,HSY
2013-06-19,80.0856,80.6851,78.9208,78.9208,855939,HSY
2013-06-20,78.3205,78.6878,76.2865,76.412,1509148,HSY
2013-06-21,76.6181,77.6485,76.3493,77.6485,2964681,HSY
2013-06-24,77.1109,78.0427,76.6539,77.3528,978926,HSY
2013-06-25,77.8994,77.9173,77.075,77.4155,891042,HSY
2013-06-26,77.7829,79.1269,77.7829,78.8222,827994,HSY
2013-06-27,79.2255,79.8527,79.0552,79.5659,981951,HSY
2013-06-28,79.4047,80.453,79.2075,79.996,1450182,HSY
2013-07-01,80.1215,80.9996,80.0498,80.6412,878003,HSY
2013-07-02,80.3813,80.9368,80.1143,80.4709,892512,HSY
2013-07-03,80.1931,80.6949,79.8885,79.8975,624400,HSY
2013-07-05,80.2917,80.7039,79.5211,80.6591,829963,HSY
2013-07-08,80.8472,81.5709,80.7845,81.1608,935829,HSY
2013-07-09,81.5372,81.8768,81.0444,81.3669,829243,HSY
2013-07-10,81.2056,81.582,80.8741,81.2773,1089976,HSY
2013-07-11,82.0121,82.4869,81.6536,82.3705,1305771,HSY
2013-07-12,82.4242,82.4332,81.5999,82.1554,1036472,HSY
2013-07-15,82.2719,82.6572,82.1375,82.5407,1321726,HSY
2013-07-16,82.3615,83.0335,82.0837,82.3615,962111,HSY
2013-07-17,82.6213,82.9439,81.7701,81.9493,844459,HSY
2013-07-18,82.0389,82.8185,81.9404,82.6572,599072,HSY
2013-07-19,82.7289,83.0514,82.1465,83.0335,773234,HSY
2013-07-22,83.0962,83.3113,82.7244,83.159,499876,HSY
2013-07-23,83.3561,84.055,83.2665,83.8578,1023695,HSY
2013-07-24,83.9743,84.0998,83.141,83.2127,737292,HSY
2013-07-25,83.3292,84.2252,82.5407,84.1356,884370,HSY
2013-07-26,83.7324,84.7001,83.4098,84.6374,563233,HSY
2013-07-29,84.6822,85.3363,84.6463,85.0943,654321,HSY
2013-07-30,85.1212,85.4993,84.4761,84.6643,561375,HSY
2013-07-31,84.9331,85.0585,84.4671,85.0047,910771,HSY
2013-08-01,85.5513,86.9132,85.4527,86.8684,1491601,HSY
2013-08-02,86.958,87.1193,86.1256,87.1193,1093883,HSY
