date,open,high,low,close,volume,Name
2013-05-21,76.5035,77.0134,75.8442,76.5035,934568,HUM
2013-05-22,76.388,77.4944,75.6665,76.1667,1229537,HUM
2013-05-23,75.5125,76.9768,75.0219,76.8113,1193072,HUM
2013-05-24,76.4072,76.6285,75.2624,75.9358,1091674,HUM
2013-05-28,76.3784,77.9081,76.3303,77.4944,1150259,HUM
2013-05-29,77.2635,78.3506,77.1096,78.139,1239790,HUM
2013-05-30,78.1678,80.2363,77.6579,79.8803,1456925,HUM
2013-05-31,79.6109,79.7649,77.6002,77.7157,1778379,HUM
2013-06-03,78.0909,78.0909,76.3207,77.5714,1253512,HUM
2013-06-04,77.4078,78.1678,76.9652,77.1384,1211397,HUM
2013-06-05,76.9652,77.3212,75.5703,76.1956,1002292,HUM
2013-06-06,76.1956,76.9941,75.8011,76.946,776283,HUM
2013-06-07,77.3886,78.1101,76.7921,77.9466,902021,HUM
2013-06-10,77.985,78.9952,77.9658,78.6681,740338,HUM
2013-06-11,77.9369,79.1684,77.3116,78.3025,781633,HUM
2013-06-12,78.6777,78.8894,77.6964,77.8407,569420,HUM
2013-06-13,77.8311,78.7643,77.1096,78.3699,867157,HUM
2013-06-14,78.2352,78.9375,77.7349,77.86,816855,HUM
2013-06-17,78.1775,79.3127,78.0716,79.1203,997866,HUM
2013-06-18,78.976,80.5345,78.9182,80.4287,949821,HUM
2013-06-19,80.4287,82.1219,80.217,80.9674,2217931,HUM
2013-06-20,80.3421,81.5735,79.9958,80.4575,1895229,HUM
2013-06-21,81.0348,81.7371,80.8328,81.689,2001833,HUM
2013-06-24,81.4975,82.9067,81.0729,81.652,1782143,HUM
2013-06-25,82.0573,82.3025,81.1115,81.4686,1390533,HUM
2013-06-26,81.7581,82.5013,80.9836,81.2273,1304902,HUM
2013-06-27,81.3141,82.5785,81.179,82.2021,1281459,HUM
2013-06-28,82.1152,82.1345,81.1597,81.4396,1479274,HUM
2013-07-01,81.8932,83.2927,81.8836,82.2214,1171550,HUM
2013-07-02,82.038,82.2503,79.4611,80.0401,1219650,HUM
2013-07-03,79.8182,80.6385,79.2777,80.156,785417,HUM
2013-07-05,80.6289,80.8219,79.7313,80.764,554002,HUM
2013-07-08,81.3528,81.8159,80.9667,81.3335,866701,HUM
2013-07-09,81.9801,83.2831,81.8932,82.2117,1439335,HUM
2013-07-10,82.2117,82.6605,81.623,81.9705,872815,HUM
2013-07-11,82.7233,83.4906,82.038,83.1962,668658,HUM
2013-07-12,83.534,84.2096,82.4337,82.5495,1005659,HUM
2013-07-15,82.5495,82.7812,82.0863,82.1345,1108520,HUM
2013-07-16,81.9608,82.7619,80.8123,82.1924,1063075,HUM
2013-07-17,82.6461,83.0899,81.9222,82.453,1044201,HUM
2013-07-18,83.2252,86.3716,83.2252,85.2616,2556096,HUM
2013-07-19,84.2965,85.9855,84.0552,85.9758,1384601,HUM
2013-07-22,86.2268,87.2498,85.6429,86.8541,879816,HUM
2013-07-23,87.2209,87.6928,86.4489,87.4332,1106937,HUM
2013-07-24,87.7903,88.4177,87.1533,88.3791,1218774,HUM
2013-07-25,87.9737,87.9737,85.9758,87.2112,1022173,HUM
2013-07-26,86.5549,87.1823,85.0203,86.6128,846867,HUM
2013-07-29,86.9603,87.7903,86.5453,87.4815,835100,HUM
2013-07-30,87.9641,88.1474,85.667,86.1496,1011351,HUM
2013-07-31,86.9699,89.5083,86.1496,88.0799,2230397,HUM
2013-08-01,87.2402,88.186,85.8986,88.1281,1808908,HUM
2013-08-02,87.7903,88.1474,86.4777,86.7576,1046835,HUM
2013-08-05,86.7866,88.3694,86.7576,88.0702,1126187,HUM
2013-08-06,88.0992,88.8713,87.2981,88.5818,913151,HUM
2013-08-07,88.9871,89.7206,88.4901,88.6493,1498501,HUM
2013-08-08,88.8713,90.8595,88.7072,90.5217,1359058,HUM
2013-08-09,89.9619,90.6472,89.711,90.1357,839286,HUM
2013-08-12,89.5759,90.1839,89.3346,90.0488,688382,HUM
2013-08-13,89.9233,90.6472,89.9233,90.1163,837029,HUM
2013-08-14,90.319,90.319,89.2863,89.4504,648706,HUM
2013-08-15,88.8037,89.2767,87.7324,88.2053,1600182,HUM
2013-08-16,87.8193,88.9775,87.8193,88.3405,833509,HUM
2013-08-19,88.0992,89.1126,88.0992,88.5142,788322,HUM
2013-08-20,88.3984,88.6493,87.9592,88.4949,1108347,HUM
2013-08-21,88.5335,88.8134,87.8675,88.3212,704946,HUM
2013-08-22,88.63,90.3576,88.4466,90.2225,599316,HUM
2013-08-23,90.3576,91.2842,90.1936,91.0429,683653,HUM
2013-08-26,91.2745,91.371,90.4348,90.5796,453742,HUM
2013-08-27,89.1126,90.0777,88.7941,89.4697,1385294,HUM
2013-08-28,89.4214,90.044,89.1802,89.5855,518051,HUM
2013-08-29,89.3828,90.4542,89.0942,89.9426,611849,HUM
2013-08-30,90.4155,90.6568,88.6503,88.8713,770036,HUM
2013-09-03,89.5759,91.3517,89.5759,91.0622,702602,HUM
2013-09-04,90.9753,91.4,90.1936,91.4,770464,HUM
2013-09-05,91.4,93.3786,91.1732,92.9056,868995,HUM
2013-09-06,92.9249,93.3351,91.3807,92.3072,860413,HUM
2013-09-09,92.2397,92.6546,91.8729,92.1142,830173,HUM
2013-09-10,92.5871,93.9094,92.1142,93.7067,1053920,HUM
2013-09-11,93.8418,94.6719,93.1759,94.5561,1187707,HUM
2013-09-12,94.5657,94.7684,94.0542,94.3244,860962,HUM
2013-09-13,94.7394,95.2027,94.5078,94.8166,556288,HUM
2013-09-16,95.6274,96.3705,95.4247,96.0906,627777,HUM
2013-09-17,95.9748,96.2065,95.0048,96.1293,813607,HUM
2013-09-18,96.0617,96.2161,92.703,93.5716,1711874,HUM
2013-09-19,93.5716,93.9673,90.5603,91.4097,1924216,HUM
2013-09-20,91.7764,92.867,91.593,92.2011,1780860,HUM
2013-09-23,92.0949,92.4713,90.9464,91.9694,998981,HUM
2013-09-24,92.1818,93.6199,91.8247,92.6547,1232243,HUM
2013-09-25,92.5003,92.9635,91.2166,91.4386,1031340,HUM
